这演技确实值得奥斯卡最佳女配
代价就是偶尔几个黑奴的命
不爱看别看
现在是
可是总会有人挨鞭子的
那个小女孩怎么是金矿？
真实只会更残酷
黑娃没鲅的传统
为奴十二年
谜语人？
好老板
全明星整容
木材泡水不会质量下降吗？
图灵
表情包原来出自这里
勇敢的木~
伐谭
祥林嫂
《报仇》
学会了
丸辣，是万磁王
怪不得莫度会记恨斯特兰奇
这么不挑食？
漫威团建？
比进巨还自由还适合的电影
幸苦了
全是老熟人
怎么下得去手
全是熟人
不然呢，吃枪子吗
这眼睛的血丝和神情
莫度男爵
卷福
祥林嫂
非也 还是一样，而且已经蔓延到金沙洲了 给我恶心坏了
难受？
和燃情岁月联动了
好活
阵容强大
对口了
我擦，一群麦丽素跳舞
前面红字什么意思？招笑小鬼？
广州黑龙，上海天龙
不要唧唧歪歪了…
这句好好侮辱人
勇敢的木~
不辣的皮特
更正一下，仅广州
变种人的王
莫度和奇异是吧
晕倒不被泼醒就好了
皮特演夜访吸血鬼时还是奴隶主呢
辛苦了
右边这个威尔史密斯？
爽
法鲨
可怜的老广
莫度？
勇敢的木~
香蕉姐
合理
夏洛克也干了
可以买那个吗
种族主义确实是落后的不可取的
8，看这个电影，不需要同情
同情的，建议去广州街道看看
同情嘿仁的接到你们家
爽
皮特演皮特
还有人看这个看哭？不应该开怀大笑吗
抓得好
你们心疼就去广州街头转转，都接到你们家
心疼的赶紧去广州街头走一走，一群乐子
缅北
woc
好
本色出演（）
明白人
奇异博士买黑豹
比他有才
我释怀的笑了
它们算是什么？
本尼诶
奥斯卡提名好像放了这段
现在得看你的劳动经历
哪是雷神？这是布莱德皮特
这不是我香蕉姐吗
反比？
美国不是自由城吗
机油哒！！！
谜语人
啊好痛
自由！！
他祖上还真是农场主
突然想起了高要
还有奇异博士
好的
这演技！！很厉害
这演技！！！！
皇帝至上，更搞笑
这演技！！！！
那要成为什么？
夏夏我靠居然在这里遇见
这是南北战争前吧
香蕉姐太适合演这种了
香蕉姐！
雷神
可怕的奴隶制
这不为奴十二年里那黑人男主么
右边这个人看着有点眼熟啊他是不是演过福尔摩斯
香蕉姐，美恐
奇异博士
这个人应该是北方人
对
难受
确实可怕
字由美利坚
还真是皮特
幻想时间
如果今天死了 明天就不用受苦了
有趣的是，导演是个黑人
香蕉姐？阿黛尔？拉纳打雷？
福尔摩斯
幻想时间
山姆温彻斯特？
冰海战记
奇异博士买黑奴
这是黑豹女主？
福尔摩斯买黑奴(不是
卢修斯是你
奇异博士？
机油哒！
皮特！
林肯是罪人
林肯千古罪人
万磁王你也是真饿了，
真可怜
这不是万磁王吗？
奇异博士和莫度男爵
参考下在地主手下的农民，
大哥你咋看的…
下药了
缅北
国内的老板们：你再骂！！！！
奇异博士和莫度伯爵
都很同情，伊莱莎她没有经过高等教育，她只是一个母亲，想孩子，但却没能力让自己挣脱牢笼
好文案
福尔摩斯买卖黑奴啊
跟小日子不相上下，不，小日子就是学得他们
白人至上，多么可笑。。。
妻子孩子一直在家啊大哥
真是皮特啊
瑞克
全是帅哥还行
布拉德皮特？？
666烟都不带烟了
这下看懂了
我趣
科幻片
万磁王
妻子和孩子是怎么出来的？
这才是主业
来破案了！确信（）
这个不会把木头泡烂影响质量吗？
福尔摩斯?
占领公
