神寄的老卡
你去来个动态模糊打开，然后打个群怪，再看看帧数
无视
4g你玩黑悟空？
看看你显卡选啥
都发霉了
刚回家就给炸死了
黑神话好像要求16g起步
都五百了，这机器没剩杀了，还薅走一百
寄苯醛锌
人家说的是14代cpu
这也能跑啊？！稳定40帧居然能玩黑神话
《问题不大》
《好像》
8G能玩啥啊！
最低5帧
啊？2010年都14了？
不是，你
剩下那18%是什么
欢迎来到老爹古董店
爆能器己安放
400块钱买块游戏硬盘
诈骗犯啊你
问题来了，没显示器
全低偶尔掉帧乐了
电竞帧数
硬盘70我卖给你，50得了
无外壳炸弹
1066
我转手卖同学一千
1根8不够，开机没一般了，我就是用x79
这盘能卖70？
笑死
？？？？
电源20 30差不多
4090
你打打怪都要冒烟
逆天
咋滴？
怎么的？
幽默
吃不了兜着走。
编剧摸鱼了
《黑网吧:初中》
比我2010年配的电脑跑得高不少！
啊？
rtx 4070都难跑的动
剩下18%怕不是反坦克地雷
一镜到底
WC跟我一样大
笑死我了
？
这破玩意50？
奸商
70！
《没手机大》
14年的电脑
？
（海盗船电源）
我寻思组好卖我同学捏
老兵返场
p106！
挖槽
你把这一摊捧火车站你又有地方住了
说这玩意和580差不多的也是神人了
九九成，稀罕物
直接云电脑
起爆器
当我们不知道你是拍之前给拆了哈
回家做梦吧，400组打黑猴配置？
？？？
在贪点
boom
boom
c4已部署
比我一千块60帧性价比高！
你给我350我给你买个豪华版的（）
怎么滴这老破玩意买你同学（bushi
佛罗多进入直播间
电脑坏的时候电费估计比这电脑还要贵。
18+
1万4的电脑啊就用9700x和4090吧
1w4
机箱？纸箱！
基本全新
显示屏咋算呢
C4已安放
抽50得了，抽100太黑了
能装黑悟空？240G够？
还有中间商赚差价你无敌了
那必须580啊
五帧，搁这放ppt是吧
哈哈哈，严谨！
歃血为盟，对月起誓
哈哈哈
240能下完黑悟空吗
移动C4
老弟，一天把来和走都拍完啦，还挺效率。
已经开始笑了
还真能跑？！
我都看完走人了，想了想高低得回头给你点赞投币。
再赚波装机费
老演员了硬盘
去网吧玩吧，体验最好
666
《一个翅膀飞更快》
3094
《拆弹专家》
去廢品站撿整機配備都比這強  哈哈哈哈
黑商啊（
比育碧服务器强
哈哈哈哈哈
送个显示器
我方聚变打击已经就绪
8g玩不了
太想进步了（
明天怕是开机都够呛
金刚铠甲准备就绪～
可以跑黑神话·吉吉（
配个1914年的吧
快赶上我580了
大两岁会疼人～
阄阄䒖
？
《还先进两年》
这是亲同学啊
黑神话150G你这硬盘装了系统还装的下游戏？
A点炸弹已安放
去专门租设备给人玩游戏的店就行了
告辞 又是剧本
三帧都电竞了，五帧随便玩
这把同学炸上天吃席不得包个200？doge
电源老演员了
这是UE引擎的bug
“兄弟”
？？？
军火展示
跑拼多多黑悟空
？？
军火显示
这得配双通道啊
剧如本
120倒还行，毕竟380
怎么滴！
还能安排上380啊，我寻思460打发了
460？
不会抽了4000吧
能玩黑神话不？
8G能玩啥啊
怕炸飞老铁
民用c4
这搬回去不得炸啊
32的你就说不支持就得了
沙皇炸弹
e3 1231
卖你同学？
这个盆20啊
我艹52针能玩了啊
还是当古董卖算了吧……
属实逆天
游戏比电脑贵
逆天
直接安排核显卡
精打细算
400块租机打黑神话不是赚个爽
明天就炸了，后天就吃席
吓人
让他恰让他恰！！
刚过磨合期
亏了，机箱送的
怎么滴？
c4
by别给牢弟炸死了
别的不说，E5我个人感觉就是强
不是说爸妈都同意了吗 结果是帮同学买
啊¿
没算内存
r9 3系驱动2020年停更了
不锈钢脸盆
R9 380
好像比ps4帧数高.m
500抽100黑啊
？？？真的
？
同学是你最亲最近的人知道吗？
？
8000呢？
省流：手捧雷
还送一盆
这不怕炸？
这游戏玩起来不疯狂掉真
电源不得400w？
E！5！
四百块这样要啥自行车啊
怎么滴？你同学可是你做亲近的人
黑笑话悟空
这都能玩？？？
黑网吧，启动！
好家伙！好家伙
这盆可比机箱值钱
这不解决了吗
关键老板还得挣点
卧槽，木琴的赛博郎中是吧
牛逼
GT650
民用c4笑死我了，，
省流:端着走
这电脑也就能看个黄片儿感觉
wc
节目效果
啊？？？？？？
我擦
到我这肯定给你整报废了
都黑了还久久心
《500块配电脑抽100块》
蚌埠住了
竟然能开1080p
比switch都好啊！！！！！
买椟还珠
p106
上一秒忘了下一秒就找到了？
这就找到风扇了？？
240
x79不是问题最多的平台吗
大两岁
400安装个炸弹
580能玩黑猴！！！！！
内存多一条
怎么看也不像14岁长的太年轻了吧
他妈是14岁
快跑小朋友你进了黑店哈哈
最黑心的一集
一个螺旋桨照样飞！
误入废品站
机箱换了不锈钢脸盆，血亏啊
不装机箱这样拿回去容易坏啊
管它啥样，安排
回到家之后（ C4已安装）
太年轻了
解锁新角色：小孩哥
手工费就赚几十块钱良心啊
传说的军工级 cpu
能跑造梦西游
我方已拾取炸弹
破烂王哈哈哈哈
还没我手
性价比极高唯一缺点都是旧货二手的
你这配电脑性价比极高
halflife
显示器呢
一堆钥匙扣
民用C4
经历九九八十一难艰辛的U
豪华版也才三百多，剩下的充网费够了
99年新出土的
这是保密柜？
550
文物
去网吧得了
战斗公鸡
拿个纸箱装
这也不算高配啊
黑笑话：吗喽
黑神话不得配高配电脑？
朴实无华的
又不是不能用
上wegame买然后玩云游戏
8g内存不够用
哈哈哈哈哈哈哈哈哈哈哈
偶尔
咦？5！
残忍
心动了
？
去网吧
基本全新
年少有为
捏麻麻
手雷
这还抽点
动态模糊关了帧数还能提
这CPU十块钱的。。。你还赚了
同学:我显示屏呢？
把dx12关了帧数会更高
C4已安放
全网都知道你赚了100多
去网吧可以玩三天
《炸弹已经安放》
400-268=132，预算 132 是吧
核显级帧数，可以了
黑曼巴
《我有一个同学系列》
《民用C4》
《狗熊岭·吗喽》
《如数家珍》
炸飞了
这不是绝区零的女主吗
游科牛逼
怎么滴？同学是你最亲最近的人！
定时炸弹安排上
好家伙好家伙，太强了回来不得炸了
大户爱！
省流:手捧雷
战斗公鸡是吧
360！
Fc素人
年少有为
预算高了
从小发展
610 gt
同学是你最亲近滴人
原地爆炸
卖破烂
拔G
？？？
怎么的？卖同学8000，直接给你干报废
中间商赚差价
哈哈哈哈
大户爱好评
4590
啊？
怎么滴
还挺高
不如大人带着在网吧开个优惠卡
全低32渲染我去
哈哈哈哈哈
470
买游戏不要钱吗
这还抽五分之一
哈哈哈，小老弟还有点小帅
这玩意大表哥都开不开黑猴还是算了吧
赛博老中医
玩2d游戏可以
《下次光临》
独头蒜更辣
270
哈哈不锈钢盆比机箱贵吧
p106
单发失效
5帧电竞啊
跟我i5 2320一个年代的，现在我还在用
这还敢开1080p 牛逼
400块钱去网吧玩玩得了
偷偷买的啊
年少有为
这都超越18% 那18%是什么神仙电脑啊
这能玩？
没下驱动
还以为说基佬
这位更是n朝元老
去网吧玩吧
同款的u和主板
400块钱买游戏都剩不了几个米啊
《5帧》
《无中生学》
黑神经吉吉
民用c4
wok牛批
九九成，稀罕物
1！5！
只能是上网站去黑悟空
我嘞个豆380都来了
能上660都算你良心了（doge）
抽成百分之二十
比我笔记本高
触摸屏啊
up人真好，从不坑别人，只坑兄弟
哥，我最低80帧，你最低5帧（花5000）
8g玩3a？再咋样也组个双通道吧
哥，我最低还80帧呢
贵了
去网吧玩
配破烂来了?
单通道卡死你
我去年还在用r9 370 4g
孩子你无敌了，抽20%，电脑城跟你一比都算心地善良的带好人了
8什么
14岁老弟喜提12年老机
玩会会不会炸
e5还能再战
记得再配个4K曲面高刷显示器
小老弟就坐在一旁听着
《御三家》
又不是不能玩
gtx690
电脑就比游戏贵了百十来块
c4
机箱用鞋盒
黑悟空16+
去掉游戏价格实际还剩一百多
i9级
左右护法
小心爆炸了
20%纯利
6
还差个显示器啊
炸弹已安装在d（小老弟）点
主板老演员。。
半死不活的显卡
一棒子给主机打爆炸
优化无敌
老弟还年轻给上个金核田
含泪赚300
还白送个不锈钢盆~哈哈哈哈哈哈
4399用是吧
幼年展亚鹏
黑悟空这么低配置吗
400块玩300的游戏
懂了2010年的g41集显加酷睿双核
哈哈解压正好满
七步之内必有解药！
R！G！B！性能加成100%，相当于800快的主机，小老弟赚麻了
IED
哈哈哈哈
去网吧
砷泣的牢咔
我现在就在用这颗U
42针还行啊
哼卧槽，内存都十块钱了，真特么跳水了
还没我家办公用笔记本跑分高
10年的都14了
？？？比我的好多了
老弟专门来整活的吧
本以为配了个炸弹，结果居然真能开
8000
610
你小子
必须给你钻坏咯
炸弹已经安放
这真能玩呢
960安排上
牛逼
战损版
可恶的二道贩子啊
这辈子有了
黑猴130g，这还能解压了吗
《 醛 锌 》
我嘞个e5啊
能看个西游记就算玩过了
nb
省流:赚了十块
云电脑安排
进网吧
bro以为自己来相亲
去图吧可以开网吧了
那就拿个鞋盒吧，方便带走hhh
动不动蓝屏数据全丢
老弟还年轻，别给他炸死了
400块我估计玩扫雷都掉帧
14代酷睿也14了
被780m薄纱
X99都不舍得给是吧
580
英灵殿
要什么风扇，买个萝卜就行
400你逗我？
先天从商圣体
要不锁30吧
《慈禧小汉堡》
来二楼
200G居然收70？太黑了，90块钱可以买250G固态了
完了，屏幕键盘鼠标没钱配了
无头骑士
太假了
黑神话悟空最低显卡要求580
年纪小更可爱
采样拉低了 高点帧数估计还能更高
怎么的？卖你同学？
跟我的主板一模一样
JJD
至强E5搭配X79
10块的内存条？给我来一百根！
我都还在用E5-2669
这tm14？
580
矿区
哇，大户爱
军费还省？！
义体药房医生？
极致阉割
14年的电脑是吧，行
750ti吧
？
有出息
啊？
那卡矿都挖不了
????
能玩CS
击败了百分之18用户
黑神金.马喽
这孩子长得挺好看的
《没问题丫》
这孩子很有平田一郎的感觉
《似寄》
好喜庆的孩子
弹幕
卧槽，我的老卡怎么在这呢
都是传家宝啊
买点唐僧肉吃是吧
父母：我不道呀
英灵殿
666
这不给小孩崩死了
我全低平均帧2帧战神
1000转手买同学
去网吧就行
整套就电源一个正常人
这硬盘闲鱼70拿不下来
14年前的电脑
2010年14？？啊？？？
的确没代沟
gtx460是吧
8G 黑神话都启动不了吧
我嘞个，五针
14年前的配置
别玩的时候给显卡干爆了
在晃的。
这打个boss真就炸了呀
装都装不上，
卡住了
八g玩黑神话悟空，这不得卡炸掉？
已经比塞尔达流畅辣
380都来了
这还缺个显示器啊
比我家手机跑分还高
回家玩去吧
跑小霸王都费劲还悟空
？？？不厚道了
你还赚了几十
游戏快比电脑贵
不是哥们400块钱玩黑神话悟空
鞋盒就够用
最亲最近的
买了 孩子很喜欢 仨孩子炸死俩
别装完，玩俩小时炸了
包能玩黑社会的，下个侠盗自己整个mod装上去不就行了吗
老矿工
必须580纯纯大矿卡呀
690
好家伙，一抽抽了五分之一
快乐的少年
盆比机箱贵了啊
p106
不会想卖同学吧！（严肃脸
跟我SD一样的帧数
就那个第一张的那个光头都够他打两个小时以上。
触摸屏！
稀罕物
比那个什么纸鱼的装备好多了呀。
硬盘70？
是为人民服务的料
开机先吃5个g，剩下3个g启动黑棉花吗喽
5针
5帧高刷
纸箱
《兄弟》
分辨率还可以再降一降
三步之内必有解药
这tm能跑？？？
rtx3080
文物区up主
240G下个游戏都够呛
硬盘贵了
比集显好
学校对面开网吧啊
小佬第
能玩《黑曼巴•牢大》（悲）
抽20%？？
用着没有代沟
1
怎么滴？
我赚点利润……
得双通道啊
绝了
同学：怎么滴！
玩扫雷都卡
多少？
又来了
6
OPPO A5
这是要谋害他同学啊
中间商赚差价
脸应该打马赛克
萝卜散热器
电子抓烟
没有磨合期
嚎起来了
耗能高手
40？
《够点儿呛》
你系统装哪
这测试正常玩能掉一半多，玩也就10多帧
GTX 690怎么样？
听见没，他还得谢谢咱呢
……这样符合年龄
好家伙掏出来就是同款
棘锛醛锌
小孩哥拿回家拆包
400块买个游戏
显示器用什么
吃回扣是吧
屏幕不要钱吗
神卡
怎么滴
"说话小点声,担心吐口水上去"
这老板可以啊
去网吧
神奇老卡哈哈哈哈哈哈哈
他都不敢去开游戏，怕崩到自己
fc黑悟空
同学父亲：给你3000，配个点脑
我是那18%
给他上460（doge
不要机箱散热好啊
卧槽，我当年就是390，已经到380就是垃圾货的年代了吗！
烫坏了
爆炸
笑死
抽100块预算
真能玩啊
460
哈哈哈哈哈
99成稀罕物
小学生也骗？
是我的至友亲朋  得加钱
《国产剧情》
手机8g都汗流浃背
怎么的？
年纪轻轻的，别给炸死了
炸弹人
偷盗，不告而取，会受到贫穷、处众不安、被人欺负、等各种果报。
同学开心到爆炸
要啥自行车
破面带土
《又不是不能玩》
抽到哪里了？
《R9 380 做旧限量版》
大户爱！
《go go滴》
《凉心商家》
甚至还有固态
1080p可以了
跑分不如手机系列
生意鬼才
你还想赚呢
8g能跑黑曼巴:牢大
放上
又不是不能玩
未来可期
久久芯
6
俯仰皆拾
盆20
牛逼啊
下个云游戏
别买d3了。上奔腾d4内存不比这老古董好？而且志强的主板容易炸。
国产剧情
啊？
显卡114514分()
至少能玩个迷你世界
回头率百分百
利润
神仙下凡辛苦了！
手捧雷
我超你妈
杀你没商量
手捧雷
盲猜卖八千
多抽点成
玩悟空，你这机器不怕灰飞烟灭啊
矿卡，很简单，我出手不就是了
正在配置c4的军火商
崭新出土
猿神，启动
14级小萌新喜提12级小兄弟
黑社会:悟空
黑悟空就两百多g这根本装不下
啊？
我去，神机
电话都5g 了，你电脑8g合适吗（
爵柏
炸弹进入倒计时了
《同学》
爱！！！
哈哈哈哈
这不炸我真不信
自己买个风扇对着吹
比我电脑跑分都高
8g没手g多
byd别给小同学炸死
上古时代的宝贝，开卖了
卧槽我还在用E3-1231呢
记得把盆还我
哈哈哈哈哈哈哈哈哈
啊？
激奔圈薪
居然还特么有机箱
