此时一个人自信满满的翻出了纱巾
热不热
哇啊啊
啊？？？
卧槽
怎么这里也有泥砖菜盘↑
我直接看呆好吗！
坏了，小时候这集真看过
收藏必须收藏
这像孙尚香
啊？？？
收藏的人好多！！！！
有点东西
这是什么圣体
女侠
啊？
眼睛一下子就睁大了。
太漂亮了
我十岁之前怎么没刷到你啊QAQ
人才
啊l
wc
啊？
6呀
啊？
先这样再这样然后那样
是魔法
感觉都不用买衣服了
一下就端庄好多
不敷衍真十套的话，我吃翔。
好厉害
我小时候披过哈哈哈哈
老天爺太美了
路人:？
天才
啊？
女儿国国王啊
魔法！！
啊？
啊？
都好好看！
飘飘
oc脱下之后拿着丝巾累死我对家吗？
录到天黑
我去
我小时候刷到你就好了
我小时候过裹的比他都好。
快，爱妃，舞上一曲给本王助兴
小时候看到就好了
李师师
啊？
好牛逼
我小时候为什么没有看到？
牛逼
原来古装全是方的……
啊？
牛蛙
影楼古装
啊？
我去！
啊？
是卖丝巾的吗
有点像老三国和西游那种
你说这谁研究的呢
我寻思我也没眨眼啊（）
古侠
啊？
我小时候要是看过这个视频就好了
天才啊
666
丝巾滞销，帮帮我们吧
其实都是衣服的板式
啊？
卧槽
天都黑了
牛
像老板娘)
这套好看
啊？
去我的收藏夹里吃灰吧
我小时候会拿床单披在身上当袈裟嗷，还觉得挺帅
！！！
哈哈哈，厉害了，不输电视剧
666回来投2个币再走
男生也喜欢看 这是真滴强 收藏啊
看来我小时候的思路是对的，就是没有这么大的丝巾
啊？
这是魔法！
太子妃hhhh
？？啊？
难道她真的是天才？
哇喔
拍的好漂亮
别等了，唐僧已经被我抓了正在和毛猴打架
？
哇
借双手！
没错，我小时候就想要这种感觉
收藏了等我小了看
啊？
啊？
小时候真的很需要
啊？
为什么小时候自己裹棉被的时候都裹不到这么精致？
这姐姐手臂线条好好看啊啊
哇
啊？
寻妹眨
第一款最好看！
牛蛙！
高手
好漂亮啊
在家变真的不行吗？
？啊！！？
建议评论区放丝巾链接
不得不承认模特是好看，但是款式也确实好看。
牛哇
好美
天才
？我寻思我没眨眼啊
啊？
啊？
第一款最好看
古装剧来学妆造
省流:十和四的故事
说有红楼梦那味儿的是不是没看过红楼梦……
啊？
美啊
好好看
白骨精白骨精!!!!!当时我就感觉那个披风好帅
啊？
第一款最好看
好好好
魔法吗？
不错
我小时候咋不认识你呢
太美了吧
还有啊？！
啊？
妈呀好厉害
啊？
这个有创意又美又飒
外层再一层笼纱
啊？
？本来以为是整活，没想到来真的啊
？？？
好厉害呀
漂亮
这才是十一二岁的小丫头该刷的，趁小床单玩起来啊
啊？
肱二头肌！！！！
发生了什么
啊？
小时候蒙床单蒙被子玩的不亦乐乎，长大了也有能力买衣服了但没什么兴致玩了（⌒▽⌒）
啊？
啊？
啊？
啊？
6
我也想到了红楼梦
啊？
小时候的被子梦
好家伙！
发生了什么
发型很重要
啊?
豪堪豪堪！
我小时候就是这样想的
小时候我要是刷到了得多好看
我的天啊好厉害
退1万步讲 床单真的不行吗
这不是现在电视剧里的
比国产古装仙侠剧好
不喜欢红白色系的，可以换个别的颜色去搭
啊？
啊？
出新的了
好厉害
华贵又不失优雅…
我也没眨眼啊。
好棒啊！小时候裹被单没有这个好
西游记的感觉
？
金莲，是你吗
啊？还有？
啊？
下次拍照我就这么拍
后面那两位路人
学会了，丝巾在哪领
这个6
御剑哈哈哈哈哈啊哈
啊？
？
小时候为了这个，还专门缠着妈妈给我买了好多丝巾
啥咋样，自己做和买都行，喜欢就好懂吧
啊？
我也没眨眼啊
豪看，让我想起了西游记！
最喜欢第一款
啊？
典中典！太经典了！
太强了
可爱捏
我寻思我也没眨眼，
太牛了
丝巾链接发一下姐！
好牛
我丢这真喷不了。。。
好棒，好有创造力
难她天
啊？
牛
好厉害啊
小时候要是看到也不至于扯被单披那么单调啦
女生们收藏起来，男生们也收藏起来，下辈子投入女生用
啊？
？？？？？？？？？？？？？？？？？。
啊？
不敢想，我小时候要是有这个东西会有多开朗
啊？？？？？
变魔术？
我也没眨眼啊
啊？
啊？
