这个真的是实话，体制内加个篮球队对社交真的好处
你别说了，反正我是感觉100个单词一天都干不完，一整天都干不完
？
德彪炖豆角，悟出了时光不能倒流
这话不假，大学上两年我算知道我是个什么玩意了
好了大部分人到这已经不行了
行走的威化饼
张哥最近状态好多了啊，痘都少了
先学喝酒，喝酒有量，没听过谁劝人吸烟的
特木尔:这句我熟
写作可以不
绷不住了这个
支持，学习有别的爱好支撑效率会很高
最中肯的一条
111
三刷了
确实啊没错
不好意思我不玩农
省流:干辅导员
不玩农谢谢
确实
22的也这样
说的好实在
早6咋办？
电猪币
张哥别骂了，快来抽我
respect
实力依旧强悍
这个是真的，不然真的会自闭抑郁的！不是开玩笑
哥你这样说我是真破防了
兴趣和习惯是上大学前养成的
唉，你别说，你还真别说
你怎么知道我电池87%？
@陆辰
@李云龙
可我就是985啊
删了吧哥，我有个朋友破防了
确实
真实！！！
先玩三国杀，再玩三国杀，最后再来把三国杀
点了
蚌埠住了
点了
喷施up终于更新了
幻想时间
你错了，我不玩农
实用
最新力作
别骂了别骂了（哭）
坏了，真是干货
别骂了别骂了
骂爽了给我
其实吧每天学一个小时就够了，大学该摆还是得摆的
如数家珍
“洋辣子”是方言，指的是一种长刺毛毛虫，害虫，入侵物种之一
太多了哥
别说了哥，我兄弟不开心了
别骂了
已经毕业咋办
超纲了
坏了我华五
我就是985，还是上游985，专业还是A+
呜呜呜救命，，哈哈哈哈哈
可是我18之前都不像个人
李云龙直呼内行
属于是日漫看多了
这一段干货拉满
乒乓球一定要会，因为你们单位可能没有篮球场但一定有乒乓球桌
毕业的告诉你，是这样的
拜上帝会
别骂了
MC BABA
团组织也是学生会
加狮心会
我已经大学毕业了
哥，我悟了
鬧毯标题
这条确实，我考试的时候快被我旁边人烦死了，考的没心考
前面的嘴合不拢了是因为神奇歇后语吗
小班课点名怎么办
坏了，哥，你说的真的很对
n
cs会
cs会
小脑完全不发育，大脑发育不完全
太真实了
点了
ptt传三代，人走它还在
我只有84了
大学自由个集贸
哈哈哈哈哈哈
10个也记不住怎么办 今天背后天忘
别为难它们了，它们可进不去
千万别去
幻想时间
这三个小学就有了
太对了！！
考试作弊从22年开始就会记入档案 严重的会上征信
我就不一样了，我不做规划，我照摆
好骂
还好我211
跑了每个老师都委婉拒绝我了咋办
省流：just do it!
前面是稀的后面才是干的是吧
张哥最新力作
张哥讲火影
张哥（火影显现）
难绷
一心会
有种熟悉的感觉，是你吗刺客
张哥我在新疆读书怎么办
背十个说实话……要求稍微高一点十个都不够
985难说能自律（大一新生应该对自己有明确的自我认识）
真说对了
等等你让我理一下
我爱好看皇片咋办
好骂!
开幕就被骂
祖国的奋变
悟了，现在要好好的玩
认准极光会，会成为天使哦
中医有能力的
中肯的
哈哈哈哈哈哈
别骂了别骂了
卧槽，这才是为大学生发声的专家啊
被cpu了
绷不住了
学生会能保研啊
屁！我玩原
这是唐吉诃德里面的。玩农玩多了，不做评价。
哈哈哈哈哈哈
我就是985也坚持不下来
开始幻想
奇拉比哈哈哈哈哈哈
骂的我真爽
确实，很难减坚持的，计划没用，得真行动，养成习惯才最重要
笑死我了
八尾我没绷住
对不起别骂了。
这个必须得支持。
我还真不熬夜，到点就睡
笑死我了
不是最
并不是哦
确实，你这一年半过去顶别人八年
哈哈哈哈哈
攻防一体
我上985了也坚持不下来（
旁征博引
这个确实，英文真得学
口瓜，是洋辣子，我不要吃啊
我要笑死了
确实 有爱好是真的
传家宝可太真实了md
打算体制内了哪来的健全三观
来了来了
人外
《你躺在家里玩农》
我超，农！
骂爽了
好骂
哈哈哈哈哈哈哈
还真是
我还真是985
幻想时间
蓝底黄字太经典了
你可以说张哥之前的视频是整活，但这期真是干活，三连了
上大学先学抽烟还是先学喝酒
《没有用的歇后语又增加了》
985也坚持不下来（确信）
看到标题笑了
笑死了
raper
最支持的一集
剩下的是蔗糖（即答
会说就多说点
幻想什么呢
核心装备
说到现在合着还都是幻想
支持
最支持的一集
加兄弟会
是985的咋办
加刺客兄弟会
我就是学艺术的怎么办
稳啦！全部都稳啦！
我超，农
你是真爱火影
妙手回春
醒醒，快醒醒
hou脸皮
还有海龟老婆（）
钓鱼
绷不住了
这辈子有了
你小语种，到了大学也得学英语啊，小语种就是不如英语的
JUST DO IT
双非的破防了。
乒乓球  足球  羽毛球
这个真有用
宿舍通宵猝死前的幻想罢了
学英语是真有用
我双非的分比985高怎么说
有事憋心里，别让张哥笑话你
真有用的
什么都不用想 该干嘛干嘛
狂铁:我没意见
那我真是985怎么办
蚌埠住了
确实
确实
排球呢
当rape蚌埠住了
可是我就是在上985啊，我怎么办
我在985看那些卷王也是望尘莫及
稳辣！
那要是学金融怎么办
错误的
还真是
彻底蚌埠住了
现在是幻想时间
学医咋搞？
cosplay也算艺术了吗 二次元泪目
我的
谁说的
大专生就别在这教大学生了
说的太好了
哈哈哈哈哈哈看完第一条，我就知道一定要看下去
你再骂！
大专学长别bb了
金融笑了，没有实验室
学生会，大型cosplay罢了
那我加入大衮密教呢
乒乓球我算是小有建树
蚌埠住了
真实
坏了我是c9
饿殍明末千里行
你不理财，财不离你
不能4条都做到的确实都不算正常人了
大部分学校都学生会都是在象牙塔里玩过家家罢了
学到了
孙连城是堂堂实权副厅级干部
一码归一码
就是
核心出装
跑步算吗
6
虚拟货币能碰吗
绷不住了
还带点科幻色彩
哈哈哈哈哈哈哈哈哈哈哈哈
两天洗一次脚学生消费不起啊
一针见血，哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
先搞个雅思8.5（即答
互联网上全是对卷王的谩骂，现实一个比一个卷
笑死我了
不玩了
错了，985也坚持不下来
985看张哥这辈子有了，什么我也是？
没毛病
我一个学生物的听到这里真绷不住了
这骂得，幸亏我啥也没整，纯玩
听了半天就这句听进去了
接着玩原神就行了
还有就是别抄出奖学金了，抄及格根本无人在意
现在是幻想时刻
学会了吗各位，你们本科没我们专科的命，大学摆两年就打工一辈子了(
985也没几毛用
我真的又哭又笑
已经开始笑了
我超，唐
酒吧舞加一
我自从考了雅思之后已经每天50连续一年了
“我下海了，各位多多关照”
没毛病
可能还有海归的老婆）
刀子嘴斧子心
新疆网红狼表示：“当狗有人投喂，当狼三天饿九顿”
双一流丨出张哥视频
我会打排球，平时跑步也多
我想加钢铁兄弟会
原来张哥叫张 ma 之，我一直以为叫张 mu 之
没毛病，大一加的学生会，干了半年，直接半道跑路
配音！
说得好
确实
JUST DO IT
巧了，我也还真是酒吧舞
现在是梦幻时间
笑死是这样的
幻想时刻
最强嘴替
小语种咋办？英语还要继续学吗？
确实
我的爱好是打游戏啊
支持了
机械键盘也不是不能用，除了青轴这种声音特别大的（
蚌埠住了
巧了，我还真中医学院的
巧了，我真就是酒吧舞
笑傻了噜噜噜
可以学做饭吗
哈哈哈哈哈哈
去南方老老实实一天一洗（
玩生化危机4玩的（）
当嬉皮士
因为都上了干部有权
实话
艺术就是8个鸭子
省流：想干什么就去干
那确实，别人的永远是别人的，自己不栽永远不知道
幸亏我只规划带的东西从不规划要干什么（）
先别吐槽次数，就这频率，你自己做的到吗↑
学生会也就要选调有点要求
艺考生咋办
好好干
根据国际局势的话，俄语也不错
自己都笑了
打游戏是爱好不
可以当raper
乐死我了
还有教授的海归女儿
666
前后无缝衔接。我听了两遍才反应过来
我玩英雄联盟
byd做到有啥可骄傲的
点了
《规则怪谈》
那你懂你自己吗
正确的
诡计多端
露出马脚
这辈子有了
【基础】
光明顶
点了
绷不住了还真是
“我清楚知道人与人的道路都是不可复制的”
蚌
泪目了
和海归的女儿（）
还真是
点了
想起来张哥一开始是做摄影节目的
日本都不看
？
来拒去留 增缩减扩 增反减同
记得带哑铃片子找张哥帮忙
大二认同，已经自动退会了
我上的艺术学院
我羽毛球还彳亍
raper
分学校，我们的综测分学生会加大头
唐的刚才半分钟就划走了
奇妙歇后语+N
渐入佳境
一年一度保留节目
应该是把球传好
别骂了别骂了
张哥，这真是大实话呀
《豆腐心》
别骂了别骂了
你的交际圈毕业之后有半毛钱用吗
这也行！？
学艺术的怎么办
全是实话，三连了
日漫看多了以为学生会牛逼的不行
好骂
现在是幻想世界
嘤嘤嘤，刚刚六级没过，第一次考，班里人都过了
上了酒吧舞也坚持不下来，躺了一年了
你终于更新了哥
我都是加白莲教的
张哥也摆脱不了局限性
还好我不玩
当rape
楞次定律真没绷住
光听歇后语了，那五点是啥来着
可是我们学校没研究生
呃
这确实，专业知识不一定有用，但那几个单词指不定看文本真有用了
我是猎奇吧遗老，不看
别骂了，别骂了
哈哈哈哈
5个不忘都很强
除非学习主动性强
确实
这是个人都不能碰啊，能全身而退的神人了
真上985怎么搞
985在这
但实话说高中过渡大学要调整靠自己真的不算容易
还有饰品
大学学习真不是所谓高端局
这是干货，喷不了
这个确实不能碰不管是什么样的人
开始幻想
攻击力一直认可
我是半糖小子
还真是
蔗糖是二糖，也不能反应哦
我选择翻译软件
洋辣子就是树上往下掉的那种，带毛的虫子，掉脖子上就起了疙瘩，贼疼的那种，好像是山东这边的方言
还真是
游戏打好，也算有一技之长了
你怎么知道
好的，我去一心会（doge）
加圣殿骑士会
中医也得学，虽然恶心但为了毕业考个四级
噢。。。
哥你说我拿本儿记着
自己都绷不住了
国内大学是自由发挥吗？搞笑
没啥自由，还是那几套。只是没人管你学习
我太想进部了
我们寝室三个夜猫子熬夜到3点
6
超纲了超纲了
我缺的饰品这块谁给我补啊？
笑死我了
这点是真的，起码过得惨不会想去死
不是哥 我有个朋友破防了
笑死了哈哈哈哈
上二本，呜呜呜
一天一次的我表示不能接受
太逆天了
什么威化饼（幻听）
法师公会
扇贝学生会，真过来人
好
别骂了别骂了
下次可以和张雪峰联动辩论一场，下个百大up就是你
期货
真事
主要是混时长来的，方便啊
正解
其实正是自己再做计划还是能坚持的
那可太棒啦
我想当rapper
你说的几个我都会怎么办（
你怎么知道我不是985？
因为up就是干这个的
是你进不去吧？
我累哥嫂尴尬
《 张 哥 》
666666666666666666
哈哈哈哈哈哈哈哈哈哈哈哈哈
我已经开始大专实习咯（
还真是
我三个全会。嗯略微精通
飘不应该也不碰嘛
张哥的脸见好
帮我那出生室友点了
正确的
办公室门口蹲过好几次，有时候甚至跑厕所门口蹲
那我还真都有
那我选羽毛球
你再骂！！！！！
稳啦！豆稳啦！！！
致    命    节    奏
还不如加入洪兴社呢
醛糖
完了，第一条没做到
这是真的
商务球法
确实
笑死我了
这辈子有了
被骂爽了怎么办？
不，我躺家里玩原
别买房子和结婚
抽烟喝酒磨牙放屁（）
楞次定律是啥来着（
感觉舍友两天洗一次澡都有味  我都一天一次
哥你别骂了
还真是
我还真全做到了
别说给我，说给我的室友
考公还是有些用
"完全正确,每天都是毫无意义的小事一大堆"
舒服了
还真是
我有一个朋友破防了
qj 的体魄
这些建议确实有用
说的太好了
说得好
这个是真的
难绷
我小球类样样精通。。。大球一窍不通。。。
堂吉诃德里面的话
这倒是真心话啊
实话
丁：指丁真
百词斩遇到熟悉的直接斩并记录个数，要补上不熟悉的
哈哈哈哈哈哈哈
稳定发挥
上大学就玩文明六
活全家up
丝滑小连招
985的也该量力而行，不然就算自律也会因为一次次失败而慢慢变得懒惰
加兄弟会
神农尊者！
还真是
还是骂的太少了，要不然早成帅哥了
升华！
泪目了张哥
哈哈哈哈哈哈
晚了，至多11点，最好十点半之前
这搞得我又哭又笑……
就机械键盘这个我狠狠给你点赞了
《台球》
笑疯了
不如干志愿者，做实事
牛逼 确实
〖团购骨灰盒〗
点了
掉了
(T^T)
张哥我知错了
那我去打游戏吧
足球！
渐入佳境
现在是幻想时间
我喜欢跑步，经常去跑
洋辣子当海鲜吃没绷住
为什么两天才洗一次脚
选调生看啊
我是专门来收集歇后语的
好，以后福海大哥不会救你。
确实
别骂了别骂了
掼蛋呢？
狂铁！
金玉良言啊张哥
足球
当 rapper 学历太高了，不行
还真是
不是一天一次？
说的太好了，本来是来看乐子的结果真有干货
雪豹闭嘴！
四条都做到的我不说话
足球：？
emm我就985啊
那我喜欢喝酒咋整吧
来挨骂了
张哥教戒赌
玩刺客信条玩的
《王八壳》
能不能加同盟会
张哥快张嘴，，，，，求你了
我一双非的看视频呲着大牙乐
开幕雷击
这是真的
张哥痘消了
听到这我嘴合不拢了hh
最支持的一集
哈哈哈
确实
还有别上buff乱倒货
好家伙，攻击性太强了
中医也要被英语？
说什么大实话
正片结束
确实，想要什么就得脸皮厚点
一学期，hor脸皮，就去两三次
商务打法
没毛病，老实熬夜什么毛病都出来了，一定早睡觉
我去上来就是地狱难度哈哈哈
八尾
哥啊，我学俄语还要背英语单词吗
包翘的
张哥还是经典发挥
每天坚持打搅算好习惯吗
还真是
《先学抽烟还是先学喝酒》
最后金句！！
还有期货
刀子嘴电锯心（
做梦呢
每天洗脚也可以的（
哈哈哈哈
四条都能做到（骄傲
到底看这人图个啥？
我们宿舍都是每天洗澡
我要当rapper
笑死了
我来个冷门词汇lieutenant（doge
完了，这次真骂的我
省流：最正能量的一集
哈哈哈
这是正常人的计划吗
台球然后呢
rapper
万華鏡写輪眼の幻術は逃れられない
张哥我是艺术生咋办
不是一天一次？？？
不是一天一次？？
保阎
哈哈哈
这个喷不了，真干货这是
985的怎么办？
还真是，我最喜欢4399无敌版了
太简单了
坏了 我双一流
abandon
张哥更新视频了！
这下剩些半唐了
我们专业有个人考试作弊被逮了还能拿国奖呢
真上985了咋办啊
绷不住了
一镜到底
今天早到了
完了，还真是个985
学生组织别的不说，能扩充交际圈是真的
加教会行吗？
去看先学吸烟还是先学喝酒那期
看看美剧英剧得了，还背单词，英专都不天天背
可以当rapper吗
我就背五个
这是真的
皮肤状态最好的一集
第四条一定注意 非常对
还有别学人沾烟酒，更不能在公共场所抽
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哥你咋这么会骂
张哥最新力作
太难了
草
离心机爆炸前的幻想罢了
张哥脸上痤疮少了诶
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
农
去学生会一定要利用学生会来给自己捞点，不然纯纯打白工
这辈子有了
那我985的咋整啊哥们
第九艺术如何
哎呦，那谢天谢地了…
这次我不太同意
点了
农
说了这么多，张哥应该都做到了吧
张哥真是刀子嘴豆腐心，爱了
我认为是勒夏特列原理
详情参考up主戒社
✓
核心出装
真是
我还真去搜了八尾人柱力是什么东西
热知识：原句出自《唐诘柯德》
稳了
哪怕打瓦打外服也能用到
好骂
草
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
确实
那有的同学就说了，张哥我学喝酒可以吗？请看前传
抽象
本人加学生会，这几句话无比认同
我嘞个赛博中医啊，这么说还是同行了？
大实话啊
核心装备
逆天，我每天背20个都够呛
坏了，真给我上南大了
爱好炒股
笑死我们11点断电
说的在理，高中是线性的，大学可不是
有一说一这点确实毛病
《手榴弹炸茅厕》
这个是真的，国内教材写的一言难尽，自学难度太高了
他还是那么能说
我嘴都快笑歪了hhhh
我就是985怎么办
985怎么办，在线等规划，急急急
我只能说好骂哈哈哈哈
糟糕，我双一流的
开场金句
完了，不作弊不恶心人，但是挂科了
正喝粥了一个段子差点让我崩了
增反减同，来拒去留，增缩减扩
开幕难绷
985表示说的就是我
一心会可以吗
左脑缺失指令集 右脑缺失运行库
坏了，我还真就是985
这辈子有了
摄影可以吗？
这是真的，别傻楞的听那种课
没绷住
本校没有研究生怎么办（双非一本）
别骂了
这个真的
我玩黑神话
好 老师你说
张哥真好
《欲扬先抑》
多久没上
勇气，是唯一的信仰。
核心出装（
这期真不敢看
听的好爽
看完张哥视频，这辈子有了
我试过每天能背大概30个单词，坚持过一个多月
现在是幻想时间
三天洗一次？还是太宽容了
这不上期那entp奶茶哥吗
渐入佳境
现在是 幻想时刻
不可能啊
？？？
还真是
这个是真的，不要拉不下脸觉得不好意思
农！
大实话
核心出装
这是真的！！
这是真的对
唐完了
这点说的是真的好 抑郁的时候有门艺术爱好可以救命（
这点真的好重要！
一年半的大学
笑死了
还真是，这完全就是我
蚌埠住了
哈哈
已经开始笑了
把体育挂科了咋办
卧槽笑疯了哈哈哈哈哈哈
难绷
张哥状态回暖了
大家都是图一乐，没人在乎你是不是985哥
资源本身就这么点，想要一定自己去争
公路车（doge）
开始幻想了
又到来最爱看的教育视频
还真是
2333333333
应当指出：洋辣子指一种身上有刺的类毛毛虫，碰到会很疼
血泪教训啊
南方得一天洗一次
23333333
哈哈哈哈哈哈哈哈哈哈哈
说的对
说的道理
知道了
这歇后语无敌了
狂铁！
八角笼绷不住了
上干货了
张哥的脚臭室友
哈哈哈哈哈哈哈
现在是幻想时间
还真是
笑死了
哈哈哈哈哈哈哈
？？？不是每天洗澡吗
省流:狂铁名言
好一个排比句起手
哈哈哈哈哈哈哈哈
热乎的！
好会骂
论张哥到底看过多少片
点了哥，太对了
点了
熬夜和早八只能有一个
狂铁来了
真的，真的！
小球转大球.jpg
我就说做实验得开通风橱吧，这都致幻了
确实话糙理不糙
真的，拒绝就拒绝，当牛马也别去学生会当
嘴巴高潮了
真理哈哈
湖北工业大学胡一鸣
高三狗12点还睡不着呢（
真的，也就逛漫展还有人理理我，不然根本没人陪我玩，你张哥真大学看明白了，也不知是喜是悲
二阶段
正能量嗷张哥
真•一镜到底啊
红花会呢
我靠大实话，我就图书馆借的美国教材，因为自己教材没例题
两个极限了爸爸
也把我siri喊出来了哈哈哈哈哈尼玛
这句笑死我了
cosplay爱了
真的，真的
实话啊，乒乓球羽毛球足球，你的老领导肯定稀罕一个
一镜到底警告 六分钟纯享版
真的，不睡觉的必死无疑等着挂吧
没绷住
大专的
谁家神农尊者
确实，除了网贷和我没关系，其他的沾了我见一个杀一个
现在是 幻想时刻
这就扯淡了
别作弊给自己干记过了
这个纯扯淡
文科怎么办
真的
你可以一直相信张哥的攻击力
还不如刺玫会
看文献划词翻译不香么
最有文化的一集
yysy这几点都在点子上
正能量嗷！
这么会骂
救命啊确实
鬼见条
有整体的学习环境和个人奋斗完全不是一个自律登记
我就在985啊
985也坚持不下来
大实话
就是大出生（抢答
笑死，985中文系期末疯狂补背古诗
大过滤器理论是吧
哥，又指导大学生了，呜呜呜
最对的一集
哈哈哈哈哈哈
狂铁台词乱入
这个好
有一说一，确实
正在换跑鞋 大四了
好长的进度条
艺术这些全都喜欢玩怎么办
把我siri喊出来了
cosplay罢了
军工复合体管用吗？
爆叔核心出装
确实
张哥太温柔了
张哥玩农玩的
学校没保研咋办
BYD自己都蚌埠住了是吧
可我就985（doge）
点了
幻想时间
正确的
张哥脸还没好呢
这就别幻想了张哥
要有勇气 自己主动 敢开口 态度恭谨一点 不要得罪人 无论如何都不会混太差
梦里都有
干货
上大学就玩铲了（确信）
现在是 幻想时刻
没绷住
对的，球类跑步都好，哪怕只是丢一丢球都可以
早生几年没遇到张哥
我就是985怎么办
精神上有帮助 一定要有自己的精神世界 减轻一些压力 这是一项隐性投资
电棍出溜ber
大哥真的啊
正确的
比如学一下python，学一下3Dmax什么的
就算只为了身体也是应该 何况社交和人情世故 很有必要
byd蚌埠住了
哈哈哈哈哈哈哈哈哈哈
没绷住
羽毛球我狠狠传球给对手领导可以吗
最正确的一集
去学校不到一个星期就恢复出厂设置
这个认同 早点睡觉对脑子好 效率也会高
还真是
哈哈哈怕被舍友打死
专业课程认真学习，其他的就想办法提升自己的未来能力
985做了也没用 开学啥样又不知道 还不如好好玩
晚认识你三年
共济会呢
亲身经历
10个也背不来啊怎么办
还以为封面是高玩
出c不会化妆，摄影不会找角度
傲娇定理
哈哈哈哈哈哈
蚌埠住了
《猎奇区》
暑假一定要弯道翻车
笑死了
还真是
弓虽
《肺得脚气》
骂的我好爽
3分钟
这倒说到点了
这不是考研强度？（doge）
两分钟新鲜，我这个号是不是练成了？
点了
sei瑞
我是m，被骂爽了
同济会呢
出栏了
确实
好骂
张の蔑视
张哥最新力作
监拆懂？
攻击性回来了
吐槽越来越形而上学了
看的好爽
也是第一了
张哥太会骂了
也是第一了
