指认的人只知道贝动了手，当时摄影小组是旁观的
身边有个喜怒无常的疯子谁不害怕？怕的就是下一个没的就是自己
讲实话这部反社会含量有点高，可能跟所处的年代有关，彭浩翔的买凶拍人处理得温和些
想起了消失的夫妻，这个时候不反抗也是死，不如豁出去了
感觉主角杀人纯属是自己快乐。。。如果他因为家庭或者感情问题变得扭曲那还可以理解，但他这是不是完全是变态杀人狂之类的啊
xqc干掉了speed
这样真的好吗
华强买瓜
路上看见人咬狗，拿起狗儿砸砖头
那个男的不是在刮胡子吗 应该是剃须泡沫吧
这明显是在讽刺啊
笑死
红色是最安全的颜色！
4倍
伪纪录片，不是真的！！
那个前面的这和中二有什么关系
战地记者
我担心的是小孩
他杀的人，怎么报应都是其他人
斜杠文科生
？正常人怎么会为杀手担心
摄影组の奈莎王
小孩还挺有品位
丸辣
10岁？
红色是毁灭
不是说不能看，我挺喜欢看邪典的就是拍出来的人杀人什么的，我只针对那位硬核的红字
？总觉得在骂我
我草这个有点邪典啊
18倍
伪纪录片，你说是真是假……
他表面上的职业是啥呀
倒头就睡
5
主角是法国搞笑演员
红色代表的是解放与反抗
好家伙，你是真饿了
老实了
pigeon
抱歉我没为杀手担心
摆拍我笑了
0
?
不是不能被杀，是不能出现小孩被沙的画面
《普通人》
只要画面中不出现就可以
这是罗伯特基里曼
问题是 没那么多地
每天一个杀人小技巧
666这个入是桂
经常鲨人的朋友都知道，鲨人容易处理尸体难，
哈哈哈
确实牛
收音师-2
太压抑了
紫色代表韵味
不会当场换拍摄对象吧
杀人了
零帧起手
这哥们儿好像奇爱博士里的美国将军啊
母亲也是风韵犹存啊
钓鱼佬：我服啦
此子断不可留
不选个buck？
动耳神功
nirvana？
我是秦始皇
教练：？？无辜的？？
我去
我舔干净就不用洗了
《有经验的朋友》
。。。。
大锤！
？
这种邪典电影太猎奇了哈哈
还是个诗人
哈哈哈
哈哈哈
捕鼠夹放置成功
同行哈哈哈
我不想杀手死掉，我想小孩死掉。
外面这么打动静不跑出来看看，老外真神经大条
人还蛮好的
还有鄙视链
哈哈哈
像法语
暴鸡
哈哈哈
晚上不容易被发现
这是俄语
夺命邮差
发条橙
不是中二。。事实上现实病态的地方太多了。。
侏儒两倍，小孩和老人四五倍，成年人三倍
这是应激吧
这是宣传暴力美学，有点过于内心扭曲了
鼻烟胶卷
《罗伊斯》
这是干一行爱一行
啊
老师好
摄影师能找到他们警察找不到？还是这里没有法律
荒野大镖客
拍纪录片儿都是有时限的，大家比如说这片子10年，20年不能放，你得尊重。被记录了。
现在的脆皮大人见着裸袋子就吓得肝儿颤。
啥时候也太穷了。
4倍
这不是凯撒那个儿子吗？
你咋没被抓呢
主演成了甲方之后，导演就失去作用了
《现实》
上帝，他简直就是恶魔
为什么超前
右10
nb
经常杀人的朋友都知道
这题我熟
一枪崩了拳击教练
这人简直是战神
有兴趣爱好，有优点＝好人？那全世界就没坏人了，真是笑话
有兴趣爱好，有优点＝好人？那全世界就没坏人了，真是笑话
我懂了。
这个妹纸还挺好看
哈哈哈，对面杀手的纪录片团队
掉下来是个假人，好抽象
一个变焦的时间，主角就跑到对手身后，身手真快
满级小孩哥
不要消失
我懂了
丸辣
这边原片男主语气台词挺好笑的
放在现在也挺震撼的
伪纪录片开山怪
神作
向前啊，没有方向。。。
秋天不回来
《有经验》
还怪敬业的
零帧起手怎么躲？
想当年我美术考试刚落榜，一个啤酒馆十几人枪
挺好看的呀
你别说它人还怪好的嘞
小鬼当家
此时你看到了帅哥的脸庞
蒙娜丽莎
还真是1000加 现在是8月29下午 我上午看一半
额。。。。。。
你说不能就不能？
他们这地方没警察吗？
这里不真实，一般直接幢上不会马上流血
吉良吉影比这家伙要更理智许多
看起来和听他说话的语气是真的像一个绅士
不是记录片啊各位，前面说了是电影
圣斗士在法国人气很高
不是 哥们
草
你人还怪好的嘞
经常杀人的朋友都知道，杀人容易抛尸难
地域笑话
《大家都很开心》
法式浪漫
前边不是说两杯吗
热烈
硬核监理
大   耳朵 图图
布丁大弟
？
真的饿
武汉大学
哟西害怕
我见过
歪日
《这里的人值得这样的生活》
不是都能动吗
拳击教练：不嘻嘻
这片子几十年前看的，纪录片风格很有意思
芝麻仁
哈哈哈哈哈哈哈
野蛮，退步，仇富，嫉权
一千加在看
红色代表落榜（dog）
这么一说，我忽然安心了
剩的部分看来不多
消音都不带吗
哈哈哈哈哈哈哈他前女友懂音乐所以死的时候插的是长笛，她妈不懂所以是扫帚
别真教啊，弹幕朋友，帮到恶人就不好了
他女朋友被长笛穿了，妈妈被扫把穿了
买了送花生米吗
绷不住了
不对啊，之前在这不是都被伏击了吗，怎么可能还安全
前面的，那是因为男主人刚刚对着镜子在刮胡子
《校园里的砂人游戏》
青年大学习
我不到啊
地狱笑话
收音师这消耗率是不是有点高【。
剧情是虚构的
怎么突然来个冷笑话
伤到脑干了
我一直会把自己代入主角的视角
[前方高能]
可能就是拍摄手法吧，我看解说，只想让这个杀手早点被抓，被枪毙
讲究
有点像戴蒙
还用担心尸体暴露吗？杀了富人都没事
情人插的是笛子，妈妈插的是扫帚
富人的报复
绿色代表绿宝石水花
像...
？
原来不用死啊
老太太好可怜呀
有没有一种可能，老外沙子不贵？需求没那么多，很多住宅还是木质！
手怎么用袖子遮住了？还那么鼓
快算了吧，就是听了你们的我才吃花生米了，当初就应该碎了喂鳄鱼
欧美片不能嘎小孩这个谣言是怎么流传起来的？
你在骂
你真吃啊
是纪录片吧？
哪里来的意林读者
4倍，因为骨质问题
白色代表法国
其实真正的脑部受损比这夸张
带资进组
紫色代表隐者，绿色代表法皇，蓝色代表自由
突然意识到这个皮炎到嘴对穿的松鼠是不是预示了瓦莱丽和杀手母亲的亖状
但这种声音连续出现几次就有另外的味道了
这不法国片子吗？咋一直在说俄国
就是磕到后脑了，我见过一次从楼上摔下来的，一模一样
?
确实上了
《庆祝》
草。。。被人杀了啊
4倍
收音师又死了（）
森帕森投
挥向你
????????
下面太大脑供血就有差异所以
不是
太酷了
肯定是演的啊
击晕监管者
人皇
自己肆无忌惮地夺取别人生命时，从未想过自己在乎的人也会有被别人伤害的一天吗
能不能别那么急着输出啊？人家还没讲完就质疑上了？
口袋剪出点口子放气啊
上来就这么重要的知识，我笔都没带呢
？你币没事，你赞也没了
没法代入就没法为人民服务，虽然不是同”
炫工作者
不是职业风险吗？战争地区的拍摄者呢？
没打上
伪纪录片的话那演员还真是...
此子断不可留
啊？
他真是个带善人啊
这不纯cs吗
三倍？150公斤的石头？
小孩使用了肘击
演的而已，再说了，真实的连环沙手管你是谁，一块儿做了，多一个不多少一个不少，
应该是伪纪录片
盖亚！？
经常杀人盆友们都知道，杀人容易抛尸难。
拍摄团队或许从他的角度看是知己，也是同伙
4倍，成年人3倍，侏儒2倍
实拍？
爽了
变鹌鹑了
……
小孩哥
cereal killer
活全家
确实挺老的
代表谎言与背叛
化工厂处理尸体是最简单的
收银师好危险的职业
0帧起手
有用的知识增加了
瓦莱丽？2077女v？
？
这是摄影师的旁边，幽默
0帧起手
最后是全死了吗，爽了
最后该不会死于另一个拍摄团伙吧
活该，哈哈，报应
这片子。。。
从犯
nb
笑死
不太冷的知识:外国人会将硫磺味当作恶魔来过的痕迹
弗拉基米尔
woc！乌克兰总统普京
手法
确实很难，这里我可以跟大家说
是你嘛，没有规则你都不一定有在这敲键盘的机会
nirvana？
吉良吉影哈哈哈哈哈哈
哈哈哈哈哈，搞笑人真乐
、
我担心小孩被抓
有点像普金啊
犯罪的人希望自己被记录，所以不会对摄影们下手
哦撒旦，这个人是天才把他收走吧
这有啥好禁的，就带点血腥，国内都不一定禁
天才
逻辑自洽了
这片儿其实没啥，，，，
容易沉浸于故事视角的人在看那一幕真的会怕小孩跑掉“自己”就完了
买凶拍人
人又不是番茄酱包，撞一下不会这样出血
紫色代表紫色心情
其实真正的脑部抽搐不会这么夸张
落网后被仇家找上门报复了
红色代表不安与警戒
所谓十大禁片都是早年中文互联网自己瞎传的
艺术不就是超前的吗，尤其是实验性艺术
绿色代表:走
我嗦一口就忘了
这里一辉的拳头正好对着杀手
fw贝罗特
难绷彩六
钓鱼老：这里没人在这钓
准确说是比利时片
我突然释怀的笑
水泥或石头
拼多多杀人了
？
贝洛特:看我干嘛，又不是我干的
梅西
所以油桶里灌水泥沉海最省事
法国片啊
这个专场好厉害
333
那郭敬明呢？
那时候可能刑侦技术还不发达，而且人家是专业的，不可能不做准备，比如假发以及磨掉指纹
这都太老套了
最好把内脏处理干净，不容易漂浮
Nirvana
己所不欲勿施于人，否则必自食其果
怎么拍得跟真的一样
看到妈妈一样的死法不过是扫帚代替笛子。。。
这个理念真的很超前
我的妈呀
为了派崔克？  这么虚伪吗
妞照泡舞照跳
这下全家活光光了
怎么这么搞笑
“也就”
啊
我舔一口就忘了
这明显魔幻现实，讨论真实性是卖萌嘛？
买凶拍人
太现实的那位中二，你遭遇了什么现实诶？
这演的太好了吧
秒答:4倍
蓝色代表欺诈和谎言
王刚：不是，哥们？
？突然就真实到了
成同伙了
？
全是真鲨哦 玩的就是硬核
小孩：“车长不行了”
我丢，雷！！！
16岁就把三部不安人看完了，现在心理很健康
你人还怪好的咧
cs
你要再这么下去，估计下一个拍摄就到你家
？
法语普及率不低的，毕竟上世纪殖民地很多
大家好，我是王刚
吓我一跳
哈哈哈哈哈
啊啊啊真的好恐怖……不惊悚，是暴力和冷漠的恐怖……
白人太干净了
不是都说了多少遍这是伪纪录片和电影一个性质
说话还怪斯文
他已经有两位家人被杀掉了，被不同的器物捅死的，捅哪里就不多说了
4倍
下面还有马拉多纳
小孩：新号别搞
怎么这么像普京
活像一条溺水的鱼
《夺命邮差》
打啵Q!
Q!
如若小孩亲眼目睹父母被杀手杀死。并出庭作证。杀人犯的罪要从重处罚。
自带隐身
意思就是他的家人和情妇被报复了↑
乞丐活不到老
传奇刺杀王
偷袭（幻听）
可小人物没钱啊
5
脑干损伤会抽搐
《》儿童保护法则？电影内不准出现虐杀儿童的场景
吓死老子了。。。
《真·没啥区别》
打垂直
这不是法语吗
你人还怪好的
所以是真的吗？
那是游戏不杀小孩，影视杀小孩多了去了
？
错了是别人的尿才要洗几遍
紫色代表美国游泳队
??
越多越好
炫工作者
《日常生活》
准确是4倍
4到5倍
《杀手情人》
《鼓掌》
有一种荒诞又真实的感觉
《开心》
电影确实不错
真的太吓人了
完蛋，我一看这个手就知道下一秒
真的离谱，很难想象这么复杂的一个
这三个人不害怕吗
气笑了
哈哈哈，轮到我们笑了
哟西
职业卧槽
5
建议绑一辆坦克
拿了钱就失去了记录者的中立性了
？
有点像普京
这纪录片是在记录他们犯罪的证据啊
代入被害者试试呢
神金
2000多个人，快吱个声呐，好害怕
美国应该有那种黑帮开的私营火葬场接尸体处理业务吧？
杀人啦
这个镜头有点像...
我完全相反，我希望这人早点死掉
艺术
握草
因为乞丐活不到老年
战后欧洲各国建的“标准化楼房”
确实
厨师
好像还是先被干后被杀了
每天一个生活小技巧之如何杀人抛尸
唉，太现实了
不像拍的
不莱梅乐队
上一个对建筑颇有造诣的还是此房是我造主角
10岁？
？我还庆幸以为小孩跑了呢
还不能杀人呢
好nb的小孩
卧槽这是商业电影
这不就是演的吗
小的都淘汰了
卧槽 这段好棒 好真实
消失的夫妻
我不洗（doge）
视角即正义了哈哈哈
摄影师最后挂了吗
笑出来了
杀手不会轻易杀拍摄团队的，每一个连环杀手都渴望舞台
那说明你没被带入视角呗，人称叙事什么好处小学就教过吧
白色代表孝服
真聪明
好
教练:他喵的!我吃柠檬
我最喜欢的cult片，冷门神作
加三倍重量的木头行不行
老乞丐活不到老
hhhhh
"用脑子想也不可能,有神父的地方怎么会有安全的小男孩"
真的不错，人物形象很立体
当天灾降临或世界末日 满大街都是这些人
虽然是演的，但我还是想说警察是飞舞吗
好悬我没一下子撅过去
贝罗特：玩玩你的
wc
这转折搞得我心头一紧……
当所有人都有了武器他肯定是哭的最伤心的而且见不到明早的太阳
他太慢了 幸亏不会造核弹不然人类都要灭绝了
如果可以不承担任何责任满大街都是这种人
活全家辣
鞭户
远抛近埋
火化了不行？
消失的夫妻  哎
这里甚至已经不是帮凶了，已经彻底丧失人性了
4
5
因为穷的饿亖了
这是艺术片，不是抱着爆米花看的全年龄片
这时候就已经明显的体现出“帮凶”的实际了
阿尼亚想要不会发出声音的手枪（doge）
还好原片就是灰色的，不然过不了审
不像演的
我趣圣斗士星矢
红色是先烈的热血
炫工作者
有点罗伯特德尼罗的感觉
大名鼎鼎的V？
别自我安慰了，咱亚洲人就是要小些
三天都没过第一关，你就说这个游戏恐怖不恐怖
那么久没更新是不是打黑悟空去了
有些是天生罪犯、胚胎超雄
你人还怪好嘞
手法也太多了
法官眼中的默尔锁belike:
搞笑片
门上还有一个虫
4-5
这是真的还是演的？如果是演的这未免也太专业了跟真的一样
和他相识的人都被杀了
666666666
?
报复了
终于等来了，开饭
额，我当时倒是希望小孩能跑掉
本质是钱，舍得给认识人花钱
阿弥陀佛 阿弥陀佛 阿弥陀佛
别我们，我担心的是小孩，你担心得是杀手
这是让长笛✗PY里了？
因为叫花子年轻时s完了
“我们”他已经把三人从旁观者看成了自己的一员了
海报是神斗士星矢
天什么47，ky致歉
还挺聪明的，知道用变焦镜头找人
但老外确实那个大
欧洲这有法国和意大利会说话
很欧洲
这是怕德国人再来法国玩一圈
啊？
红色是毁灭，蓝色是冷漠（雾）
知道为什么拍黑白片了，这样就不用去调血浆了
夺命邮差
小孩:大残大残
他妈妈也杯杀了
神奇宝贝
欧洲电影行业限制很小
他情人后门被插长笛，他妈插得是个扫帚。。
我有一次腹部收到很强烈的冲击，就有这种呼吸急促的感觉，想要使劲吸气，很难受
普京你怎么了
剖开不就好了
《夺命邮差》
杀人啦
他妈妈也受牵连被杀了
他给他头开了一枪啊
都是好杀手
红色是毁灭
电影演到1/3的时候我就有点担心杀手的处境建议看原片
天。。。
确实是法语
危
喜欢开玩笑是吧！
被民众报复了?
按键我才反应过来原来是**
5
总结：音响师谁当谁死
拳击教练：阿米诺斯
老乞丐都噶了
这段差点没把我笑死
右划四分之三
梅西
人性本恶
“看我干嘛，吃饭”“哎你还真吃啊”
马丁马丁每个早晨一醒来
脑损伤引起的抽搐
千分之亿吨
这一段真挺牛
↑仇家过来复仇了，把他麻麻杀了
同行：阿米诺斯
太贴心了
sdsdawvhnkjl‘
同学：阿米诺斯
↑你又知道了，当年当年，你去过啊，装什么
up的视角是这个司机卷毛
这就是身法哥的下场
小孩需要加入宽油
圣斗士是不会放过你们的
不是摄影师视角，是他旁边那个卷毛
5
小孩：看我身法
这里瓦莱丽笑容凝固，很不开心的
？啊
纪录片是谁设计的
这里所有人都喝醉了，所以摄影团也加入了轮
朋友是真多
《欢迎回来》
我还是喜欢黄色
初生一家子
又死了个音效师
法国人干什么职业都松弛连逃命都比较松弛
警察：6
这里开始拍摄团就已经开始帮杀人犯了
小寄巧
我信服地鼓起了掌
老人：早知道就藏在地板下面了
安德烈是摄影师，up的视角是杀人犯左边这个人
放心，如果是真实的，受害者会有马赛克的，哪像这样“高清”
四倍
蓝色代表什么呢
这货对身边的人保护欲很强
红色代表什么呢
棕色代表什么呢
白色代表什么呢
黄色代表什么呀
我往多了绑，不行吗
黑色代表什么呢
粉色代表什么呢
绿色代表什么呢
小孩:尽力了，败方MVP
come as you are
吉良吉影
前排提醒：该片为伪纪录片，出演均为导演亲朋好友，情节虚构
满级小孩
3
不要怕这只是伪纪录片
也有可能想模仿去大脑强直吧
派崔克:阿米诺斯
up怎么长得像bin
戏命师
摄影师的视角很有感觉
你好像老无所依里面的那个杀手
黑色幽默
规则最大的受益者就是不守规则的人
像某种游戏
草了
这个杀手有点太不挑了
师傅，你是干什么工作的？
我还看过这个电影
啊？
看起来就是个走在冥河里的疯子
说法语的也算昂撒是吧
职业风险？
教练：6
？
毕竟只有贝利特动了手，摄影小组可以说是没发现后边有人
感觉上边的说的有道理
这种纪录片代入感好强
它妈妈和瓦莱丽一样的死法，不过长笛换成了扫把
弹幕好冷漠
中率比彩票低
[前方高能]
？
肉丁罢了
不是哥们1000加
现在请你简单的演个死人
啥都追求意义本身就没有意义
前面的那你得问导演和制片人
他不该杀那家富人的hh
谁的不能？
学会了
悠麦
哇！up好帅！
可能是他說故事寫詩教殺人技巧，像聊天一樣，不自覺的被我們當成朋友
觀眾不會怕被抓，後面殺手被抓拍攝團隊都沒事，不是這個原因
被寻仇了
这家伙真是天赋型杀手，太冷静了，干点什么不好
2倍是侏儒，小孩老人骨質疏鬆，需要四倍，成人三倍，有沒有認真看啊
好似
这才是真实的枪声啊
《有经验的朋友》
突然想起了提子演的des
所以真的很大？
拍摄团队是穷鬼呀，他不挑穷鬼
法克油
谢谢，学到了，很有用
电影拍挺好
一群出生
演员，演员，什么雇人？没有人顾他
MV
什么年代？不就是进代拍的吗？就是把这个片子改成黑白的，伪装成很久以前拍的
神金
变态这方面还是学生行哈
4倍
很47
信息量有点大
应该是有人雇他杀人吧？
跟普京一样残暴
没错，他就是修空调的
不是，这前面的太变态了吧(狗头)
导演组危
？
圣斗士?
伍佰-《白鸽》
woc零帧起手
隐入烟尘主角死了也是无人在意
沙子多贵啊
啊？
学到了
拳击教练没准跟他情妇有点关系
是法语
我倒是一直皱紧眉头看的，一直希望小孩跑掉
好死！
从这里开始，他们就已经成为帮凶了
1000多人出来吧
第一口观众先吃
紫色代表神秘高贵
夺命邮差
这里好会剪
吹曲
这是伪纪录片吧，为什么不说明一下
谢谢 很实用
hh 只有你
变同伙了
那梅西遭殃了
致命录像噢兄弟们
吓一跳
杀人
瓦隆人
砸下巴会让人昏厥
这里是砸下巴
伪纪录片不要钻牛角尖，导演安排的没事的
水泥无法掩盖腐臭，所以迟早会被发现
炫工作者！
您有新的杀了吗订单，请及时处理～
录音师又献祭一个哈哈哈哈哈
是比利时
梅西狂喜
轻伤不下火线
qin
这种电影真的有什么意义吗
派崔克：我没意见
阿萨辛
就是梅西容易被沉水底咯
法语吧
人还蛮好的
紫色代表罗马（）
大家要记住：重物要大于人重量的2.5倍
看来那些踢足球的连侏儒都比不过，让一个侏儒来当世界球王
学废了
我不行了承受不了看不下去这么病态的东西了
啊呀，骇死我了
紫色代表心情
确实，我每次都处理不好。
按Q标记
发条橙
彩6打垂直呢搁这
贯穿了腹部，所以肠子里带……嗯
看的我心跳加速，真爽啊
炫工作者
这能放?
音效师死俩了
或者白绫上吊
这个打光可以
啊？这居然是性工作？我很好奇谁会点她
啊？我不管洗几次，都忘不掉自己撒过尿
比利时南边是法语区 北边是低地德语区
黑色幽默
消除老龄化
4倍
哈哈哈哈哈哈哈哈，笑死我了那个女眼神
这不是买凶拍人的剧情吗
给我整笑了
哈哈
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
压抑啥，多解压。
梅西省事
哈哈哈哈哈哈哈哈
是法语
法语啊
你以为他在科普，实际上他在教学
不会，如果要杀，从一开始就不会同意拍摄
乞丐活不到老
这是被报复了吧
杀手没供出来吧
？
←因为电影时长不够了
不是这地方治安那么差的吗？
人还怪好的嘞
收音时才是高危岗位啊
圣斗士
没啥区别
处理过尸体的朋友都知道
记住这句玩笑
五星杀手
奖品没有手枪差评
杀过人的朋友们都知道
四倍因为骨头疏松有气体
没一个正常人
学到了
直接装水泥桩子里最省事
经常O人的朋友知道
《慷慨》
哈哈，人在女的左边，右脸都溅上番茄酱了
牧师还侵犯小孩呢，也没见上帝说什么
片子很有意思，很讽刺
虽然演员长得很法国，说得也是法语，但这是比利时拍的片子，比利时人也有讲法语的
小孩子骨質疏鬆
拿手枪大力敲头上了
我勒个神枪手啊
2倍就够了
2倍
普通人
俄语？
修平方，然后没地方修医院商场学校~
同行
这不是在无爱之森呐喊的剧情吗
哈哈哈哈
↑哥们你的想法有些危险
紫色代表基♂
热知识：子弹打入的位置是不会有血喷出的
黑色幽默
哈哈哈哈哈哈哈哈哈天才
弗兰克莫丘里？牙叔，侧脸长的好像
？
哈哈哈哈哈哈哈哈哈
哈哈哈哈
就算不是92年也是因为你电影看得少，沙小孩的电影最近也能找
你确定这个年代有高精的科学搜查吗
这跟zz正确有什么关系？是不是魔怔了
狠人
比利时人讲荷兰语
法语么
这是伪纪录片，不可能真磕
小鸟回到巢里
那肯定啊，他只是个小孩子，成年人看到这种血腥的场面面都忍不住
要是我认识他的话，能不能让他帮忙杀了我的老板？
帮凶
啊？
我也不在乎，多刺激啊
好诗！
我也想有个贝罗特这种老相好
吓死我了
我去
电影?
神金
5
早就已经是帮凶了
?我担心那小孩子能不能逃离，你居然担心杀手?
come as you are
啊？up是不是有潜在的倾向…
梅西狂喜
这还能遗憾？up是带入进去了？
普京
不喊？你像他这样小你什么表现？
有点莫名好笑是怎么回事
开个养猪场吧你。
不管用，最后绳子会松开。真想万无一失得用铁笼子
man
这就无啦？
踢到裆了
四倍
分不清就代表导演目的达成了
哈哈。幽默
很巧，我确实这样做过
妹妹说紫色很有韵味
紫色代表什么呢
印度语（确信）
啊？
那个时候电影法律还不健全
说梅西的 你最好删掉 别想引战
说梅西的 你最好删掉 别想引战
噗
说欧美不能杀小孩的是看少了吧
啊对对对
这个手挺好看的
[前方高能]
音效师死亡率100%了
这里是最黑色幽默的
这就是第一人称的代入感，观众会不自觉的认为“自己”是摄影师
答辩电影
你看过正片吗？没看过就别装
正义之举！
幽默
五星杀手
地狱笑话
比利时也有说法语的
杀手杀杀手，同行杀同行
贝罗特：怎么把up你给忘了，你也该和凶手一块躺地上
猜到了
符合杀手，很真实
byd还挺贴心
？神金，害我笑了一下
wc法语
这么窄的赛道都有同行！
建制式出生
就是手，不用怀疑
总感觉他马上就要死了
这是比利时的片子
骡结晶出没
划脖子了好像是
这不是砸头，是把血甩出来防止流得到处都是
这是只有真尿手上的人才能想出的比喻
不是你真吃啊？
哮喘吧
普京那种级别的特工在柏林工作可比这杀手恐怖多了
您这主演还是带资入组啊这是
杀人啦！！
拽法语了
啊？
教培666
碰到了就真死了
没绷住  有点像地狱笑话了
666
拍摄组也挺出生的，物以类聚啊
对啊那个黑人
这个专场帅啊
意大利语都来了，你直接把整个欧洲猜一遍得了
友善
《吉良吉影》
前面说娃抓Q的，太地狱了
圣斗士星矢woc
啊？
同学-1
吉良吉影
这是伪纪录片，不是真的
speed
涅槃
教练：布什戈门？
阿伟罗跪下
吉良吉影
追追
呢么
？？
贝罗特：下一个就系你
“你会习惯暴力的”
冒犯情妇了吧
他杀人报应都是别人……
什么不能有小孩，只是评分要往上，电影院不能播，那票房死完了，所以这些基本就个人艺术电影。
？
可能如同动物临死，大量肾上激素放出，强烈求生本能导致肌肉颤动。
江湖奸杀令，是吧
不是哥们，这么能杀的吗？
哮喘吧，癫痫是抽搐，一般没有急促呼吸
丸嘞
这沙子像底下埋手
跟着杀手打工吗？
我……裤子都……你给我看这个？
处理是个大问题
张震岳
我也行
我倒觉得像apex
啊?
抓了电影时长就不够了
伪纪录片
?
比利时的片子
《普通人》
“怀揣电影梦”
WWE都比这像
唐完了
怎么有一种莫名的喜感
舒服了
零帧连招
那把袋子戳通不就行了吗
zzcw
整块实体容易被发现，我们应该切碎
油桶罐水泥，省事又省力
应该是没供出来
直接嘎掉就行了
墙上还有圣斗士
前面的，喜欢恐怖电影的不就是为了获得正常生活没有的快感?
长笛捅瓦莱迪屁股里了
不看了，服了，赞也取消了
我看到了看到了，不用提醒我
他人还怪好来
是不是，又死了个摄像师?
前面那个“电影而已”，现在西方所有文艺作品里面有太多必须遵守的“规定”了
