下次没了广智，你还能悟空吗？
意不在残躯这，也不在杨戬那，别瞎说行吗，大圣死的时候意就散了，杨戬保存的是大圣的记忆
斗 战 胜 佛
放弃？
有点意思，那么接下来的广智你该如何呢
有空气墙我怎么跑
当年猴哥救八戒，如今八戒救猴孙
八戒是真兄弟
给我亮血条我就能杀！
木已成舟
如果悟空都投降了，那还有谁能去上
这次修成正果的，是我！
72斩+重斩
金猴奋起千斤棒
广志救我！
在这里 我即是大圣
低粉丝数量，高质量制作
齐天大圣！！！！！！！
呜呜呜呜，二师兄，大师兄已经死了
呜呜呜呜，二师兄，大师兄已经死了
上了这艘船便回不了头
二叔 我已无法回头！
走马灯
来都来了
二叔，我已无法回头了
怎么滴
得   胜
踏上这条路的时候 ，我就已经不能回头了 ！
悟能不会走！我一直是悟空！！！
这一路走来，看过听过太多，已经没有回头的理由了
阎王贴
有黄龙了广智就放假了
我已经无法回头了
但是我一次过
我悟了！吴大师！
我的心里落空空的
为什么我听着好难受啊，好难受
我凭什么回头！
不做无法实现的梦
你说的对，但我是广智
太帅了吧
我不是悟空，也永远成不了大圣，但是我就是天命人，那个继承了名号的天命人，我们独一无二，而大圣……也永远成不了我们
金猴奋起千钧棒，玉宇澄清万里埃
Bgm: Wasted (Murkish remix)
我是齐天大圣
打不过?我听不懂
悟空永远是悟空，天命人永远是天命人
好叔叔，我回不了头了
不会下次，可能八戒挨刀吧。
我不是悟空。
我不是想要他的名头，我只是想证明他是对的
我已经回不了头了
我也截图了！
12秒法力不足无法施展
进了这个门就回不了头啦
我知道为什么莫名的亲切了，这个声音就是吴大师的声优吗？(幻影忍者里边的)
大师我悟了！
二叔！
暂停选老公老婆
看好了，广智之力是这样用的！！！
得 胜
击败！
我逃不过你也逃不过
我历经八十一难，怎可到此放弃
天命人
好剪
到达胜利之前……无法回头！
煎这么帅
我去找悟净叔叔，实在不行我还有白龙叔叔
已击败妖王.八戒
我已至此，何而回头？
金猴奋起棒千钧
到达胜利之前，无法回头
不知道说什么了
这游戏自由度还是太低了，杨戬叫我跪我跪不了，八戒叫我跑我还是跑不了
粉少质高
看好了，广智之力是这样用的！！！
谢谢你，吴大师
莫名的亲切
金猴奋起千钧棒
打不过就回高老庄
纵死无悔，我已走在路上
bgm：wasted
在此他已成为下一个悟空
你出生脐带都是自己剪的吧！！！
你只是天命人 而他真是大圣
哥们你就是悟空转世啊，到四周目你就是孙悟空了
一路走来，何曾惧过，何曾退过
谢谢你，广智
丸辣，通宵游戏打出走马灯啦！
八十难已过，我也不可回头
还有者行孙，行者孙冒出来接过重担！
如果不打过去，又怎能继承大圣的意
金猴奋起千钧棒
tek it
我不知道，但我尽力…
箭已离弦，功亏一篑
求bgm
他是大圣，我也成为不了大圣，我是天命人！
好，我跑了。
我已无救，何必回头！
我已无救，何故回头？
老子初见过！
我已无救，何必回头
怎么，你也想起舞吗
毛流是一种潮流
究竟什么样的结局才能对得上这一路的颠沛流离
什么如来，他敢亮血条吗？
我不能，但我尽量。
到达胜利之前，无法回头
即已到此，又怎可回头
o_00
