口罩尊者
齐天大圣
敢问路在何方，路在脚下
樱井政博对于游戏从业者的说法一样，擅长比喜爱合适
牛啊！
我可喜欢陕北说书那段了
下一部黑神话：张天师来龙虎山取景
开饭
燕云十六声
我们的眼睛是雪亮的，什么是好什么是坏我们能看清，不会一昧的捧，也不会一昧的踩
电影就算了吧
Steam平台08/.21晚间，同时在线人数再创新高，人数达220W!!!
@罗小黑
BKB
我只玩RTS游戏，摸到黑神话后上手很快
国产+15分完全不是问题 应该的
团伙招人
又帅伤害又高
地缚灵
牛逼
懂了，在山西战斗
难怪叫黑神话广智
这几个字，无声胜有声
塑造的不错 我在虎先锋这里受苦
这个采访画面切的很游戏
街道办主任
说的真好，厉害啊
泪目了
赛博朋克2077
哇！这里竟然有完整版！
玩过了 真的很好
电子鸦片不是
太清醒了 真的是这样 其实
非常专业认真的团队
发际线一看就是大佬
你们可以给电影做特效了
文学也是首屈一指的牛
（）（），（）（）（），（）（）（）（）！
yaoguao
哈哈哈哈哈 毫无感情
太对了
官方口径是不算游戏的，这问题就很巧妙
这场采访问答都很有水平
5g最大受益者闪过
keeper of the grove
不变直接一刀走是吧
果然第一个总是最好的（最难忘的
说得太好了，忍不住鼓掌
就应该中文直译，而不是迎合外国文化
土地比山神地位低，是地仙
厉害了
这记者的笑容让人很舒服
的确是这样
实践论，认识过程的由浅及深。
说的太对了
国外做游戏几时考虑过我们了？看不懂？看不懂查资料去！
斗战神
主持人：啥是boss啊，我老板啊？
艺术家
可爱呀
大市场
担心受怕
应该是扫描环境不利于文物保护
不需要理解，有冲击就够了，就像第一次看雷神的锤子一样
骑士
升华了升华了
什么牌子的椅子
笑
还没
担心
黑神话哪吒
影响
黑神话杨戬
央妈我们来了……
好东西
这个记者有水平
技术发展
难
ddl战士
七二般变化
这样的人做事一定会成功的
这下真的是十年前最好的时机种下的树
原著确实每一难都是有特点的，经典就是这么来的，把我内核，填充现代的东西
帅啊，飞翔
不理解要让他们理解理解
明白
凌虚子
土地员
听君一席话胜读十年书
中国的神话故事真的是值得挖掘的，封神不就是明清时候再加工写的，后面出电视剧又进行加工，西方游戏天天北欧希腊神话打底我们也可以干
亢金龙怎么打啊
老头
可以
稳啦！
因为精神阿根廷人太多了
配音
主持人采访风格好舒服
吼
剪辑是刚来实习的
吐舌
好
先锋
辛苦了
辛
好看
古董
虎先锋来了
实力至上
你有个b脸接受采访啊
务实
别问啦 别问啦
很务实的一个人
影响力
山海经这个IP不是被无数捞快钱的公司搞臭了吗？想想那些铺天盖地的恶心广告。
今天闪退报错了一次
美术的神
这群人四年专心做一件事太厉害了
哈哈哈哈
广智救我
困难
挺喜欢里面妖怪的国粹语言的。尤其是虎先锋
我打到虎先锋门口还是遇到了一次崩溃   但是频率真的很低了
故事是最重要的
适应
主持人很漂亮
牛逼
手搓
+++
赚钱
50万？5亿
女生恐怕不会懂真正的大型单机游戏是什么东西
切镜头 切的我头疼
文化输出！！
黑熊
虎先锋受苦中
帅哥
程序猿深感认同，怎么修复了bug就不行了
也是
期待山海经
黑神话：广智救我
新手
可爱
快哭了
随便
kuaikule
这个采访也很专业啊
黑武将传奇：天命三国志
先只做一个好游戏
@马化腾
壮哉我大山西！！！！！！！
老板很谦逊，很有深度啊
排面
卧槽
匠心独运！！
很有思想的
优化不错了
齐天大圣是土地们的好朋友
丸哪
李佳琦？？？
G
外行才有意思
周边哪有卖
以前是好的，这句话，他专业了
老板再做个封神系列
天才
还可以改
说得好，鼓掌
泪目
好会讲
不理解可以自己去研究，研究不了就别玩，问就是我们就是这么过来的
上古卷轴5辐射4巫师3
鹅厂
人间清醒
帅！！！就该这样，这是中国独有的游戏
有这样的意识太好了
桃子和小龙，2333
富甲天下3二十年前就出现了，至今仍是三国第一大富翁游戏，为啥呢
救救孩子管管游戏
算是个石Q
创意外包
危
全靠同行衬托
戏说不是胡说
哇，说得好！
做技术的都能腼腆
弼马温
这是攻，这是防，这是艾尔登之王。
声音也超棒
流浪地球还是可以的
21号了，只能说游科办到了，开茅台~
居委会
音译异化策略
太美了！
游戏公司的归宿是CG电影公司
13年禁令解除了，但是有什么用呢？培养市场的黄金时代已经过去了
怎么老是切来切去
哪有做游戏不跳票的
踏上取经路，比抵达灵山更重要
这比魂好多了
猴子泡温泉
一句话泪目！
深圳玉塘网格员
别云了，卡总发文章是在加入腾讯的时间节点前后，很明显没在说腾讯
离火九运
不停切说明剪掉了大量的认为不流畅或者不需要的内容
ZHENGBANG
@腾讯
水到渠成
镜头切来切去头晕
杨奇看起来还挺文静的，祝管好自己的嘴吧
镜头切的我眼疼
可以
好一个跨越
街道办笑死我吧
这记者连黑风怪都不知道么？
不可以
跟大圣归来一样的
张尕怂吧？
太晚了
对对对，正反馈，我至今不知道自己擅长什么
测试常遇到的。。以前是好的
经济好了什么都能发展
切的我头晕
干的漂亮
卡带游戏机
这画面切的我想吐
下次可以做搜神记吗
这也叫谦虚吗？这很正常啊，不如说他说出这番话反而有点傲慢
高体量高成本高质量
好奇，搞笑，就是来搞破坏的
你猜猜电子海洛因谁说的，游戏机禁令是谁颁发的
真大佬
主持人啥也不懂 就知道嗯 找个专业的不好吗
主持人丑丑
高情商啊
不是哥们，这什么鬼剪辑啊
真帅
现在已经上线了，Steam历史上同时在线人数第二高的游戏
火焰山？？？
〈还可以改〉
褒姒啦
专有名词
大地精灵
他这个眼神有点喜中有悲
原神是中国第一个3A
这点说的棒
说的好
一句话切三个镜头还是没必要吧。。
太赞了
先学会是第一步
鼻头一酸
踏上取经路比抵达灵山更重要！
低配不配玩
牛逼
老祖宗的饭，真好吃
这个keeper这的很妙啊
woc最终幻想
这段太惊艳了
镜头切的太频繁了，眼花
那个摇滚版的往生咒实在是太棒了
广志！！！
6
GTA
我老祖宗入关的时候就已经把我所有的美术素材都做好了（叉腰）
说一句话就切了三个镜头，意义不明
这二个人貌似互相欣赏
monkey brother～
黑神话 李逵
流星蝴蝶剑
很务实
你去把唐僧师徒干掉
哭了T﹏T
别切了已经要晕了
其实中国传统文化这个标签作为手段的话压力也是非常大的，因为这个标签太大了，并不是随随便便就可以拿捏的
他带着欣赏看张扬
老祖综赏饭吃，哈哈哈哈
解构
这话好！真心好哇！
给游卡问麻了
homelander
巫师3
后面再 OTA
Akg
单机YYDS
民族自豪感，文化自豪感，情感认同感
瞧不上
切镜头是因为很多话其实也有停顿吧，之类的
踏上取经路，比抵达灵山更重要
你玩的是游戏，腾讯玩的是你。
偷看的帘子
我的
《小时代》
关我屁事啊哈哈哈，不理解？不理解就对了，学去
幽默
zookeeper
咕噜
一刀秒了
帅啊
？？？？
这女的长得好像鲁豫~~
太会说了
并不是意外
有没有可能是说话卡克了，不剪切掉节奏太慢
这是结果，好东西大家都喜欢
其他游戏市场其实也各不相同
剪的碎也是考虑到访谈类的节目怕大家无聊
说得太好了
哈哈哈
《长城》：我怎么感觉这是在点我
同款手表watch gt4
UE
这个出发点的回答太出彩了，不是商业因素而是内部驱动，很棒
你已经不用担心了
去打卡过
带妹是吧
上线2天了
黑神话：广智
导播在干嘛？
妙
到底是拍记者还是拍游戏公司啊
牛逼 这发言。。。。。。真好
多的人用来请领导吃饭
没事，都死几次就会了！
大胆假设
真大佬
截图警告
大哥！受我一拜，就是你让我的破机子也能运行的吗
牛
说得好啊
冯总牛逼
国内氪金换皮游戏泛滥15不太乐观
@腾子@磊子@xxx
呜呜呜啊啊
？
好！
是的
广智唯一真神
公费了
1
这段帅爆
强者
祖宗：不要用你的审美挑战我的九族
不要搞脸谱化
九族严选
因为电子海螺因哇，
西游是前人提炼数百年的神话精品，不会过时的
现在懂学动画的难了嘛
排面
广智救我
作为一个单机玩家，都憋了十几二十年了
减肥日记么？
哈哈哈哈
这画面切的太频繁了，眼睛晕
守护灵？
+++++3
+
一代人有一代人的西游记
...320+4+
333.
网格员
踏上取经路是不是用规则打败规则
老祖宗东西太多了！！！！
她好像食频道的小花
镜头切这么频繁干嘛
乐子电影
牛逼！
都是什么电影就能上榜啊
说得很对呀，悟空可是我童年记忆，情怀加成分很大的
统战价值高
什么时候制作历史类战略游戏
相互治愈了
不用研发引擎了，所以低层技术还是在人家手里
我丝之歌呢
因为网游来钱更快
“路在脚下”
赶上UE5
牢洛（不是
改编不是乱编
正在解压
白话：小时候很中二 只喜欢孙悟空 长大了就开始关注剧情背景故事
好棒的采访
我就是好奇故事情节把它当西游记大电影来看的
做游戏的程序员大佬肯定都很腼腆
山海经说不定可以做开放世界游戏
街道办
能不能做灞波儿奔奔波儿灞
冯骥出门被无数的空气墙挡住了去路
排面！
希望冯骥可可以遇到自己的弓箭手和大蝙蝠[打call]
看前须知：不是所有黑神话的用户都了解动作游戏，记者要站在更多第一次接触人的角度问问题
看前须知：不是所有黑神话的用户都了解动作游戏，记者要站在更多第一次接触人的角度问问题
惊人。。。用词还真是每一秒都在夸自己
求求官媒放过游戏，不要来凑热闹
听说和现实场景有重和，希望别暴露我国地理水文资料
3.201
强过GTA提名
？
这里不如换个有点基础的  类魂上手难度肯定高 看的好尬
人民万岁
八人八贺
排面
支持！
爆了
我靠，官方也来捧场啦！
牛逼
褒姒
前奏是什么的bgm，好耳熟
如果背葫芦的老头是沉香就绝了
这封面哪个外行做的
akak
出手办！_！！！！！！！！
