之前，西方游戏有问中国人了解西方文化吗
支持！
没黑硬黑
66
三连了
这不跟上学时自己不学，说成绩差不是自己问题一样嘛
听我说谢谢你！
《简单》
东游记主角更厉害
玩西方游戏的有几个人了解西方文化？
细致！
那你去学啊
玩不起就别玩，惯的你
去了解不就行了？
猿神 启动！
本来就是回馈中国玩家的
啊？
玩战神的时候好多国人老哥啃北欧神话，只为了解下个boss的技能，怎么到你这里就不行了
那就爬爬爬，就和美食一样，外国人吃不来中国菜，所以我们没有几个米其林餐厅
我们没看过奥德赛，北欧神话该好评不还是好评，自己不了解怪谁
穷横？没文化有理？那别的国家历史我们还不了解了 是不是也能都打差评啊？
你干的好啊
这币我就不留了
英雄降临
英语课外阅读又有新文章了。
我们很多人只会取笑别国的玩家，
呜呜呜，英语课外阅读又有新文章了。
傲慢
猜一下感觉黑猴会被央视表扬
会不会。。。西游记出书那时他们刚好在黑暗时代
你又开始蹭上了
简单
三联了
不了解怪黑神话？
很多小学生初中生都没看过西游记，只知道王者的孙悟空
云泥之别，两者复杂程度内涵深度没有可比性
我很了解西方文化吗？
很喜欢一句话 外国神话除了伦理关系之外其他都不太复杂
浮生无量天尊
up主牛逼
巧了，老子玩战神的时候也一样
厉害
东游记，取东经（滑稽）
因为Steam会根据当地GDP和人均工资进行价格调整吧美国应该是卖美元的吧
巨婴
让他们看剧/动画片 比书更易懂
那咋了
德国人是这样的，一直善于学习
八分算得上很不错的游戏了吧
惯的它臭毛病
干的漂亮
启动启动！
先生大义
谁让他们自己不了解的？
我们中国人自己的老外
战神等游戏，对不了解西方神话的玩家很不友好，你们怎么不给它差评
你想要理解这个游戏，你就得去看原著，自己理解不了就搁那儿吐槽
你想要理解这个游戏，你就得去看原著。
他们没文化还挺自豪
那咋了
我玩你们游戏也是，你们习惯就好
我发现这群人是真双标，他们拿希腊神话北欧神话做游戏的时候，不考虑外国玩家，现在自己不了解了，就抨击游戏
你自己不会看来玩什么。。
他们不懂中文不可能真正读懂西游记
活该呀！
自己去学，自己去看，惯些毛病
没必要这样做他们爱玩不玩
别外国人了，很多国人都不知道
还是中国游戏输出少了
不了解就别玩
不是下面黄字什么意思啊↓
不了解就学，不认字？
《简单写了几段》
那咋了，你们做西欧文化游戏想过没？
那咋了
西方国家的神话除了伦理关系，都很简单
卧槽还真是
不了解去学啊！
所以呢，我国十几亿人
三眼战神
有点浪漫是怎么回事
没文化还有理了
赞一个
卧槽
你去了解啊
中国人都不一定了解别说外国人了，玩儿就是了
那就了解了再来 你那些刺客信条我也不了解
就是羡慕嫉妒恨得不到就想毁
这不一样啊，中国神话体系的复杂程度堪比希腊神话的伦理关系
防火墙：你好
考研肯定不考，兄弟们
自己学啊，没文化怪游戏
三眼战神
他们不懂 关我屁事
那是你们没文化，不是黑神话的缺点，别太傲慢了 外国人
小孩儿都看得懂
北欧和希腊神话，只有杀杀与papa。
北欧神话确实比较原始
牛逼的
我说过要给你玩吗？
支持
北欧神话除了伦理关系难分其他都好说
支持，加油
那关我屁事
泪目
没关系  中国人超多
不至于，国外那么多游戏我们也不了解背景，还不是一样边研究边玩。
管你外媒怎么说，这一次，黑神话悟空是中国人的游戏，西游记是独属于中国人的浪漫
关我屁事
活菩萨啊！
我啪的呀，就是一个三连
咱出这个魂类游戏就是让这群白皮猴子了解的
它们的游戏我们大部分人也不了解
所以你就该去了解啊，文化输出不就是这样输出的吗
我没啥本事，投两币赞助下up
二郎嘎的
那为什么中国人玩外国游戏就能玩的进呢？滑稽的中国文化深
不想看剧情可以不看
战神无敌
北欧神话复杂性比得上中国神话？
再加上这个本来就是给中国玩家玩的
别说外国人了，国人很多都不懂
那咋了，我也不懂西方神话啊
战神不也是希腊文化吗
你币有了
细节设定还是要多多补充
能打不就行了，我不了解北欧神战神不也玩的挺6
三眼战神
那关我们锤子事
搞笑
说的对啊
你为什么不去了解
monkey brother
中国玩家不了解西方神话，就不玩国外3A了？
说实话我也不太了解
不会学吗
客观不了一点，还客观
要这么说 所有的欧美游戏我都得给差评
是嘛，那我可要去给战神，刺客信条，巫师3，打差评咯，这些西方文化我一个都不了解
做得好啊
AKA唐三藏
那是你们自己没文化的问题，不是游戏的
他们看不懂也正常，毕竟他们的神话除了伦理都挺简单的
暴击，哈哈哈
国外买得起的人不少
台湾1450各种黑大陆游戏
懂行，国际友人
在有些人眼中   你怎么翻译都是错的
怪游戏吗？
筋斗云，十万八千里预定
猿神，启动
西游记真是中国文化超级IP，贺岁电影不少神话也是他创造的
开始听懂了
又没人逼你玩
哈哈哈
666
猴子威力无边
支持！
实干家
那中国玩家又对西方文化了解多少呢？这不是一个正经的差评理由啊
西游的故事是很有深意的
说明战神在文化的运用上很肤浅
人人都爱西游记
西游记又不是没有英语配音，86版51集自己去看不就完了？
欲加之罪何患无辞
好好好
问题是我们上不了外网啊
在国外宣发以及税收什么的不都要花钱吗
战神我一路爽砍剧情完全没看懂hhh
两个币加油加油！！！
对于歪果仁来说，中文还是太难了
那就去学。
小白龙：终于有人想起我了，泪目
吴承恩:我牛逼吧？
外国游戏不都这样吗？大镖客让你了解美国西部文化，战神让你了解欧洲神话
感觉是天庭出了大事
请收下我的膝盖
这是异变啊灵梦！
《还》
干得漂亮
科普
外国人对游戏还是比较尊重啊
难道他们不知道入乡随俗吗？
这就叫专业
战神我还不了解希腊文化呢，怎么没同样都差评？双标有一手
乐子，不想玩儿就滚蛋，也没要求你玩儿和看《西游记》。
不了解就自己看，国内玩家玩外国游戏的时候也没这么逼逼赖赖
幽默
《几段》
那是他们的问题
那战神呢，我还说不了解北欧神话呢，怎么没见给他扣分
三眼战神！！
你币有了
黑神话悟空只是取材于西游记，跟西游记有什么关系？
我想了想，既然花钱了，我管你打什么评论
牛皮
这是《西游记》完结之后的故事
让他们自己去了解呗
菜就多练，不懂就去学习
过于幽默
白龙马：终于有人记得我了
不仅不生气甚至还有些好笑
咋了？不懂不会自己去学吗？
外国游戏谁了解医院
傲慢
笑死我了，你们的游戏文化又体现在哪里呢？中国玩家对这种他不了解的文化打差评了吗？这就是双标
玩不起就别玩，人不行还怪路不平
这是你们的问题
确实
《篇幅有限》
但我相对于西游记还是喜欢北欧和希腊神话
没文化还有理了
你才是真正的英雄
居然有人不知道北欧神话
谁问你了，不了解就去看原著
西方神话除了伦理乱，其他都挺简单
不懂是你们自己的问题
融入个der 打神话游戏不就是为了人挡杀人神挡杀神吗？
天庭天兵用celestial这个词会不会好点，heavenly总有点带褒义的意思
看见了sandy
16世纪的一本书
那就去了解
好样的，把中华文化宣扬向世界
外国人不了解就滚去了解。
好游戏不就是这样的嘛，耐人寻味
爱玩玩，不玩滚
那我不了解你们欧洲神话，战神是不是也该被差评啊
描述的很准确
谢谢你！
up的脸很符合我的审美，我要抄你！
牛逼！
大才
这下听懂了
功德无量
那战神啥的我也不了解啊，我没给你们差评吧，被惯的慌
真正的嫚
支持！
你的好友:吴承恩   正在玩: 黑神话·悟空
点头yes摇头no看见丰饶gogogo
那你去了解呀，我们也不了解北欧神话、中世纪，换你们了解一下不行吗
毕竟在中国你就算没看过西游记也多少了解里面的内容
加油
不了解就去了解
咱们玩战神不也一样
启动
先生大义
那你们的文化呢，你们的文化除了教培关系还有什么复杂吗
你做的好哇！
英语和语文的阅读和作文可能会涉及到
这和游戏好坏有啥关系
游科的这个深扒背景很细致深厚，大部分国人可能也只看个热闹
不了解就别玩，没人求着你玩
现在黑神话 跟 热辣滚烫有什么区别
盖庙！
你做的好啊！
马可波罗：在想我的事？
本来就不是给他们玩的
直接让他们看西游记的电视剧
那是玩家的缺点吧
强大了，路人才会来更多的了解你
up棒
央视网都直接直播英文老版西游记
干得漂亮
that is your problem
销冠！
因为简单
终于轮到你们了
有长城，交流不便
战神的剧情不了解也不影响，西游记复杂些剧情影响大些
先生大义
我的评价是：爱玩玩不玩丨喵
说的倒也没错
你币有了
咋的，啥都要迎合你们“西方大佬”呗
对于中国人来说，这不比老头环爽多了
可以加上图片
这是他们的缺点
然而中国玩家却很友好，安利技能拉满
可以先了解的
真想玩，自己啃书去
自有大儒为我辩经
你们的游戏我们也不理解，不都是现查资料吗
那你不学等我们喂你嘴里吗？
那咋了
自己去了解
那就去了解
牛逼！
对于外国人来说挺复杂的 就和你要去学习外国文化一样
不了解为什么不能玩。。不应该更有新鲜感吗
黑魂呢？法环呢？不了解不能玩?典
这个黑点也太....
国外贵不是好事吗，该是他们享受我们以前待遇的时候了
战神这种东西背后的文化故事没那么难
自家孩子出息好开心
管他什么文化的，好玩我就玩
做的好呀！
那是他们没文化，不学习，能咋办
感谢你的科普，这也是文化输出，弘扬了我国文化
太牛了
北欧神话全抄东方的，它们还有脸说
猿神 启动
AKA唐三藏
我直接三连 大力支持
这种知识普及特别好
你是真正的英雄
好厉害 我中文都写不出来
那你就了解去啊
确实
《一时兴起》《简单几段》
支持
up好漂亮啊
不用你来操心人家发达国家的价格
宣传中国文化的时候到了
所以他们有因为这个给战神扣分吗？
世变
不理解我只要战斗爽就行了
牛啊
我不了解希腊神话影响我玩战神吗？也没看因为这个给战神扣分
天地异变？
爱了解不了解，我们国产3a大作我们自己玩
22年安徽中考考的就是这个哈哈哈
懂了这就去给战神刷差评
把西游记捡起来  我叫你把西游记捡起来
白龙马：终于有人把我算进去啦！！！泪目啊！！！
厉害啊
看不懂就别玩
复杂吗
可是·有点太简单了。。
你是真正的英雄！！！
咋的，我们了解国外的做了这么多攻略他们的不也复杂得跟棉球打结似的，让他们来了解读个西游记怎么他们了
国外不贵啊，换算完钱加上税啥的差不多
倒逼老外学习中国文化！
自己去学
国外一点都不贵，前面的你根本不懂这游戏，抛去剧情，卖1000都值
功德无量
自己去了解一下不行吗？tiktok刷多了是吧
那就去了解呀？
当年玩战神有多少懂希腊神话和北欧神话
自己去学，凭什么我们要学你们的东西你们就不用
我觉得你们什么但丁上帝的 对我也不友好
怪太少，boss多
沙僧翻译成Sandy嘛...
我们玩他们游戏的时候可没这些臭毛病
还是傲慢
别说外国人很多中国人都弄不明白
外国来说就是全员谜语人，因为很多人说话带文言文的
笑死了
先生大义
第五天王魔理沙
外国人能看懂什么？这他妈完全是不同的文化领域
那看西游记呗
四大名著英文版要加把油了
我草，免费帮游戏出传
你做的好呀，三连拿着
你不了解你的事儿，关我屁事
赛博世界的文化交融了属于是
游戏还不允许差评呢？
灵山不就在大唐吗？你看看狮驼岭是什么鬼地方想不想墨西哥
欧美超喜欢龙珠的，你得告诉他们，龙珠孙悟空创作灵感也来源于此
你不了解和我有什么关系
这并不客观，北欧神话希腊神话体系也不简单，但我们也是自己生啃，为什么白皮们就不行了？
干的好！
没什么好喷的 自己去了解不就行了吗 以为谁都会迎合你们吗
玩个游戏 猴批们闹麻了
先生大义!
神金 那是玩家问题
想问想问这是什么论坛？
薪火相传
这不是西游后的故事吗
不了解啃书去啊查资料去啊
那是你自己的原因，自己不了解就去了解
牛逼，我自己都没看完第一卷
一看就是蛙蛙给的
你不了解你就去学啊
只因为是中国出的，让西方很难受
求问这是什么论坛？
aka
aka.tangsanzang
换句话讲，玩懂了黑神话，你对中国文化会有一个比较深刻的认知
不了解就滚
希腊神话本身就比较简单再加上文化输出多简单易懂 北欧就复杂些了
不了解别玩
那去看啊
巧了，我也第一个想到北欧神话和相关游戏作品
那咋了，你做战神问过我们了？
第一步慢慢来，理解
历史的厚重
自学能力不足吧，当年不管是看动画还是玩游戏，我都会主动去了解各种背景知识啊！
客观？那我们给北欧神话作品打分的时候也不太客观啊？
top sales
战神我寻思也没人这么说啊
滚去了解！
那就去改变自己，自己能不能去读去看《西游记》
西海岸游记
送他一本西游记
那你了解了解呗，了解了就会后悔没生在中国
看不懂就去学，不学不懂还要叫，叫你暮
先生大义
而我的朋友 你是真正的英雄
我敢打赌现在很多电视剧导演看到商机又想翻拍了
那我也没被北欧文化劝退英灵殿和战神呢
我去，真有感慨啊
《友善》
这不是游戏的问题
《没太多准备》
这没办法，就连西游记本身都有很多难以理解的本土话语
多没文化的人确实不友好
本来就是优先做给中国人玩的啊
我们又没求着你们去玩
而你，我的朋友，才是真正的英雄
蛮夷是这样的，逼迫他人自适应，自己需要喂饭
《西游记》这玩意儿不是能在评论区三言两语就能解释清楚的。
好解决 自己去看一遍西游记再玩
关我吊事
我看悟空传的
那些费物洋人是这样
你好李华
中国人都不能完全了解
币给你，干的好
啥玩意儿都要迎合这刻板印象去刻画是吧？不了解还不去读书啊？
理解不了的人请自行理解 我们生来就理解外国文化？？
智齿！！
那他们可以不玩呀
自己没文化怪游戏
那你想玩，去了解呀！
不了解，那别玩啊！
那就去学啊
功德无量
他们那个什么文化嘛！砍就对了。
这是你的问题，不是我的
那你们去了解啊
而你我的朋友，你就是英雄！
这玩意不就是给中国人做的吗
刺客信条：？
北欧神话一点难度都没有，看一遍就记住了，而且没啥内涵
确实
二郎神就是杨戬
点赞
白龙马：up好人
有啥却步的，就打呗
刚好可以了解下，哈哈
而你，我的朋友，你才是真正的英雄
我玩国外的名字都记不住太拗口了
这下看懂了
满分作文
毕竟他们的神话全是伦理天系
我們自己何嘗不是望洋生歎
背诵全文，要考
我们都能了解外国文化，凭什么你们不能了解中国文化（爱玩玩儿，不玩儿滚）
我感觉一般般，打击感太轻了
文化输出！
你这波国际视野好的很啊
国外除了伦理关系乱，其他的都简单
不了解不会去了解吗？本身就是中国神话改编
我寻思宫崎老贼的碎片化叙事一般人也看不懂啊
国外赚外币花外币，怎么就贵了
杨戬——三眼战神
我去
支持
我草up这么帅？
此时一股强劲的音乐响起
猿神，启动！
哈哈哈
功德无量
阿婆厉害
你做的好哇
我们对于不了解文化的游戏，也不给差评啊
中国玩家说战神看不懂会被中国玩家骂死，外国玩家说看不懂黑神话中国玩家可以理解，双标
反响呢？
？？
我不懂北欧神话也不一样玩
不懂你就去了解啊，我们自己也有很多东西是不了解的，但影响我们玩了吗？
先生大义，普济天下
三连奉上
游戏内容没问题，自己不了解滚去学
我记得好像任何处都没有提示。二郎神是三眼
那就去学啊！
那咋了
自己没文化就打差评，哼
我们都是玩家
太棒了，三连少不了
没忘了我家小白！wuuuu
就是嘛，当那年我翻着英文字典玩文明的日子，一样你能获得快乐
你不了解是我的问题吗？
你不了解还怪我了
牛逼
我的评价爱玩不玩，当时我玩外国游戏也一样
不了解就去了解，不想了解就叉出去，别玩
兄弟你就是我们的大圣
呵呵，纯纯无语
不了解那就去了解！臭毛病！
这个好
好人
多看看书就行了，没文化就补文化
那就去了解呀。
牛
这时候tm不吹gpt了，你们不懂去gpt查啊，怪游戏干什么
牛了牛了
以后外国游戏我们也能差评。也可以说对不了解外国文化的我们很不友好
问:外媒能有多了解西游记?
不了解就别玩
不玩不就行了
忍着
那就对了
666
很正常里面的逻辑和文化，就是中国人反复阅读才能领悟
这个格局一下子打开了
二郎神是杨戬或是李冰还没有定论
马王爷表示不服
干得好
以前玩外国游戏也不晓得多少背景呀 还没有汉化 怎么外国人就受不了了？
nb
白皮的傲慢
果然傲慢
那是玩家的缺点，不是游戏的缺点
反观弹幕
还有白龙马小白龙别忘了啊
念词？ 目不转睛？
“差评”
你不识字非我之过
不懂就学，玩不起就别玩
支持！！！！！
党课
先生大义啊
我也看不懂战神什么JB东西
自有大儒为我辩经
你做的好啊
硬币支持！
输出，狠狠输出！
支持！！！！
我玩战神就是这种感觉，纯粹跑图打怪
这么懒，自己去了解呗
其实吧，能把西游记原著全读完的国人都是少数……大部分都是看电视剧知道的，火眼金睛这东西你不看原著你是真不知道这到底是什么东西
二郎神的英文名居然是三眼战神！
这才是文化输出，而不是固步自封
up好帅啊
第九艺术
牛逼
你玩战神的时候了解他们的文化？
启动音乐
反思 必须反思
《丰饶》
不了解可以去学啊
谁在乎你了解不了解，菜就多练，不会就多学
客观他大爷，玩战神还需要了解希腊神话吗？
不了解就学，不想学别玩，自己不会用手吃饭啊
爱玩玩，不玩滚
完了有时候在想，这文言文翻译成英文工作量不小啊
不会去学呀，乐
没文化就只会骂
怎得，整个游戏还得给他们明白，你玩外国游戏不也得了解人家背景故事吗
因为西方神话除了爱桌爱，真的没什么复杂的关系，只要你记得住人名就没压力
事实上历史上本来也是先有的东学西用，才有了后面的西学东用
有没有写到舅舅和外甥的关系
我们也很难
"还能骑云 ╮(￣▽￣"""")╭"
三连了
自己没文化还不承认
所以我就不玩战神
确实不太友好，这是客观事实，不是人家抹黑。
战神系列我也没玩 因为不太了解
支持！
这下听懂了
大型boss视角锁定问题
我们得学英语看字幕，你们也去学学真的是，这都不会是没脑子啊
不会就学
老版大闹天宫，那时候孙悟空还没进炼丹炉，没有火眼金睛。和杨戬打其实实力是弱了一筹，因为杨戬的第三只眼完克孙悟空的七十二变，而且杨戬和孙悟空会的道法极其相似。后来老君扔了个金刚圈，把孙悟空砸晕才被拿下。
不是这bgm
不懂就去学，我们玩英文类游戏的时候说了啥？
我没文化我骄傲
支持你
我们要学英语 他们看下西游记怎么了
老子20年前玩暗黑的时候，对西方文化了解个鸟
古人云：不耻下问
学啊
嗯呢，这样的人大概率对中国不友好，我何必贴你冷屁股，我们大圣最帅
猴子王
赛博【取经人】
圣经和神话也很复杂啊
那就去学啊
北欧神话除了性关系都不复杂（doge）
不了解忍者文化但还有人玩只狼
我觉得这评价没毛病
支持！加油加油
bgm好评
干得漂亮
可以的
有的中国人都不清楚
真喜欢的他们就会去研究去学习，这样就能更好的宣传中国文化
你又在反思了？
智齿
up伟大
爱玩不玩
北欧神话也很复杂，所以战神在我这只有8分
好
建议游戏内置西游记名著
那也不能成为差评的理由
格局
双标早就深入骨髓了
格局
wwds
NO，因为他们不想传播中国文化！
外国才几年文化历史
但人家赚的是美刀
猿神！!启动！！！1
所以IGN 10分 够双标
加油！
猿神，启动！
加油up支持！
猿神启动！
双标
牛逼
自己没文化就别BB
国外游戏什么时候对我们有好过了
不是废话？
二郎神跟杨戬都不是一个神话体系，很多人误以为他俩是一个人罢了
这是反向带货
这句话真是太浪漫了
up好棒
辛苦辛苦
你麻辣隔壁
预言家
其实绝大多数的外国人并不像一些媒体说的那么不友善
他们不懂才是正常呀 我们的文化底蕴 他们不可能随便能懂
厉害
不懂就去学
网上没得搜一样的，都想玩了，就这个态度
确实啊，那就去好好了解一下吧
鸣潮：兄弟看来你也也没好到哪去啊
不了解就不会去研究了吗，
不了解就去学啊 妨碍你通关了？ 你白皮天生就懂北欧神话是吧
这种评价跟狗叫有什么区别？
"你做得好啊,你做得好啊!"
"千里之行始于足下,能玩游戏就是第一步,文化慢慢来"
加油！
尼伯龙根之歌本身就跟一部RPG似的
做的好
吓得我赶紧去给战神补了个差评
23333333333
三眼战争之神
好贴心
缺点？优点！
不了解自己学呗
不懂希腊北欧神话给战神差评能被喷死
国外收入高卖贵点儿正常啊
我们不联网
建议直接去看86版西游记
那就去了解！！！
666666
这是游戏的问题？
启动
不了解就去学啊
所以就赶紧去了解啊
你过关
那可太好了，你可以选择先看完西游记在玩，或者通关了在去补西游记，不用谢
这话我觉得在理 剧情云里雾里 没看过西游记真看不明白
我这个本地人也不了解啊
你币有了
都有钱不代表可以随便花啊，难道所有有钱人都该把好的东西全买完吗
这咋了，老头环剧情我现在都没理解
吉吉国王
北欧神话我也不懂，不妨碍我看奎爷吧
二郎噶的~
慢慢了解吧哈哈哈
monkey brother
这游戏的缺点，空气墙和某些场景没设置好，很别扭，其它还是很好，我喜欢这游戏
支持！
难道你们了解西方文化？也不耽误你们玩西方游戏看西方电影，而且以此为荣高人一等！所以西方人不了解中国文化就成了问题了？中国人去西方要说英语，西方人来中国中国人还得说英语？
那是他们的缺点，不是游戏的缺点
要么自行了解 要么闭嘴 没人有义务喂你饭吃
北欧还好，希腊神话圈是真的乱啊
论坛功德佛
二郎神直接写Erlang Shen 附上音标啊，然后附加注释就行了
原神——启动
我不理解北欧神话玩战神4一样玩得津津有味
so
主要还是关卡和任务触发门槛有点高，有些剧情太难触发了
遥遥领先
你要知道外国人的收入很高，人家专门买游戏玩的
那就去看啊，看电视剧也行啊，Netflix有英语字幕吧
为什么一定要理解背景故事啊？理解游戏剧情不就行了吗
退一万步说 不懂就可能想懂 引起好奇与兴趣很重要 然后就可以搭一个桥梁 引度其精神文明
那管我皮事
那是他们的事情
不是谁家玩游戏必须得了解文化
西游记有靠谱的英文版吗
西游记买一套
Shut up and take my money
不了解可以去了解呀
你们做游戏你们也没管我们呀
确实 咱要这么想 文明的文化底蕴深度厚度是不同的 咱理解他们很容易因为简单 而让他们理解咱们的是很难的
很感谢《黑神话》的主创团队
赚美元花美元啊......
额.........学去啊，笑死我算了
bgm要猿神启动
而你，我的朋友…….
不列颠岛的那些烂事还不是我们自己跑去挖出来的
为什么孙悟空会翻译成 monkey king？
主播有爱了  支持 赞
真国人专属的浪漫，几个章回结束的CG老外绝壁不懂
吴承恩：黑神话悟空！启动！
游戏主要取自《悟空传》
那特么就去了解啊
"我寻思,以前外国做游戏也没考虑咱们懂不懂呀"
你币有了
三连了
棒棒哒
倒也没错
管外面怎么看，自己喜欢就好
猿神，启动！！
支持！！！
西方的游戏不也是他们自己才熟悉的神话传说，我们不也一点点地去了解，怎么自己遭遇这个情况就不耐烦了，不爱就别来，黑神话的剧情精彩程度在我心中可是不亚于西游原本的
孙悟空这个我笑死
猿神，启动！
因为他们不会中文
右眼皮跳
是这样的
支持up！
不知道就去看被
不了解关我们屁事？自己是没脑子吗？不可以去学吗？
把西游记译成英文发在论坛上
