好莱坞这些年的电影确实不怎么样
我了解的西方神话历史还少吗
是我了
堂版
中文我都读不了，老外咋读
？
嗯？
读着真的了
西游记社区：我要火啦！
《黑神话：文化入侵》
真羡慕这些没看过西游记原著的外国人doge
光是任开始的时候四大天王是哪四个，和巨灵神是哪个就够他们踩了
我好像突然明白了我研究漫威就避免不了北欧神话的情况在外国人眼中的样子
美国认证精选
西游记最精髓的反抗精神是老美最怕滴
难绷
这还是算了吧挺冒犯的
？？？？？？？
哈哈哈，这也可以
笑归笑，但感觉意义重大啊
我从来没有学过国外游戏的背景
幼儿版
啊？
黑神话：八戒
如果我是说如果，红楼梦也出了游戏（虽然不知道是哪种类型的）国外人真的看得懂吗doge
文言文吗？
老玩家？？
美猴王
啊？？？
要谢谢86版西游记了
这是文化瑰宝，老贼容易被吊打
《教你吐到歪》
育碧：诶！？我们刺客信条也是这样的
啊
啊？邪门。。。还不如二师兄和大圣呢
不了解故事的话体验又少一半哈哈
总算轮到他们为这个烦恼了
BGM好评
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
刚开服他估计兴奋惨了，这个我看过这个我看过
牢虎三拳打碎我大圣梦
60岁扶墙乱斗
这就叫文化输出呐！
这样聊怕是要扯完洪荒世界观
wk，高中英语老师经常放这个
煌煌威灵，遵吾敕令，斩无赦
该出奇兵了
天罡36变，地煞七十二变都能讲好久。
我曹，搁这高考倒计时呢，哈哈哈哈
啊？
印度玩家
《我们》
蹭流量
？？？？卧槽 听到了奇怪的音乐
感觉突然被恶心到了
不知道为什么有点感动
tiktok：有人在点我？
对呀，给了你们四年，玛德高考前一天买复习资料撒？？？
读论文的我
不知道，但是如果有中文版猴哥技能列表我绝对回去看
？这个我也想看
啊
就像当年我们玩魔兽世界，去补充中土小说之类设定的时候、
不管怎么样，至少这波做到了了传播
哈哈哈哈哈哈
太牛了
666
腐女表示这个根本磕不动也不磕 西游记很正的怎么往那方面想
文化是一种吸引，慢慢来，不着急
老玩家了
国内很好多人了解西游记还是取决于86版西游记
啊？
人不能，至少不应该……
写论文呐
装模作样
？
坐等蜘蛛妇人3d
最好看原著，不过原著太吓人了
水浒传至少可以做108款游戏
啊啊啊啊啊？？？？？。。。
啊？
吴承恩要是还活着 这版权费收到手软啊
啊？
不行邪门
？？？
哈哈哈哈哈哈
炒cp真是害人不浅
？
啊？
啊？
初中生看这个就对了
可以读下百回本
注:此处bgm是原神去年海岛bgm
这个英文版西游记我初中看过
我突然释怀的笑
<- 肯定有老哥买了西行漫记
加纳～
这个我们英语老师给我们放过
不是我想生多少，而是我能养多少
网上不有学习版吗 直接学习啊120g高清蓝光
愿此行....
四大名著的深度太深了，感觉会困难
泪目
啊？
？？？
八戒和悟空才是真爱啊
快了
“叮”（斗战神模式）
说不定过几年漫威就把悟空版权买了。。
a /?
三年前？
这个英文版我们老师带我们看过
ai识曲
原作是真的香
下把做山海经
？
这次游戏的成功，让中国文化的传播，上了一个高度
牛逼
哪有加沙？
说这句话的一定是中国人，因为都看过西游记（乐）
我也选择剧情模式
小头控制大头环节
抱歉咱四大名著好像我们自己也没读完整
？
哈哈哈
嚯
不是有个给小朋友看的英语西游记动画片嘛？B站就有
甚至是原版标题………
真实
啊？
来人！把86版的西游记配字幕！
这种语法是AI吧
下一部封神演义
黑神话只有电音寺
？
6
感觉我这个本国人都看不下去
huh
厲害啊
不是，我都不知道有这么多
逆天
不如看电视剧
我草，原
不是我说，就里面一种酒的名字他们翻过去都理解不了，中文底蕴太深厚了
还真有可能
真希望我60岁了还有动力玩游戏（当然前提是我能活到60岁）
法环在西游记面前，那就是个小学作文
注拼音版的
做出名了，真正意义上的文化输出
老哥 真实了
感动了
是的，也是对游戏制作人的考验
梦幻西游也是西游
西游记真西游去了
专业团队了属于是
？
逆天
666
这可是来源于四大名著
等下？？别吧兄弟，我的童年
还可以聊蟠桃会，定住了仙女们，真的就只是偷吃了几个桃子?
意大利翻译是西部之旅啊哈哈哈
《吗喽王》
猿王
可以直接看电视剧
还压中题了
逆天
啊
大厂没什么好反思的，他们为了钱。而做这个，不一定有钱拿。仅此而已。
骑师咩祖
他们知道这是几百年前的书 会吓尿吗？
看86版就行
呃……希望我不要在某网站上看到猴子的题材
喜欢游戏买周边是很正常的行为，应该说是个玩家都有过
考据党狂喜
论文
我都没完整的看完过一次原著
「黑旋风 李逵」
加纳~
加纳~
逆天cp
猴王
哈哈哈哈哈哈哈哈哈哈哈哈哈
啊？
还有钱
放心，游戏科学的人都肉身在国内，他们手伸不到那么长
AI总结的
变形只是七十二变中的一个。。。飞天，遁地，御水，控火都是的
别骂了
对不起，是我了
这个真的有，我还看过一本，因为是天生石猴，所以有可能是母猴
？？？？哈哈哈哈
这个确实，好多剧情其实没讲清楚，不了解西游记的会看的云里雾里
啊？
你就算对西游记有所了解 游戏里 也不是这么回事
WC
是的，当年在图书馆看到这译名的时候实在没绷住，感觉找到一本马戏团的小说
死亡笔记
比如电动三轮车
Hollywood or HollyShit
韩国人怎么还没上场说西游记是他们的（狗头
狮子王
吴承恩：游戏王
哈哈哈哈哈哈
有没有英文版西游记电视剧可以推荐他们看看
哈哈哈哈哈挺好 文化输出
西游记B站有英文版，如果可以的话有条件的话大家可以分享到外网
可是这是黑神话不是西游记，看懂西游记没有用啊
其实我们也不清楚七十二变到底是七十二个什么
真正的第九艺术
笑疯了这bgm
水浒已经够黑了hhhhh
弓手冬郎赶紧出英文版，泼天的富贵
爽！就该是顶流！！！！
《NSFW》
美国的 《国家安全》已经成梗了是吗
水浒和三国也无敌啊
孔子学院好好学学
该出奇兵了
感谢初中名著必读让我读完了完整西游记
当时战神可是学了好多
我是看了结局来的，不是自嗨，是真的嗨，嗨爆
太有了
BGM是景元PV音乐
漂亮国靠的是什么，不是武力也不是金钱，是文化输出
很像啊
那就不得不说一下红孩儿跟老君的关系了
啊？
看西游记啊
这个理由比起那些妖魔鬼怪，找的还比较正常
我得去瞧瞧
？
哇塞
看销量就完事儿了呗
?夺少
留白
没文化就去多读书，老外从树上下来的时间还是太短了
好了，正好第一章对上了
直接看电视剧不是更好理解？然后再去看小说。
那请戒掉奶茶
哈哈果然还得是匈牙利
就这点呀？
直接爆炸
猴懂西的车万人别跑
人文版的最经典
那3国不是更火啊
小吏讲了好长时间的西游记
《红楼梦》他们真不一定能看懂，喜欢水浒是喜欢那股男子气概侠肝义胆，红楼里的情感太丰富了，我们都在研究，何况他们
《mate with》
龙尊
期待一手，黑旋风:李逵
看完速通版，速通打了个bad ending 哈哈哈哈
.边狱巴士玩家
看成美团
又可以看一遍狮驼岭了
无所谓
刚好第一章
啊
这么快就有圣地巡礼了？！
邪门
？
8GN
魔法禁书目录
加入风林月影宗吧！
啊？
第二条不满意：敌人太吓人了哈哈哈哈哈哈哈
高兴啊，家人们我是真高兴啊！
《学吧，学会都是你的》
中国文化博大精深还真不一定传的出去
猴王没毛病
好莱坞确实出不了什么好东西了
这个太扯淡了
啊？
退休了，玩游戏快乐养老啊
\???
啊？
啊？
啊？
主要是西游记要深挖，国内的视频博主浅谈都能谈一年
直接看86版西游记不就完了吗
中国文化输出终于做起来了！
老玩家啊
这款游戏的意义已经超越了游戏
乐，西游记就是吴承恩拿来讽刺嘉靖的啊。。。
没有剧情模式，讲道理难度不低，虽然对我来说也不算高
正常，好的东西人人都想看
悟空传吧这是
一般是都有的，我玩奥德赛的时候也是这样
黄神话:悟空
黄神话:悟空
就是这样，不积跬步无以行千里
你放心，我们也会
玩文明我还特地了解了一下印加文明
这下子真的是中西双开花了
不要急慢慢来就好
啊？
玩个游戏还得先去读书
西游记是属于世界的jpg.
自我催眠在这里骗流量
逆天
水浒传不要看章节名
逆天
这个东西需要持续输出 而不是戛然而止
希望以后这样的输出多多益善
？
没人能拒绝西游记，没人
我相信大圣只是个开始 属于国产游戏的取经路 才刚刚开始呢
啊？
如！意！金！箍！棒！
啊？
还有女玩家
这cp我可太懂了
2年前
逆天
如果真要说《黑神话悟空》它意味着什么... 那就是唢呐响起和那首《敢问路在何方》唱出来的时候 我流出的眼泪吧
金池长老是犹太人吗？
黑马楼
关键是西游记小说也很有趣啊
师徒cp也是cp
谁？
玉皇大帝他们不懂，但说祖先钱上的人他们就知道了
惭愧啊虽然西游记的剧看了好多遍且名著导读也做过好多，但实际上我没读过整本原著
嘶，也…也没说错
?啊
玩别的游戏也做攻略，正常
这个就。。。
专业
一语中的
呕呕呕
逆天
好莱坞是什么答辩？
再过几天他们就会发现大话西游这部电影了
自豪感拉满了
世界人民大团结万岁！
？？？？？？？
徜徉在知识的海洋中
确实真西游记
官方背景设定集
原著更难读
86版重制翻译也可以变成学习教材嘛
霍比特人我直接看的英文版，还真给我看完了
东土大唐来的传教高僧
吗喽king
啊？
这两种原因是那种无所谓，好奇就是个好的开始，种子撒下，长出来是西瓜还是哈密瓜只能交给时间
是变化，不只是变形，变形只是其中一种
啊？？？？
哦吼，那就唠不完叻哈
民族的才是世界的
我也想看！！！！！！
？？？？？？？？
红学？猴学！
哈哈哈哈
哈哈哈哈哈哈啊哈哈哈
游戏攻略
泼天的富贵啊
不行！绝对不行！
真自豪啊
给大佬跪了
经典的正常游戏搞HS，黄油非要无伤打通关是吧
还是有明白人的
有没有兴趣不重要，重要的是让他们知道这回事
哈哈哈哈哈哈
啊啊啊啊啊啊啊
87万字都没有一部小说多
不是当年为了看懂北欧传说，希腊传说游戏的时候了
牛逼啊
跟风呗
？
起手牌
啊？？？
这就叫文化输出
终于排上用场了
棒子：在偷了在偷了
啊？
外国人就像没过前置剧情一样
逆天
猿学家
啊？
坏了
知天易，逆天难
的确有可能！
牛逼
建议86版电视剧的英文版，入门较快
大受震撼
挺有必要的，我当时玩战神就是听310讲的希腊神话，后来45讲的北欧神话，对剧情理解有很大帮助
泪目了啊。。。中华文化终于走出去了
两年前就开始打窝的老先生
"不会买到西行漫记的,这个叫red star over china 在蒋那里才叫西行漫记"
有没有中文版，超想看
养兵千日用兵一时
啊？
吴承恩：没想到啊没想到
想想当年玩博德之门。。。
这牛批了
这就叫文化输出
啊？
甚至我都没看过原著
原著大学生也不一定能通读
这位一定要去读红楼梦，他已经有中国文化的基础了
啊？
大唐摇滚
比武场bgm比武场bgm比武场bgm还有人知道吗
比如男友2
比如男友
完啦
确实是贴吧能提出的问题
积累mate新用法!(?
奇怪的联动出现了
？
猴子王
景元将军也来了
游科牛掰！
这才是游戏社区该有的氛围
...也不是不行？
世界人民大团结
好莱坞:这都能扯到我
孙吧？
最有可能的一集
有水平，都是四大名著
？
啊？？？？
想弄个多阵营的封神   多主角那种
啊？
孙悟空有几个妖精女朋友啊
你如果让外国人了解中国？用你的东西，玩你的游戏，开你的车自然让他们了解你，尊重你的文化
啊？
起罗汉了
第九艺术的高光
猿神危害美国国家安全
上一个全民盘的还是甄嬛
自有大儒替我辩经
这老头是中国文化研究者，打游戏只是为了顺带着的
倒反天罡
啊？
？？？？？？？？？
这波属于强文化输出了，黑神话上大分啊
会被蜘蛛夫人吃掉哒～
啊？
呜呜呜呜
？？？？？？？？？？？？？？？？？？？？？？？？？
不能看电视剧吗
终于到我们玩游戏的时候不用去找中文翻译教程了
《刃恒》
哈哈哈哈哈哈哈
买了双语，结果看起中文没完了
六老师狂喜!!
啊？
哈哈哈哈哈哈哈
正片开始
我喜欢这个读匈牙利粉丝信的ai语音
这算是流量密码吧
升华主题
悟空，今天变个女儿国国王来给为师助兴
字正腔圆
笑死，年更
梦幻西游
西行漫记别跑！
2，3年前。。。。
《猴子王》
猴王
玄武++++不要大唐
up主严谨
不是你炒谁的co不好
青龙++++Q1满修和尚
怎么就比起武来了？
哈哈哈还真是
同款
喜欢听原著的可以下载曹灿版西游记，强烈推荐
踏马的，这比我们专业啊
如果你只想了解大概的背景的话那就少儿版吧
不重要
这可不兴炒啊
卧槽哈哈哈哈
泪目
坏消息，没有故事模式
沃日！想看
哈哈哈哈
????
深入肯定是少数
啊？？？
老外磕得更开一点
一只猴子的奋斗史（确信
啊？？
他们看原著啊，我都没看完
？？？？？？？？？？？？？？？、、
？？？？
西游记都读懒了
买过文言文翻译的
西游记综述
其实可以看动画片《大闹天宫》《金猴降妖》，很经典。
还真是
我勒个龙丹
西游记本来就蛮好看的
？
我也得读原著
啊？
天地为枰
早就放弃了，好莱坞已经完了
感觉是人机
人机
救命
太准确了
这里要翻译成我根本不敢想
韩国已经开始偷吴承恩国籍和悟空甲胄啦！！！
我觉得和八戒更有cp感
啊？
?????
？？？
黑神话吗喽
外国开始开眼看世界了也是
我感觉棒子要来了
Journey to the west哈哈哈我高一英语老师放过
Journey to
泪目
？？啊？！
啊？
哈哈哈哈
这可不兴炒啊！
有西游记时，美国还不知道哪个娘胎里转筋呢
经典国家安全
哈哈哈哈哈哈哈，我都不敢看书，驾驭不了那文字
西游记 梗概
啊？
梦幻西游
别到时候国外好评国内乐子加家长给内讧啊
太有面子了
mate60（即答）
中考生表示十分需要
"大部分中国人都没有读过西游记原著,影视剧才是大多数人的入门"
以前英语课本确实翻译的monkey king
牛逼
泪目
爽了
啊？
这波文化输出可以
那他蠢还能怪咱吗？
唐僧：那我走？
说，摄像头放哪了？
文化输出！！！
不是《Journey to the West》吗
再骂！
人民文学出版社
坏了，这个我还真看过
我们研究了400年都没研究透
你的币有了
扯淡，玩游戏好意思不学文化
不知道 看不懂啊
谁和谁？？？？？？？
哈哈6
不错不错
？？？
6
两开花
《魔法能力》
666
好家伙。刚看到黑熊精啊
？？？666
梦幻西游！！！！
要不先去了解下封神榜？
下次来个三国杀国际版就热闹了
那个视频是华裔做的
白宫严选
不可能，美国做不到
文化输出还得是猿神
黑嘿嘿：官人
黑嘿嘿、
果然我们会在一生中 无数次爱上大圣
实体清单认证
好家伙，一天就看一章
那倒是真有，你们看过《最游记》吗
好的，黑神话马上就要上我的语文卷子上了
????????
我的建议是文言文版
钩子西游是吧！
犹太人黑风山怪窃加沙
啊？
猿学
东方打桩猴，我的念珠正在颤抖，附近有女妖精
逆天furry控
老师给我们放过这个！
西游记后传（不是
那可是72神通啊，每一变都是小神通
不是有动画片吗
支持孙悟空独美
啊？
韩国人看到如意金箍棒的棒，会有什么感觉
顺便关注一下蓝脸的狮驼岭大哥
蜘蛛夫人不是那个老太太吗？口味够可以啊外国兄弟
腾讯只会偷和打压，腾讯的影视资本捧纯血流量也是靠下作手段
这就是文化输出
哈哈哈哈孙唐也不是不可以哈哈哈哈
看着很离谱，但在国外倒也正常
！
备考呐？
我玩魔兽之后，把很多魔兽官方小说找来看，觉得三国志好玩，把三国演义看了十多遍
那是日本魔改版的吧
马喽精
86版
真正猴学家，估计还有论文
说几年都说不完
一朝顿悟
这设定集有点太夸张了
？
啊？
吗喽王
别搞我空空，我空空没有CP
《最游记》
看看86版就成了其实
这才叫文化输出
学吧，学到都是自己的（知识）
该出奇兵了
manba，out
老吴，老吴哎
吴承恩最吊的以及
逆天
老b登
孙悟空就是反霸权，天庭就是把不受管不听话的统称为妖怪
黑熊精，小子！
逆天
猿神，启动
文档仙人
女权已经卷了
这只猴子再次拯救中国游戏行业
西游记是佛教与道教融合设定
悟空，今天把为师变成妖精吧
3D区有望了
原的bgm
还是太全面了
哇哦
多啦宫宝
黑神话，黑后猴
应该让他们啊粥的视频
？
不看电视剧吗？
六老师不是天天喊中美合拍不用自己就搞出来了
666
中文版
？
有我学红楼梦的感觉了
悟空传
？？？？？
众所周知，文化话语权一直是西方主导，黑神话的传播是中国文化话语权的第一步
唐
出院！
若你一片真心，灵山就在脚下
臣附议
佛皮道骨
等下我菩提祖师提刀就来
黑神话·悟空~稀奇来马~弼马温~孙悟空，三桓（孟孙氏、叔孙氏、季孙氏）~三孙子~三损色~three sunset，日落之处，喀喇昆仑，道场悟道，冥界悟空，色即是空：譬喻即如绘画把颜色损到极致，就是黑！
比我还中国
笑死
"坏了,这个英语老师放过"
泪目了
买文言文版的，主打薄
没有读文言文原版的吗
我吃孙悟空杨戬x
吃瓜吃到自己家乡
好家伙
逆天
战神：？
学术论文
不是变形，是化形
？？
这下真输出了
我c ，又要说我们文化入侵了
想到了诺一 哈哈
大概是多数玩梗，少量或中量认真吧
梦幻开始了
这就是古人的审美嘛
糕手
真给你看到关键了
请问大神这个BGM是什么？
就是去印度取经的
韩国人后悔没有申遗四大名著
没办法，国内算得上老少通吃的超级英雄也就是悟空了
比我牛逼
文化输出
神经病了吧
布什·戈门
美国政府和美国人民要分别来看
六学家
啊？
学渣真不是盖的
别到时候真成国会严选了
确实是我记得英文课本里还有说过
我因为喜欢玩王者荣耀，看完了三国……读书时都没这么认真
倒反天罡了啊
我玩魔兽世界，把魔兽的编年史都看了一遍
其实孙悟空是道家弟子吧
感动
我靠，177页
真·老玩家
啊？？？？？匪夷所思
该出奇兵了！！！
说实话以前看电视剧的时候确实觉得那几个蜘蛛精风韵犹存
哈哈哈哈哈哈
xp逆天
课前演讲
吴承恩:最稳的一集
赞同，为你点赞
世界人民大团结
希望能有更多这样的游戏
太邪门了
针锋相对的从来都是别有目的的政治家，而不是平民百姓
青少年版（不是）
我都没看过西游记原文
牛逼啊
我去，崩铁
知道有人愿意了解它，这就够了
老祖宗严选
5555真的好感动啊 外宣这么多年近几年才有了实际的效果
逆天
真好
？
行行行，我也想看
吴承恩要还活着，还不赢麻了
啊？
不是哥们
哈哈哈哈
二百年前的游戏设定集
我都没看过原版只看过电视
文言文吧
不管这波能影响多少 但真的必须是娱乐文化在先才能引他们自主来了解，直接输出没用
那就要章口就莱了
瞎搞！分成15份能热半个月
就凭这一点必须给你点赞投币
？
哎呀真的爽了 终于不是我们彻夜研究他们了
美猴王
爽了
滚
顶级文化输出
这个高中时候英语课还看过
这个我还挺想看的
？？？
啊？
这泼天的富贵，总算轮到四大名著了
剧透了自己，好新颖的说法哈哈哈
我也需要这个
全国人
啊？
不是，这不就成两开花了吗……
月影宗准备入门
同款书
还有一些大话西游的影子
144免签这不就又用上了嘛
文化传播了
然后被幽魂暴虐
英文还对仗了
这cp有点邪门啊
关键咱们本身都知道孙悟空多大本事，外网一听孙悟空还以为是卡卡罗特呢（）
牛逼
逆天
对对对 就得是这样 ！
别骂了别骂了
希腊神话北欧神话几页纸就讲完了，中国神话那涉及的方面就多了，西游记外还有封神榜那么个大坑呢
比我们6啊
武器是定海神针，大禹治水留下的定子。。。大禹治水又可以讲一大篇
啊？
哈哈哈哈哈哈
卧槽是我CP，冷圈人求放过
哈哈哈牛
这回我都想看原著了，以前总觉得西游记宗教元素太多所以不想看
直接登神
????
前面的，我也有一本中英混合版的《老人与海》哈哈哈哈
啊这
英文版的西游记非常好笑
妥妥文化输出
喜欢的人会自发的去了解
攻守易形啦
三年前就开始备战了
人类对西游记的开发不足10%
空气墙
我看过孙悟空和小白龙的
好莱坞你们的文化底蕴不支持
这才是上乘的文化输出
。。。。救命啊
？？
6
86西游记可以出英文版了，中语外文字幕就好
终于轮到他们了
"哈哈, 这才哪到哪"
梦幻西游音乐
确实
逆天
梦幻西游PK去了这BGM是真遭不住
感动哭了
想看！
不是这么长？？
啊？
啊？
哇，都看到黑熊精了
?
这下真的自有大儒为我辩经了
这么夸张
黑马喽
那一定是7的倍数
吴承恩看到不知有多欣慰
西游极速版（）
梦幻西游！
啊？
？
啊
世界人民大团结万岁！
不行！！！
几千年前的故事，现在还是那么迷人
¿¿¿
黑猴！冲！！！
啊？
蜘蛛夫人难道是蜘蛛精？
新手老登
中美合拍版
西游社区：我去，火了，我火了！
有玩梗的就会引来深入的，先让梗火起来
有的有的，我看国外游戏也对神秘学和恶魔，宗教有兴趣
考公备战都没这么积极
最强外宣
看到文化出海很欣慰的有没有
啊？
啊？！
嘻嘻
闭嘴！倒反天罡，紧箍咒警告
自有大儒为我辩经
文化输出很棒
不怕给你吃了？
《30分钟看完》
牛
这真磕不动
我也好想看！
看86版的
啊？
读《大圣传》
86版电视剧狗都不看
说悟空放米家音乐！做得好！好东西就是要不仅我们觉得好，外人也要觉得好，全人类都觉得好！
高潮了
不行了 高潮了
我们也一样，问题不大
啊？
这不是游戏的问题，是你的问题
狠狠输出一波文化价值
梦幻西游yyds
丸辣
？？？？？？？？？？
听到梦幻我要哭了
额
剧透？这几本书每一章的章名不是都在剧透嘛？（笑）
马喽之王
老美严选没绷住
老美严选真的没绷住
西游记标准翻译就是monkey king 吧
还不如看西游记电视剧
吴承恩：等我实地勘察一番
啊？
老阿美莉卡了
？
？这不对书的话我都说不定数不全
这tm不是词典吗？（震惊
这已经能当论文了，而且质量杠杠的
你们第一次听说这个cp吗，早就有了哈哈哈
吴承恩NB
看看电视剧就好 书太难了
太难了
我也想要剧情模式
啊？
类目了
国会严选
逆天
看书还不如学中文看西游记电视剧
好家伙，老玩家！
把美国看成美团了草
（预       习）
大儒！
卧槽，同款西游记
如果你入风灵月影宗大圣也开心 因为这才是大圣真正的实力
辩经？讲经！！
要服，我就服看“回纥语”版的
说说蟠桃
偷国除外
啊？
?
？
好莱坞：不是，哥们！
英译本就叫monkey king
学吧，你就学吧。一学一个不吱声。
？
？
哈哈，我看和玉帝的
这个我都想看
我C
这里有个图片的翻译错哩，with应该翻成和
不要怀疑我那迷人的老祖宗的魅力
这四位已经可以组出16种组合了，其他的我就不说了
？
四大名著不小学必读名著吗，没读过古文原版精简版总读过吧，大概情节还是知道的
？
拉美有啥历史文化啊(恼
别让棒子在偷走就行了
求pdf
啊？
这次真的是文体两开花
86版
这不是老四嘛
立棍这么牛吗
2年前嘛
“敌人太过恐怖”
我想要这个的PDF！！！
杂谈区up主突然有了简直做不完的内容
冲师逆徒LGBT版本
好家伙，这泼天的富贵来了
journey to the west是正式译名吧
玩快餐玩多了导致的
白宫严选
普通玩家可能没有，但主播和up主肯定需要了解一些的
哈哈哈哈
无所谓
离谱
啊
我们玩他们游戏的时候都根本不需要了解故事
当然是86版的
毛毛王
好家伙
确实哈，原神已经被处理了哈哈哈
梦幻西游
笑死怎么还是饮月君
买过中英混合版本的茶花女啊哈哈哈哈哈
悟空代表的是挣脱天地人的束缚
好家伙，速通《西游记》是吧
国人对西游记的印象基本都是86版，如果是学生，可能还会加上西游记原著，毕竟是必读名著之一，考试会考的
《官方设定集》
吃孙悟空唐僧的很多的。。。
没那么快
看中美合拍的西游记。
感谢吴承恩开源
西游记，我就自信了，不自嗨，年轻人必喜欢
别说生孩子了，你能不能保全自己都是个问题
美猴王
文化输出
新选题源源不绝
一款好游戏玩不明白是很捉急的，这样才会学习和了解题材
啊？
像中考名著一本通
还真是（
倒反天罡
实不相瞒这个我也想看
三年前……
哈哈哈哈哈
坏了 第一章就是黑风山……被吊起来打
啊？
文化奋力输出
啊？
黑吗喽不做功课 很多东西是真的不懂，得看游戏里的那个图鉴……
吖？
西游记青少年版
逆天
？
有没有人能把这个汉化了，我也想看
逆天
佩服佩服 失敬失敬
会不会有人迷路导到龙珠去了
？？？？？？
有
比武了家人们
纯文盲，我们都没说不聊北欧和希腊，到你们就开始抱怨了
啊～？
别闹，  没几个老外感兴趣的  偏偏自己人得了
啊？
看图讲故事才是学得最快的
黑神话剧情应该更贴近原著
二十八星宿
猿辅导
主要是LGBT在搞事情
啊？
专业对口
？逆天
刚当游戏开头
这些老外比我强，我从来没为哪部3A去特意看它的背景材料
不然打黄风怪都不知道要去搞定风珠
逆天
发论文绰绰有余了
高中的时候我们英语老师给我们看过这个
这个翻译啊，怎么成魔法了？
西学
3D区又有新素材了
？？？？
啊？
多少？
这段是斗战神的CG吧
？
路在脚下
要说写论文还得是老外
草 民间设定集是吧
想看
猴子王
美国百姓苦妖风盘旋久矣
这tm30分钟看得完？
疑似有点邪门了
明白人
没文化还有理了?
我靠这个动画我英语老师放过
取经之路，就在脚下
我c鸡皮疙瘩起来了
吴承恩写完西游记后，能预测到现在的盛况吗？
？？？
炸裂
《西游记》《大圣归来》快！海外市场走起
马喽王
这是游戏里的画面？？？这也太好看了
书虫系列
高中英语老师犯过这个！！
啊?
突然发现真的有可能上白宫严选
不行邪门了，不可以！！！！！！！
哈哈哈哈
没人直接看电视剧吗？
这个版本的西游记我有
改编不是乱编
86版
哈哈哈哈哈哈
猿神启动！
我初中度过吴承恩版本的
这是人啊？
西游新编那么多年了，早就整出来西游学了，只是没正式叫罢了
世德堂本
看的是日本的西游记吧
中国的文化输出在国外相对日韩还是不足啊
牛逼
买中英哈利波特的我
这就是设定
300+
肯定有的，不看都玩不明白
300+
这不比孔子学院有用
读文言文原著，体验文化之美，寻找修行之乐
等会，哪？
无效打码
啊？
？
？
狗：最终幻想
