把地图设计搞好，以后肯定能有法环这个级别的作品
这应该是意识形态上的对立，西方媒体从任何方面抹黑CN
这里站在石头上就可以躲掉了
外包
2077一开始风评也差啊可是
我不懂那些，就是好玩!我爱玩!
不是你自己说的……？
好骂
不理他们，他们就跟一群苍蝇一样嗡嗡叫
MC是什么
牛逼
说白了就是中国某些人见不得中国3A走向世界
三连了不解释
好骂
牛逼
好骂
游戏好坏是给玩家定义的，而不是媒体，更何况是戴着有色眼镜，傲慢了一百多年的那些人占据的媒体
幽默时长
打到第四章，地图设计就是有问题，你先清算你自己吧
好马
顶一个！
讲文明树新风
牛逼
好骂
好骂，不愧是400w粉大阿婆，帅！！
谁问你了
给钱分就高
这几句呢，是就说简单点
说白了，每个评分都是资本，都有私心
这条龙我打了20多遍
泪目
牛壁
说得这么伟大，不过是工作而已，拿钱办事
牛逼！
人家媒体是资本掌控的没啥可比性
首先去玩游戏，兄弟们
牛逼
泪目
看别人打脸，可不就兴奋嘛
差评原因；不能和黑熊做i
骂得好！
满分十分 我感觉打十分的话还是有点低了
？
好骂
跟了
好骂
媒体雇的水军？
玩了几天了  没什么藏的    别扯外媒   我就是一个普通玩家  实话就3个字  不好说
我也没遇到BUG......
玩原神玩的
速通的/？
好骂
鲁迅体 久违了
牛逼
生物多样性嘛，总有人喜欢贩剑
MC是魔兽世界60级的一个副本
省流，NB
金猴奋起千钧棒，玉宇澄清万里埃！
泪目
哈哈哈，不辱不玩
牛逼
那还真不一定
好骂
闪退啊
IGN一樣給了 10 分，足以證明是神作
就凭咱是中国人(ー ー゛)
這遊戲最大的貢獻就是打破了西方的壟斷，開創國產3A大作先河
因为有政府支持
0*/-98+6532
/
这龙打的真菜
q
l、】
对的，与其对线不如无视
骂的好！
沉默是最大的蔑视
牛逼牛逼牛逼
点了
哈哈哈哈哈哈
牛逼
咁快
好骂
骂得好
他们外媒又是什么东西
一股周树人味
哈哈哈
有的是hanjian
把实话说出来了
学中文，还要什么翻译
巫师三和这个完全不是一个类型
圭臬的意思和准则差不多 文盲知道了吗
保护我方军师
我的天呐
在不了解故事背景和文化的情况下不是8分还低啊
太正确了！！！
好骂
哈哈哈哈哈哈，幽默，不知道的以为黑猴是历史第一游戏
比如空气墙
ign8分不算低吧
牛逼
那没办法，翻译没那味，英语就这样
估计还真活不到
就这剧情台词，编剧内容，要啥有啥
当初踩得多狠，到时候打脸就多疼
牛博
骂得好。
我用A卡遭遇过闪退，用N卡就没这问题，不过这对我来说算不上扣分点。
借用自己国家历史文化做出来的游戏难度不是我们这些国内玩家们最具有代表权吗？
好骂
玩个游戏都能扯到爱国。
牛逼！
这打斗就是日韩特色，至少要有凡人修仙转动画的效果那才有创意
一个猴子不会腾云驾雾，不会72变，不会法术这还是悟空吗
没有创意，跟仁王、战神的相似度很高。纯粹就是赚一波国人的西游记情怀，别到时候再出个什么黑三藏，黑猪刚烈，黑沙悟能
牛逼
好骂
泪目
爽
小棍停龙车
已经排第一了！
泪目
高度直接升华
支持
舒服!
我也没问啊
譬如欢迎大家来山西旅游
翻译不明白就音译过去
牛逼！
支持UP
中国游戏要靠海外人评价，他们配吗
中国文化底蕴属于细糠，像山水画一样特有的“意境”“留白”，说得难听一点世家老爷和暴发户见识就是有区别的
牛逼！！！！！！
好骂
我早就不看评分了，我10年初中时代独居后，假期能更疯狂地玩单机，发现好玩的必定高分，高分未必好玩甚至很烂，后来这种情况越来越频繁
牛皮
根据你的语气 熬了几个通宵玩的啊老哥
这是国外的远程养狗技术
直接第一不是你们乱叫的 既然要放到世界上去比 总不能自己觉得牛逼就牛逼吧
游戏闪退问题确实有问题
因为你说了啊
经典的我不相信我自己的感觉，我就觉得洋人说的都对，我身边有这种人云亦云的人，很是看不起啊
情怀加个十分不过分吧
啊？这么快
啊？牛逼了
也不低了吧
通关立马退款
开挂了吧这么快
牛壁
牛逼
合影
bug还是有且挺多哈哈哈哈哈哈我打到第三章前碰到好多次
好骂
媒体是为了挣钱的，玩家是为了玩的，本质就完全不一样
牛逼
蕾姆了
点了
其实好像甚至没到100人
三立已经被骂了哈哈哈哈哈
牛逼
好骂
好骂
游戏讲情怀不妥当吧
预言家啊
犹太人的朋友圈点赞罢了
( Ĭ ^ Ĭ )
还有说1-2章没有出现女性角色的
这个游戏也能像悟空一样大闹一下西方媒体笼罩下的“天宫”了
除了猴子就是怪物，辱女都来了？
打100分过分了啊，97吧，超过博德之门3，大表哥2就可以
牛逼
卧槽?通关了?
泪目
骂的好，痛快！！！
你们早就评测了，发布之后只是在直播通一遍呗
NB
好骂
好骂
好骂
网易  腾讯  永远学不会
牛逼
好骂
牛逼
长征
这不是原神雷电将军那关吗
国服也有bug
豪！！！
敌人越是反对，说明我们做对了！
巫师三我玩过  说真的  真的比这个好？
寻路做的太差了
好骂
作者都哽咽了。
好骂
好骂
支持up
黑神话·悟空~稀奇来马~弼马温~孙悟空，三桓（孟孙氏、叔孙氏、季孙氏）~三孙子~三损色~three sunset，日落之处，喀喇昆仑，道场悟道，冥界悟空，色即是空，譬喻即如绘画把颜色损到极致，就是黑！
单机游戏要是不讨论攻略。还玩什么单机游戏？
牛逼
牛逼
2077我第一时间玩就没怎么玩到过bug 可能机器不同吧
咱也不抬杠，就这么说永劫无间加古墓丽影就是黑神话悟空，对不对的自己断吧
抓紧去两个就老实了
泪目
有美末2这个“珠玉”在前，早就不在乎了~
mc指的是我的世界吗？
大家一起玩游戏讨论游戏的根本目的就是开心啊，不要和没意义的人浪费精力
中国文化的游戏就不应该看外媒评分定优劣
牛逼
今天才21号吧。
肝上长了个人
怎么文案一股子讯哥味儿
这种就是经典国外的月亮才圆，招笑小孩
好骂
他的孩子跟我们有什么关系？
牛逼
为流量，不寒碜
打屁屁
快男
这个是隐藏boss
问你了吗？
墙头草
他们知道自己做到了吗？
它们热爱原神
6
绷不住了，配吗
牛逼
二郎真君
游科，游科，嘛时候是世界第一呀？你说呢？   就在今天！！！
香槟党是不是特别爱发帽子？
谁问你了
好骂
骂的好！
牛逼
骂得好，它们就是沟槽的！
好骂
根本没空，玩儿都玩儿不过来doge
孤。国外玩家都在自学西游记
重点是当时的外媒评测文章压根儿一点儿BUG或者优化的问题都没提，就离谱
确实，steam的96%好评
想起一个老黑说的“这都快成动物园了还不够多样化？”
今年来最牛的
中肯的
好骂
红红火火恍恍惚惚
如果小语种报错都能低10分，那没有汉化、中文路径报错是不是要扣50分呢
没看过直播，我不到啊
牛逼
这里这个震荡直接跳石头上也能免疫
泪目
我就想说外国评分有用？我们的游戏他们玩不来，也看不懂
会喷咱就多喷点
好骂
好骂
好骂
太笨了他们
哈哈哈哈哈哈哈哈哈哈哈哈
谁问你了
牛逼
好骂
那不一定，那些人搞不好真活不到8月20号
预言家
游科nb
就冲这句话，俩币给力
对啊，纯粹。别搞的乌烟瘴气
为什么不能是外国适应我们的游戏呢
泪目
虎父无犬子
牛逼
哈哈哈哈哈哈哈哈哈
谁问你了
8分也是低分了嘛？非得打10分才是对的？
牛逼！
泪目
他们热爱的是西方真哩
123
牛逼
好骂
牛逼
牛逼
真踏马牛逼
辛苦了
牛逼
泪目了
好骂！
啊？蛙蛙倒还真不一定
预言家
舒服了
这攻击力我是认可的
骂的好
哈哈哈打了多少次补丁历历在目
跪久了是这样的
他不懂游戏？？你懂呗
是全家只活一个
up也不是第一次装了，问题是，他装他的，你急什么？
牛逼
别的不说，优化真的有问题
知子莫若父
注：串子是贴吧特有生物，在吧里到处找骂，人见人嫌
好骂
100人
哈哈哈哈哈哈(●°u°●)​ 」
尸山血海
谁问你了
狠狠支持了
说得好！
泪目
评分有啥用，自己喜欢啥类型的游戏，自己玩就行了
牛逼
牛逼
好骂
好骂
牛逼
神预测
好骂
好骂
知子莫若父
他们急了
期待mod
黑水浒传
0821前来报到，预测准了！！！！！！！！！
黄金树处理数值都还行啊
钱到不了8.20了
牛逼
牛逼
今天8.21，我只能说：战斗，爽！！！
说得好
哪个游戏不是注入了开发者的心血？
就上古卷轴5这坨东西都能好评，就可以看出来海外媒体也有很大的问题
世界第一！
我觉着很烂，这很现实，也很实在的一句话
他们最大的动力，就是不想辜负爱他们的玩家们
哪有弱者
甚至有个别群体跑到人家公司门口威胁过
BLG
修改器锁血
好骂
有男女对立大吗？
牛逼
太典了，什么时候tga也被质疑下含金量
只有真正的玩家才有发言权
路霸你这会儿听着也是像要哭了
100人？！
泪目
有没有可能是 出问题因为他们用 13/14代扣肉？
泪目
？
笑死我了，直言不讳
人家是拿錢
太他妈牛逼了
舒服！
泪目
你币有了
谁问你了
好骂
哈哈哈
好骂
泪目
好骂
？
金猴奋起千钧棒，玉宇澄清万里埃！
让他们这些机构热度没了，不就好了嘛
啊
牛逼
20号直接140万售出，直接回本！YYDS
这游戏 做的还是蛮不错的
怎么了 以前我们不也自己找补丁嘛？！
好骂
为什么开箱像战神…
让游戏回归游戏本身，去他的多样性和zzzq
是野蛮人是海盗
好骂
死亡搁浅我觉得9.8
牛逼
好骂
看人家玩，这游戏真抠细节，很细的那种，没玩是手残
这么快就通关了》》》》牛逼啊
三连支持了
牛逼
没错，越搭理跳的越越欢
up怎么哽咽了
没玩过，但是觉得很好
说的很对
已经是了
外国的评分才是最专业的
牛逼
哭了
这游戏优化非常好了
有翻译不错了，玩怪猎难道他们听得懂猎人语言？
老猎人了
是真的热爱
好骂
好骂
致敬
好骂
MC94分什么概念懂吗？
外包啊
？？？？？？？？
不用管老外，他们本来就是外行在这个文化领域
我们自己文化DNA 下午我去买个ps5再买个黑悟空
知子莫如父
100
满分10分，我打8分，画面和战斗很棒，但是玩法比较单一，故事都是文字性的缺少剧情演绎
8分合适
？？？
和遥遥领先一个套路，搞爱国正确
？
调振动塞皮炎还在发力！
up开始先搞一波 正确
说的好
口头禅：不打算发这个视频17分钟
太对了，这才是玩家应有的游戏体验
闪退啊
牛逼
100人创造的奇迹
打工人没什么宝贵的时间，都是廉价的
人？
他们是人。
海外媒体什么立场大家懂的都懂
"THIS IS OUR GAME, F *CK THEIR DIVERSITY"
文言文怎么翻译
迅哥！
没玩过的都知道，哈哈哈，确实挺离谱的
好玩就行
它们越反对，我就越要支持！
+
嘿嘿 牛的
啊
请把公屏打在牛B上
中国人牛逼！
笑了
蛮简单的事情，爱玩就玩，不玩就滚，有些货就喜欢瞎喷博眼球
怪物猎人
黄金树高分幽默
通关一个宝箱开不到，和选择题拿零蛋有什么区别
以前确实不上桌吃饭
用别人现成的引擎有啥难的，有本事像mhy一样自研引擎
支持国产！
牛逼！
原石+5
牛逼
外媒打低分才说明这个游戏成功了，打高分就说明这个游戏不行
这有点扯了，藏内容这都是魂游戏玩剩下的了，多线结局不是3A游戏的标配么
好骂
泪目
万一活不到了呢
万一活不到了呢
万一活不到了呢
说:笑死了的兄弟，你还是一如既往的爱笑呢，你就笑吧。我辈信念永存
泪目了
好骂
太牛了
牛壁
不好好做视频，居然通关了
牛逼
当时吹的太过了，才导致现在这么多人骂
我只从自己感受出发，别人说什么其实不重要。
让他们自己出英化组
你没睡觉？
广智救我广智救我广智救我广智救我广智救我广智救我
我昨晚玩到第二回一半，游戏体验相当的好，这游戏做得真的很不错
广智救我
很多Up带节奏
类比隔壁的goat
泪目
牛壁
建议这种人去玩“动物世界”这里是“人类世界”
好骂
缺个地图，不然很迷
真金不怕火的
哈哈
路障火了，好开心
牛逼
黑神话说实话在网吧玩没玩到什么bug
游戏再强也是游戏   把你游戏盗了密码一开一说一个不吱声
这是线性啊
牛逼
泪目
好多都是1450
龙信真的是媒体粉碎机
我的嘴替找到了
哈哈哈哈
唐完了
666
主角的师傅叫唐三《藏》，不藏合理吗？
是你没找到哈哈哈
???
外国人也不懂中国文化呀
好骂
好骂
解气，关注了
好骂
两个字，也中
美末2制作满分，结局0分，综合5分
牛逼
2077当时黑屏玩了几十分钟，我以为是因为我的角色眼睛受伤了看不清，我想着这游戏真tm逼真，结果后面知道是bug，我tm
牛逼
？？？
泪目
牛逼
打过来了
确实，他们差评又怎么样，他们又不懂中国文化
我雨世界开始，我就从不会看媒体评分了，因为我发觉游戏是否好玩真的是因人而异
牛逼
泪目
在游戏里好好看风景
任何外媒都不能相信
我想在里面看风景
哈哈哈 好骂
好骂
媒体是工具，别太当真
好骂
让他们自己学中文，中文是世界上最精炼先进的语言
其实最终压力是给到了TGA，年度给不给？给就西方溃败，不给自身溃败
大多数都是水军
骂得好
骂得好
这就通关了？
泪目
好骂
经典别人不认可就是尬黑，战狼的钱真好赚
牛逼
冲！
8u是这样的，鬼图是不能少的，即使是小孩也不能少
ScreenRant绝壁第一个被清算！
外包不配有名字
太熟悉了，当这群人想让这个游戏凉，就各种吹捧别的游戏，反串
好骂
打击感很弱
Mc不是我的世界
2077卡bug刷无限钱
牛逼
谢谢up～我手都准备退出了就怕剧透～
好骂
"没地图没引导空气墙扣1.5, 8.5合适"
致敬
泪目
牛逼
牛逼
火力值拉满了啊
还真有可能活不到20号
牛逼
游科加油！！！！
没看过没玩过就去喷的确实私募
信你好不好
梅西:？报我身份证得了
开头废话太多
因为晚了就恰不到第一手流量了呗
说的好
不要陷入自证陷阱，不要理他们就行
就是就是 你懂什么鲁迅
好骂
好说得好
你会他们不会，幽默了
好骂
预言家
我就喜欢清算，做错事没有惩罚是无法理解的
好像发售当天就突破15亿的销售额了  真的牛啊 这游戏 所有主播都在玩
看完你通关 我省钱了
你写啊 写不出来嘛？
哈哈哈哈
牛逼
这么快！
2077IGN9分
泪目
外媒外奖并不适用中国出现的优秀文化作品，大刘的科幻小说就是很好的例子
8.21，打60分的那个已经被开盒清算了
泪目
@mhy
还真有靠这个活的，我在现实中遇到过
反思怪来了
他们又不是没工资 我想投入我的时间还得不了
卧槽辐射是bug真多
点名表扬生化6，nm都不让跳
我嘞个400万粉丝啊
我的内心渴望着战争！
他不会连小怪都没打过吧？
你不睡吗？
那不一定
牛逼
泪目
昨晚小玩儿了一下，死了好多次但是总体感觉很不错哦
能不能说出美猴王啊？什么黑猴王看了就有点不好
为啥评分低，吃饭最重要
？
泪目
泪目
牛逼
我们中国的游戏啊，你拿到外国玩出问题，要么你们自己修，要么出钱付费修
泪目
定海神针
好骂
活在自己的世界里吧
牛逼！
MC是什么东西？我的世界？
什么叫顶级思维啊
泪目
昨天看见你直播了，这就通关了吗？
点了，《mc是我的世界》小学生无疑了
玩的它马
牛逼！
你这话有点招黑了
这些话你就不要说了，你再怎么努力，如果做出的是史也没人买单
活全家
这都能扯上政治
UP收钱了直说
哪款游戏不是开发者的孩子，搁着博同情呢
泪目
泪目
赛博生命
真牛逼
6噢
致敬
能不能好好说话
不搭理他们
牛逼
制作这款游戏的人，也是在直面天命！！
看得我手指头疼
评分算个p
00000000000000000.
实体没抢到，到数字版真的很划算，很值得！！！
自己手残所以不一定会玩，但已买，昨天看直播看得真的很开心，也很自豪
媒体人嘛，拿钱说事不寒碜，只要脸皮够厚，哈
？
米其林评中餐，doge
NBA也一样，媒体搞什么排名就是混乱的开始
2000＋
NBA也一样，媒体搞什么排名是混乱的开始
牛逼
老外嫉妒了，老外破防了
确实
他们只想赚钱
牛逼
泪目
牛逼
关注了
你在说什么
风灵月影宗是吧
没伤害
84分，明显压分了
牛壁
就通关了！！！！
牛逼
我没有权威，我只是普通玩家
泪目
黑猴是游科给中国玩家的中式浪漫
一股子迅哥味道
好骂
预言家
管别人咋说 赚钱就行了 卖出去的销量证明一切
格局打开
我闪退了几次
泪目
什么！贴吧游戏大神！
幽默香槟
西部世界，制作团队2000
跪久了看到不跪的就异常生气
已经开始玩咯！
笑死，我想都没想就入了，不为别的，就因为这个IP和国人自己的游戏，牛逼就完事儿了！
不是神话悟空，而是黑，重点在黑
好骂
政治不正确了，能给你高分吗？嗯，请问了？
有些人跪舔习惯了站不起来了
牛逼
好骂 爽
听着这语气就知道刚刚打完
牛逼
虽然，但是黑猴不是act类游戏吗？
国外酸了所以才打的低分
但你要知道 你是绝对主观的，媒体再烂相对客观一点，中和一下
能跳？
故事是吸引人 但太仁王了
不至于
有可能他真活不到了
？？？
外国不懂游戏？别人更注重游戏性，黑吗喽有啥可玩性？
笑死 是个人都能評價 還在国內海外的 自卑成這樣
本来观望的，已经买了，确实非常不错
开。致敬游戏科学团队
他们把灵吉普萨当成佛祖了
跳过剧情不做支线不做确实快 操作难度也高
他们热爱的就是拱火看戏
辛苦了
牛逼
牛逼
《弱者》
开盒就行
谁第一？
好骂
不是今天20号才上架的吗？为什么18号就打通了？（我只是圈外人，说错的地方，还请见谅）
牛逼
别人反对的，可能就是你做的太好了
哇up哭腔了带的我也想哭
骂我的人多了，你算老几
牛逼
怕不是老詹球迷哦
真就一天拿下杨戬
《早碎了》
《正常人谁信评分》
？
中黑从不缺席，直接无视
底蕴太深了，翻译确实难
持续回复药袋子
从来不看媒体评分，那又不是我的评分
估计是活不到
我感觉跳跃和空气墙真有点恶心到我了，其他的都完美，至于他们说的bug闪退我一次没遇见过，已经要打黄风怪了
愛幾分幾分，這時候局域網的知道看外面的世界了？
喜歡就玩，不喜歡就不玩，費盡
众人皆醉为我独行营销神话遥遥领先
已通关，确实不如只狼啊
好骂
油卡？
牛逼
牛逼。
牛逼
泪目
好骂！
为什么不顺从他呢
不是  没点文化自己人都玩不明白 我都不知道老外该咋明白
这里是故意不打背后的弱点的吧
龙王是吧
。。。
up骂得好
牛逼
好骂
卧槽 这么快么
鲁迅区up主
泪目
确实
致敬每个努力的制作人和每个热爱游戏的玩家
已经在清算了，还真实
凭什么我们国人玩国外游戏就得自适应，他们国外的玩家玩我们的不能自适应？
牛逼
a
好骂
MC是什么啊
你猜？
我真把所有工作人员名字看了 一遍 感谢那些大神
宝宝
牛逼
泪目
牛逼
好骂
牛批
央妈特地发视频夸了
好骂
牛逼
牛逼
我就一句话 我现在都还没启动成功
这一脚不是闪避，而是隐身突进后的破隐一击
喝药后缓慢回血是某个头盔的特效
你别说呀，不说我们就不知道了。（bushi）
真眼看世界
2077是真搞，每次要搞事之前都得习惯性存几档
v
牛逼
牛逼
好的我选择GTA6
游科一战封神，我们终于有属于自己西游文化的3A大作，感谢你们
速胜速败一体两面
不要問我為何總是這么堅定，因為我的心里裝滿希望
我在瑞典这儿看了Steam上的评分，果然是96%的人喜欢
沉迷游戏 没功夫清算
懂了，跟宫崎英高一个流派的
牛逼
哭了
这游戏用吹？
好骂
就你懂
哈哈哈哈
是牛马不是牛逼
干碎女拳
不要歌颂苦难
中国人
哈哈，哈哈哈
这是手游吗
爽
泪目
战神我看的你的视频通关的，期待这部，up主加油哦
牛壁！
牛逼
泪目
泪目
牛逼
赤龙倒地这时候绕它脑袋后面打背上罐子可以击破
？
2077游戏里找bug
2077游戏里找buf
骂你的都什么成分 大家都懂
？？？？？
2247477、】【怕【/*++
2247477、】【怕【/*++
好骂
人家邀请试玩通关有什么奇怪的？又不是正式版
好骂
说这些的应该买不起
牛逼
好骂
好骂
主要是AMD驱动和英特尔的CPU问题
玩了一天 闪退几次
魔怔人是这样的
不是因为玩不懂，就是因为要故意打压你懂吧
辐射4首发不是全网喷？
本来就是文化差异
分不清游戏和现实  mhy都知道你想要什么样的父母
骂得好，虽然不了解这个游戏，但是看那些人阴阳怪气的
一键三连了
确实
牛逼
小语种本地化问题，这个看反馈修就好，包括翻译之类的问题都可以精进，都不算大问题的
知子莫若父
这种人岛上几千万
热爱他的米爹
好骂
哈哈哈哈
ps5有闪退bug，不过影响不大
串子不在乎才闲着没事清算的。还真清算不到他们头上。他们只想捣乱挑事罢了
这两游戏被喷了好多年了
这个可以用闪避躲，再配一个广志帮你挡一下
牛逼
百万塞尔达再现
牛逼
牛逼
实话
不是哥们
但这句恃强凌弱就有问题吧
死亡搁浅个人认为是个85-90的游戏
牛逼
牛逼
好骂
宗教游戏不予评价
mc是国外的一个评分
纳尼？我刚打开游戏
哈哈哈哈哈哈哈哈哈哈
牛逼
好骂
最好活不到
侧翻能躲
牛壁
泪目
已经在清算了
s
牛逼
玩了这么多年游戏，我确实不知道MC是啥
因为要赶去投胎
确实做不下去了，后面是腾讯注资了你们不知道吗？
好骂！
牛b，才不到一天
牛逼
不是有些西方人还想帮我们改游戏么 被我们拒绝了 那么他们的评分是否公正呢 游戏而已自己喜欢就行 管别人怎么说怎么评
牛逼
投入咋啦，人家做也是投入是不给工资研发出来的？
牛逼！
牛逼
要不是没币了，肯定不可能不给你！
他们可能连steam都不知道安装
好骂
牛逼
类目
牛逼
它们确实活不到那时候了
小米别来沾边
米粉收收味
???
他们怕了
？
好骂
三个月前2077还给我卡地里去了
反正就是不能说不好
黑猴，就是史
我总是闪退
已经开始青蒜围剿IGN了
好骂
我掉过地底，哈哈哈
当然是活不到8月20号的闹麻了
牛逼！
骂的好
这玩意儿，你再翻译也翻译不出中文本身的韵味啊
游戏领域大神是吧
牛逼
星星之火，可以燎原
那我不得几年后才能挖掘出？
泪目
爽
啊
年龄大了 不想争论这些没意义的东西，自己爽才是真的
好骂
狗卡表示你们说得对对对
81个成就，81难
玩游戏不是为了快乐吗，为什么要考虑评分呢？喜不喜欢自己心里有数，已经不是幼稚园时期了
牛逼
好骂
穿越过来刀预言家了
为什么要我们迎合外人，而不是外人迎合我们？我们这么强大了诶，为什么还要卑躬屈膝
沉迷于猴子了已经
哈哈哈，太幽默了
好骂
《外国的空气都是甜的》
看了推已经在骂ign和外媒了哈哈
？？？？
？
好骂
英文游戏找翻译也要吹，中文游戏能看懂也要贬低，这就是虫豸们的心态，有本事去西方别回来，省得在中国浪费空气和粮食死了浪费墓地
你这说话的语气。。。。
20号回来点赞
打背后发光的弱点，不然这只怪巨刮
开山之作
好骂
牛逼
今天20号，大眼仔一群YLQ号闹麻了，说游戏突然爆火，然后挑对立，说RN
公测出来了，这玩意挺难的
真的吗？fw
打压华为
打压华为
我们的神话为啥要让它们懂？它们可以查史书，也就像西方神话故事我们要查西方史书一样
好骂
牛逼
这个BOSS的锤子是空心的吗
元神为什么评分不低？
泪目
文言文  怎么弄   翻不出来
小母牛坐飞机
期待黑红楼
牛逼
我就说黄金树幽影就是lj
期待黑三国吕布
牛壁！
好骂
边打边扇没绷住
你别说 还真不一一定
打压华为
好骂
就跟现在除了水军没人再在意手机DXO评分了一样。
给up说中了～现在各区登顶
没有，血条旁边那个像葫芦的是药这是在边打边吃药
？？？？
好骂
你管人家怎么做出来的
十六？芸芸人探头
确实不好玩
不是，西游和男女有啥关系，玩的是猴又不是人
好骂
我就是要拿钱袋子投票，已购入
300不是钱？过几年好日子就忘本了
连i卡都能稳定运行，不掉帧 不卡屏 不闪退的游戏还能被喷优化？
经典闹麻了
建议屏蔽只狼
哎呀，就是受不了人家说这个游戏不好！
牛逼
？
媒体goat詹姆斯
mc82的东西闹麻了
本来就是圭臬啊
悟空只是猴子啊
确实有bug(可能)，今天看直播打金蟾不掉血，第二遍就OK了
人家不懂？那人家怎么做了游戏媒体呢？
玩不懂 真的是游戏的问题… 不然你不要出口
什么是MC？？？？
好游戏 根本没有这些事儿 … 塞尔达 怎么没人 黑… 就是不行 …
哈哈哈
8月20号出了，感觉bug是有点小多
2077出来的时候bug乱飞
20号上线后来考古的我表示认证你的话了
好骂
我的职业生涯 交代给了 口罩三年 草踏马德 ！
对
牛逼
好骂
"A卡的确恶性bug,等驱动更新。序章打完直接闪退，然后序章打了第二次就没事了。不知道以后还有没有。"
好骂
致敬
好骂
高尔夫 2
大预言家
足以载入中国游戏史！！！
？？？？
过年啦磕个头先
说半天好多废话
广智啊广智
泪目
真快啊
这个情绪来源不是因为热度吗 哈哈哈哈
三国杀:对对，你玩的游戏还是评分
对说的就是黑神话悟空抢先版
牛逼
人少时间少高质量
通关了？
支持
跪物
我去 聊天记录
他们是为了串而串，见不得别人好，这类人内心都极度空虚阴暗
1450网军
笑死，玩都不会玩
好骂
牛而逼之！！！
以德报怨，何以报德
牛逼！
外国媒体是这样的
跪久了站不起来了
外国媒体
大圣是一路打向西方的
弃约精神
翻译确实很难啊，有些话我都不知道该怎么翻译
资本操纵罢了
你很懂吗
没办法，跪多了，腰就挺不直了
有个叫AI
《外国媒体》
打钱了
取经！
泪目
有没有可能的确没活到？
赛博生物
牛逼
牛逼
好骂
直抒胸臆，酣畅淋漓
是，最好的方法就是别给它们画面
不学中文玩个啥游戏？就和不学中文别来我们空间战一样
最中幻想
好骂
说这有点幼稚吧。游科外部投资够够的，又没停过工资，什么信念感？好平台上面挣钱的信念感
信这些游戏外媒公正干净？不如信FDA是个不脏的机构，或者相信美国佬打中东是为了爱与和平
泪目
牛逼
好骂
理智的时间居多
牛逼
天啊。。。。
他评他的，我玩我的
。？
??????????
我被打烂了
牛逼
泪目
比如我的世界跟迷你 所以不用理 菜徐坤黑红也是红
支持
