装备们：你的实力，我们认可了
八戒经常鞭尸
对，我打完两个结局都憋闷得要死
大圣真富贵，又点翠又是藕丝
好家伙，梦幻联动
一周目的时候听到大圣爷最后那一声嗟叹呐，险些把我哭死在电脑桌前面。昨晚二周目通关，又哭了一次。
与其说是送走自己的偶像英雄，不如说是偶像英雄在用最后一战给自己的未来人上最后一课
高手间的惺惺相惜，开场的时候大圣爷不是也叫了二郎真君一声兄长吗
错了，是回天上大喝三天，然后再大战三百回合
看哭了，八戒是有多想他猴哥啊
bb螂，好可爱
四大天王惨啊
6根就是主角，那个是残躯
闪回就是81难倒回去
筋斗云施法前提是有一朵天云
电脑配件都还在，显示器和机箱是是真的没了
这个模型原本是做来给狮驼岭用的，不过四年工期太短就被删了，但是模型还在
大肚皮也在帮猴哥
金蝉子
这是宝莲灯
应该是金蝉子，师父也来帮他
黄眉:啊定风珠
披挂呢？
兵解
这是让我不爽的一点，筋斗云是神通法术，不是交通工具，打七龙珠那开始才成了交通工具
他是唐僧啊
注意流沙河这里，八戒的牙要断了
这是狮驼岭青毛狮子怪的废案再利用
他是吴承恩
打开生死路，你让我好生羡慕
咧嘴一笑！
6666666
迪迦:就是这样
泪目QAQ
青岛逆行打人女~
彩！彩！彩！
杨戬也是不死不灭的
第六根在二郎神第三只眼睛里面
他是唐僧啊
最出生的一集（
一周目就可以解锁两个结局的，带金箍看完画卷之后别结束，点继续探索就回来了，再去打杨戬
玛莎
伏魔剑
东海龙王赞助
？漏剧情了？
好好好，这个我也是硬打过去的
我们崇拜的是齐天大圣 不是斗战神佛
有官方人员，赶紧做DLC，狮驼岭很期待，龙宫地府，剧情很容易写的
就是永眠，除非这个身死
打了一遍，我也破口大骂了
我站观音
这里大圣会坏笑
是金蝉子吧
为什么我感觉八戒原型被顶飞的时候很可爱
法天象地
看神影图，个人觉得就是金蝉子
好！好！好！
金蝉子或大圣的一根猴毛
杨戬说过没有人能杀孙悟空除了他自己，所以天庭也没办法
结了龟
天命人就是孙悟空，只是假用天命人的假名行动罢了
《影神图》——大圣残躯：题诗：借卵化猴完大道，假他名姓配丹成。内观不识因无相，外合明知作有形。”
《影神图》——大圣残躯：题诗：借卵化猴完大道，假他名姓配丹成。内观不识因无相，外合明知作有形。”
帅
所以葫芦老头是袁天罡的叔叔
大圣！
人话：6.75吨，拖拉机能拉8吨
背后的旗呢？
好一个棒一根
好!
就是兵解转世
1
你这筋斗云是猫仙人给的而不是菩提教的吧
我要叫他龙床坐不安稳
藕丝步云履
八戒的牙是收沙僧的时候断的，第六章结尾动画有几帧镜头
好文案
不是，没玩过黑神话去玩儿玩儿行不，杨戬都说了，大圣是自己兵解，为了脱下金箍
飞廉！
意根被拆开了，意在杨戬那，根本是天命人
第一只鹿
青狮用的是刀
这就是眼见喜的样子
第六根其实在杨戬痞颜里
孙悟空大闹天宫的时候走到门口就和王灵官碰上了，这位更是天庭战神，都和猴子五五开了
帮他熟悉法天象地
是大禹治水的棍子，但不是大禹造的呀
我不配
二郎神没有文献说叫杨戬
有没有可能龙珠借鉴了西游记的筋斗云
大圣的一缕残念
5.2w+1
751
狮驼王事狮驼岭的原主人，得知悟空被压五指山便一人前往救援，然后被各路仙佛围殴致死！然后大鹏才占了狮驼岭
精彩！
不会是观音，观音可是派了黑熊去杀悟空的，可没这么好心
你好像在这说书
看血条没了把我吓坏了
问题是杨戬是神，不是妖。
不破不立
八戒变成地形不算队友。。。触发孤立无援
他是斗战胜佛
这里有错误，存在天眼里的是记忆，不是第六根
杨戬的妈可是死在天庭手里～开山斧原来是为了劈桃山救母的
意根的图标，不是紧箍，而是“被摘去的紧箍”
应该是根器，弥勒说过担心杨戬被侵蚀，仅仅是记忆不至于让杨戬走火入魔
斗篷呢？斗篷
如意金箍棒应该在如意，能随主人心意变化才是关键
注意看倒影
注意看倒影，魔窟啊
隐藏线来啦！
这是打败杨戬听见回忆的最后一句话
这是影神图文案
注意啊，这个是太上老君炼制并没有特殊去指给谁
弹幕别急啊，先看着
地狱火（）
紫金凤翅冠
如来:他还得谢咱呐
青面獠牙还不能是兽的模样？我请问该是什么模样？
报告老板
卧槽
本
融石为铠，挥焰成袍
圆梦能飞
那不是第六感，只是大圣残躯，老猴子说意没了，大圣死了
我觉得就是孙悟空
六耳猕猴的设定应该改了，可能和大圣人设关系也不错
那个不是长眠，而是孕育新的天命人，等着下一个轮回
我打杨戬死了10遍了没过去
天命人就是孙悟空，菩提老祖都说了天命人是他的故人
就是花鸨，可以跟任何鸟类繁衍，烟花场所借鉴的名字老鸨，就是这个鸟。
老君给大禹炼的
个人觉得老猢狲应该是圣大大圣孙悟空里的 爆缸吧22332
看到地上的水了吗？大圣放的
不是 定海神针  么？
？？？？？？？
那是朝阳
歌未竟，东方白
第六跟是天命人自己，不在别人手里
破而后立，传承精华，去其糟粕
丰饶玄鹿
人也是这样，终究死但意念会传承
我是准备摔得粉碎的
没去梅山，只有戴金箍六根才是完整的
广智救我！
大圣真正的意，是在二郎神那
撑杆的老猴子，是唐三藏
我去，隐藏剧情
地狱火
天庭都下来把孙悟空干死了，那为什么会给他轮回的机会呢？让他再闹一番吗？
藕丝步云履呢
好像蚍蜉神
四个仁济
我打到这的时候一般就开始叮了
金咕噜棒
是观音，菩提不可能再给猴子带金箍
剩下那一半就是那些佛
下面的水不是水，是大圣放的海
偷袭！骗
勾失鹿
兰花螳螂
好！
冷知识：原著中的凤翅紫金冠并不是我们现在常见的吕布发型，而是两个小翅膀模样的羽毛放在冠的两边很小
这个可以挂机，让八戒来打
天庭传奇四大保安
最爽的一段
那杨戬的那个是什么
守望悟空-归来
筋斗云啥时候成法宝了
就是天命人获得了孙悟空的记忆
我堂堂真武大帝怎么一副鸟人模样
不应该是定海神针铁吗？
被赶走的
在石头里面那只能是孙悟空自己了
金蝉子
摔下去也直接摔王灵官身上了呀
吴大师！可不可以教我幻影旋转术打大圣
这时候有箍吗？
终于有作品里面表现猴子的法天象地是猴子不是猩猩了
可以理解成筋斗云是呼唤出来的
老猴子：对，我单杀二郎神抢来的
齐天大圣永远都是齐天大圣不是那什么斗战胜佛
不是哥们，你真的玩了吗？
？
NND，难怪那么多猎奇二创，这天眼是真的像币
八戒真菜呀
铁扇公主:你也?
修仙界中的一着险棋[兵解]
金箍棒能控制大小，还不能控制重量不成？
不是大禹治水用的棍子吗？
石父杀了石子杀了还有石母我没收集到？
都打完一周目了才看到神器的介绍能克制相应的敌人。一周目我都是硬打过去的。我真傻真的
少根定海神针
通臂猿猴。
广志救我
杨戬也是肉身成圣，想效仿大圣那样摆脱天庭控制
如果金箍碎了，那将是绝杀
等等，狮驼王是狮驼岭的吗
顷刻炼化
阎王爷都打不过大圣，怎么死的呢？
青面獠牙不是狮子脸
这是还原当年斗战胜佛大战天兵天将的场景吧
二郎险胜真君
呜呃呃呃大师兄
杨戬的法天象地就是青面獠牙，刚开始的时候，巨灵神也是那个白象变的，那只老鹰不知道是谁
我这一趟，可能回得来，也可能回不来
拿金箍棒一戳不就到了吗？
！
紧箍咒紧箍没了，但咒还在
我看过一个类似同人的版本，那六耳猕猴乃是孙大圣的弟弟。
果真，是个好猴子！
可不看不清未来嘛，本来都得看主编
狮驼岭的青狮好像就是用的大砍刀
前世的记忆
真的是你呀
我觉得应该是斗战胜佛的神位
大圣也得吃芭蕉扇
纯复制影神图的也是巧妙上了
这些闪回不知道有什么寓意，等待解读
齐天大圣 美猴王
“不必时时怀念我，也不要指望我回来，我离开以后，你们就是我，人民万岁！”
是因为四大天王的法器互克，才一个一个上的
监管者携带挽留
不配
有才
别人有可能菩提老祖绝对不可能，菩提老祖不可能亲自给孙悟空带箍
oh
前面的他这个模型用的就是青狮的废案
火焰附加
风灵月影呢，救一下呀
天命人：不讲武德
我勒个萨瓦图嗯啊
别杀它~他只是个走丢的孩子
地狱火
原来是拔戒啊
地狱火
八戒的牙齿就是在这儿断的
西方想要的不是齐天大圣，而是一个头戴金箍的斗战胜佛
盲猜锁子黄金甲
悟空的死是他和杨戬做的局，本意就是摘下金箍
十五一盒芙蓉王
打到第二章的我更期待了
八戒猛啊
好啊！
增长天王最难打
还有一根其实在裤裆
这个应该不叫青面獠牙而且也不该使九环大刀
彩！彩！彩！
火眼金睛吗，没有炼丹炉就只能用火烧？
孙悟空怎么开一刀斩了？
这庙好像猴哥变的撒
我的旅途已经到此为止了（）
前面的在这个世界中 我觉得是大圣的各类物件都孕育出了灵性比如云
芭蕉扇也分阴阳，阴的能灭火，阳的能助火
藕丝步云履
白给四大王
所以大圣接杨戬之手自杀的，为了解除金箍
未来佛
乱改是这样的
他应该是金蝉子吧，八戒喊的这么亲切
这是拿了通臂猿猴的擎天柱？
吴承恩（dog）
你仔细看原著呀
为啥不用金箍棒
应该是大圣的佛位所化，人虽死但佛位还在
不就是转世吗
不是永远长眠 是进入轮回从石猴开始
不是原型，就是法天象地
别瞎狗叫了，明明在杨姐那儿。
老猴子说的话还能都信吗 给你带箍的人
是熔了别的，是六怪
避火罩
这一三连，敬大圣
最后斗战大圣残躯，虽然辛苦，却也十分动容，几度落泪
这是妙音打到花果山了么
哟西封面头条
猴哥！猴哥！你真了不得！
打了杨戬就不会戴金箍
梅山要看封神榜才能懂
法天象地！
（爆笑）？ 。
常态六吨多，重量应该随法力变化而变化吧？
这杨戬有点像韩立
第六根在二郎神那里
最开始的眼见喜吧
哪有日落红尘，只有前四章壁画
借的某龙
弥勒是未来佛，现在的事都和他无关
鸡皮疙瘩起来了
放毒时马楼就老实了
点翠是用翠鸟羽毛做的装饰
金角犀 部位破坏
巴掌脸
原著都是马上下手天上下来个神仙叫悟空别动手
猴子上单，不给就送
有人说老胡孙大概率是唐僧。
但是原著武器用的还是三尖两刃。不是大刀这分明就是游科赶工用的青狮模型
这段放出多好啊
我逃不掉 你也逃不掉
弥勒什么都知道，而且他一直置身事外
四个护法人机
好诗
戴上了没关系，别点轮回点继续游戏还能去打杨戬做好结局
王灵官原著里也孙猴子打的也不分上下
跟紧时事
这下懂了
？这火能扇灭，我还专门换的避火罩
爽
二郎神：扣一送地狱火
BB螂
英卡洛斯
紫金花狐貂：so？
那便一去不回罢！
是随心铁杆兵
游科就是想让玩家自己做齐天大圣
老猢狲那一句“孙悟空，早就死了”让我听讷了
卧槽这剧情yyds
序章是老猴子讲述的故事，真正的大战是大圣一己之力 力战 二郎神 牛魔王 黄眉 黄风大圣 黑熊 百眼魔君 四大天王加上十万天兵
就是青狮精
真君法天象地描写是红发青面獠牙，没有说是狮子形象
啊？我？当下一个孙悟空？
486
靴子
太乙雷声应化天尊，道教第一护法，社团的双花红棍。
二郎神＝张翰
原著就是这个描写
弥勒佛！
懂了 开始找原套装备了
看见地上的水了吗那是大圣放的
筋斗云不是法术吗，怎么变坐骑了
四大天王：我*********
玩家:我也觉得我不配
这叫解说吗，这不就是流程梗概
能不打它吗？
黑神话：杨戬
前面那个说金蝉子不会说谎的，他确实没说谎，他只是想再等一个事实，他只是在按照天庭的命令像弥勒一样行事，他只是想等一个结果，看悟空真正的摆脱了这个轮回，就像他曾经跟黄眉的对赌一样他只是一个局外人
地狱火
。。。。。。。 。。。。。。。。。
四大肥物正式登场
原著里也没说二郎神是个狮子
感觉杨戬侧脸好像张翰
道教第一护法神
龙珠照抄我们西游记的别说反了
鹰角？
法天象地在原著中会改变样子。
青面獠牙并不是狮子头啊，可以去搜一下难道狮子头改一个颜色就是青面獠牙了？
老猴子是唐三藏，然后传给甜蜜人，那些法术的那个土地公其实是受菩提组织的命令给天命人传授成功的
他是金蝉子的概率特别大，剧情里有提到金蝉子
大圣套
杨戬老反骨仔了，要不是打不过不然早反了
前面的，原著中杨姐的法相就是这样
《找迪迦》
那老猴子不是说了吗，天命人本身就是意，是新的意根
便一去不回
是杨戬在帮助大圣，前面的
←因为剧情被削了一大段。按理说应该是在狮驼岭获得的技能。但是赶工期消掉了。
喊八戒的无非就那几个！
工期不够，把素材拿来用了
想起了«金银»：在他眼中金银是他童子，泼猴才是妖精
自兵解了吧
有人说他是金蝉子
有dlc
前面的你俩说的其实是同一个，白骨精猴哥被赶走，下一个就是是奎木狼
好好读读原著去吧，原著二郎神变大就这样
法天象地不是等比例放大，有点像现原形的感觉
原著就是这形象
啊！云鹿的冰风原来也能用定风珠？
杨戬:丸辣
甘  文  崔   山
唐僧不会说谎?
黑币
掉装备了（物理）
帅爆了
真结局
炸出原形了
顷刻炼化
b螳螂
其实才5吨多
朱允炆的梅山？
天命人也干了
这是玉帝的右手
凤翅紫金冠
孙悟空早就死了！你选的吗！偶像！（抱一丝，走错片场了）
火焰刀
不识灵山斗战佛，只认花果齐天圣
道家的神，明王的象吗？
好解说
通臂猿猴叫悟空去菩提那里学本领的。所以这里的猴子知道也不稀奇
都看到这了，点个赞吧
总感觉天命人就是悟空的轮回
7000+的人出来
坏咯 这可是个大神
芭蕉扇不灭火，火焰山咋过的
那声八戒，金蝉子概率超大
锁子黄金甲
《火焰附加》
剧情里的猴又不知道
唐僧不知道有菩提祖师啊
唐僧
隐约说他不配，实际上也是想保护猴侄子不想让他再走大圣的路。
他就是金蝉子。
就是三打白骨精，被气走的那一段，我怀疑你看过西游记吗？
会不会有一种可能，这压根不是法天象地，而且二郎神被天庭做了手脚然后和青狮融合了，毕竟巨灵神比四大天王大，现在我们却和四大天王一样大，说不定这是现原形而不是法天象地
好似
鸡腿神教
浮屠塔有七面墙！却只有六幅画
藕丝步云履
青面獠牙除了狮子脸都挺好的，本来应该是夜叉或者修罗脸的
我又不是不空，杀个狐狸别别扭扭，我就杀了怎么了
鞋子
力量刚刚好，懵逼不伤脑
要不是我是哑巴  我也跟着师兄破口大骂了
杨戬描述就是这样
踏碎凌霄 放肆桀骜 大圣爷爷
这四个，三个人机，一个气氛组
这里不是三打白骨精，是奎木狼那段。
应该是用了青狮精的模型但按设定上来说还是杨戬。
啊？
这里其实是天命人
哈哈哈哈山东人表示真实
这不就眼见喜吗？
天庭本来就打算斩草除根，这群猴子到最后还不是要没
那老登呢
大圣对猕猴好像很不舍
花果山的孙悟空和狮驼岭的青狮
老猴可能是金蝉子，说大圣不可能复生可能是因为他认为六根中的意已经消散了
拿青狮模型套的
反骨仔的惺惺相惜
为什么不ban猛犸？
第六根在杨戬天眼里面，是牛魔的老猢狲手上
潘红与狗
回马枪
四大天王，医保卡已作废，请找财神重新办
先翻滚灭火啊（doge）
锁子黄金甲
这些器不光有器灵，还有脾气
藕丝步云履
这个王灵管是真tm难打。
相称chen
真假美猴王
不打二郎神没有意
消化道让它干穿了是吧
待会儿打杨戬
原来是拔戒啊
金蝉子不会说谎得
一会是不是还要打个易碎
或许那个不是人头，是荡平一百二十魔窟里那一百二十魔头的骷髅头？
筋斗云就是这样的啊，原著里叫筋斗云是因为大圣上云是翻筋斗上去所以菩提祖师赐名筋斗云
三大反骨你当开玩笑的？
帅啊
唐僧不知道菩提祖师
忒休斯之船？
忒休斯之船？
来不及做了
八戒是自己跑的
卧槽，我千不该万不该去带那金箍
巨魔之王
筋斗云变得和龙珠设定一样了
地狱火来了
好好好，为了自己的自由，开局就葬送了一花果山的猴子是吧？就这么当大圣的是吧？
锁子黄金甲？
黄金锁子甲
这我怎么翻译给老外玩啊
杀了就杀了别找冠冕堂皇的理由
原著解说风格
弥勒佛，菩提老祖
况且真君兵器多了去了，你不会就知道那三尖两刃刀吧
原文可没写真君法相天地用的兵器啊
可惜。无论如何杨戬永远不可能摆脱玉帝外甥的身份
哭了
真正的齐天大圣早就死在了那次真假美猴王里了
用心了，宝藏up主，这种才应该火的啊！
这是吴大师（）
这是斗战胜佛的佛位，化形的猴子，也可以说他就是孙悟空，不过是另外一种，杨戬不是说过吗？他是封了佛位的猴子
以命脱箍
不是在杨戬那儿吗？
碧臂螂
那只老猴子那确实有，后来见了天命直接给他了
到头冠了吧
二螂神
老猴子可能是斗战胜佛，可能是观音，可能是如来，反正就是佛家的人
金猴奋起千钧棒，玉宇澄清万里埃
山河社稷图
青面獠牙可不是这样，这就是游科偷懒了，借用了砍掉的狮驼岭青狮精的模型
锁子黄金甲 好好好
第六根就是天命人自己，吸收不了。
我去，对哦有定风珠啊
铁扇公猪
关系户哪里都有
擎天白玉柱，架海紫金梁，随心铁杆兵，定海神针铁
天命人到这也算是有大神通了
他应该是唐僧
丸辣，王灵官来辣！
必须三连
好啦，火魔形态来了，待一会儿就放火魔斩
这玩意我追了好久骑着云飞了好久
三国演义联动
就是现在小杜！！
不懂别瞎说，这是原著中描述的。红发青面高如山丘面色凶狠
那玩意是斩魔剑（
看到这里真的是很心疼二师兄，他真的很想念大圣
其实这么多年我们心中的大圣就是齐天圣，而不是什么斗战佛
一人一狗，是富兰克林
剧情是这样说的
可是当时大圣打我那根如意金箍棒看得我真是汗流浃背（
五个光球啊
因为就是青狮爆改的，工期不够了
可能是大师兄的佛位吧
因为有一半的妖精和天上的神仙有关系，所以杀不得
地狱火
菩提座下学神通在拿龙鳞的墙上，是壁画
青面獠牙可不是狮子脸红鬃发，更何况身上还是骷髅甲，连手都是兽爪
他配吗！
天命人：我这人心善，看不得你们石头一家受苦
重击可以把犀牛角打断
老猴子应该是斗战胜佛这个佛位所化的
任尔几路来，我只一路去
其实这些黑色的碎片是大圣的记忆，意就是天命人自己，差的是残躯的力量。
装备成精了
描述再怎么青面獠牙也只会是巨灵神那种法相，这里就赶工了，改了青狮的模型，身上一堆邪性玩意都没去掉
梅山探真
碧臂琅是真他妈难
黑悟空·归来
凤翅紫金冠
黄金锁子甲
城里奶奶！
这就是狮子模型 原来的狮驼岭砍了新建模来不及用狮子顶上的
紫金冠
但是天命人为什么这里会法天象地呢？
三件套
原来这个结局是这么触发的！
就是在划拉胃，八戒高低落个胃穿孔
你家的青面獠牙是狮子是吧？
都是西游记章回的名称
你们这群整的 就跟云玩的隐藏结局过来秀似的 常规流程 你都不知道杨戬在哪儿呢 正常引导 正常情况就是去那儿
5个球
应该是序章的时候猴子就死了，后面只是二郎神和妖王分六根
有天眼也不过是模型雕刻师加几下的事，我觉得还是废案再利用
他是斗战胜佛，孙悟空的另一面
也算是啥都玩了，就没打过这么气人的boss
没记错的话，好像是时间不够了。就用青狮精模型代替了，
我不承认大圣会死，永远不会
第六根  意被二郎神藏在了第三只眼
这里有个细节，打架时杨戬天眼一直是黑的，现在有了眼白
六根在二郎神那里，什么猴子那里，你做隐藏支线了吗？
因为游戏没做doge
鹰角
我若不杀了它，我又怎知它是好BOSS
你是哪里来的夷人？我这大圣部下的群猴都是一般模样，你这嘴脸生的各样，相貌有些雷堆，定是别处来的妖魔！
猜这是孙悟空的甲
芭蕉扇不灭火逆天
不能灭火，那火焰山当初怎么过得
原著中就这么描写的青面獠牙一圈儿红毛
意是自己的，这里只是用回忆让天命人知道大圣想干什么，天命人该干什么
已经有500多难了。
500多呢。
现在早已有300多难了。
你有300多呢。
原著只是描写了面貌，这个身材矮胖真的难绷，而且原著明说法天象地二郎神也是用的三尖两刃刀
还有称心铁杆兵
好嘛，小彩。天命人变身后的法相天地是大圣的石猴第一形态。
永远只是最和平的一个boss，但却必须杀掉他才能集齐。这一根。
其实是玉帝指示的
我记得不是在二郎神那里吗？
法相再怎么青面獠牙也不会是兽的样子吧……
为什么是二郎神的法天象地是只狮子 ？
看似实在讲故事，实则教你怎么打BOSS
三连，我要你有何用？
芭蕉扇是灭火啊
杨戬应该是恶鬼像，这已经是猫科动物了，就是狮驼岭的青狮借用
他并不是真的效忠于天庭，而是恨
不可能是奔着天命人来的，有可能是清理猴子的时候没走
如果能像大圣归来那样就行了
这石人可以不打了，没必要这么残忍
我觉得他是大圣佛位的化身
最后还不是死了
？芭蕉扇可以灭火？
再锻金身
忘了找爹，不孝该杀
鲜活的面容
虽不如师父但还是师傅啊
讲的跟个说书先生似的。
良作暂无人，币己留下
豪辣！
不好！存档完啦！
悟空他不会说，也不可能会说，但是这是他的死海，这是他的记忆，他记得他在这里学过，所以不可避免的展现出来
这段cg老猴直接喊二师兄“八戒”，有可能会是师傅（金蝉子）所化
准确来说，孙悟空的灵魂与天命人的灵魂合二为一了
这犀牛真的硬
只是吸收了五根，第六根一直都在天命人体内
原著中有一段描述就是这个样。
这个有重瞳，是重明鸟吧
水浒，西游，三国分不清了。
这已经是西游的几百年后了，金蝉子转世也不是没那个可能
"其实就是,只不过狮驼岭那一部分被遗弃了"
这里是天命人吧因为以接受大圣意志了
二周目再放过你们一家吧
这段真的泪目
定风珠：你明明装的芭蕉扇
历代驰名第一妖！
演都不带演的
↑水浒，西游分不清了
二郎神法天象地是明王造型，这里要么是制作组偷懒，拿废案的青狮顶替，要么就是这个二郎神从一开始就是假的
注:除了刚刚说的几几难剩下的这些都是西游记的章回
前面的看原著，原著里面的二郎显圣真君的法天象地就是青面獠牙红发
这可不是青狮，他有天眼
那老猴就是金蝉子
BB郎
前面的建议你看原著再说
说白了就是过往记忆，这种东西是没办法藏的
因为偷懒了
可以用芭蕉扇灭火！
金蝉子退化了？前面那些。
这赞我留着有何用！
"原著中其实我读起来更像不动明王的样子,这样确实有点像青狮，但描述也对得上"
这四个天王换大圣来都是当小兵刷的
参见大圣！！
原著中对二郎神的描述就是这样的。
真君原型就是青狮啊
铁扇公猪
太肝了
铁扇八戒
怎么越看越像青狮啊？
有后台动不了
塘主。。。。
彩！
联动《三国演义》
大部分猜金蝉子
地堡这个真是以前的说书风格啊
牢猴可能是金蝉子
这个石子是好的啊
还有可能是唐僧
这个文案结构好巧妙
偏偏没人说他是金蝉子
黎明，还是黄昏。黎明，我们就是那轮骄阳；黄昏，他就是那道意志
