酵父（bushi
触发连招
叫    母
[ohhhh]
[OHHHH]
搞科研的得有你这样的劲头
想起大学时候学微生物学，棉花塞都烧没了
嘤嘤加油
你可以放在桌子上
方猫拆的
哦？
@小高姐
我校友还曾从丝袜上找来酵母做酸奶
8万块都能上奥林巴斯dic了加荧光一套了
这个涂抹手法标准的是转平板涂，小朋友不要学这个不正规的手法哦
哈哈哈哈
大罗加油
说谢谢，不说我就说：sorry……
大制作啊
回收二手显微镜
恭喜恭喜
恭喜 up主！
[ohhhhhhh]
[ohhhh]
小小的真的很可爱
小小的也很可爱
怎么这么像EVA
[ohh]
酵母补完计划！成功！
就凭这毅力都值两个币！
为什么不能是强自
啊？
[ohhhhh]
[ohhh]
上上期：这种粘壁现象我们称之为粘壁（
猫砂（幻视
[ohh]
行吧行吧，不就是币嘛，给你！
加对照组发起来那个，你是天才
这下看懂了
大舅哥好
喜上眉梢
你的是野种
加温
在你面前展现的是上千年人类驯化酵母的最终成果，三体人，怎么说？
你看到的是酵母的家和食物
啊
同志们，让我们联合起来
进入大学的下一个阶段：延毕
郭敬明啊
里面混入了石油
照射紫外线灯
少了看不见，多了还看不见吗？
牛的
不念高中导致的
吐口唾沫
好用，不好保存
老罗辛苦！！！！！！
之前放下的心又悬起来了
继续养，乳酸菌除杂菌
[ohh]
教母
教父的老婆
米酵子米酵子米酵子米酵子
以前黄酒馆里的酒糟用用杂粮面拌匀，晾干，蒸馒头时用一点
你看到是真菌培养基，跟酵母没关系，放了酵母，你就能吃到酵母的粑粑
我要真菌呀
教父之母
教母
啊？
酵父的老婆
[ohh]
啊呜～
酵母教父
老肥
你再骂
教父的老婆啊！
尽一切恶得须陀洹，然后布施远离诸苦，受苦众生令得解脱，怖畏众生令得远离。
蜀汉老面
大罗加油
为什么不能是酵公，歧视男性吗
还有那个耐糖酵母是啥？
谢谢第一次听到砖头叫
cc110   幼兽？
我……我留级了
我家以前用面肥，有的地方应该是叫老面吧？
面头
郭敬明
教母就是教父的媳妇儿
那你打电话去问问教父
吓得我直接关注了
厉害
哈哈哈哈
[OHHHH]
高中生物选修
好厉害
[OHHHH]
这种人不成功 天理难容
好像只有酵母菌能在酒精里面繁殖是吧？也不是繁殖吧，就是存活
等会！！！这谁！！！？？
刚好上八上
从隔壁音符来的，只为给这位同志送上一个三连！
大罗加油
[ohh]
《 在 家 》
酵母比较耐酒精
酵母群
酵母菌公司:我花30年选育的酵母被破解了？
如今的书圆滑了
努力值得一键三连
忘了
面团恒温环境下放久了自己就能发酵，然后发酵的面团就是一大块酵母。
酵母菌也有很多种类的，不过外观确实大体一样
有酵母必有酵子
哈哈哈哈
[ohh]
？
稀释度不够
[ohh]
我在月球住，这个能防伽马射线吗？
葡萄皮上酵母很大程度上来自土壤
[ohh]
大舅哥
果断选A
呜呜呜、、、、、
酵母也干了
哔哩哔哩干杯
.
你再骂
面蛊
大罗加油
还好有点效果
加酒精，大部分天然菌种都无酒精耐受力，利用酵母能生活在一定浓度酒精溶液的特点筛选出较纯的酵母菌
哦哦哦哦哦哦哦哦
@影视飓风
[ohh]
你再骂！！！
《进度条与八万》
你币有了
[ohh]
[OHH]
就是大学生
可以找有显微镜的单位借场地用
贵替
[ohhhh]
啊？
酵母是啥我不知道，但你，我的朋友，是酵父@
哇，幼兽
看开点，可能是天然酵母发酵的呢
很好乳酸菌来咯
骄傲的少年
这就是知识的力量！！！人类数百年科学文明的结晶！！！
我初中都没上完你告诉我，我大一了¿
你再骂
后面不有斧子吗
"大佬都叫罗,罗翔,罗永浩,鹦鹉罗"
葡萄或者厕所
葡萄园要多一点吧
没想到高中竟然是遥不可及的地方
谢谢金主爸爸
走闲鱼
面引子
@小高姐
这是高中的
xiao！
谁还记得他是个美食博主
干酵母:不知道，导员说有学分就来了
绫波丽
右划三次
《核锂》
[OHHHHHHHH]
这就是老面酵母，小时候都是用这，用高粱叶包着发酵，每次蒸馒头切一丁点就行，一个能用一年
用完记得归位（
不道啊，问问电视里的酵父吧
[ohh]
加油
找影视飓风，tim
快乐高中生物。平板划线法。
平板划线法（刻字留念法），稀释涂布平板法（摊煎饼法），我的眼睛就是尺（瞪眼法）
酵母菌：这一小块地里我就是天命。
这不应该是高中知识吗？
大学生：不敢当
哇！大舅哥，大舅哥！
这发霉有啥惊喜的不就是正常该出现的么（）
我才看到，up头像这么抽象啊
要不读个研吧……我们研究生都没这么辛苦
不是，你，，唉～
636363636363636363，hm
[ohhhh]
拿个废液缸啊，哪有直接扔桌上的啊！
不是他就臭了么
30到300个，这个稀释倍数不够
稀释涂布平板法
真诚才是必杀技！
廖量变引发质变
[ohh]
给哈哈哈哈
想桃子
哈哈哈好热血
@影视飓风
[ohh]
[ohhhhhh]
呦这不翔安嘛
“不过是从头再来罢了”
这个实验，我从大专到接本再到硕士做了8年
连吃带拿，是吧
全是我们安琪的
泪目
[OHHH]
自制比买的贵系列
谢谢甲方爸爸
这不还是高中生物
第一次看菌片有点紧张
11岁大一新生报到（bushi）
把时间交给酵母菌就好了，二氧化碳和酒精会解决一切对手
工程管理专业大学生，泪目了
初三生表示为什么你们的生物书和我们的不一样？
我才初二就已经上大一了吗？
啊？
[OHHHH]
？
酵母？那不是郭敬明吗？（胡一菲音）
不是刚上完那个
多少带点私人恩怨
是奶粉（真的
去影视飓风借一台
热知识，干酵母一袋1.5块，能用一个月
优美的中国话
初中学过富集液
@影视飓风
惊现韩语
高兴
爆！
[ohh]
cccc，一切都熟悉起来了，怎么刷个视频都是这个呀
[OHHHH]
安琪打钱（doge）
[ohhhh]
安琪酵母是个国有企业来着
啊？！
[ohh]
所以up最后是培养出恐龙了）
感谢甲方催更
好像猪叫
是不是里面有石油
每一根毛都看得清清楚楚
刚才那段加油像是AI生成的
美的你牙疼啊！
[ohh]
[ohh]
布什·戈门
我是外星人，想问下防伽马射线吗
+
[OHHHH]
我以前认识的一个朋友现在就去安琪总部搞研发了
收集的野生酵母肯定没有代代筛选的商用酵母效果好啊
《省钱》
哦伊嘻！！！
实验室多年筛选出来的酵母VS野生酵母。
其实就是真菌太多引起的菌落而已
去一拍即合
这不得发篇natural?
[ohhhh]
是犯罪高手
[ohh]
为什么里面会有酒精灯
大学生:这个锅...你别说还挺有道理
除了半干的，剩下两个我在米旗用了三年
[OHHHH]
[ohh]
遨游～超纲
这你得问教父啊doge
教父的老婆
你管这叫厨具？雏菊吧
懂了，自己亖
遨游！烧脑～
[ohh]
应该和洗衣粉，洗衣液，洗衣凝珠一样的性质
That's good♂
本生灯呢
安琪酵母，真就国内酵母霸主了
用镊子夹啊
鸡精
酵母看不见，有培养基啊，培养基你还看不见吗？
同款键盘
自己死？
妹妹单身不
哈基米米，米基哈哈
我家没有这样的的设备
老教母带带我
酵父
为什么奖励他
放太阳底下晒一早上就好了
你放三星期试试
加点小苏打（
一个经典的中译中
老教母看看我
酵母还分南北 你们没面包 馒头？
啊？
干土木的受到一万点伤害
改变结构，降低硬度增加韧性
这就是一切科学必须的探究精神
那团面臭了都发酵不了
包面团的时候放酵母可以让面团呈现蜂窝状，然后变得更软
好专业筛选的筛选
平板划线分离菌种
蘑菇，真菌
贤者之石
酵母集合体
培养基
B
啊？
[ohh]
浸泡——
阿狸？
酵父的老婆
草，有被冒犯到
大舅哥做到的面真好吃
感谢甲方爸爸
[ohh][ohh]
[ohh]
美食博主家里有台显微镜也是很合理的吧
无敌费钱（Doge）万元起步
为什么不用马铃薯呢？
特么有石原里美谁还做实验啊！！！
生物人狂喜
筛选培养基
鲁邦种
不去实验室上班可惜了，too
加油！！辛苦了！！
每一个毛孔都看得清清楚楚
[ohhhhhh]
[ohh]
太牛逼了
终于又更新了
最早，更了！！！
[ohh]
你猜他为啥叫酵母
大曲酿造
[ohh]
@影视飓风
分离单一菌种的话首尾不能相连
高中生物书里也有
微量移液器（
纯化（
废——液——缸——
[ohh]
大罗加油
失踪人口回归。
风扇：看看我
肋木了
大罗加油！
[ohhhhhhhhhhhh]
[ohh]
加油
大罗老师加油啊！
原来是accsoon啊 致讯图传
这我学集贸啊？
学微生物的最熟悉的一集
太有实力啦
不是，你真有啊
土木狗表示保证不弄亖你
大学生表示很淦
美食博主想要的實驗室
《也》
建议在葡萄皮上收集酵母菌
幼兽啊
泪目了
做酵液
收手吧 安琪酵母2块钱一袋够你做一笼馒头了完全是浪费时间
[ohhhh]
妹妹可爱吖！
才注意到妹妹是钢板
这是大三食品微生物学课都看不到的珍贵视频
才注意到妹妹是钢板（bushi）
是妹妹！可爱捏
第二话 酵母 袭来
酵母补完计划
啊？
燃起来了
pipette來力
未看先三连
绝版教材！
还是发酵了一点点，和直接暴露空气中一样，2333
[OHHHH]
智能建造doge
大罗加油
土木学生看到这笑容戛然而止
既然天坑抽了吧（Doge
笑母
工业与手搓的区别
三连回血
可以看出up家里的容器不太够了
牛啊牛啊
大罗加油
@影视飓风
[ohh]
大罗加油
穿越者必学技能
凌波丽（确信
vanの暗黑♂吟叫
[ohh]
钓鱼佬狂喜
这个还挺好用的 防晒不错
这防晒效果真的不错
这防晒效果真的可以
依克多因听过 好东西！
依克多因！！！
依克多因好东西！
不是，您，初中，没上过吗？无嘲讽意味，
牛逼
慢发酵的面包很好吃
YPD培养液主要成分酵母的碎尸。
藤原豆腐店
酒精灯呢？
连吃带拿
我都看饿了
节目效果拉满了
pad
懂了，up就是为了把我不打算做的事做了然后提醒我不要去做
哈哈哈哈哈哈哈哈哈哈哈哈哈
机泥太霉
让影视飓风来给你们，指导一下，还有他那边有专门搞生物的人，仅用于一点点不一样的部分拍摄就招了那么几个人，影视飓风真牛逼。
8万，我的天
恭喜恭喜
[ohhhh]
咳咳。。有被唐突到
如何在家制造航母
首先排除是女朋友
酵母不是泰勒斯威夫特？
基 因 种 子污 染
霉 关 系～
妹妹好看，以后多出镜
看着不像妹妹，恭喜up找到女朋友了
恭喜 up主
大舅哥
看你不就是看绕远路么
人家是商业化几十年，那菌种实际可能已经筛选上千年了
30年有新发现吗？
666
怎么还连吃带拿的？
辛苦了
获得了高糖酵母
为啥不养老面团啊
利用酵母菌天生不怕酒精的优势，妙啊！
阿弥陀佛 阿弥陀佛
别勉强，放着我来娶
重新定义好吃
实验器材煮面，大忌！
官方：名字过长！
很喜欢b站网友的一句话：
啊？！
重新定义一点点
使用需要先活化？！
更了？！
重新定义肉眼可见
自我宣言
朱罗纪公园
超净台都有了 不整套移液枪用用吗
一次性的？！
重新定义你好
微观？！
重新定义正压
半干酵母挺有意思的，既有鲜酵母地风味也和干酵母一样使用方便耐保存
[ohhhhhh]
重新定义一些
国际通用友好手势
重新定义我的
重新定义略
那当然，商品酵母都是优化过多少代的了，哪是新人能比
重新定义合理
涂布棒？？！
加油吖！努力不懈的大哥哥！！！
[ohhhh]
老面酵母这样有更多风味，有的人就喜欢老面发的饼
卧槽，冰！啊？
BGM:柔和之光
卧槽牛逼
看到这个已经开始头大了
我做平板支撑时候用过（bushi
人家酵母是选育过的
美食博主家里有离心机？
连摇床都有？
？在家里搞菌
移液枪
为什么美食博主家里有超净工作台
搞葡萄表面的野生菌株
大罗加油！
狗熊妹？
恭喜有饭恰了
带上桶我们走……
小小的也很可爱
大罗加油！
可以了，青岛啤酒的酵母菌都上百年了
感谢甲方催更
废话，我不愿意吗？
吓我一跳，还以为是什么按摩仪
平板划线或者涂布
自由的出力是强袭的四倍，所以你加四倍的量就行了
这一把一千多呢
pda:马铃薯培养基
娶石原亏待你了哈
哥哥笑得好开心
厨邦酱油美味鲜晒足180天
移液枪？
生物样本
@影视飓风
看起来不错！这就下单干酵母
夜枪
美式
[ohh]
大罗加油
几个菜啊？
原来有这么多基拉
我又倒回去看了几遍
这声，有点催眠
没有废液缸
最短的捷径就是绕远路
[ohh]
我行，我能行，我一定能行，加油，加油，加油！
啊？
50包邮解君愁
[ohh]
加油！
问：up为什么只剩刺耳的声音
恭喜接单
同款酵母
哈哈哈哈
牛啊！！
我食傻碧
[OHHH]
おめでとう（鼓掌
我勒个小恶魔啊
笑死 背景是酵父
[ohh]
每个商品都是无数前辈们的积累
直接去实验室买菌种或是纯培养就可以得到单一菌种
我一般直接用枪头
格温不受影响！！！
指数爆炸
同款键盘
看到这里啦
生命大和谐
弹幕护体
你是肉眼看不见的细胞组成的，你猜猜我们怎么能看见你？
蜀汉老面
专业知识来了
[ohhhh]
有点热闹了
夏文镜！！
[ohh]
三连送上，牛！
好吃
大罗加油！
然后发霉了
大罗加油！
配方破解
[ohhhh]
美军（确信）
新物种，新物种
爷爷，你关注的up主更新了!!!
葡萄皮
笑死我就喜欢野的（）
哈哈哈哈哈哈哈哈哈哈哈
《你真打呀》（狂喜）
[ohh]
这时候不应该剪一个大家鼓掌说恭喜的镜头吗
海豹拍肚皮
借种
来了来了，吃完饭看到了
给整出一种未命名的新菌种就好玩了
挑选划线了
《菌               落》
能刷到这个视频的原因找到了，原来是车＋生物双buff
《菌                                                    落》
一般都是封口膜 报纸很少了
筛选然后挑菌培养
还有鸟语花香
哇偶
哈哈哈哈哈哈哈哈哈哈哈
。。。
啊？
老面
这一定是罗老师为了摆脱嘤老师之名而精心策划的计谋！
这好像是桃子吧
菌落：你好
选择作用
酵母是生物嘛
C罗加油！
勃勃生机，万物进发
大舅哥
把这个曲霉命名为AYANAMI REI 吧，双厨狂喜。
啊？
你为什么要奖励他？
币的数量比转发量多
[ohhhh]
.303+0.
全体起立
啊？
大量的酵母菌群干燥后的菌丝
是绫波丽
量产！！！！
不是，你是做什么的？
混进别的东西概率更大
哇哇哇，表妹
绕野路也可以造成这么好的东西，也算是牛逼了
培养个酵母还剪这么燃的屑
见证历史
啊？
[ohh]
[ohhhhhhh]
哈哈哈哈哈哈
加热到90度就会剩下嗜热菌
虽迟但到
百家爭鳴
行了，长不高了
恭喜
很棒了已经！！！！！
酵母界的牛马
[ohh]
你十年寒窗怎么比得过别人三代努力
哈哈哈哈哈全程有梗而且还是科学知识真的太有意思了
这才一次有啥好郁闷的，以前在实验室反复划板挑菌摇菌鉴定
有没有面点王罗根流传下来老面啊
[OHHHHHHHHHHHHHH]
喵的，梦回研究生实验室
[ohh]
[ohh]
赛文，加油（
这不得是强自？（
不是高中吗？
啊！？
让tim帮帮你
辛苦了，给个三连！我已给
谁家扎夫特菌（
列车来咯◢▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆
感谢甲方催更
用玉米等可以，我小时候都是家里自己做，做馒头一直感觉比买的好吃
狗熊兄妹梦幻合体
[Ohhhhhhhhhhhhhhhh]
哦！！！！妹妹终于又出镜了。
《还是不行》
你就不能穿防晒服吗？（）
少女的脸红胜过世间一切的情话
那是不是涂头发上不是就不会黑了
[ohh]
BGM什么啊！
你不知道我回放了多少遍
你想得美
牙签也可以
感谢甲方！
教父的媳妇——酵母
终于更新了
EVA含量超标
请问哪里能买到罗氏酵母
做啤酒啊
翻译：考大学
[ohhhh]
丝袜
甲方好眼光
艹！！！！！！！
高中就学了
哈哈哈哈哈哈哈哈哈哈哈哈
一个人要从千千万里筛选出和商用酵母一样的菌种，那要多少次实验，到多少地方取种，运气要多好才能相遇？
好烫！
[OHHHH]
活性没了
教母godmader
这些器械不会是金主赞助的吧
印度飞饼
挖哦
三连了
用吸尘器不是更快吗
这不就是面剂子吗？哦，怪不得我妈和面都要留一块儿，下次用。
把所以的加一起会怎么样
妹妹
啊？
老教母带带我
教母
干嘛，你要稀释涂布平板还是平板划线
《热辣滚烫》
妹妹！
老～面～
[ohh]
8w，我嘞个豆
酱油下半集什么时候更？
[ohh]
研究牲
上链接！
啊？
给这小子打爽了？
伟大 无需多言！
啊？
[『ohh』]
少了基因工程
三连，启动！！！！
哈，高二学过
？
烘干怕是就寄了
移液丁真：鉴定为没有叫母
厉害
[ohhhh]
酒蒙子酵母
[ohh]
加油！
所以兵长来需要趴着吗
做老面……
是不是含有石油？怎么长霉菌了？
加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
不怕有杂菌吗
干酵母补完计划（doge）
谢谢倒退一年
[美军]幻听
百大见！
元气弹聚集的过程
[ohhhh]
太强了哥
我们不也是这样走过来的吗
加油致敬每一位奋斗的生物学者和大师
[ohh]
[ohh]
[OHH]
三体人
[ohh]
好像用一些面粉掺水变浆，密封放一段时间就有了？
恭喜
洋起（确信）
大舅哥！！！！！！！！！
小高姐有做过
恭喜
啥！？
MC村民的声音！
也不一定，会有专门的牛皮纸封口的
啊？
全波段能放x光吗(
我去我以为你会用大龙，没想到用艾本德。
啊？
南方某早餐店主の儿表示：酵母就是一大块放在真空袋子里被压缩成方块的活性酵母菌群颗粒
大舅哥！
在现场我是空气中的细菌（doge
@地下科学家
@影视飓风
我家管这东西叫面起子
让他赚
原来是甲方催更
剑锋九章
[前方高能]
还有选项一:作弊
进度条:谁让你放音乐的？
我以为他是不小心给晒的
@影视飓风
@影视飓风
移液枪
你再骂
终于更啦
哥们直接修饰吧
影视飓风
蕾姆
好吃！！！
一拍即合
[OHHH]
“我去有没有搞错这么麻烦”塔派机器人
买
放大放大再放大，哈哈快看每根毛都看得清清楚楚
有没有哪个公司做这方面的考虑考虑招一下啊，招进来一边做实验一边给你们拍推广视频多好。别乱安排活就行
至少还是发了
好好好好
幼兽？
老面团和葡萄表皮可以试试
可以去试试家里的老面团，说不定有奇效
别骂了，别骂了
可以多平板涂布或者划线几次，这样更纯
划线法！！！！
酒精就是酵母菌的代谢产物，可以抑制酵母繁殖，但对其他菌种的抑制更强
、
葡萄皮上有不少
接种 大摇 离心 提质粒
开这么大？
更新啦！！！！
高中生物
真有钱啊哥们
可是  已经入秋了啊  军训也基本已经过去一大半了x.x
脚皮
泰罗加油
直觉告诉我这玩意比我们实验室的贵得多
可惜我是学机械的，接触不到（）
选修三也有的
谁火气大，快滋醒他
大舅哥做的面真好吃！
路人：真的是你啊
《酵母脱水了》
酵母是这样的，商业酵母只用发酵就好了，罗氏酵母就要考虑很多了
牛逼！
北方面食厨子科目一
《在B站看菌片》
老~面~
鸟粮（
要倒置培养
为什么刷b站像上班啊woc
这是大学步骤
挑单克隆！
我去，真拍啊
梦回八上培养菌种
步骤还是有点问题
大罗加油
吸吹混匀！！亖去的高中知识开始攻击我
路人：神金
拿个电风扇在窗外对着吹不就行了
爷爷，你关注的UP主更新了！！
教母就是教父的老婆
《叫母》
二手月季呗
教父的老婆
连吃带拿
泪目了，真的感动到了
沒啦看看先賢們的成果檢正和檢錯同樣重要
该减肥了
+
高中生物也有哦
[ohh]
土木人绝种
为什么家里有那么多实验室的东西
说实验室上班的，有没有想过up家就是一个实验室
————杂菌！！！！！！！！！
我以前看过国外烘焙的一档节目，里面有教怎么自制酵母，并且一代代传下去，但节目名字我给忘了
牢妹！
ohoh
不试试蜂蜜的酵母？
我也是，疼死啦
大学生怎么你了!
.0
咋没点酒精灯啊啊啊啊啊
上学期刚学，大家都来学食品
0HHHH
你币有了
大萝加油
燃了
我切
《你好》
1000+人出来吧
所以，我自己的话要怎么做？
啊～♂
[OHHH]
话已至此，先吃饭吧
C罗加油！！！
[ohh]
这个夏天，干了这杯生命之水
尬
大舅哥，你好
加油
100万打卡
哈哈哈哈哈
感谢甲方
那可真是委屈你了
妹妹！！！
哦灭得多
大罗加油！
绕远路就是我的捷径
老师的手又该疼了
大雄守住 大雄守住 大雄守住！
泪目
麦芽糊精
阿斯兰开的
哦没类多
@影视飓风
泪目
好的，我现在直接关注
[ohh]
这不就是鲁邦种么？我试过了要喂养7天才能培养出来。
艾本德！！我们组只有大龙
你三连有了
解锁新人物！！！
物化生考生狂喜
选择培养皿
三块九买了一组培养基和九组烟灰缸、布丁碗，出院！
空没内多
你应该庆幸这东西没发霉
脱水！
0.
没开酒精灯阿，也就酵母这种还能活了
大罗加油！
请叫她石原里霉！
[ohhhhhhh]
此处应该由第二位甲方爸爸登场
啊？花了八万？
还少一个不加酵母的对照组。万一不加酵母也发起来了
啊？
[ohhhh]
@影视飓风
一拍即合！
加油！
牛
牛辶逼
淬不及防……
忠！诚！
我们这用大米自己做的酵母都能发的很好
老面！！！
[ohhhh]
其实高压锅最适合烧金消毒。
这也是需要细菌生物实验室。
疯子做过，他介绍这些粉是培养基养错了或一些糖类酵母本身风干产物。
大罗大罗，我想看青霉素
很理解，这些确实贵
感谢甲方回血
好！
@影视飓风
首尾不准相连！首尾不准相连！首尾不准相连！
涂布需要梯度稀释选稀释度，所以筛菌还是划线好用
《面团脸上写满了高兴》↓（不是）
卧槽，艾本德
这不是保护伞公司的玩意儿吗？
老面啊
这个干酵母我家还用来做酒酿
《超级聚合体（不是）》
粘性多糖（不是）
土壤酵母菌
肺炎链球菌（轻型）（不是）
金黄色葡萄球菌（不是）
《每个都是复制粘贴》
葡萄叶
冻干酵母：先挨几个大逼斗
老面
双抗培养基划线挑取单菌落
可以试试逐帧拍摄
可以试试找下面点王罗恩
你只能娶凤姐。
你為了穿越做足準備，糖，鹽，醬油，酵母，穿越前準備系列
没想过能做高达的酵母么？
恭喜up主
打老板肯定喜欢呀
[ohhh]
丝滑连招
牛逼
[ohhhhhhhh]
[ohhhhhhhh]
完啦
[ohh]
[ohh]
knight rider
水果皮上就不少了
泪目了（其实是汗水滴落，诶嘿）
在吃早餐害我喷出来了....
不如试着酿酒，毕竟用生命之水筛选出来的
哄堂大酵（doge
《在家制造》
明天预订收获一个黑霉菌面团
鲜酵母真的好用，国外都很难买
《美食区不会做饭》
我存在的时间
卧槽，幼兽
可以试试加点酒精酒精浓度控制在12%以下酵母可以成活而其他细菌基本上凉凉
此处是不是可以馋哭一群实验狗？
马上
你养鲁邦种呢？
不会真被他做出来了吧？
进度条告诉我们不简单
不是哥们你真的是美食区UP主吗？
这不是我考研专业课嘛
毫不意外hhhhh
抱歉看成造航母了
小高姐那儿看过
大爷曲霉菌！
[ohh]
离心机？
你才先前花三块九买的培养皿是用来干嘛的
拔万接个广真不过分
[ohh]
nb
[ohhh]
[ohhh]
[ohhh]
[OHHH]
进度条还很长，不急
这就是知识的力量
不举啊这
[ohhhh]
啊？
大舅哥，真好吃
c语言
[ohh]
[ohh]
[ohhhhhh]
此时无声胜有声
恭喜恭喜
大舅哥的面好吃
太厉害了
好厉害啊……佩服……
要找也找老羊
大舅哥！！！！
[ohh]
八万….
[ohh]
[ohh]
[ohh]
[ohh]
[OHH]
[ohh]
@影视飓风
牛逼啊
嘤嘤加油！
啊
形状，大小，隆起程度等...
升华了
生命的奇迹
啊？
绕远路就是我的捷径。
哥哥
[ohhhhhhh]
人类智慧的结晶。
[ohh]
[ohh]
影视飓风
没关系！！
接近传统老面的筛选方式
影视飓风，一点点不一样
[Ohhh]
生化专业就是在不断的试验中进步的
[ohh]
这是psm
愿三体人与你同在
学物化地的属于基本没看懂qwq
[ohh]
主不在乎
个人挑战安琪公司，UP主真不是简单角色
大家加油！！！
[ohhh]
[ohh]
[ohh]
[ohhhh]
你真的是她哥吗
三连了
@显微摄影羊叔
一下子忠诚起来了
[ohh]
电镜8万很便宜了
哦哟，群安的摇床，性价比很高哦
[ohhh]
[ohhhhh]
加油
说谢谢
[ohhhh]
[ohhh]
[ohhhhh]
[ohh]
[ohhhh]
这可能适合做酒曲也可能适合做咸菜2333333
发力了
[ohh]
呃……
[OHH]
[前方高能]
[ohh]
野路子有时候也会有新发现
lesson5哒，最快的捷径就是绕远路
鬼 影 实 录
[ohh]
[ohh]
我们都是采用三区划线法。
[OHHHH]
[ohhhh]
[OHH]
好家伙roche大厂出品
@影视飓风
[OHHHHHHHH]
[ohhhhhhhhhhhhhhhhhh]
[ohh]
[ohh]
想看做青霉素
这段要回放
我是伐木工，这就是添柴
[ohhhhhh]
啊？
泪目
干酵母一袋多少钱
[ohh]
[ohh]
[ohh]
显微摄影配个工控相机几百块就好了 效果可能跟相机不相上下
不是你要创业呀
啊？
[ohh]
[ohhhh]
这让我想起了那个做荧光海的视频
哈哈哈哈
大舅哥！
[ohh]
开价吧！我收藏了！
[ohh]
[ohhhh]
[前方高能]
[ohhhh]
活性不行
搞什么煽情啊！
我上早八！我上早八！我上早八！
三连三连
投了
加油
简称X7曲霉
[ohh]
[OHHHH]
[ohh]
[ohhh]
[ohh]
八万
[OHH]
大罗加油
握草？
牛逼啊
酸的，还有股奶味，别问我咋知道的
