兄弟们，我心动了
材料问题
擎天
这不是军工铲吗
成本控制不住了吧。
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
杠杆都用上了
锻刀大赛人家3小时出一把刀，视频这个是几小时？
[ohhhh]
cf
？
太厉害了
看到这想起来自己看过了
军队有市场
厨师放水的
挖槽
all in！
那还是得机器猫 就一时光机已无敌
鲨银利器
能进玄幻电影了
牛逼
思路很牛，材料上的缺陷可以补
直接一体盒钢锻造，或者三枚玉米卷（锻刀大赛后遗症）
那时候灰太狼抓羊道具都得迭代三代
这俩大哥也是真抗冻，大雪地穿半袖
不是，这整体不就是折叠工兵铲吗，犯得着这样吗
那他暴力测试完全不过分了
我记得有一个警察发明的车辆拦截破胎器就被实装了
2024年，工兵哥哥已经快人手一个了
我不行了，我笑疯了
如果没记错你现在得叫他兵工铲，直接入编了
多学学材料力学和理论力学，哈哈
你成功了，就会有无数的山寨产品，你赚不到钱，打官司你又没时间
封面第一眼看成潘虹了
锻刀大赛测试法
hahahaha
哈？
好家伙
熊瞎子：嗝
要你命3000 哈哈哈哈哈
一窝Q
是不是因为同伴截肢留下心理阴影了，难以治愈
打野刀
我爱发明也是具有时效的滞后性的，有个笔，上我爱发明这个节目的时间比上报纸的时间晚了5年
暗藏玄鸡
经典卖房子
幸亏叫的榔头，没叫锤子
唐老鸭那个给我饭都笑喷了出来了
榔头？
老婆很漂亮了  好吧，，，天呐 羡慕！！
快给爷上链接
说这么多废话是吧，还不上链接，大伙都馋了，笑
啊，这这这
所有或一无所有
我嘞个千机铲啊
我是镰刀
野外你这样是要砍熊吗
中国这气候有挂的起暴风雪的有人区？
一窝Q！
整这玩意儿需要到卖房子的地步吗？
啊？？？？？？？？？
杠杆原理
这厨师不行啊……切这么慢？
要你命3000
游骑兵
NB
无敌了！！！神器啊！
那么哪里可以买到呢
起码是一三年之前的技术，那时候手机用电量并不是特别大
加强筋
轮到老子上场了！
太可怜了
剃个胡子还是没什么问题的
我还以为这是被截肢的那哥们的家里人。
只要耐造 这野地实用性管够
爱情啊
这节目经常倾家荡产 不用意外
多功能工兵铲
说了这么多，上链接啊沫子
超屈比高了
强者从不抱怨环境
需要这么严格吗
我勒个豆啊
这是给军队的吧
我真的心动了啊，这真的功能太齐全了啊
军队不会用这种多功能铲的，功能太多稳定性就不行，又重，不实用。军队就用最普通的小铲子。
要你命3千
锤子 哈哈哈哈哈
啥？榔头？
幸好这个是真成功了
掏耳朵
这个现在真成了军队的制式装备了
老虎钳不应该两边那个凹槽剪铁丝吗
想起来了，这集我看过
老早就有？不就是他发明才有的
？？？
旅行剑
哈哈哈哈哈哈哈哈哈哈哈
你再鸡一个试试？？
？？？？？？？？？？？？？？？？？？？？？？
还是得学知识啊，加劲肋
材料问题，这个主要还是设计思路吧
要你命3000
上前四后八的减震板
硬了就没韧了
这个我家车里放了一把
挺牛逼的
队友：6
队友！为了你 我战胜了一切风雪
03+
能帮我生孩子不？
上链接啊
这个我记得真挺好的
还可以当船桨
砖头没硬度，砍石头或瓷砖才行
真负责任
我爱整活
木柄也有这些功能，型号好像是308，十几年前的产物
喷不了，这是真nb
我想要
梭哈是一种智慧
确实改变了它的材质变得更好，变成钨钢的了
今夕是何年
擎天（doge）
我爱整活
3.2.1上链接
荒野乱斗是吧
挖槽，量产
机器猫（唐山口音）
好熟悉啊，现代的露营装备必选，也是制式装备
真，
咱就说，模拟破窗非要开下水破吗？
上最好的钢
？
啊？
撒气了A哈哈
直接上焊接，外加加强筋拉满
必须申请专利
金铲铲
典韦：彻底疯狂
主持人水平堪忧
男人的宝贝
看过我记得卖了房子还
上大马
尼尔森、贝克、狗哥和大力本看后点了个赞（doge）
这玩意儿搭配肾上腺素感熊下的好像真可以。
哈哈哈
这是给哪个神造专武
用来打灭霸
卖债券呐
加拉尔号角
做三枚啊（doge
我超，拿来给老虎来个滑铲
上链接呀
擎天
软钢材质
我草
《软钢》
狗头
这踏马撬啥能撬二百来斤
？好耳熟
\79+
35公斤？部分人都拿不动这重量吧？
大力王
好好好，菜刀砍搬砖卷刃了说不行
这是什么？能抗能打能辅助？
听力测试
成本太高
卡西欧
不能玩原神
我爱整活
要你命3000
血的教训
完了，看进度条就知道
应急用可以
这是奔着军工去的
用不着吧，到搞个铲子要卖房？
上链接吧
上链接
再加个太阳能电板变全能了
在哪能买，我的朋友
这个兵工铲我家就有
哈哈哈
这玩意我买了一个
啊？！
这里卷刃完全就不是砖头导致的，是下面的平台硬度比铲子硬
但是已经被军方录用了，你们真的算是柳暗花明又一村
三把必过定律（雾）
《就》
为啥不说广智呢？
好家伙
上链接！快
断刀大赛邀请函
哈哈
上链接
大力本是吧
狼头啊，我以为卖钢材的呢
这都是我滴词儿啊
我爱发明常规套路
这榔头有点像张毅。。。
x哈哈哈哈
没有矛盾就硬制造矛盾
擎天是吧
抹点印度神油。
这玩意，不就是不断的堆料吗，有什么技术含量？
一窝q
夫复何求啊
记者小姐姐也是拼啊
老头
现在产品的质量能有和这视频这么认真就好了
擎天觉醒
哈哈哈哈哈
还用上了杠杆原理，不错啊
上链接
看着谁都是钉子是吧？！
微微一笑很倾城
榔頭
水刀
蜈蚣挂山梯
队友の手；危
不能干
满嘴顺口溜！你要考研啊？
刑部尚书又要整什么花活
不过想做三枚大马吧。
上链接！
321，上链接！
难蚌
钛合金更不行 那玩意太软了
用弹簧钢
面膜笑崩了
孙红雷！
上链接
冷知识：敲猪是指给猪绝育
翘石头肯定得有承重啊
打加强筋
老婆很像朱媛媛
军方:有意思
现在都叫军工铲
应该是十六种，还有铲子呢（）
腾阳天下
不是，嫂子，你这嘴角压根儿就没压住啊
复合外衬
不如叫头狼
能合转职吗
我靠
没算完吧，铲柄里还有破冰凿，求生哨，打火棒，鱼叉，匕首，开瓶器，割绳器……
冻手吗
其实它还有一个锤子功能，不过不太好用
这是做挖掘机还是做铲子啊
60公斤还不够，你是要用它撬地球啊
哈哈哈
不叫张译？
沃日，砸中间硬给干开了？
每一集节目，都是因为负债
暗藏玄鸡
我癌阀冥
skr～
肯定是记者整漏的
换低碳钢一体冲压
新东方赶快来认领一下，顺便把广告费给付了
还有个媳妇能卖
材料而已，但功能这个你敢说他不行？
直接整块冲压
榔头测试的时候多少带点个人情绪
有没有链接
啊？
要斜口钳，只不过斜口钳比较专业化了
牛逼啊
卖掉换个大房子啊
防不胜防 揭不开锅了
必须煽情，日常节目效果
？？？？？？？？？？？？？
哈哈哈
焊接加强筋，或者改成栅格纹状
又到了爷最爱的剧情了
这不算冲动，是发现商机了
军方而且也要不了他们这么花里胡哨
前面的说军方要的，军方的比他这个厉害
整两个加强筋
这铲子的亲戚是音速起子吧？
我也买了
啊？
我靠，我买过一把差不多的
霍口：你数我用裤兜子做量词啊
卧槽
电池能在多少度下续航多久？？热了会不会爆炸？？doge
前面的，这个就是抄袭的军品，只不过把铲柄改了，但是他改了铲柄，强度就不行，还是得木柄
上链接
可里格工兵铲
牛逼
有点像张译
看看队友
这个工兵铲并没有收编，铲柄不适合部队，除了铲柄，其他工兵铲该由的功能部队的都有
这量产是个问题吧？？这能流水线出？？doge
还能组装成担架是最秀的
风韵犹存
这玩意儿确实收编了，我以前在军事频道上面看见过。部队上面用的军用铲就是和他一模一样的
王多鱼：这个我不投，这真有用！
考虑一下卖老婆不，我收个二手的
这个东西真的很厉害
研发方向都不同，手工梗，平时搞的小创造小发明是属于娱乐性质的，这玩意儿是完全是野外实际需求的
车窗不结实！改进！
光剑
暗  区  突  围  工  兵  铲
贝爷求同款
这个应该不是演的
我买了一把，钓鱼挖钓位是真好用
哪里买
擎天promax
砖：你霍霍他就霍霍他，我干啥了
我爱发病
牛逼大了
简单的机械结构还好，加上电子就怕维护了成本也高。
这是真nb
也算是完成了朋友和自己的夙愿
加上电子那就有点过于花哨，这东西最难维护，
上更长的加强筋，不过没必要35公斤足够用了
用上军工那两者就可兼得，材料这问题他们不缺。
狠人大帝
？？？？
这是什么钢材啊
这剧本也NB呀
人的一生有几次全力追逐梦想的机会
尖端发明家
妙界榔头
狼头：啊米诺斯
这玩意儿光靠硬度不行，没韧性会崩裂的
啊，目前来说还无法直接上网，建议再改进改进，最好加个全息投影啊～(￣▽￣～)~
桌子都震起来了
印象最深的一集，当时还想买一把
？研究一把多功能铲子还要欠外债？还要卖房子？
思路没问题，限制于材料
nb
家里备一把 末日求生神器啊
啥玩意也经不住这么造啊
在弯曲处使用褶皱工艺应该能提升强度
啊米诺斯！上链接！
韧性和刚性不太好兼容，还得要更好的材料。
《我爱整活》
我爱发明里面第三代一定成功
这记者是不是带着军方大佬的检测任务来了
剧情需要，不需要剧本都知道会这样
这就是现在的军工铲
王大锤
上链接这玩具我来一份
Q！
你这是要往军用靠啊？这不卖个500往上；
直接上振金
我操，这玩意儿哪有卖的？我想买一个
‘’】=，卡、
你还别说，这玩意真行啊
英雄级武器擎天
我家里有一把
上合金
结果民用没了
之后军用了
猫猫车
现在已经笑嘻了
有军用版的，但是实际上阉割了，很多功能，功能太多了，价格太贵。
啊？？
你浪费一辆车？
太符合部队需求了，究极全能，带一把铲子就省老多空间
狗头老高
由此妻，何愁大事不成
不是，平常也不会这么用吧
队友：啊米诺斯
要看价格
这个记者……………不说她了，真的有心眼！
加时赛
猫猫车
下饭
你需要大马钢坯
战地记者
合着是来复仇来了，带着恩怨来的！
这么用什么不出问题啊？
流弊
还有点陌生 记不起来怎么关注up的
心动了
节目组扎的轮胎
确实有发明家的气质，生在外国指不定就发财了
大哥是按照军品质量做啊？
大哥是个狠人
上铁罐大马，扭转再淬火
节目组疯了吧
米波是吧
6
把这铲子横过来好像还能煎鸡蛋
这期是真牛
又是怀念老狼的一天
人物感情最真实的一集
这节目组多少有点严谨
这哪是万能铲，这是打野刀啊。
哪怕用不到我也想买一个了
这比12合一洗发水都猛啊
当你要测试这个砖头到底硬不硬的时候，他已经已经碎了
张小泉直呼内行
上链接
啊？实用性拉满了
能当滑雪板
我去，这个是真的厉害呀
战狼2
我怎么记得工兵铲早就有这些功能了
奥拉夫快乐铲
我还以为铲子柄里有氧气瓶呢
继续强化
卖老婆
猪：？
说（shuo）服
这个是材料问题，跟设计没有关系
所以充电宝防水吗
备4把必须
可以把一代卖了，给二代筹钱
这是特地展示铲子功能的吧
就是有点重
好酷的铲
不太满意，下一步卖老婆，再下一步卖女儿
部队l里的还改进了，铲面后面有两个拧螺丝的孔
往军用方向发展的
上大马
上连接！
男女互换可不一定有人夸
我靠，这不是部队里的兵工铲吗
大马士革钢下把
小时候有看到过刀削面机器人，几年前在现实中看到了
连夜shui服老婆
我爱发明也是好多年前的节目了。
那么应该在哪里购买呢？
我记得这个！他拿铲子做饭，我那时好像要
哈哈哈哈哈
上链接
真狂啊～
上弹簧钢
饿了
不能飞
少算了一种，你猜他为什么叫万能铲少算了个铲!
还能当锅铲
为了朋友向大自然复仇，真正的男人！
这不就是工兵铲？是他发明的？
这已经不是多功能铲了这是n功能铲。
户外铲跟农具铲不一样，在野外山洞里万一遇到塌方落石什么的，二百斤都撬不动怎么自救？
？这么整怎么不卷刃
厨师问题
加个太阳能板
要你命3000
哈哈哈哈哈哈
《千机铲》
手工耿，那不纯乐子吗？
啊？   买一个。。。。上连接啊。。。
部队：安要这
有没有电钻
小的们，抬我的铲子上来。。。。
这个关键是材料吧
老婆闹离婚呢？怎么还没到？
普及！
也可以挖个坑把记者埋了（doge）
上扭转大码
这几下暴力测试很难说带没带点个人情绪
不是哥们?
这东西在云南山多的边境里是真的好用啊
眼神很亮呢
贵        投
这是铲子不是斧子
敢搏，造出来一个专利就完全够了下半辈子了
牛比
彻底疯狂
下次一定
6666666
七匹狼
+-
榔头大战铁铲
+++++++
还有狼头
这个防身应该很好用
哈哈哈哈哈
活该他发，这种人，为什么我遇不到
这十多年前的吧，小时候蹲电视看过
那我双C线怎么办（doge）
那也得是人家丈夫敢想敢干有才能，那种只会做白日梦的就算了
你估计找茬，是不是
擎天觉醒
666
当代马皇后
力矩太大了
断才对，弯的热处理有问题
就把粉挖好了
坏了，家里还真有
废品站翻翻就能找合适材料
要你命三千
我想问他最后因此拿到利润了没
我看是榔头
彻底疯狂
妈耶
特遣队员狂喜
老婆既然支持了
特遣快乐铲
10年春晚赵本山小品的词儿
放过去就是掀起江湖腥风血雨的绝世神兵了
直接分成入门版，标准版，豪华版，终极版
还能炒菜呢
别说了，我买，买还不行么！
666
35公斤，野外已经可以猎狼了
老婆好漂亮
family
“我要你命”
、
牛壁大发了
这哪里有买
说明大有搞头
十几年钱前没银行贷款吗
我爱发明有一期就有人做了个破窗空气笔
买个工兵铲不完事了
上链接
小时候可老爱看了
老婆都憋不住笑了
.
6
6
哈哈哈哈哈
应该是16种毕竟与他还能当铲子
我看过这个，直接和人比赛开荒，堪比砍刀
有没有本来就是成功的，节目组要求才做了一二代
我去 上链接
工兵铲？
车窗:我质量差不怪别人，你去砸钢化玻璃
谁家铲子当锤子用啊
怪不得和这铲子不对付呢
破釜沉舟
我差点真信了
没有劲儿，重来！
金刚石：我好像听到了“硬度”
《不会带一把刀的》
啊
其实没必要，户外运动有专门的军工手机，用个一两周都不关机的
它还能炒菜
？？？？？
上链接
多少有点私人恩怨了
按功能真是没得说，就是不知道好不好用
太酷了，我想买一把
夺你命3千
这儿没必要吧，弄太重了
链接呢？
断刀大赛都没这么造的啊
没按套路出牌啊
这么好用，我走哪带哪，很合理吧？
起码有100斤
刮胡刀，吹风机，望远镜安排上
想要这么好妻子的看看有没有人家这本事
找赞助商啊，回头再申请个专利
敢卖房子也是干大事的人
梦中情铲
钨钢
真爱啊，有此贤妻，夫复何求
所以这铲子叫啥，哪里有得买
买不到吧？
老觉得会把记者劈了
这手法，啥玩意拿过来都得干缺口
哈哈哈，这，酷拽吊炫，立马变成老老实实不吭声的锤子了。
你是榔头
这没办法，材料特性
这记着不错
民间张译
0.27KN
榔头
材料问题
有道理，还可以抹灰
啊？
那么在哪里能够买到呢？
他老婆挺好看啊
要你命3000
666
无敌
要你命3000
666
就是材料问题，设计完全没毛病
张译
物理学圣剑
直接埋了
大马士革钢
憋说了，赶紧上链接吧
干脆搞个大象站吧
这才是真记者啊
参考华盛顿砍樱桃树，你猜妻子为啥不反对
？？？
老王快乐铲
专业对口，开心了
卧槽，上链接！！！
什么嫂子，这是天使投资人
节目组：妹想到吧，俺们就是挑风雪天去的
各位不知道，这种类型的铲现在卖出去上亿把了
无敌了
上小黄车！
你故意找茬是吧！你要不要！！
这钢材不行？岳家军有这个，金人甲都能干碎了
不是自己的东西当然可劲造(
别打了我害怕
经典睡服
这是材料本身抗拉伸性质决定的
昌林兵工铲是不是借鉴了这个
我是蓝翔
雪山啊！我以归来
"MD,试作机就是大胆呐，什么东西都敢往里塞，难怪别人量产机都得想方设法做减法"
赵本山，王小利，小沈阳在春节联欢晚会上表演的小品，名字貌似叫捐款还是啥，讲的是赵本山想捐点钱结果把自己和王小利的钱全捐了
还是螺丝刀哦，我看到六角螺丝孔了
王多鱼投了
这速度还是别当厨师了吧，还没我快
看完这期 在网上140买了一把
我爱发明，真的突出一个“爱”，变卖家产的很多
上链接
榔头不比狼头猛?
快，给她一铲子
上连接
熟悉的套路
买
我妈已经买了一把了
大脑疯狂运转中……
给我上链接！！！
现在淘宝京东拼夕夕一堆堆的这个，如果当时专利下来，那多少得是个首富
卧槽
神了
一雪前耻了，属于是
666
看来不是私愤，是蓄力啊
牛逼
不是传言，就是被收编了
来人，上钨钢，不行就上贫铀
加个喇叭蹦个野迪
克里格冲锋
上面的，部队真收了
男人至死都是少年
彻底疯狂
民转军
哈哈哈
这个现在仿品烂大街了，质量不一
看过这一集
广智？
《金铲铲》（确定）
嘎蛋刀
一把将铲子擎住，顷刻炼化。
45以内我能接受
一雪前耻
仕宦当作执金吾，娶妻当得阴丽华
多少钱！让我死心
哈哈哈哈哈
耐不耐寒啊，钢铁有冷脆性
心动了
是16种，它还是个铲子
要你命3000
有个杠杆但也确实不行
成本有点大
这个卖了还真不亏
这初代就很不错了
这玩意防身估计也不差
看那么多期最牛逼的一个
。。。
刀郎教头
我想问在车里放这玩意，交警查到管不管
火淬一下不就够了
我去，这打算做究极体？
你是故意找茬是不是
立马弯了
爱上一个不回家的人
哈哈哈哈哈
别说了，我买！
这是铲子该干的活吗
铲子：不是哥们，你是去求生的，还是攻打其他国家，至于吗？
车胎：我被迫懂事
哥们儿，还是铲子吗？给我干哪来了？这是
要你命3000
硬就是容易断
家里蹲都想要的
进京高速不让带。被扣了
家人侠，发明形态
说实话，现在仔细想，这玩意还真是这个节目最有用的东西了，比其他的那些成功的更有用
剧本妥妥的
原来私人情绪是这么来的
我也看过 也发现成军用铲了
榔头？
可以改变形状，弄个沟槽，不改变材料的基础上增加强度
解开了；。/
不是，不正确使用方法三下结束？
最有用的一集
相机支架
