刀哥头顶上长草了
大头再大点
大佬！
当时我一看见大头我就知道  我目前技能加点属性都那么低肯定打着费劲 先刷好自己属性多点技能肯定好打 绝对不做无用功
上链接！
李斌
错了这是金池长老啊
于谦:你也有头上长芽的时候
想要拔介·小猪猪
这不明显幽魂么？
嚯～厉害
我去厉害
黑神话本身为啥没版权？学点法再来乱说
不过是一只马楼临终前的幻想罢了
上菜：东北猴头炖土豆
这儿猴卖吗？
打印件沒有難度可言
铠甲合体！！！！！
厉害了
牛皮
感觉大头的头做小了哈哈哈哈
牛
上链接
金池：轻松拿下！
这是大头，不是金池
幽魂头上没有刺吧
前方丁真友情参演（doge）
这是金池 不是大头
做的是不错，就是摄影太拉了
发芽土豆
3！2！1！上链接！
3D打印机太小了，做成组合式的分开打印，场景放大点
幽魂头上没刺的吧
这手艺
刀哥！
牛币啊
牛
树小了
阿米诺斯
阿维诺斯
放着晚上睡不着，被支配的恐惧
无敌了 这做得太好了
弄个等身硅胶的吧（dog
上架上架，买买买！
黄旭东
吹牛轻松拿捏的哥们，又或者是姐们，来来来，把自己的击杀记录放一下
猴子没正脸？
场景小了
这下看懂了
记得把钢筋加上。
铸币大头
蔚来李斌
圣诞节礼物吗是
已经开始生气了
大头有刺吗？好像光溜溜的捏
像灭霸
可以等游科邀请合作了
萌新之友
来个桌游
还是尊重一下版权吧
量产就侵权
加兰特
我太喜欢幽魂这个模型了
我不到啊
蔚来李斌
整体氛围可以  作为微缩模型模型细节缺少刻画
空气墙做出来没
金持长老
赶明儿去买盒橡皮泥
头小了
我甚至愿意为此花钱
烟少了
比例不太对，比树都高了
这些花草都是塑料吧不然长虫了
有点像詹姆斯
二次元刀酱
斌子
锤佬狂喜
可爱捏
好像呀
3D打印
血源老玩家：丝毫不慌甚至还很舒服
刀哥
刀尊者
三千，四周，无双休
刀哥
卧槽
三d打印啊
尕娃
看这挺憨厚的一个大头，，
立棍之王
加油。 争取把手办干到白菜价。
加亿点点细节
我就不变身，就跟他死磕
刀哥
量产！！
距离有点近
是你吗黄眉
还说不是黄旭东
woc 喜欢
鱼缸！！！！！
守门员就位。
撑不住了哈！
我广智都打不过，是不是没救了
全打印 那就挺简单了
小弥勒
nb
可以
刀哥
开始害怕了，困了我1个多小时
kid
想要百眼魔君的
（我要和他打）？
广智救我
手艺人
树太低了，所以跟背景不协调
厉害啊
那么那里可以买到呢
适合鱼缸造景
刀哥
刀哥
广智救我！
弥勒来一个
不会运镜可以不运
土豆发芽了
量产？有版权嘛就量产
牛批
尾巴呢？
怎么买？
游坦之
刀哥给你磕了
刀哥正版授权
量产必入
上架
私密马赛！
不是猴子大，是大头小了
重击砸就完事了
蔚来汽车ceo
大头砸地面的特效能做出来吗
这个场景，他做了几个小时，你们坐了几个小时
头上长草的刀哥
买给我当鱼缸景色
帅
罗汉小罗
可爱捏
蓝精灵
¥9999
刀哥
诶嘿
量产
猴子大了
刀牛魔
灭霸
量产！
啊？
金池幽魂
再离远点就好
牛逼
牛皮
广智救我
大头跟 广智也是见过世面的人了
二人转
大雷•电音寺bgm ？
动手能力这么强
这个搞鱼缸造景可太漂亮了
啊又是这个怪
[Ohhhhhhhhhhhhh]
这个距离我已经蓄力三颗豆了
反向建模
不给，就算你是除生也不给
打哭
磕头
物理建模
不过UP已经很牛了
不是挑刺，比例是不是有点，感觉幽魂比这个高
广智救我
广智救我
帅
牛批
牛
这是要记恨一辈子的宿敌！
李斌
3d打印？
感觉幽魂头上的刺好像长了一点
哇哦
金池长老
得胜！
曲对币有
量产就侵权了
这是初见被大头绞杀马喽的幻想
尾巴呢？
今天和好朋友车轮战，打了30多把干死了大头，打了10多把打死了广志，打了5把左右打死了白狼。
建议上架蔚来商城
说罗总的，你也是员工啊
量产
这定身术厉害！
晕了
可以来个妙音吗
广智铠甲合体！
多加点孜然
压迫感上来了
做一组土地庙吧，求求了
比例不对
来个虎先锋的场
大头娃
