李白单杀猪八戒，我怎么会做这样的梦？
幽默吕布
出亚瑟的行吗？第三次
刘备出肉玩不了，护盾该没还是得没
澜胜率啥时候这么低了，上周还很超标的
李白前期就是先出宗师，可以有一把小吸血刀
南泽好像发明过肉刘备
省流:黑子
刘备只能出红刀，基本上是废了，再怎么科研也没办法，只能重做
虽然但是操作雀食稀碎
这不就我出装吗之前我听别人主播都说出肉刀不好
吕布前期有多少伤害，刘备两枪就能崩死
不用破军的理由不是才刚刚说吗？
这东西出装再怎么变也就那样
关键是你打人基本是打完就走，靠野怪回血。
难道我们刘备玩家有救了吗？
来个辅劳布就老实了
他还是没忘疾跑鞋和火甲
火甲预备还有坤跑鞋
这强普法球都触发不了
确实，所以我出冰心应该很合理吧
爆裂都比它好
幽默牢布
人机出装
寂然以前就这么玩的
不管怎么科研。他的机制问题永远是他最大的痛点，你技术不行，你出什么装你都不行。
能不能科研玄策啊
《补移速》
安琪拉完全不会啊
众所周知，吕布前期坐牢，后期坐牢中期更牢，一刀真伤还没人家回得快
起猛了看到李白打出瞬杀了
伽罗：呜呜，真的塞不下了
现在澜可以无限连怎么可能再a一下
吕布等我破军出来就行了
思路正确
刘备出肉刷野没啥伤害的前期刷不动别谈后期了
你肉宫本出苍穹吗
能讲一讲赵怀真吗？
哥们说实话啊，这赛季李白真的很难玩
大刀肉！！
这根本不是科研，就是常规的黑切+苍穹+补肉装
影刃确实想过，但是还是配的吸血刀打续航
杨戬能不能救呀
芜湖，牢白有救了
我现在玩的就是这个
跟我一个出装有品位，加油啊
我嘞个瞬杀时刻
肉装刘备的有一个前提，前提是你必须要刷会经济，没刷经济除了只有坦度，其他都没有
其实的话只要蹲草，然后开大一A一A直接秒
有一次我们的澜打出了瞬杀时刻
主要是我怕被融化
怎么不能说啥了，你看人家经济一眼呀
什么时候给我磕一下刘邦的服装啊？
刘备主要是靠刷经济来打经济压制，所以的话很正常
所以我们匡扶汉是吧？少年
终于不是那个进场就被秒的刮痧刺客了
我刘备终于可以重振大汉荣光
装备啥的其实没必要，主要是看手法和意识。
如此一来，汉室可兴也
你13-2你也能瞬杀
来个吕布就老实了
哎呦，你干嘛
能不能出个曜的？
朕的兵部尚书又更新了！（喜）
可以出曜的科研吗
12/2的战绩，啥出装都是这个效果
血魔的盾消耗级别在大招的盾之上，可以更方便大招叠甲
这套出装刘备的坦度很高，二技能CD完全可以刷新
后期把鞋子换破军
新版英雄属性分配改了，刺客移速更快了！
注意刘备Ban率
我们的牢备终于没有那小丑护盾了
刘备打孙策谁先手谁赢哦
摸着良心说输出刘备在这个钟馗进塔前就杀掉了，刘备痛点是后期没有切c能力容错，不要无脑哭弱
对面死了就不用吸血了
刘备想秒人得二技能肘到才行
压了两级，而且是肉刀半肉没理由不秒没防御的伽罗
这套出装就是现在用的呀
短裙？
别惊讶了，是个刘备玩家都知道刘备的盾就是保鲜膜
马（）（）
起猛了，李白能杀猪了
我也觉得
李白瞬杀不正常？
李白的这把是逆风局
"你这一看他队友就不行,他一个人杀13个"
韩信：落魄了李白
不太推荐，逆风一局就老实了
总吸血量是对方的血量不是你的伤害这么搞续航肯定是比不上吸血刀的
↑你这话说的好像常规出装没有经济压制也能有作用一样
宇宙免责声明
红莲天尊确实牛逼
支持
呃呃呃，兄弟们，终于玩上输出李白了
图穷匕见
移速太低了
兰特有的 弱化普攻
woc，和我前两天自己研发的一样
李白其实有两把无尽的
刘备出肉真的能秒C
感觉用爆裂比较好
好烫好烫
但是你输出刘备这会还得倒欠半管血，秒破的护盾跟你开玩笑的
确实有东西啊这个暴击流
经典牢伽罗团战比女魔射还好亖
但是他减冷却啊
我小标，进场就没盾了被控住就必须交大，不然经济白刷了
哇，跟我设置的一样，看来边老师还是吃透了
不出吸血刀打不过大龙
思路清晰
197个人出来
7小时前第1710个赞
经济压制吧，估计挑的素材
说真的，自从攻速削了之后，除非经济碾压很多很多，真看不看见李白瞬杀时刻了
不是，哥们
15级打十四级差点被反杀
李白之前只是有暴击玩法，不是主流，主流难道靠宗师20%暴击率去暴击吗
第一次鸦片战争的我～
我一般都是吸血刀加破晓
好消息：我全都玩。坏消息：我全都玩。
啊
所以这游戏的弱化普攻很多，其中大多数都是超标电刀导致暗信，后羿牛逼过头了，后面策划就是不改电刀，但是选择让暗信后羿他们变弱，然后让新英雄和变异英雄成法球太监，法球阳痿。这样就没人可以用电刀导致超标了
所以吧，完全不带普攻法球的太监，澜。远程穿透强普不带法球的太监，司空震。多重普攻只有一次法球的太监，云中君，亚连，宫本，敖隐。
牢命又坠机了。
英雄碎片稳定发挥。
输出流刘备比这高800，这800够干啥的呀？所以，肉刘备启动
我们李白玩家是这样拉扯的
先赞后看 已成习惯
影刃可以换破军吗
哈哈哈哈哈确实稀碎啊
前提是你得打的出伤害啊。
草，这不我早就在用了。。
这不就是变回去了，刺客打野做肉刀提容错
这不纯韩信吗
刘备本来就能克制孙策
我记得之前李白就是出暴击的啊
刘备造成伤害加盾啊
确实，肉李白吃不到肉装红利，出肉其实不太合理
15级打12级
终于更新李白了吗，已经坚持不住了
输出刘备也就这伤害了
这出装瞬杀?
↑小景儿撞车东皇教官那局，小景儿也是这个出装
错啦，是王者里面唯一的弱化普工
还是那句话哥们抄作业抄好点
啊？
这套直接让我梦回8年前李白刚吃的时候...我把他当剑圣玩就是这套出装
科研一下云中君吧
暴击李白首创是梦泪老师，出装差别是电刀替换了无尽（当时的电刀是加暴击率的）
这在李白刚改版我就是玩的暴击
英雄碎片
超耐摔
这游戏装备太少了 “科研”的范围真的小！
边路澜 冰痕提供的蓝量就有用了
盲猜红莲霸者
牢小坠机了
这个音乐，你币有了
58分钟用岩浆热一热还能吃
起猛了，追着打
我嘞个哪吒三太子同款
起猛了，看见李白打瞬杀时刻了
铠：你知道我要说什么
这伤害
红刀暴击铠（）
"小黑子,露出了鸡脚"
小黑子，露出了鸡脚
小黑子食不食油饼
这不我锦猪的影刃李白吗
310人出来
全打野乃至全英雄的倒一（捂脸）
晚睡的孩子有边边
亚连：你知道我要说什么（
空瓶
bgm好评
我这套五月份都开始自己用了，当时不是血魔用的不详（当然是小号）
空瓶是我的啦！
怎么不出红莲
起猛了，刘备追着开船孙策打
红莲这版本就是好用啊
真神bgm
很久以前也有人用过不过不主流，现在说不定能行
菠萝，啥时候科研
不是？这护盾量
朕刚刚用澜和李白三连跪就看见朕的电子谋士发视频
孤单边经典夺萃换血刀，不重视移速骗低分玩
打野要出肉的话就是要出肉刀红莲啊
省流:红莲魔尊孤单边
省流:红莲魔尊孤单边
出音味来
支持了，我这几天有玩过一局暴击李白印象深刻，纯纯玻璃大炮，整把下来肾上腺素狂飙
肉装宫本个蛋，你家肉刀这么出？
两分钟，好烫
我好像几个赛季前也是这么出的……不过吸血铭文没带，有点脆
上头了
音乐好评
经典红莲魔尊孤单边
马萨卡！难道我终于又可以复兴汉室了吗！
这不就肉装宫本出装吗
这音乐，你币有了边
一分钟
一分钟，热乎着
当你看到这个的时候，你已经不是第一了
