举个例子{让子弹飞}诞生了 让学
金猴奋起千钧棒，只因妖物又重来
没见识就别乱bb，丢人不丢人啊，
这里的紧箍可以理解为牢美的思想钢印
说半天不就是斗战神2嘛
牛逼，还能这么圆
李云龙满口之乎者也？
问题是老猴子说的3词打死自己的爱人很让人无语，也能难崩
众筹写书
乐了，都有金箍了还早五大妖王干什么？
真三国无双
战神：？
《神仙都说》
+
这里就不对了
说的就是观察者网的那个合川老农
他们只看过86版西游
这才叫讽刺的艺术
steam好评95%，黑子呢？救一下啊！不会游戏都买不起吧？
想起了在天庭舔面的日子
原来形象也不咋地
玩完，这视频真的是我的互联网嘴替了~
支持
怎么，你要改写西游？
好催=·=
城里葛奶奶：还是躲不过吗
好家伙钟馗和姜子牙 好好好
吴承恩也干了（悲
恐怕只看了个86版甚至卡通版
他们想要一个无暇的神，把他推上去，再拉下来，只有无暇才配得上神。
三周目后大圣意识可以战斗中短暂觉醒，可以理解为融合了。
半藏，从不让人失望
游戏都叫黑神话悟空了，你说为什么跟《西游记》不一样，人家也没叫西游记啊
已五周目全成就，无所畏惧，来吧
也谢谢你
猪八戒才是差距最大的
西游不是打打杀杀，而是人情世故
某些原著党: 原著=86电视剧
骂爽了，看爽了
看不起外國人是吧
黑神话比大话西游好太多了
我看完了~~~
OOC了
为啥叫黑神话，带入原著的人都不看标题么
确实做了一定研究，文本生成和演变本身就是不确定的，艺术的创作力也来源于此
无火处无经?
这是计划的一部分
要断章取义——出自《不要断章取义》
合理就卖给老粉
这就是现实
有商单的 只要稍微找找茬就有钱拿
王明就是这样的，结果如何？
可是原著里，最开始悟空确实只是为了揭开五指山，后来实际上是自己主动想要修行了
懂了，西游记四大名著之一的位置要易主咯
吴承恩=吾承恩，是某个不知名写手在皇帝的授意下写的
哈哈哈，第三行中间
《实事求是》
《能理解》
这段纯瞎扯
《如果》
其实只有路人才会误解，游戏里面很多剧情都很有寓意。
大夏境内，神明禁行。
感觉这个点有点像了
这点攻击相当离谱海外大部分人只知道孙悟空是七龙珠的角色
没有调查，就没有发言权！
戛然而止
好的半藏
毛晓冰
艾尔登黑猴
说你呢红楼梦
真正的好兄弟杨戬!
更像续写
悟空连观音都敢骂好吧
脑子正常的不会用立棍打他的，除非按错
西游记本来就是小说后来的都是二创罢了，所谓破坏也只是破坏你心目中的印象而已
表达了作者的思乡之情
不提一嘴这个梗这游戏是不完美的
听说鲁班是开高达的！
鸟山明要是还在世的话以他对西游记的喜爱绝对会拍手叫好的
怎么不说这一回为什么悟空回花果山了呢？这一回就是悟空心有魔劫的一回
还无辜呢，每人抱一捆柴帮着添火太无辜啦
说蜘蛛精就是嫦娥的片尾动画也没云吗
太讽刺了
因为他是一个中国游戏
官商勾结的现状
因为他们确实分不清，所以觉得别人也分不清
太对了
无拘无束，敢于反抗的才是真大圣
你说的那是速通，而不是跟着整个游戏进度的！
如果在有一个隐藏结局就好了，在来一个悟空复活再次打上天庭，就无敌完美了！
都他吗活在极乐世界里是吧欢迎来到真实的人间
说剧情正常的，自己看一下前后章节！
推翻统治！
王小姐哈哈哈哈哈
混淆了故事原型和小说原著的区别
我就很想说，这个跟云不云有什么关系？
大圣万岁，人民万岁
你猜人家为什么是四大名著之一
因为他们只看过电视剧 没看过原文
我觉得还不够黑暗
直接杀了不接班才是天命人，我命由我，不由你
现世如此发达却不及前人的思想与包容
没事，我毕业后会去入职
过去齐天大圣凭实力说话，现在孙行者斗争手段变得多元了
.3
直到玩家知道了二郎神的意图并且造就出了最后不戴禁锢的齐天大圣为止
好，那么好
这才是悟空啊
第九艺术
是的 说的一点没错
←救苦救难的只有观世音，佛只渡不救
干嘛说一些黑子的知识盲区 你让它们怎么反驳
唉，南赡部州
在西牛贺洲，这都是合法滴
我们这的寺庙进去就是四大天王，然后才是弥勒佛
←反思蛆来啦？
说的好
哈哈哈哈哈哈
游科：我自己都不知道这些！@
这些神仙本身以前就是妖魔！
问出处的先把游戏打通了再来评论哈
就跟蝙蝠侠不杀原则一样离谱
文学四要素
西游记只要它的主要的内核，它倡导的思想精神还在，那它就是成功的
支持
不要为了谈恋爱去谈恋爱，不要为了吸引人眼球加感情戏就可以
没买 也没收到货 差评
嘻嘻
那为什么只有吴版西游记成了四大名著
现在一样
我以前看不懂大话西游，后来才发现是自己的问题
吴承恩是不是作者都存疑，如果应试你填这个名字没错，毕竟是鲁大师提的！！！
可能就看过86版西游记吧
没什么意外 第三结局也是有人在带节奏 是剧情节奏的衍生物
我来说 讲的就是 自由意志不灭
我来说 讲的就是 自由意志不灭
正确的
插火把啊，快刷怪了⊙△⊙
一次做完应该是不能上架了
？
这逻辑不对吧
有钱会快很多
即一千个读者就有一千个哈姆雷特
算是硬理解吧，10个人玩9个人会觉得大圣死了
圈粉
一个虚构小说哪来什么传统文化？
龙珠？
关键是现实中的佛教也没如来佛祖，人家叫释迦摩尼
西游记原本可是儒释道全骂了，而且是不留情面的痛骂
宗教？我都想笑
我也超出了预期，我没想到幽魂这么难打
？
打破手游厂商滤镜，真有人拿手游赚的钱做3a
哈哈哈哈哈哈哈哈哈哈哈哈哈
这是巨大的破坏！前面忘了
还是那句话，黑子们买游戏了吗？
妖吃人  神佛吃妖    讽刺的就是现实社会
四姐入口即化啦（哭腔）
这里很有意思，悟空往前顶，杨戬却是收刀
原著党呢？
说得真好
打上灵霄，救回四妹！
原著党呢？
快加个班~~~DLC出快点~~哈哈
就是这句 中文认同感 再也不用开字幕了
久游凌云志 重上花果山
白金确实需要双周目
说的好
以暴制暴
说抹黑的那真的是自欺欺人
不好意思，西游记原著就不尊重了哈哈哈哈
我倒觉得这是大圣自己骄傲到狂的性格特点
坐小孩那桌，叔叔不怪你
有不等于只有，所以原著写这些就是为了讽刺官场吗？
倒反天罡
华夏文明又何尝不是多体融合？
动了国产页游的蛋糕罢了，都玩真正的好游戏谁鸟它们
像极了
黑神话早就超越原著了好吗，没有黑神话就没有西游记
？所以你说黑西游的时代精神是什么？
反驳型人格很多的 杠精都是这类人
不是的，只是原著没看过
老孙：哼，都是唐僧教我的！
二狗子跪久了是这样的，黑吗喽在我看来是虽然不够完美但合格的作品。
说破坏传统文化的，肯定没了解过西游记
看剧情要抛开西游
悟空西行路上不知道杀了多少小妖
什么海啸趋势图
孙悟空就应该是个能说脏话骂天庭的角色
戏剧就是这样的下场
分得王的灵魂（bushi
永远叫不醒一个装睡的人
带我通关再回来
黑暗啥啊
合理
接地气
开玩笑，我们自己都还没把西游的精髓搞懂呢
城里的奶奶
黑神话只是起了个名字黑而已，其实不都是我们习以为常的生活那
四人跟着剧本走
我倒是不感意外
解说的太透，就危险了
《猴子王》
没有绝对完美的事物，但他在我心中就是完美
不是吗！就是的
BGM云宫迅音
所谓的原著党只是86电视剧原著党
外国人魔改更不尊重原著，雷神和洛基都是兄弟呢，关于宗教故事改的更多。
对啊，小时候看的最爽的一部动画片
古人写的东西放在现在还是这么讽刺，那可真是几千年一点变化都没有啊
这些觉得悟空这不该那不该的人，和这些人讨厌的诸天神佛又有何异？
看来芒果冰没玩过米的游戏
第一个讲了就过不了审了兄弟
孙悟空在当齐天大圣之前杀人吃人不在少数
灯下黑
“玩法扎实”
他们看的到底是什么东西？还是压根儿没看过
感动
说的好
嘿 原著党卒
吴承恩也干了
我甚至觉得脏话还少了
总结一句话：一代人有一代人的齐天大圣
哪都有阴谋论，内核只是争权夺利也配叫四大名著之一？
没杀妻？没走西游正道？
说白了就是玩阴谋论
每一个都比你强，但还是比你弱，这不是詹姆斯和科比吗？
大多数人分不清主观客观的啦
诶呦，黑的快乐，怎么能说是尬呐～
备备：摔孩子？在哪？我来！
核心点不一样
悟空传里好像是悟空被天庭害了失忆
大圣自己也没娘，我记得宝莲灯动画里大圣还因为这事哭了
86版不是原著，但至少在我国也算经典
别挑对立了，赶紧讲你的剧吧
渤海小吏那就有深度解析，悟空本身就现实
废话好多
广志救我 ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
到了年龄就被吃
其实喷剧情的我就想说脑子是好东西，标题写着黑神话很难理解吗？
说实话，摸黑了又能咋地？唯物主义新中国非得尊他们的神圣形象吗？
真有问题就是跟西游记的内核关系不大，属于悟空传？或者斗战神的续集而已
好好好
哈哈，游科没有尊重电视剧
三国演义还不按正史写呢怎么不见人喷。
“玉瓶亦如往日，葫芦仍放紫金光芒”
这段动画我给满分
悟空二来续
原来复杂的局背后有更大局!
蔽者自蔽，光者自阳
林子大了什么鸟都有
讲一种挣扎和隐忍
不愧是玛法至尊！！！！！奥利给！！！！！！
黄眉:金蝉子你看这现世，我说的对吗？
都想学米线山，觉得炒作火了就是自己有本事
有些批判的人，他们只是看了电视剧版的西游记，并没有读过原文小说才这样
友邦惊诧的变体罢了
唐僧还会英文 他会唱only you（
会！！！
斗，战胜佛！！！！！！s
这句话不对吧？
大家通关可以看一下后面的名单，2018年只有13个人。
"如果是小说里的我还能接受,现实里的话宗教还是死了最好"
没魔就没佛
功夫之王看过的话就能看懂黑神话的意思了
要不是鸟山明嘎了他20号出来第一天他就肯定会发推
得巧立名目
DLC赶快！！！
猜猜是谁攻击的？
东方天庭无限公司、西方灵山有限集团
爆杀，哈哈哈哈
不是，质疑的自己不会打开游戏？
这才是真正的文化输出！
好耶！！！！！！！！
原著是什么吴承恩都不知道
西游记本身就是二创作品
赞同！
为了摆脱紧箍咒，大圣也是很拼了
夜叉族相关设定就是来源于斗战神
惑乱人心，倒果为因
赞同！
好评！
没什么问题
原著党≠看过原著
这是原著原话
这才是大圣啊！！！
本来就是讽刺嘉靖王朝才有的西游记 艺术来与生活 不要和现实的佛道结合
黄眉含金量依旧！
这才是真原著党
确实如此！
我认为天命人是大圣的转世
绝对没有抹黑！
真正的原著党是很包容的
大部分人看个电视剧就以为自己读了西游记了
黑手
很多人根本不看原著，只是看过影视剧
不是致敬大话西游么
孙悟饭跑来点个赞
不要试图揣摩佛祖的用意，救或不救，佛祖自有他的道理
"想起那个人了, 他让我们不要想他, 要成为他"
"悟空: 孩儿们, 不要怀念我, 找到我的意, 然后成为我"
说阴谋论的又开始把捧圣经了
我觉得有这些人也好，万一哪个是行走的50w呢？
放肆，不可以。猴子猴孙不会放过你的。
好的玛法至尊
师傅走a
是的  我就是斗战神老玩家
西方最强大的是远程养殖业
西游记里狮驼岭那么惨的地方就离灵山八百里
阴谋什么？西游记里神佛的手下害人的不要太惨
刚通管双结局，爽
你先别急
明代起点
改得好啊
大话西游
圣斗士与孙悟空 请安排
四世同堂———八十一难！！！！！
怎么没有七龙珠的彩蛋哈哈哈哈
再一次重走西游
所以，你猜他为啥叫黑神话
孙外公
当初是打不过才带上的紧箍，现在摘了就打的过了吗？
说的好
最早的西游记可没有猴子，后来出现猴子就一妖王被二郎神伏诛了。
上美yyds
六老师不愿意破坏自己的形象
宝宝模式
有头没尾的故事
有没有可能一般人根本没这么多知识了解，有偏见不是很正常么？
远程养殖的香蕉狗们，说的就是你们呢
说破坏的 你是真深度解析过西游记  说这话的都是只看动画片的主
而六老师心中的齐天大圣是他自己和原著完全不一样
他们心目中的齐天大圣是六老师
孙悟空本来就是个妖怪
下回吧唐僧改成法海，哈哈哈
因为啊，这款游戏是中国人自己做的啊
大圣残躯真的感动到我
这是有人故意黑的之前有知道一点内幕
这操作，牛的
以为我电报猴是虚的？
哈哈哈哈哈
不允许说不好了是吧难绷
《城里的奶奶》
他们反倒好多人去看西游了
我觉得，跟大圣残躯的对决，已经值300了
有幸，能与大圣一战
是！！
第一个，应该也只会是唯一一个，被打还会笑，赢了还会哭的boss
战神系列、真三国无双系列：？     这两部出来的时候怎么都当哑巴了，轮到中国自己做的时候就开始挑毛病了？！
比如被大圣定住抢葫芦是吧
南瞻部洲其实是大唐盛世
吴承恩的那版都可以说是二创，大家都是创作者何来侮辱
树大招风
实践是检验真理的唯一标准都不知道
金圣叹乱改的那可太多了
86版的不能碰不能动六老师说了算
这下，我也想看dlc里有这段了
久有凌云志，重上花果山
说不是玩家的，你们也没在20前支持他们啊，你们配被致敬？
86版西游记里头取经不就是政治任务吗，路上安排了多少妖怪
合理
前面那个质疑项目管理的是啥成分
不學不學
86版西游毕竟要面向大众，而且要给孩子看，这个太血腥，确实不能拍
这个可是86版西游也有的哦
再来部哪吒吧
其实这个更像大圣在一路上看到妖魔祸乱人间后的行为
虽然不玩游戏~但这款游戏能让我当电影一样看~
86版中悟空也说了他在大火中添了把风
很正常，人上100形形色色，何况已经1700W销售啦
勒布朗•詹姆斯
小说而已，跟宗教无关
86版那才叫一个魔改，没看过原著的能直接被影响。
讲道理，如来口中的南赡部洲那时候有个皇帝，叫唐太宗
你还别说，你说的有这种观点的人，大多上诉游戏他都没玩过，甚至他都不是个游戏玩家
电报猴（bushi）
这。不是他吗，即使看上去成功了，但压迫的可能还在，他拼上身前身后名也要反抗
看到一半去给你点个三联
就是我心中年度神作
我国每一个突破性的成果都会招来无数魑魅魍魉
长生是否是以其他生灵来延续自己的寿命，龙胤
爽
凭什么没有这一句？没有斗战神就没有黑神话，别人凭什么不能纪念曾经的遗憾？
非常符合大圣想象
说不尊重传统文化的看过原著吗，知道原著讲的是啥吗？
这里其实悟空跟唐僧说过，自己县火不够大，又添了些风
吴承恩都不敢写斗西天
三连拿走
火焰山是八卦炉里的砖落凡间化成的，何来掉到火焰山这一说？
游科：你这个版本最好，我就这么改了！
是续写西游是重走西游
谁去了解啊，手在键盘上乱敲多快啊，不用了解
笑死，已经有黑神话天堂了
原文也能喷的啊
你先不要讲他破坏原著，你先跟我讲讲他为什么要三打爱人？
猴子太喜欢占人便宜了 只要知道你跟谁沾亲带故你就等着被占便宜吧
善财是红孩儿嘛？
文化也需要进步
所以呢，所以猴子有说那样的话吗？？你在搞笑呢
对嘛 所以我说我更喜欢宝莲灯里的悟空 得正果位 留大圣心 怎么可能封了佛位之后就不问人事了 降龙尚可以身渡人 我大圣莫非还如他不得
都干了等于都没干
没有我马哥？
看老猴跟黄眉影神图后，我觉得他说唐僧
必定有后续
先生大义
不如去看新闻联播
人性和神性
86版照样我的儿起手，稍微去了脏字而已
这全是隐喻 比如早前的my dad is ligang
杨戬好难打
\
三百块钱他能不出DLC？
说的太对了
当然有问题
卧槽，重磅消息
支持
哈哈哈哈哈
哈哈哈哈哈
西游记本身就是西游故事的二创
不只讲西游大劫，还有封神大劫？
就是四妹！！！
宝宝巴士
四姐入口即化了
黑子都是3D人士
小吏：一辈子到不了能读原著的心理年龄
远程养殖的香蕉狗而已~！
就冲你说到四妹，就值得点赞~！
传播信仰。不救？那我佛慈悲的理念如何传播，我灵山香火谁来供奉！？
再请问，踏上取经路前孙悟空其实也去傲来国用法术偷过兵器也是纵风，
吃口药啊，快吃！
不是意，六根里面就缺意，杨戬保管的是记忆
“原著党”其实看的是脱敏绿色学龄前版
只能说是神秘的西方力量带节奏了
小黄龙是自愿的好吧 这不叫牺牲品
大部分都是电视剧党
86版和谐了很多场景和剧情的，毕竟是要公开传播的版本
其实就是在不断的二创才会出更好的作品
我也是这个观点
是的
孙悟空不骂人？这人看过西游记吗
中国玩家确实大部分分不清
呃，其实在花果山，也是吃人的，几个魔王都吃人，只是猴子更喜欢吃果子
有可能那些抹黑的人都是没钱玩游戏的
出来吧，弓手冬郎
甚至86版西游记也很婉约的把东西两天的黑面放了一些出来
他们其实是认为没有尊重电视剧而已
草哈哈哈哈
死过的怎么死，其实也没杀
要出DLC的
太黑了 玩的我很压抑
间谍
玩到这真的会心一笑
就差把位列仙班说成体制内了
当下
哈哈哈哈哈哈哈哈哈哈哈
本来就是黑的 还需要抹
所以你这种人你知道他为什么叫黑神话吗？？
专心看完
不是
哈哈哈哈哈
是的，二郎神和大圣残躯一样，我感觉他俩放了一个太平洋的水
想想战神和希腊神话
笑死我了
悟空考公记
企业文化
说的太精彩了
看点东西就以为自己啥都懂就是网络懂王的自信
+
支持up主敢说真话
感谢
这不就是倒果为因吗
黑  神话
斗战胜佛重新成为了齐天大圣
没有证据能证明吴承恩是百回本西游记的作者
那难道弥勒是好人？
哈哈哈 笑死了这些人
乱好啊，
我佛只渡有元人！
老美啊
说这些的就是网络键盘神 估计原著长什么样都不知道
86版是美化过的，不然吓坏小朋友
难难道86版里毁山灭洞还少吗
李白是打野的doge
看到小黄龙上面那个红圈 我恨得牙痒痒
？
我寻思黑神话悟空不是西游记故事的续写同人吗？
续集应该有第二次大闹天宫
鼓掌
甚至86版台词里也不少
笑死我了
西游记本就是映射当下社会现实的一部小说 在任何年代都通用
哈哈哈
西游的内核是红的！
靠这个起家的，感谢当年的衣食父母
道教因为太上老君的问题都红温了
哈哈哈哈哈哈
预言家，刀了
所以说西游记本来就是二创
因为无我 没有分别心  救等于没救
取经为什么要是正当性，取经的真正目的是传法，而不是取经本身
吴承恩刻画的 就是这样的大圣 只是电视剧把他美化了
我还没通关呢！！！！！！
红，太红了
还有很多打着理性分析的纯出
对自己的传统文化这么没信心吗
《神仙都说》
给老牛递话呢
就是东厂和西厂
上美是真摇滚
把86当史记了
有什么好说的，没你事了，启动去吧
这是完全没有理解意思啊
他们的原著指的是86版电视剧
悟空不是石头？石头怎么死？
三国都让日子做烂了 也没听他们哔哔 七龙珠就更不用说了
哈哈说的好
彩蛋？？还能这么洗？
不是我嗷，我看完了
世德堂本？
@六老师
好！
黑神话喜羊羊黑神话哪吒
西游记本来就是借小说讽刺过去得时代得黑暗背景，当然也能带入现在。
西游记就是神魔小说
别问问就是看过86了
光荣魔改三国玩的爽，黑神话却是篡改
一村长一寸强（dog）
释迦牟尼：西游记尊重我了吗？
青田葫芦：来你也喝一个？
不愧是我关注的UP！！！我眼光真好~！！！
明明是宣扬中国一些风土人情以及儒释道啊
阿粥啊粥粥
请问外国人要怎么理解西游记？
那些高考语文考试都不及格的人，能看个大概剧情算好了，很多都是听回来的
剧情牛逼
哈哈哈哈哈
原著党的原著是86版西游
bb狼
3000小时斗战神玩家在此  超级支持
三连啊，愣着干嘛
张捷教授早就说弓手冬郎是个反贼了
太棒了
本来影神图里讽刺社会乱象就很多，还有很多地狱笑话
海外玩家才不管原著讲什么
裴总
确实不好
电视剧当时为了zzzq肯定删减不少啊
信息茧房嘛，懂
《健身器材》
看懂原版西游记有多黑  他们就会觉得这游戏绝对是小说的精神续作  所以有空上网杠  不如先去自己解读清楚
生死簿都没他名字了怎么入轮回啊？（我没玩过所以问问）
这还真有
别把西游变成宗教
说的太棒了
不挖坑，怎么出续集
已经看完！！
原著就是电报猴
是
说的太棒了！！
我看完全程啦
然而避不开传奇
宝宝巴士，这边建议巨婴们下载wegame
上千万销量怎么可能没后续？
你说对了，场景和视角确实不一样，那是大力王的视角，悟空悟能就是“坏”的
西游记就是本神魔小说，也是借西游所写的东西
点了
电视剧影响太大了，别把电视剧等同原著
已三连转发支持！
悟空更积极也更能被现代年轻人接受啊，怎么就抱着个封建观念不放呢
等鸡啄完米，狗舔完面，火烧断了锁
身高差异极大
《原著党》在？出来说话？
感觉像是五十万
hhhh 我同学说是如来的镜花水月
打败二郎神并没有带上紧箍咒啊，你怎么解释
四姐被抓去炼丹，那不得抢回来
沙僧：那为什么不打死她们呢？
没人了不就不贪不杀了嘛（doge
他们是外国人，不是外星人
地摊文学也吹起来喽
小黄龙不是不想和黄眉同流合污才钓鱼的嘛
兄弟们三连一下
已三连
还真是
我让你先摇
西游记本身就在批判这两个教啊
但哪一本都没有否定取经的正确性
玩过斗战神的都知道 剧情确实完全不一样
有没有可能我们国家本身就不推崇封建迷信
这会又有这么多宗教人士冒出来了？
影神图看了一遍，真有意思
吴承恩：是的孩子们 我也干了
他们家里电视就一个台
当年集结号和亮剑还有好多人说战士不说脏话
四大名著放当时都是禁书你觉得呢
再不传播国外只知道卡卡罗特了
兄弟们三连一下
爆杀
已三连
我记得以前好像也有电视剧这么写过
看完三连了
不还是一样
看完全程，3连奉上
你看人家看的还是86版，而不是你家大话
魔兽世界里都叫美猴王
黄眉说他们放不下心中的偶像是真的
游科还是没有放下心中的偶像啊
学习他！成为他！超越他！
拉倒，后面踏上只是脑补的。
我是史学家，这就是史
不必怀念我，我走后，你们都是我！
七龙珠？
原著党原来是动画片原著党啊闹麻了
破案了 原著党没看过原著闹麻了
太对了哥
对！！！
就是不允许批评吗
悟空：孩子们这些我还真都干了
不少差评也有啊
还有一个~原著党提个建议~为什么86版是魔改呢？你们可以去真了解下当时拍86版的时候剧组遇到了什么问题~因为按原著拍~X教不让~
杀妻证道怎么讲都不是孙悟空能做出来的
说到句号结束的，你写一大段话只用一个句号的是吧？？
神仙认为啊孩子们
毁人设啊
现在可不敢宣扬反抗
黑神话教:我的教徒替我圆剧情
这就是离谱，私货满满
吴承恩：是的孩子们，这是我写的
还有高手？
一是龙珠的影响，还有一个别说阅读难度在海外难了~就是现在一些“原著党”居然是只看过电视魔改版的人就可以自称原著党的~唉，可悲~
认真玩通关之后任凭鬼魅低语 心里自有评价
你不要害的我们看不了西游记
原著党说话啊！
阴谋论的说话！
分不清游戏和现实了
让英雄去查英雄，让好汉去查好汉！
是的，这才是我们认识的那个已识乾坤大，犹怜草木青的猴哥
朕的钱！！！！
鄢懋卿，冒青烟！
不就是斗战神吗
原著党说话！
黑子说话！
北大教授也干了
这不是碎片化的弊端！弊端是那些明明看了电视魔改版就觉得自己是原著党的傻子！
北大教授也干了
本来就有的苦难
所以一直都发现这个问题，原著明明写得很残忍，但一些所谓的原著党老是讲得西游好像很伟光正那样。。难道我看的不是原著？电视魔改版才是原著？
《黑神话》太黑暗
哪去看宝宝巴士
爽啊~
师傅，走A
讽刺就非要谈恋爱吗
八戒牛逼
其实也有  事后悟空对金蝉子说过是他添了风
那你这么说任何作品都可以随便改，还有尊重的必要的吗
佛祖都骂过粗口
勇者斗恶龙
谈恋爱就离谱
这个不算彩蛋啊，这个纯粹就是剧情，彩蛋一般指独立于故事之外的致敬
monkey brother
本来就不是按西游记写的剧情，这就是悟空传剧情
斗战神是悟空在真假猴王被六耳换掉了好像
