土方十四郎：我去。
这是翻唱，原曲是法国的
奈雪还真打钱了
我不，就喜欢吃牙签
这个饼干好吃！！但容易腻
卧槽
别乱给人招黑
轩妈蛋黄派确实绝
pasta~
天才
大家怕腥可以加一点姜片花椒猪油腥味很少的
眼睛一下就挣大了
难道她真的是个天才！
啊？可颂
白人饭↓
那平常的油得多多
什么夏目友人帐。。。。
bgm：golden hour
唐歌
part3
注意进度条。
mystery of love
真的好神奇！天才！
我这几天没见你都百万了？！
天才
早
同款茶包
春卷皮限时返场
奈雪打钱！
爱乐之城！
BGM是The last Waltz
谢谢金主妈妈！
bgm都好好听
恭喜接广
别说嗷
我勒个青年大学习
这真的可以吗
难他天？
天才！
甜菜！！！
啊？
土方敬礼了
wc
原唱刚来国内巡演这歌就成你们的了，66
又不是没人听过原唱，怎么就成你们的歌了
整笑了翻唱变你们的歌了，原唱又不是死了
里面可以换成蛋挞液吗
阿晞！
？啊
我奥利奥就这么吃！！超级好吃
我去，挂壁
不是曾舜晞的而且不止他在这首歌里唱了，还有是翻唱，OK？
那是个树！你以为你刀哥死了
刀哥你头上长草了
这歌好耳熟，真的不是翻唱嘛
这种奇思妙想真是让人惊叹
条件反射向下滑了
热的放冰箱不会不好吗
不是他的(苦笑)他只是翻唱
我草都是我歌单
是CD of store
这首！好听
我的天老爷这得多好吃
jazzhiphop！
尕娃﹠小曲
芝士的小曲儿
说实话，这个歌好蠢，每次听我都笑
唯一一个可以做的
触发连招
唯一真史
该说不说看到这，我都想喊声妈
鸡腿幻视
不是混沌武士啦，，是nujabes
luv的part3吗？好汀！
好聪明
哦∽所以生的和熟的蛋都可以做
bgm好评！
接广啦
恭喜！
jaz！
肯定会有巧！克！力！
泡芙?
啊？可颂吗
牙签真好吃
他是怎么想到这些的
天才！
这一桢开始我的眼睛瞪大了
谢谢金主妈妈！
同款杯子
天才
哇！
bgm再次好评！
bgm好评！
？神踏马夏目友人帐哈哈哈
求bgm
感觉口感应该像麻薯
！！！！/
看到好多都没说到点上hhh歌名是mystry of love
刚好家里有多的蛋挞皮！！！
拒绝
不行好埋汰哈哈哈哈哈哈哈
这岂不是喜茶的黑糖波波珍珠……啊！
宝藏UP能不能做出来适合孩子吃的营养快餐呢
香迷糊了
一看就会，一做就废
是以你的名字呼唤我好吧
我勒个天才
天才
更了！！她更了！！！
难道她真是天才？
恭喜接广了
真的忍不住夸夸你！这些食谱简单易学，并且选择歌都好好听啊
啊QWQ补药粤语版啊
这个我做过抹茶味的，就是抹茶粉放置会沉底
恰！
啊？就这么水灵灵地做出来了？
真的太有创意了！
震惊
？！
羊角包？
city of star
天才
天才
同款南瓜碗！
bgm是nujabes的耶
放咸鱼
这是什么歌曲，听起来好空灵
喜欢巧克力拦不住
这个BGM是什么，好好听
喜欢吃牙签的可以保留
羊角
前面的，明明是call me by your name的插曲
不是在锅里加热啊，是热好牛奶后趁着余温融化吉利丁
后面是龙猫唉
奈雪打钱！
我真的震惊
奥利奥这个几年前胡仔就做过啦真的很好吃
啊？
战歌起～
咸鱼梦想家
同款冰激凌机
天才啊我靠
不是mystery of love吗
光明这个奶很好喝
莫非你是天才？
吃到牙签辣！
猪油炒菜特别香而且更健康一些
不是戈门，难道你真的是天才？
妈呀蛋挞皮刚用完就刷到这个
Mystery of love 不是夏目的插曲呀
啊？
因为这个牛奶很好喝！
这是小新的羊羹！
喜欢这歌
这个巧克力奶巨巨巨好喝，超级醇厚，这两年喝过最好喝的
真的是天才！
真的是天才！
你是天才
真的是天才！
难她天
我也这么做白凉粉的hhh懒得用锅
掉下来的那滴让我舔
天才
爱乐之城的主题曲！！
优雅……
say hello ！！！超级爱这首！！
刀哥你头上长草了
突然袭击
难道她真的是添她？！
王OK！
天才…
在锅里加热完直接倒回牛奶盒？呃
15包50不便宜啊呜呜呜
不用放点香料进去去腥吗？
这个馅巨好吃，我能炫好多
bgm一秒就听出是卡农
天才！
不愧是古希腊掌管春卷皮的神
龙猫
啊？
好像看过（？）
BGM和我歌单高度重合了
BGM好评
那个暑假火的博主真的就胡仔留到了最后，头像ID也一直没变过
这个bgm啊啊啊啊
天才
卧槽
？天才
啊？发生了什么
卡农有品
啊？
city of stars~~~~（前奏太熟悉了）
难他天？
啊？
同款饼干，这个好吃的
谁能想到这个曾是蛋挞皮
可颂是这样做的吗！
天才呀
春卷皮加蛋煎过真的很香，我还是喜欢一大片都煎脆的那种
新西游记的小曲
六百多人也没发吖
别怀疑，她就是天才
后面是千与千寻耶
？
cmbyn
bgm是什么呀？
我的花生酱是咸的
天才！！！！！！！这个一定超好吃！！
wc
是樱桃小丸子的卡美罗唉
WC！
???
Newjabe
天才！
吃的时候不要忘了取牙签哦
这个可以做铜锣烧诶
啊？！
难道她真是天才？
真的很天才啊UP
OMG。。。这也太方便了。。。。
我先来：发明胡仔的人真是个天才
占领空屏
真的是天才呜呜呜
！！！
终于有个做过的了
混沌武士再一次返场
他还是那么爱春卷皮
我还以为来电话了
她还是那么喜欢巧克力
混沌武士
Call me by your name
第一首BGM golden hour，歌手就是原唱
啊？
哈哈哈哈哈陈老师做过了
蛋黄酱热量确实高
看着就好吃
啊？
BGM：golden hour
同款空气炸锅
？不是翻唱吗怎么就变成你们的歌了
啊？
空气炸锅，启动！
牙签！！！！
还是热乎的
这个焦糖饼干超好吃
十四分钟，烫死了
BGM名品！！！
bgm 好评！
这是冰淇淋机吗？
Mystery of love
啊？
难他天？！
mystery of love！！！！
golden hour
天才！
向日葵
我喜欢吃牙签能留着吗？
city of stars
Golden Hour
还真打钱了
意大利人狂怒
青年大学习
天才。。。
？啊
奈雪打钱！
这也能行？
妈呀
独  占  空  屏
这个看着就好吃
蛋挞皮之神
馋死了
我去天才
超级无敌大早
天才
酱撒了！我舔！
天才。。
？我去
还以为不火了，原来是我来早了
求此处bgm！！
4分钟烫手
好古老的BGM哈哈哈哈哈
脑子里怎么能有这么多想法，太天才了
35
天才！
