铁佛寺是全国重点文物保护单位，你说怎么知道的
手游下坡路是原因之一，主要还是手机硬件无法支持太多内容，第二国内厂商手游内容太差，如果注重游戏内容手游一样不差
这个时候眼镜上应该有个闪光特效
中国家长：这是电子海洛因 举报 举报
被采访人在说话为啥一直拍主持人啊。。。
主持人水平好拉
王秘书！
《叫的更真实》=同事是妖怪
这话问牢冯快绷不住了
还得是专业的人来
麻花藤，你听到了吗
"口罩没了, 露出了圆润的下颌线"
眼睛有光，真心爱游戏啊
上海堡垒！
世纪难题（doge）
赛博妲己！
这个主持人真的不行 能不能找一个真正玩游戏的人 她问的问题好片面
腾讯影响了国内单机的发展
原神：点我呢？
水浒，三国也要做呀
3A就是营销概念 代表制作成本很高 跟游戏品质无关 制作人很明白
你终于问我这句了
《阶段性成果》
哟吼~~火焰山
啊？啊？？！
@米哈游
但是整体越来越拉
这个剪辑到此为止 别用了
@米哈游
杨教授是怎么出来的？
剪切点完全可以用声画对位隐藏，抻点反应镜头也行，这么剪问题太大了
《电子海洛因》
高情商
盘丝洞，女儿国，，doge
就比如我 其实我不玩游戏的 但是看着也很自豪啊 文化走出去啊
空军电鱼龙
不，当年不是说整活的吗 居然是真的 藏得深啊
晋豫冀算是佛教圣地了
动捕的小猫还在，罗小黑去哪了？
赤潮啊！
亢金星君
高员外美蛙鱼头
人才
ranger
好曲儿当赏
太理智了
特别好！！！！！！！
这记者好厉害啊，没少做功课
我想要这个
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
牛
这句话就很完美了
我老家？
为什么一直切景啊
牛
妈呀，情商好高，哪些得罪的话一句不提
是成功的结果
山海经
满分答卷！
泪目
膜拜大佬
哈哈哈哈哈哈哈哈
哲学上的内容，都能接住？这两位很恐怖
和腾讯没关系，真正有关系的说不出来的
这……她不行
阿根廷：都在我这辣
我是一个动画公司的动捕演员，还是很好玩的
好，丸辣
《好吧》
战斗，爽！
单机游戏
巫师3
和流浪地球一样，先服务于本地人群再说其它
文学策划：我真的会谢
导游！
哈哈红红火火恍恍惚惚
说的太好了
什么玛利亚
原来是这个！我好像看过！
还有资金，人才
那么精良的国产3A一定要支持，不然以后我们小孩只有氪金648无脑手游玩了
中华文化在整体复兴
防火大爷（不是）
录音棚里欢乐多
原句是伏尔泰说的
记者太温柔了
这是真牛逼
广智救我！
太好了！
王炸来了
啊我之前看的就是这个居然那么久了
等一个三体电影
虎先锋来了
这次美术绝对第一
不理解自己补课去吧哈哈哈，这就是文化输出
我爱刀郎！
我的家乡呜呜呜呜
关注女妖精！！
地导~！
记者不懂这段
原来..我大云南落后了其他省份10年...T_T
黑神话 潘金莲
点名批评仙剑
中国已经是世界第二大经济体了，我们应该有足够的力量去做一些看起来“务虚”的事情了
青背龙高玩守门人，哈哈
道行(heng)...
还下一个冰冰，羊羊可比冰冰先进记者行业
电子游戏禁令呗
白骨精
程序猿
黑神话：悟能
这女的根本听不懂，就在这点头
美腿！
羊羊！
我老家村里就有座庙...[捂脸]
泪目
申猴哈哈
原：阴阳怪气谁呢？
6666666666666
腾讯斗战神。不点名@
直接住工作室了是吧，老师
斗战神
就像我一样，又菜又爱玩
中国有自己的育碧
感觉像看做电影
用猫条沟通
谦虚了
藤子早年扼杀了多少创业团队，做的恶还少吗？现在年轻人还是不了解
十几年前我就这在想这个问题
哭了
十年完成一件事，毅力决心也是够的
主任史志办
为什么？ 因为白骨之后，重走西游！！！！！！
中国？全世界！
藤子不死，中国早就有好游戏了
芒果冰说过
亭长
tx
哈哈哈哈哈哈哈哈哈哈哈哈
之前好好的  我没动他
还有床，真公司是我家
噢哟，是谁呢，好难猜（doge
说真的，3a不一定好玩，但一个没有成功3a的国家在这市场上竞争力太有限了
关塞题材，种田、游牧、长城、盐铁贸易。。。即时战略也不错，
华为？
给老子说哭了艹
恋游的别走，四大名著都是很好的题材，哈哈
牛b这句话
非常棒
斗战神啊，卡总他们这么多年的意难平吧
递手柄有点三次元
homelander
支持！！！
哇噻，我就是买了这手柄
可笑しい
主持人真好看呀
商业互吹哈哈哈
谦虚了
给我发把狙
最开始是进的一个工作室，后面才进的腾讯，弹幕别云了
说的太好了
我新手玩这种游戏，黑熊精我打了四个小时，把我打哭了
一眼空我
虚幻5: 不谢
虎先锋
拉满格局
好酷啊
确实是这样，估计工作了的人都有感触。
太谦虚了！
网格员哈哈哈哈
太对了
采访做的不错
社区书记
我想要
好悬没把我给打死
腾讯
我已经不在乎悟空了，我只关注接下来的悟能和悟净
这才是民族企业家
树妖
水浒也行
鸦香客
斗战神
《流浪地球》
直面天命！
这句话真的说的太对了
哭了，卡总亲自说这句话
这个问题很点题吴承恩和莎士比亚有区别吗
我在这里被打死一次OTZ
同样我们也一直回避模仿欧美日韩游戏
亿点点影响力
牛逼
冰冰呢
黑神话 广智
好像草料哥啊……(ᇂ_ᇂ|||)
我也贼担心悟空，塌房啊
这才是文化输出，直接让他们自己来理解
感觉不如genshin
虫棍侠广智
玛德你要这么明白我PC端要再买一个了
大环境 可不是一两句话能说清的
很清醒
好谦虚
悟空的含义就是悟空，笨！
有人看着指环王能做出龙与地下城
任天堂：正是在下
跑团快跑
村干部
牛逼牛逼
说得好
清醒的，如果这个ip都做不好会很打击信心
应当努力做到盛名之下无虚士，而不是成为沽名钓誉之辈
快别说了！直接给我A卡干关机了！
现在市面上落地的项目，把UE5运用得最好的只有游科
王者荣耀：谁叫我？
真是学生物的啊
斗战神
点名批评某些打着国风的产品
游戏高手!
偷袈裟的黑熊
踏上取经路，比抵达灵山跟重要。这是我们自己游戏文化的里程碑之作
猴子在中国应该是家喻户晓了吧
猴子永远不过时
开发的dna动了，上个版本还是好的。。。
1.1w+
做得真好 这段陕北风情太迷人了
顿悟了
唉，腾讯
大佬都说真话
唔耶，合照
游戏机禁令
记者问题真不错
好问题
说得太好啦
社区基层
大话西游
为什么不ban猛犸！
三成，我去
制作人很清醒，非常清醒
升华！祝大卖
游戏科学牛逼
这既是悟空
很不错
就像流浪地球，就像国产麒麟9000S
时来天地皆运转
人话：虚幻五有大佬上传了模型不需要自己建了
为什么总拍记者？
排面
说的太好了 这个人眼里有光
大圣归来:喵喵喵
看过原著地图的应该知道指环王其实是东游记
肯定不能用“长”啊，土地没那个地位
记者水平可以的
情报员
第九艺术
黑神话：牛爷爷
哈哈，大佬，你过于乐观了～
牛逼
这段陕北说书没有收录到豪华版小曲里面！！！
反正他们早晚要学汉语，给他们省点事
龙与地下城，线下开始的
甩棍
咨客
对，最重要是好玩
这里的导游啦
3A＝高成本、高体量、高质量
越刻意越做不好
幸好有这样的爹妈
马化腾:小冯啊，你走的太可惜啦，555~
游戏里原话，幸运只是强者的谦辞
喜欢我电子海洛因吗
过程比结局更重要
太想显这个女主持了，你是采访者，加那么多戏干什么？
全是特摄厨
还有山海经、搜神记、淮南子、封神榜……
西游记永不过时
尤卡此时有点血压上升了
牛马的悲鸣
懂王级别
人间清醒
@流浪地球
这位up主好眼熟啊，官媒么？？
进度条危
Cloud!
代入感拉满
哈哈哈哈
3A本来就是营销，因为都没有一个标准，往前10年的3A和现在的3A根本不在一个级别上
经典永不过时
企鹅
这是攻这是防
恋爱感觉
同行在对比衬托
羊羊好美
在各个平台视频站在制高点审视《热辣滚烫》的人是不是有点太过于自以为是了？
桌上全是书
《呀呀呀呀》
是真的还不够
《低配机》
白蛇缘起
飞驰人生，、
不，真正热爱的东西是发自内心的原始的
前提是打动自己要十倍的量
社恐程序员不敢见人
现实战斗要省体力但游戏动作幅度一定要大才能让玩家看清
8月21，开香槟了
哈哈哈哈哈哈终于可以说这块了
哥们儿已经buy了，正在下载，兴奋至极
遍地都是钓鱼佬（
青牛，不可战胜的！
就在山西
山西
没有玩过游戏的记者吗
通勤路上看
菜就多练，所以我得多玩一会儿
马楼
高平铁佛寺？
@鹅厂
玩家:我会一直监视你……永远……
后边是床吗？
开始做比空想更重要。做完比没完成更重要。都是于时代而言
冯骥才是CEO
感觉到的东西未必能深刻理解它
不担心假的。做好，圣人。做烂，罪人
帅辰老家？
哈哈哈，这就是我
奔溃？好，褒姒
好难蚌的问题
记者又不是需要专业播音腔
第一次看，居然还有op！？
啥，雷军
物理引擎
排面！
单机市场一直都在的，缺的是中国产品
我被白衣秀士虐惨了
四妹，当然是配四妹
怪不得关卡设计成那样
孩子你心中的英雄不是奥特曼，而是齐天大圣
黄眉大王
这也是事实
确实
跨度：因为被封禁。
说到关键了
恨不得一秒几切
别切了，眼花了
文案可是灵魂
好帅好优雅
为什么总切镜头
排面
对电脑配置的要求也比较高
这集还没出来吧
魔兽
没毛病，好玩才是第一要素
知道了开发的难处，这算是开拓了视野了
太棒了
人话：爱国情怀
这个音乐大佬是真的喜欢玩游戏     兴趣才能是他做的更好
黑熊话：出没
期待黑神话：黛玉233
卧槽
飞智打钱（
人间清醒
游戏机禁令
清醒
没吃过饭，直接就赤石了（
取经路是通的最重要
你问我？
马化腾没想法也不会给他注资，大公司病没办法！出来自己搞兴许发展还不错！
滴嘟滴嘟
高情商：跨越，低情商：游戏禁令
春节、除夕、元宵、元旦
腾讯工作的经历被隐藏了
这机位切的眼睛疼
流浪地球
你们自己最清楚啊（乐）
为啥我的没触发战斗啊。。。
你感兴趣了！就会来了解中国文化！就跟现在来中国旅游一样，你发展好了～就会有人来！
游戏机禁令拖慢发展
育碧是欧洲的啊233
战争之王：“I'm good at it”
黑神话:广智
民族的就是世界的
排面
是啊我们国家有太多太多文化内容可以做“文章”了！
不可能的
是的，我也是这么认为的，达到80左右我就很开心
肯定是大鱼和大圣归来了
记者是要问题引导 让大家知道 不代表记者不懂。
黑社会笑死
试试嘛，又不会死
和电车一样
哇，居然有实体版
伟大
东方树叶  我劝你懂点事 多寄点水过去！
影神图等之后可以出周边书，个个妖怪的故事
开始尝试做单机比做成一款比肩国外的高质量单机，更重要
@大圣归来
预知混元造化功，需看西游释厄传
建国之后不许成精
这就是第九艺术 游戏的魅力
第九艺术的魅力
成分复杂
怼脸吹啊，姐姐是个爱健康的人
敢问路在何方？路在脚下
灵山不远，彼岸非遥
希望冯骥可可以遇到自己的弓箭手和大蝙蝠[打call]
让他自己去学理解
??這你敢問?
阻断了
知道悟空是弼马温的怪物都没死
立法禁止腾讯从这个公司挖人吧
一个西游记，一个封神榜
红孩儿
神女劈观:在说我吗？
高平！
3000+都没睡啊
老祖宗的好东西还有很多
有东莞的
真是灵吉菩萨，前面预言家
哦，你们好懂哦，但那又怎样?我藐视你们在座的一切
确实和“大片”很像，有着高投入带来的高精度高质量的视听体验就基本符合泛义的3A游戏了
记者看起来完全听不懂的样子
这个玩的时候巨喜欢
是的，所以等到有一个游戏科学同赛道的劲敌出现的时候才是国内单机真正好起来的时候
热辣滚烫是改编不是原创没啥含金量
？生医工的？好熟悉的隔壁专业
这声音也好听
我今晚也是打到这
剪辑，咱是不是切得有点频繁？
真诚又谦虚
圈钱手游的公司不想做有风险的游戏
点云扫描
棒不是棍
真没人做三国吗？
拟音
我们来看游科的，请别挡镜头
文化需要时间沉淀，中国游戏文化没经历那个阶段
刚打过
谁才是被采访人啊？
点名那些手游圈钱厂商
拍开发者啊！！！谁看你记者
镜头剪辑稀碎
天命人不去取经搁这看视频，不会是跟我一样值夜班呢吧
哈哈哈哈哈哈哈哈哈
翻译可以请高校教授团队做，研究生论文也有了
居委会主任
搂着朱琳去取经 不负如来不负卿
麻花藤，吃干饭的？？？
真力8010，2800一只
说得很好
丸辣
？
行者！
有市场不过畅销渠道不行盗版横行，现在基本解决了
不要开倍速，这镜头切换没问题
感觉以后都会来抢人
不可能
不愧是制片人，项目汇报的话语
这里不单单是回答水平高，更是发自内心的说
哈哈哈
你成功了
《自然资源局局长》
娇羞的小胖
感谢
很好听
游戏机禁令：这事不怪我
都学西游文化了
别啥都是张尕怂
灵韵西游记第一章就有，谢谢。
那个年代，其实我们也有过
球2！
很客观的自我定位
猴有了，我还期待三国呢。。。 加油啊！！！
大佬
任天堂就是个大boss
地理志
顾左右而言他
我马上就去搜一下铁佛寺是啥，嘻嘻
狗头
对不起跑个题，真的好漂亮
在下坂本，我要装杯了
也是荆州中学毕业的好学长啊
这是为什么呢，电子海洛因？
真的好游戏，正反馈嘎嘎好
g胖
？
ground keeper
发芽的土豆
管家
官方认证
《制作精良》
太甜了
下一步黑神话钟馗来我们福建采风
齐天大圣孙悟空，取到真经后就变成斗战圣佛了！
观音？
我一个不懂游戏的看得都觉得好牛啊
说话有点伤人
然后现在被别有用心的人翻出来曲解打拳
围观校友
这才是真的有在追求的人，不去苟合市场
好家伙，省了旅游的钱
说得很好 泪目 升华了
这不是军事节目的记着吗
别再装理中客说什么pc，时间，自己去steam看看就好
虽然四机位好，但是切的太频繁不好
是EY
小姐姐好可爱
战线1 2 3
相较于电影，我觉得游戏更好，直面国际舞台，电影审核可能带有政治色彩或者偏儿童级的审核，很多电影我们并不能直接对比
玩游戏非得很厉害吗？很好笑不行吗？
说得好！！！
是这样子
`
流浪还行 热辣就算了吧闹麻了
客串的啊
刀郎真名广智 哈哈哈哈哈哈
释放出中国文化产品的国际经济价值
喵星人
牛皮
有原作肯定是从原作概念出发
大佬还是多注意休息，黑眼圈太重了
你做到了 我觉得很棒 很好玩 是个毫无争议的好游戏
faker剪辑的视频吗？一秒切三次画面
？？？
我们玩外国游戏的时候也不理解
揣着明白装糊涂是吧？
网格员我真笑死
正反馈很重要！
盒
以前是好的，那就可以签出对比
你擅长什么
说的好
回家了
有理想的务实主义者
痛苦面具
管求他 忍着！！！
文化底蕴
我同意这门婚事
甚至边打边讲
第九艺术？第零艺术！
陕北说书非遗传承人——熊竹英
有心的没钱，有钱的懒得去干
随便按
三国演义
封神榜啊！下个 IP 给你想好了！
来个648
擦，大仙
西游记其实很厉害，可能表象是类似指环王，但是背后细看细想都是城府和一套套的计谋
尴尬的微笑
理科生的回答，太理性了
这还需要判断？心会告诉你，你做的不开心就是不适合
天呐
"A lot of money, A lot of resources, A lot of time."
好厉害啊
杨奇老师还是带跟烟比较符合气质，哈哈哈
mn清醒
主持小姐姐好好看
对对对改改改
中间这哥们眼里有光！
程序员狠狠共情
纯外行提问，真是服了
天命人这一身好好看
L变XL
龍吊鱼？
地陪
做自己热爱的事情真好
哈哈哈哈哈哈哈
斗战神
哪吒
好牛
应无所住而生其心
小仙女
主持人真好看爱了爱了
受教了，先生大义。
都玩游戏，
我大山西
土地公这种神仙，西方人就当理解为得道大乘、法力强悍的地精就是了
说得真好
雷姆了
九百六十万平方公里，五千年文化底蕴，我们能展示的还可以是更多更多
思路清晰的领导者
这发型和装束就是标准TA……
不积跬步无以至千里
汗流浃背了吧老弟
啊？
八爪鱼用的是《星闪技术》
大佬
上海堡壘：就是我
罗技gpw2？
这个要去问麻花腾
用心棒
2000游戏禁令，杨永信
记者是代替观众问的，我就不了解
一个务实的理想主义者在看完这个采访后热泪盈眶。
三国做烂了，水浒不适合魔幻，红楼梦........就是做了不知道播不播的了
好真诚啊
触发陷阱卡
是不是没有头的那个怪？
性转悟空，可以
那不是因为光店不给排片吗
这是我的家乡！
杨奇老师！！！
荒野大镖客的马确实是动捕的
高平人来了
守村人
好啊
隔壁的罗小黑已经躺了
你还是忘不了斗战神
此人疑似在涂死亡守卫的棋子
圣堂刺客
社区网格员
这才是应有的格局
对
测试最怕的也是这种，明明测过没问题的功能，不知道啥时候又蹦出个问题来。跟石头里突然蹦出个猴子一样
哪吒确实可以
奔波儿灞
各个行业都在努力，制作我们自己精良的东西，真的很感动
本意是招人，结果人被挖走。。
好玩）
四十年了，西游的创作者们仍在表达一样的内核：路在脚下
但你要死了哟
你们能不能做电影啊？
谁不认识猴哥啊
l
@腾讯
太强了指差点被秒了
当过几年游戏策划的我也怕这句话，以前是好的
有条件了hhhh
主持人提的问题可能她自己有答案但是这是采访，她问的也是一些关注者的问题，我不怎么玩游戏也不知道3a是什么
《毛星云为何从腾讯大楼上跳下》
守护者
踏上取经路，比抵达灵山更重要
高手啊
是大模型渲染这样成本就降下来了
黑神话：关羽
齐天大圣，是理应扎根在每个人民心中的神话
紫猫！
汽车手机品牌：你不爱国？
法拉利！
磕nima
主教练在热身
热辣滚烫：没错 正是在下
厉害
能跑 就不要动
我不是药神
小拉不算拉
对味了
哈哈哈哈
游戏不愧是第九艺术
牌面
一万一千人正在观看我磊哥豆
土地公公老可爱了
牌面
团队里还有公路佬
上下五千年的文化底蕴
这画面！！！以为是实景！！！
6啊
虚幻引擎加持
每个中国人从小一定都想过成为齐天大圣的
谢谢你的坚信
天命所归！
说得真好啊
指环王qwq啊啊啊啊我想要宝钻的手游！！就第一纪元的！！
啊这
造梦西游
B站有些UP主，天天上B站也不想上班，
是的
中国拥有全球最大的单机市场
谢谢你，让事情变成了他本应该成为的样子
黑神话真的给本土的游戏市场投下了一颗核弹，以后那些游戏公司想蒙人！！蒙不了了！
2024/8/20-22：57
好问题呀
"A lot of time,A lot of money,A lot of people"
买！
没事，我已经打算入风灵月影宗了（）
好吧
这镜头切的
泪目
山西高速涨停了
最重要的是开始
老祖宗严选
？
说得好
游戏机禁令？
房贷咋办
用雷霆引擎用那更霸道
眼里有光
一语中的，牛蛙
文案加鸡腿
虚幻5
问题不大，当初我们也是这么扒北欧、希腊神话的
汗流浃背了
这个片头好可爱
军事报道的那个张扬
华为：？？？
F1乱入
排面
哈哈哈哈哈哈哈哈哈
00000000000000000
那你得问问某些国内的专家和媒体了。
我已经通关了
这不得问腾讯和某些专家吗？
我靠 keeper这个翻译绝了
在不久的将来，我也要做一个和游戏科学一样的游戏公司，让我们中国人自己的游戏在国际市场上大放异彩
那我当第二个行吗，谢谢
啊？
他们不理解可以自己去研究呀
下一个就是哪吒
杨奇脑子里在想你只认识包包，不是我们的目标群体
前面的，看电影还别管好坏吗？
Local怎么说
在在在
朝阳大妈
哈哈哈哈哈哈哈玩嗨了
确实，哎
封神榜 才是真的好题材
原句不是鞋里面的沙子吗
DLC可以变的完美
桌上都摆这么多参考资料了啊
说得好！！！
@ dota2，齐天大圣给我改成wukong！
排面
那我就变成光
黑熊精
闪过三个什么玩意
能去中科院呆几天，这就很不错了
全是标准答案
这个女记者真的可以
这镜头啥玩意
泪目
？？？
乡绅
因为一些不能细说的原因
前面问为什么还有女的 人家牛逼所以人家上
米桑：你怎么能这样高尚
斗战神
桌子旁边摆的参考书籍好评
好冷静
中西合璧 以中为主 世界眼光 国际标准
广智
网格员
结实特性
兴趣是最好的老师
60年代毁坏了很多，要不有更多素材
大表哥2
加油，我也加油
还真是
大智慧
重新定义还不错，已经非常强了
哈哈哈哈看出来了还是得专业的来
黑神话最大败笔就是被腾讯入股了，污染了
休闲和风景党闻风而至
冯总汗流浃背了
流浪地球
丸辣
？
正确遥
排面
《跨越》
跟高考感觉差不多么，哈哈哈
年轻气盛
欲立掀天思地的功业，当从薄冰上履过
汗流浃背了
牌面！！！！！！！！！！
程序员感同身受
手表跟我同款，GT4云杉绿
陕北说书
正是在下
你敢不敢把头漏出来
要是没有足够的实力，期待越高，失望越大
高情商
铁佛寺在我的老家离我家15公里
居然在杭州？？
先知
感谢e宝
又菜又爱玩
说得好啊
虎先锋
在
DLC里边狠狠的出，压力来到铁佛寺，能不能抓住这波泊天的富贵就看你了！
除了西游记，还有三国也是很好的题材
正确的
能不能别拉女角色，这游戏是没女不行吗？
指找不到能让冯骥满意的人
急急急！！！！这个出赶快周边！我要狠狠的买！
不管你来不来吃，饭就在这，饭仍旧是饭
老祖宗严选！必为经典！
homelander！！！
真正的去做一件事情之后才会不那么愤怒 理解当初为什么有些事情会发生
永远都不可能准备好，准备的差不多就得上了
流浪地球点了个赞
幽默
真的吗？我不信
确实
杨杨什么来历？
那么古尔丹，代价是什么
做游戏的人可以不表达目的，但是狂热的游戏粉丝必须要把它既作为手段也作为目的！狠狠的弘扬！
哇塞
就算只会开心消消乐的我看了也很高兴，香菇
流浪地球1是吧
古剑奇谭三有皮影戏元素也非常鲜明
真排面！
燕云十六声
第五代们出来挨打
还在解压呢
我也是人菜瘾大
好羊羊
是的
正卡在这个黑熊精上
老切主持人干啥
喜欢是一个伪命题，正反馈多了就喜欢了！
冲啊
生物人被痛击
张扬好可爱，看着都很高兴
真的厉害啊
吴承恩师祖爷大牛
啊，我终于发现我们的第一个共通点了!
卧槽？？？
他们都是悟空，做出这个游戏，走完了属于他们自己的取经之路
感动
钓鱼佬空军愤怒，数值大增
想剪切不如双镜头更好
这个剧痛
万一做到一半被卡了，那门槛更大。
太子闹麻了
魔焰猩猩
咖喱棒是吧
孙悟空才是我们的超级英雄
《热辣滚烫》
还有就是国力起来了，经济好了开始有娱乐的空间了。
记者虽然外行 但聊天问题啥的很舒服
厉害
《山海经作为收尾大作吧！！！！》
前面说上海堡垒的别走，笑死我了
战斗，爽！
既见未来，为何不buy，我充了，大圣一定很开心！
引擎给力
已经打到白衣水鬼了
热泪盈眶，欲语无声
后面的显示器都是联合创新的吧？专业调色
斗战神。。一言难尽啊。。腾讯玩死了多少个好游戏其中还有不少自己研发的。
蚕食属于贬义词吧
相似的人做着相同的事 这就是物以类聚的最直观解释
买了！！！
国产单机，什么时候开始和外国对拼文化底蕴啊
两人都是高情商
"a lot of money, a lot of people, a lot of time"
不负众望！
这就是产品力的重要性，产品力上去了下限不会低的
牛逼
罗小黑没这命
被小怪单杀
不愧是大佬，这个谈吐太牛逼了！
"mmm,........////////////"
泪目
公费旅游是吧
没毛病
果然啊  伟大的作品都是少不了一份热爱
？
小姐姐好漂亮
这剪辑，唉。。。
真正的通透啊冯导！
分不清虚拟和现实了啊
虽然我玩二游，但是二游真的死一死这定价
汗流浃背了
押韵
华为gt4，同款手表
超兽武装！
承载的很多 真不容易
磕到了，这恋爱的味道
千里之行始于足下
哦哦
出息了
哈哈哈哈
西游记在中国永远不会过时
快来山西圣地巡礼
牌面
这什么剪辑啊，画面一直切
看出来了，你是真不懂
游戏是集结电影，音乐，文化结合起来的元素
一下也不傲慢
哈哈哈哈
騰雲而來，直面天命！
有的公司做游戏注重营销手段，有的公司注重游戏质量
浪漫
解压好了！！
泪目
挺机灵
哦是妈呀
频繁切镜头掩饰记者的不专业
引擎技术水平大大提高了
太对了
天马行空是要有现实基础的！！
李佳奇
尊重原著哈哈哈
能马骑人吗
完成比完美优先级更高，这个同样适用于科研等诸多领域
下一步：黑神话 悟能    再下一部：黑神话 悟净
腾讯是投资公司
人间清醒
五千年文化，题材很多的呢。
显卡的香味
神仙系统里的基层干部
主持人不是配音演员，你在这要求什么呢？
说的真好
大佬呀  杨奇
太真实了
属于中国宝宝的超级英雄
所以你是在写一个什么样的bug
很实诚的人
是因为当年在腾讯咽不下的一口气
