沙大郎会玩啊，压二郎血线等进斩杀再杀蝶，完美拿到隐藏（）
欧豆豆唷，你还是太鲜嫩了咧，吃点猴头补补脑吧
精彩
这里已经看出来了，黄风包赢
疯虎血少其实伤害比虎先锋高的
高玩对决
风火轮直呼内行
嬴的狼狈。黑熊数值有问题
误入自由搏击
感觉看了好久 真精彩
这不比隔壁switch pro强太多了
都来看斗蛐蛐呢各位
黄沙蔽日，火海焚天
小黄龙vs青背龙
疯虎投技太多
爷最爱看的斗蛐蛐环节
买了好用
还是哥哥强
精彩！
左弓是吧
弟弟还是弟弟
靠这bgm古二的啊
都是泌阳的
雷蛇：好熟悉的的小肩键
差点睡不着了
第一单体不是铁球吗
精彩精彩
黑熊肯定打不过黄风怪的
疯虎打我比虎先锋痛多了
卧槽
精彩
咸鱼精 高低也是个妖王级别的
差点反杀，精彩
↑这里说的是大石敢当↑
但石敢当好像有残血秒杀机制，那样子应该可以算是全游戏最强大的群体伤害
大圣遗物分赃现场
这个太帅了
精彩
拳头怎么打武器啊
沙大郎都知道先杀国王要压二郎血线
不是调数值 是玩家血太少了
经典白忙活
精彩
精彩
air ball
他要能打得过也不用躲井底下了
吃了没武器的亏
有高山就有深渊
早就买了，我就不看了
地方小了，下次换一个大点的
精彩
登龙失败↑
精彩
热知识。他们是父子，疯虎是啪啪
父慈子孝
石头从天上掉下来的
疯虎：how many times when we fight？
虎先锋：如果想要这把刀 规矩你一直知道
那个蝎子大王伤害也高的一批
前摇过长
精彩
精彩
黑熊：发生甚么事了
黑熊你的二阶段呢
倒头就睡
哥哥就是哥哥
有刀就是牛
精彩
虎先锋招数太多了，近战远程，位移，铜头铁臂。
可爱滴捏啊
神风一起，三界谁人可敌
主办方真出生
小黄龙vs寅虎
ad现状
符合剧情
风助火势，尔等灰飞烟灭
这波更是重量级
好！！！(鼓掌)
主场优势
精彩
我来助你！
黄风对黑风
这集我看过，老虎输了
黑熊精客场作战
pvp？eve！
熊熊加油啊！
符合原著
这款的摇杆很好
我知道你等这个对局等了很久了
这虎先锋会玩，至少省一啊
斗蛐蛐爱看
等的就是这个
没有定风珠也能打
卧槽，帅啊
我来助你
沙国王还挺可爱
精彩
夯货
徒手和持械之间存在着hiduga
哈哈
国王死了二郎叼打大郎
买了八位堂339那个
尽力局
黄风大圣打虎先锋
疯虎加油！
精彩
沙国王太可爱了哈哈哈哈哈哈
精彩
我打的时候感觉虎弟难多了啊
这弟弟比哥哥壮啊
蝜蝂
太有乐子了
这一段好帅
还是哥哥厉害
.
精彩
账虎应该在桥上打，有摔伤小虎的机会
不公平
帅啊
黑熊输在数值低
熊哥这战绩可以了，第一章基本属于新手村
爱看
精彩！
拿法杖的耗子精才是全游戏最高伤害
精彩
不愧是，出生里的出生
不会吧
两大妖王会面
黄风大王：极限
哈哈哈，黑熊好像没投技，这波亏麻了
精彩
精彩
啊 熊熊
熊熊刮痧
游科那帮比都是键鼠档
咿呀——————！！
黑熊输麻了
精彩
大朗这是冲着白金去的啊
明明是赛博黄眉
煮豆燃萁
让他赚！
我压虎先锋
我来助你！
精彩
二郎神打大圣
精彩
马萨卡？！
拿到隐藏道具
JK小熊
帅！
亢金龙打亢金星君
明显车轮滚滚最强 滚到必死
兄弟对战
我嘞个古剑二啊，居然能在别的地方听到
黄眉VS二郎神
先把沙国王送了稳赢
黑神话斗蛐蛐
属性伤害压制
各打牛魔各的
啊 我滴宝贝袈裟
先打老的
错，不是武道会，是武林风
大史，二郎神：再想想？
装备优势，毕竟是拿刀的
假赛！
想看抱佛头的黄风怪打原版黄风怪
不必理会
精彩
夯货
精彩
精彩
国王先送了可能打的过
精彩精彩
帅
好赛道啊 那么多boss能弄几个月视频了
黄风大圣和黑熊精一比真是小小一只，小耗子还挺萌
大圣加油
不愧是哥哥！
鼠鼠加油
不能V黄眉啊
精彩
帅
飒
哪来的石头，初代虎先锋在天上扔的？
帅啊
细节黄风岭的小曲儿。
精彩
黑熊精好可爱
玄武门之变是吧
拟态卑鄙辣！
毒敌大战卯日
黑熊你技能呢，你无敌的黑风呢
黑熊精：丸辣！
精彩
精彩
踩? 我直接吃掉!
贴吧战争
我来助你
无父无君无法纪，为非作歹有天庇
终于有点悬念的了
血祭老爹，二郎升天
真是一条不错的赛道
无父无君无法纪
符合原作
神仙打架
兄友弟恭
主场优势
大郎为了精魄也是拼了
要不弄两个黄风来打
这个好用么
豁，玩帅的
啊？没触发
丸辣，大郎要死
黄风肉多了
纯纯的演员
精彩！
丸辣
手感不错，已入
别打我爹爹!
买定离手
斗蛐蛐来啦
黑熊感觉韧性高
我买弟弟赢！
这么快开始整活了么？
丸辣！
踢馆
沙国王直接送，二郎就进化成二郎神了
疯虎客场作战
是吗
好可惜啊
精彩
卑鄙！
原来这个是腹板
哈哈哈哈哈哈哈哈哈哈哈哈哈
我压疯虎
神仙打架
精彩
手长打手短
精彩
蝜蝂
玩这游戏手柄损耗真的好大
好好好
第一单体伤害肯定是杨戬开天眼的飞剑，将近满血挨一下死了
我打虎先锋用了七次，疯虎打了一个小时
[前方高能]
黑熊韧性比黄风差太多了，一会就坐地上了
拍拍虎
嗯？难道有转机？
原汤化原食
煮豆燃豆萁
《黑熊猎法》
完美，太六了 压血线我是没想到的
精彩
小熊尽力了
你特么还知道啊
策略:献祭老爹
这国王不死，二郎不进狂暴，肯定打不过大哥
精彩
太好看了
++++++++++++++++++++++++++++++++++++++
精彩
应该再来个虎先锋VS寅虎
兄弟内讧了，属于是
"woc,这才是斗法啊"
兄弟阋墙
青背龙加一
风中残烛？ 触发关键词 不死斩剑圣来了
jk熊熊
包大圣，黑熊好打
精彩，精彩，险胜啊，差点被翻盘
燃烧能造成流血的持续百分比伤害约等于中毒效果，除非老鼠靠速度敏捷一套带走，耗不过的
焰之拿瓦
打野王者游斗上单霸主的现状…
毕竟主角数值在变高所以boss数值也在变高
黄风鼠：暴击，破甲，闪避，穿透；黑山熊：压制，流血，击晕，抗性
还没进二阶段呢
动作资源丰富就是好看啊
风属性好像不怕火属性，风能吹火
火焰熊 VS 风沙鼠     上单肉熊 VS 打野刺鼠
32.0
黑风山扛把子和黄风岭扛把子
这么有操作
这伤害值差好多。
沙大是肉坦，沙二是战士，沙爹是ADC
精彩
头目喝妖王不是一个级别的 怎么打的赢
不会能反杀吧
要是黄风大圣还有点看头，黑熊精体型大，前摇时间长
沙氏鼠门一族
我来助你！
精彩
体感最高伤害是杨戬蓄力单发飞剑
本是同根生，相煎何太急
杨戬有个针
疯虎对boss放不出投技，废了一个大招
等等，这阶梯怎么那么熟悉
赛博黄眉
二郎神VS大圣残躯
父慈子孝，兄友弟恭
想看大圣残躯VS杨戬啊
疯虎会葵花三段
削风是吧
疯虎血太薄
死晚了
我觉得第一得是青背龙
不懂就问，这就是神仙打架吗？
不应该石敢当打黄风怪吗？
回合制游戏
呦嚯，彼此彼此呢？
精彩
仿佛看到了自己
熊熊这个毛好好看
我就知道有这个节目
手足相残
小黄龙对阎虎
什么伦理pk
我之前没定风珠直接打黄风大圣，它血只剩十分之一时，我一个不注意给我秒了
小黄龙打杨戬
我来助你！
坏了
虎先锋VS虎先疯好看
2.79
河狸
虎先锋：打不过，就跪下 疯虎、打不过，也不能跪下
杀人啦
买定离手，来看珞珈山和小须弥山的佛门内战。
极其合理
沟槽的0帧起手
我压疯虎，伤害高的离谱
打得难解难分
佛门内战！
主场优势
精彩！
帅！
还是哥哥猛啊
蝜蝂
纯fw
婴儿般的睡眠
不好意思我，我是键鼠玩家
搬好板凳坐前面
这么便宜？和北通比起来怎么样？
黄凤赢定了
《178赛》
赛博斗蛐蛐
老大这么大吗
精彩！
欧豆豆！
疯虎真的猛
yes yes
真该出个Boss战的格斗dLC
贝蒂小熊，乱世不败
精彩
虎先锋用屁股应对
精彩
黄凤岭~八百里~(无端)
谁能打败夜叉王
必须是黄风大圣鸭
你看那鼠辈也讲人情
主场优势
我买疯虎
世子之争向来如此
黑熊：你不装了，我也不演了
我也要四妹圣杯
疯虎使用了岩崩
风火山林
兄弟阋墙
沙大朗甚至还能拿个精魄
别杀我叠叠！
沙二郎：识破，如何呢
精彩
精彩！
黑熊精半血才有火
精彩！！
感觉疯虎会赢
鬼泣一觉
风+火打扩散
这个mod看来要调数值啊，不然没得打啊
真的帅啊蛙趣
我和你缠缠绵绵翩翩飞
黑熊精真的很菜
精彩
这是懒得设计，拿何必ns的还个配色端上来了呗
猫vs鼠
蓟县
难道……
鼠国诸葛连弩
弟弟没有刀，不公平！
建议加入寅虎
小张太子：精彩
《演武仪典》
刘宋、北齐、李唐皇室纷纷点赞。
难道说
赛博斗蛐蛐来了！
父子局
精彩
正常，一个傻子一个疯子谁也不认得谁很正常
这才是斗法
神仙打架也许就是这样的吧
疯虎必赢，攻击欲望太高了
触发连招
居然这么激烈
左弓b屋檐了
疯虎血量少点
疯虎狠虎先锋，可是虎先锋为了疯虎能活下去才做的虎先锋
太精彩了太精彩了
黄风是不是喊了一声耶？
广智救我
精彩绝伦！
精彩
蝜蝂
嘿，沙大郎，快把阎魔刀绐我
我赌老虎赢
疯虎说了他哥抢了他虎先锋的名号
真不如墨将
嘿，虎先锋，快把阎魔刀给我
长的这么像switch Pro啊
不公平！
回不上血不是手柄问题，是黑猴的问题
青背龙附魔刀:？
电子斗蛐蛐儿
虽败犹荣
精彩
\
蓟县
有点精彩阿
精彩绝伦
兄弟之争
wc虎先锋这个闪避怎么帅吗
兄弟相残
中国人的天命：以“中”字为转化符文，守望相助实现个体生命由终末期碳基载体向硅基载体的“对齐、联通、一一映射”，获得真正永生！
在我想擒拿技用的出吗
你看那鼠辈倒讲人情
有背键？
愚蠢的弟弟
《春水堂》
这才是妖王的战斗
虎先锋2小时  疯虎一次过
赤手空拳打成这样不错了
沙国王如果先死了，沙二郎肯定能赢
黄风岭，八百里，全是耗子架大狙
精彩
爹爹
全场最fw:沙国王
精彩
精彩精彩，这才是斗法啊
想看大圣残躯打二郎神
精彩
黄风踢不动它吧…
看看介绍在认为，穿越回去打的的这俩的爸，虎先锋是哥，疯虎是弟
兄弟对决
我压黄风
兄弟之战
赏！
对不起，我选择XBOX
二虎相争，必有一伤
面板差好多
彩
经典赛博斗蛐蛐
大朗胜利了，也该吃药了
这也太帅了
卧槽帅
青背太脆了吧
可惜
不应该黄风大王打那个虫子吗
转阶段这几下这么痛？
兄弟阋墙
不公平，重赛！
我愚蠢的弟弟啊
精彩
数值碾压
看攻略了是啊不
难绷
青背龙一刀残血啊哥们
兄弟相残是吧，建议后面把虎类都放进来
已经买了，不好意思哦
虎鞭留着下酒，剩下的送给大王
会玩啊
想看二郎神VS大圣残躯
虎先锋对疯虎弟弟挺好的，只不过疯虎嫉妒他
爹！你来
抱不住
我的发
石敢当VS石先锋
精彩
看好虎先锋，有铜皮能免疫不少伤害
所以血量少玩起来很不爽
黑熊:给我安排个定风珠谢谢
明明是黑神话公孙雅量
虎先锋吃的老鼠其实也是人
血脉压制
这个缩卵风魔
沙国王先死的话应该是沙二郎比较厉害
可以分主客场
这俩数值肯定不一样，打二周目穿一样的装备试试就知道了
左弓！！！！
fuban
精彩！
中国人自己的bvb
好家伙，你灵山来的吧？
不献祭老爹 没机会
丝滑
蓟县！
啊？难道？
弟弟还是弟弟
稳啦
黑神话：妖怪
精彩
精彩
精彩
3
投技是直接扣血吗
我去‘
兄友弟恭
赖子
精彩
无货，下一个
笑死
辅助互a，此时的adc空q
徒手与持械之间存在一堵高墙
符合原著
精彩
黄风兄弟！
难道说？
大郎细节压血线
精彩
沙国王负责献祭
我来助你
看过攻略的沙大郎
持械就是吊打空手
虎先锋：我愚蠢的欧豆豆呦
虎头留着下酒，剩下的送给代王
虎先锋用刀犯规
持械打空手的优势
黄风大圣：蓟县，差点就没了
疯虎：输了，也不能跪下。
看电子斗蝈蝈，做赛博王爷
熊熊操作拉满，就是数值不够
难道说
观音菩萨都没这么打过我！
精彩
想看虎先锋跟他爹打
难道说？
太baby了
笑死这投技
精彩！
黄风岭德比
杨戬的红刀，把几乎满血的我秒了
神风一起，三界谁人可敌！
精彩
精彩精彩
爹爹！！！！！！
精彩
这才妖王的对决，纯粹的对决
啊？
走开 这里是我的位置
难道说
这鼠辈倒讲人情
3
下注下注，我压黄风大圣
虎先锋大战虎先疯
兄友弟恭
疯虎：oioioi
帅啊
精彩！！
我愚蠢的欧豆豆呀
不是逗猫么
我草精彩啊
绝对是清北龙
飒！
我擦，怎么做到的
同室操戈
卧槽
黄风赢，
符合设定
因为一个妖王一个头目，数值高得多这个虎先锋。明显攻击欲望跟打玩家的要低
持械与徒手之间隔着一堵高墙
哈哈哈哈哈
沙大郎设计上就没二郎厉害，特别是爹被送走后
Dot damage over time
第一单体我只服青背龙，一刀差点满血给我送走
就黄风大圣这技能，斗蛐蛐应该是前三水平了
还以为你是买联名杯子的呢
精彩
风助火势。
不是一个章节的数值差距
我赌黄风怪
黑风真遇到了黄风也就只能当个熊先锋了
客场打这样不错了，不丢人
精彩
精彩
倒不是虎先锋伤害，疯虎脆
这价格还要什么自行车
问题是没货啊bro
精彩
那必定是我黄风兄弟赢
没蓝牙
又到了我最喜欢的赛博斗蛐蛐环节
我来祝你
黑风唯一排面技能！
马萨卡
已经有赛博斗蛐蛐了
我来助你！
疯虎少个投技
这不是数值差距是什么？
精彩
无货..
一面打2面数值刮了吧
精彩
卧槽，真妖王斗法
一山不容二虎
狂风住火呀
卧槽控血连杀会玩
这就出了？
三味神风，久未用也！
精彩
黑风不行，比黄凤菜
精彩
我都是先把二郎磨到丝血在杀国王过的
建议大朗先杀国王出发狂暴
刚买
耶，我又赢了
虎首男VS虎次男
黄风大圣加油
6666
太TM精彩了，这段简直无敌
青背龙吧
黄风大圣加油
老三没做技能啥的哈
格子裙熊
主打一个骨肉相残
爹，疼
图鉴里大郎刚出来不知道自己变老鼠就和二郎打来着
黄风大圣加油
精彩！
让他赚！
你大哥还是你大哥
黑熊精拿定风珠了没
有种到黑风山再打一场
这就是Adc吗
哈哈，我赢了
虎先锋VS虎先疯
多变两次黑风稳赢的
不是无线的？
我一个币下虎先锋赢
黑熊精数值低了点 不然赢了
虎哥会被虎弟一直打僵直吧
兄弟倪墙
附魔青背龙那个不是单体伤害吧 一群猴子猴孙全噶了
baby
来了
精彩
持锤暴风鼠大战鼠巨魔
弟弟终究是弟弟
第一单体伤害应该是火焰山大铁球 碰着就亡 挨着就死
黑幕，黄风大王和主办方相互勾结
我买的就是这个
可以整个三局两胜的
国王不死怎么玩
啊？！这都能翻盘？
主场优势
双峰贯耳！脑袋砸核桃！
疯虎场地有落实，井底打
黑熊最后这打得漂亮啊！
太精彩了
在我主场怎么输
兄弟阋墙
欸嘿嘿
精彩
电子斗蛐蛐
昨天看见比我脚大的老鼠
电子斗蛐蛐
斗法了！
虎先锋厉害 疯虎感觉很一般啊
精彩
熊熊像我啊
好悬没给我袈裟喇开线
沙国王要不先送了祭个天，二郎就可以放手输出了
没有定风丹黄风大圣能打？
疯虎血条没那么长吧
23
精彩！
为什么不是虎先锋打虎先锋
你就是个弟弟 弟中弟
虎先锋是哥哥疯虎是弟弟
这个性价比贼高
应该让黑熊精打黑风大王
等这个等好久了。
风神争霸
亲兄弟打这么凶
小黄龙VS寅虎
北鼻
疯虎的落石招呢
斗法太帅了
符合影神图
打哥哥两次过，打弟弟要十几次，这是为啥
哥哥始终是哥哥
精彩
兄友弟恭
黑熊韧性低点
还是内战，不过这次是大圣六根中的两根内战
.
虎头留着下酒，剩下的送给大王。
我也觉得疯虎会赢
我来助你！
鼠特林机枪小组（确信）
缩卵风魔（
何金银背对着大师兄
会玩
精彩
沙国王空大了！
好家伙
该来的还是来了
给你机会你不中用啊
一山难容二虎
2.5条虎
我愚蠢的欧豆豆呦
没有定风珠和避火罩啊
两个收官boss
哈哈哈哈你武大郎
牛逼
出来就买了键鼠玩家一周目，二周目用手柄玩
没有背键？？
沙大郎:这波卡血线拿精魄
打不过就跪下
不调数值打不了，攻防差太多了
芜湖！
有刀还是吊
虎虎我呀，
势均力敌啊感觉
打一个手无寸铁的虎不公平
兄弟大战
所以法环NPC大赛什么时候更（bushi
精彩
在这边，夯货！
66666666666666
精彩
百分比扣血的含金量！
坐～钢～叉～
哈哈哈哈
。
萨仁啦
精彩，满城百姓
，
好兄弟
想看大圣打所有怪
这么看黑熊的袈裟好像个小裙子啊
解说全场MVP
兄长，放早啦
火焰风暴（恶魂）
第一秒杀技是车轮滚滚
还没来得及发怒……
我赌寅虎
超短裙
观战：三太子 双头鼠
愚蠢的欧豆豆yo
东北二虎转
该来的还是来了
没定风珠就是猥琐啊。
精彩
我来助你！
难道说
如果先献祭沙国王的话，沙二郎暴走就有较大可能干过沙大郎
黑熊亏了，客场劣势
这里让我想起来被虎先锋卡在墙角里揍……
有那味儿了
精彩
我感觉疯虎赢
精彩
亢金龙vs媍蝂
兄弟阋墙
皇位之争（doge
哥哥虎神还是强
疯虎攻击欲望太强了
兄弟阋墙
精彩
三阶段黄风才是真黄风
黑神话的主线其实都不是很难
我来助你！
疯虎有场地伤害啊
这是我看过所有单机里最合理的pvp
我一个币买黄风
二郎狂化估计有机会
疯虎的伤害明显更高一点
赛博斗蛐蛐！！！
沙二郎不会玩啊，先回头把沙国王砸死献祭了自己不就能开爆气了吗
他用出来了
不应该啊，疯虎伤害比虎先锋高一截才对吧。看情况，疯虎伤害怎么那么低
精彩
“打不过就得跪下”，“打不过..也不能跪下”
帅的
小张太子：我躺着看
我压黄风大圣，不为别的就为他来助我！
虎先锋有武器
我来助你☞
我来助你☞
除了大石头感觉应该是毒敌大王了吧
老三是双头鼠，谁告诉你没变成鼠族的？
我押大圣
桀桀桀
观赏性拉满了
我靠，残影打架帅啊
符合剧情设定
居然意想不到的精彩
兄弟相残
丝血的压力
小黄龙VS寅虎
就知道会有斗蛐蛐
黑熊精莫名的可爱
急如火快如风
精彩
奇迹行者，还在刷野！
又来
我来了黑神话蛐蛐比赛
有本事先拿老爹祭个天
ri
黑熊精客场压力大很正常
策略:把沙国王弄死
休不啊累
有意思
真的精彩啊
押二个币黄风
精彩
二郎神打大圣残躯！
虎先锋是妖王 疯虎是头目啊
黄风随便杀
沙村门之变
三郎就是小张太子，游记写了家父流沙国沙国王，后边双头鼠也是三王子救救流沙国，流沙国亡了
四犊混战
看着像熊大打熊二。。
这……真斗法
还真是，找荷莱露学的本事
刚刚那个落石是从哪儿飞出来的？
寅虎:都是弟弟，一起上吧
这才是懂得，先把二郎打成残血，再杀了老爹，再杀二郎
熊熊烈火
卧槽，这真像两个妖王斗法
我爱黎明，我爱黎明，我爱黎明，我爱黎明，我爱黎明
虎先锋
腊鸡砂锅王
第一伤害应该是亢金龙投技 不管多少 只剩一滴血
你这玩意怎么还带武器的
没有定风珠?那毫无悬念了，2阶段鼠鼠强得一批
啊 你来真的
被打成熊二了
z最精彩的一集
极限
现在就用的八位堂猎户座
复活赛
虎头留着下酒，剩下的送给大王
虎先锋没吃过人怎么尝出来人味
最期待的一集
精彩
关键是没有避火罩还能打，没有定风珠，那完全不能玩儿啊
精彩啊
不是虎先锋伤害高，是疯虎血少
虎先锋：弟弟永远是弟弟！
要翻？
哈哈哈哈
哇~，来了
飒！
黑熊精是精，可是黄蜂他是大圣。
我压烽火
哈哈哈
兄弟阋墙
精彩精彩
哈哈哈
压版边了
广智广谋来一场
卧槽，要翻
最喜欢的一集
你这疯虎没有天上掉的石头啊
后面打八戒二阶段变猪有火牛招式
两团烟雾
虎头留着下酒
上单狗头大战狗熊
虎头留着下酒
ad现状
玉米投手
虎先锋vs寅虎，小黄龙vs毒敌大王
啊，天上下石头？
虎头拿来下酒剩下的留给大王
电子斗蛐蛐
苦也
疯虎客场作战，去井底再来一局
燃起来了
持械的感觉厉害点
精彩精彩
《虎虎生疯》
虎先疯
赛博斗蛐蛐开始
熊的姿态模仿的太好了
老弟的四连击不太好躲
好大的毛绒娃娃
电子斗蛐蛐
精彩
黄风大圣主场啊
你怎么还骂人的
精彩！
电子斗蛐蛐
疯虎在哪里？我没打疯虎啊
难道？
虎伥VS疯虎
遗产争夺战
精彩
这可比自己打爽多了
精彩
其实没啥特别的，就是这个价位的手柄还挺便宜，然后还挂个联名，你就买了吧这玩意也没多好，就是便宜
可惜
飒！！！
宿命对决
没被掀翻过的好汉，一个都没见过！
精彩
鬼鬼
数值不匹配吧
输了当0
三昧神风，久未用也！！！
回合制
老三是神仙
毒迪大王和小骊龙
精彩
青背聚气斩
电子斗蛐蛐
虎神NB
精彩
献祭老爹 可以一战
精彩！
稳了
差一点
父慈子孝
你哥哥还是你哥哥
看右下角的沙国王
居合！
精彩！
精彩
我们黑神话也有自己的耐睡王了
二郎狂暴基本不吃僵直猛得一批
福瑞控专场
精彩！
我来助你
精彩
黑熊精太菜了，我都初见杀了
父慈子孝
父慈子孝，兄友弟恭
欢迎来到B站最大赌场
wow
精彩
兄友弟恭
兄友弟恭
火云邪神：哼，小孩子打架才踩脚趾，啊～～～
这段是真的帅啊！
黑熊客场没优势，而且数值也低了
完辣
太精彩了这集
兄友弟恭专场是吧
你哥还是你哥
这么快
这么燃？
压板边了
沙国王没了的沙二郎才好玩
能把黑熊精踢天上吗
黑熊精VS劳埃德[手动狗头]
还得是长兄啊哈哈
hahaha
精彩
精彩
这不得分个主客场
精彩
老鼠踩他
xbox用时间长手指头疼
fw沙国王
我就问问黑熊精有定风珠吗
体型大就容易打僵直
我感觉疯虎比虎先锋好打
四周目黄风两铲子给我700多防八百多血秒了
青春没有售价，狂砍黑熊大胯
好看！多出！
我的手机画质怎么突然好了？
精彩
动作来源于初王二段
精彩
黄风怪：我数值在你之上
你应该让同回妖王打隐藏boss
精彩
蝶！蝶！！！！！
遇水即溶，黑色磨砂三点式
精彩
还得是肥胖点的体型才行
这一身毛皮油光水滑的，真好看
你有个*的战斗回忆
符合隐神图
单体伤害不是上buff
精彩
天下第一武道会
想看黑熊打虎先锋
可以调数值
求四妹倒模
小张太子，救一下啊
黑熊精配吗
哈基风？
标准打法
杨戬打大圣残躯
电子斗蛐蛐？
精彩
你要讲伤害那还得是大石敢当
不对呀，他还在被持续火伤，那一点血会被烧死的吧。
疯虎玻璃大炮，自己太脆了
精彩
蝜蝂：我来助你！
拉克希尔仪式胜负已分！我才是高阶领主！
哈哈哈哈哈哈
有没有大圣残躯打二郎神的
好涩
想看寅虎打青背龙
疯虎一遍过，虎先锋卡了半个小时
别打我爹爹~
投技是不是约等于都锁了？
精彩
兄弟阋于墙，除之而后快
精彩
虎哥打不过虎弟吧
好哇好哇好哇，这种无敌机制烦死了
海虎二
寅虎打小黄龙
体育生
这就是高招A和点券A的差距
可惜了
袈裟？裤衩子！
惜败
板边
这俩攻击伤害不是一个等级，没啥好比的
兄弟反目，父子相残
符合事实
熊熊可爱捏
\
精彩
精彩！
差点被烧死
有一种数值的美
欺师灭祖，老东西们自然不肯放过我，来罢！
黑熊怎么不会变成风了
精彩
主场优势
晦月打百眼
很悲哀的事，开风灵月影就开了，搬到台面上说，还是很自豪那种
我期待晦月打金光
我来助你！
“兄友弟恭”
已入
这集我看过，老虎赢了
旗鼓相当的对手
徒手和持械之间存在着一堵高墙
疯虎加油啊！！！
沙国王唯一的作用就是自我献祭给沙二郎开狂暴
这设计吊打飞智
完美虚化VS领域展开
压黄风！
孙吧老哥
何来路打葛弗雷？
何来？何来？
黑熊还是输在霸体少，还容易硬直
差点反杀
这就是传说中的一山，不如二虎
这就是中的一山，不如二虎
应该杨戬打小黄龙，调完数值打，真正的cs打cs
献祭一个砂锅王
好活当赏
一山不容二虎
哇偶，好酷
石敢当VS石先锋(
虎先锋大战虎先疯
青背龙那得附魔附魔有个p伤害
主场优势是吧
我识破都吃投技，直接无敌帧状态被扯飞
我是病了 ，不是死了！
脑袋砸核桃
有兵器就是厉害哈
四小龙混战
精彩
疯虎太脆了
精彩
要不是老三没血条  老三也来了
JK小熊：老六我服了
精彩
精彩啊
帅！
三昧神风，久未用也！
黑熊的jk裙
神仙打架
一个币黄凤大圣
燃起来了
想看九个提灯打妙音
你就是弟中之弟！
虎先锋有主场优势，应该有主客场，打平后在第三方场地决胜局
来个赛程
蓟县
沙建成，沙世民，沙渊
小张太子：6
旁边山上的落石。
国王死的瞬间，二郎应该就开始哭了，但这里二郎挥了一锤子都没开始哭，是不是因为技术不完善，所以他开不了狂暴了？（个人感觉）
这沙国王死半天，二郎挥出一锤之后停下但看起来不像是狂暴前摇的掩面痛哭啊，更像是待机状态（当然也可能是我的错觉）
还在蒸
精彩
还在蒸
第七魔神布拉修！
精彩
疯虎完虐虎先锋
好看爱看
黑熊没主场火焰地形优势了
笑死了，这小鼻嘎
不许伤我爹爹！！！（怒吼）
虎头留着下酒，剩下的送给大王
弟弟就是弟弟，一天是弟弟一辈子都是弟弟
