细节虎先锋
难怪悟空打不过，原来是先用戳，再用的劈棍，这打不到了呀
哈哈哈哈哈
哈哈哈哈哈哈
525
帮帮我，广智先生！
广智！救我！！
我靠真的，前期地图经常问自己这里哪？？？我从哪里来？
没有地图
诶你大爷啊，这给我干哪来了
省流：逃跑流玩法
哈哈哈哈哈
三章后，俺老孙被你们骗了！
气煞我也
等干完了都26周目了
操控的不是孙悟空
他好可爱哈哈哈
6
超标广智
卧槽，难蚌
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
520人(惊)
山拳打碎大圣梦，马喽终将是马喽
打不过，就得跪下
我也迷路，最后上网找地图
吗喽
广智救我
好形象哈哈哈
猴王出事
这第几集？哈哈
然后被大头守卫干
哈哈哈哈
醒醒，没有女友
太真实了
友情提示：你没有女友
快请如来佛祖
哈哈哈哈
确实
爸丝
风灵月影宗启动！
他们说10几个小时通关时间，我现在20小时感觉没到三分之一
哈哈哈哈
游戏公司打个补丁，难度减一半，不然情怀玩家通不了关了
哈哈就是啊
斗战神，启动
第一个打的就是广字，把我打的请出了老祖宗，风铃月影大师
广智我两次就过了，但是广谋的蛇小弟把我虐死了
哈哈哈哈
哈哈哈哈哈哈哈
开局就没绷住
刚看到一个一棒秒虎先锋的
四天已经三周目第三关了，三周目boss摸一下已经快半管血了
广智救我！
我确实三天通了
等我拜入风宗
嘉然说马文杰是这样的
两天就通关了
hhhh
哈哈哈哈哈
我要这铁棒有何用
我打白衣的时候气的我想把电脑砸了
猴头留着下酒，剩下的送给大王
基本上黑神话悟空和传说之下一样，可疑的新手引导。反复读存重复。
“你怎么一直看别人玩”
想多了，一个都打不过的
哈哈哈哈哈
俺老孙已压在这五行山下500年了
风灵月影！启动！！！
啊哈哈哈哈哈哈哈哈哈哈，真好这才是游戏，现在的人太不扛糟了
我现在一天玩一章，现在第6了
疯狂受苦
广智救我
哈哈哈哈哈
每当你变身广智，就像失了智一样，攻击也不躲了，只知道一通乱按。
哈哈哈哈哈
广志救我呀，接力接力
黑魂
省流：开炮！
俺也一样
没绷住
你有女友？
快躲闪！
送命人
广智救我
红温了
我还在前山转悠。。。路痴伤不起啊
33.9万粉？秒啦！
你没女友
广智救我！！！
菜就多练
南无阿弥陀佛
黑神话广智救我
哈哈哈哈哈哈哈
一天打到黄风大圣
608个人出来
哈哈哈哈哈哈哈哈哈
广智救我
第一集：猴王出事儿
那妖精变幻多端
可惜我没有钱。
哈哈哈哈，是在下了
快跑！
红温了
广志救我！
不就是我吗
打大头时广志救我！
哈哈哈
哈哈哈哈哈
手残党真是黑吗喽啊
不可能，绝对不可能
哈哈哈哈哈哈太真实了
暗示出地图
啊啊啊啊烦死了
广智救我！
猴头留着下酒
我他妈12个小时  才打完第一章   我真尼玛   我都想开风灵月影了
开修改器很骄傲吗还自成一宗了，真的无语
哈哈哈 绷不住了 剪辑的真好
黑神话—广智
正是在下
风灵月影の小曲
哈哈哈哈 真实
鲤鱼:广智桑嘛，救救我！
紧跟时事
哈哈
广智救我
不是卡烂？
哈哈哈哈哈
真就三天49小时通关了
盖伦出轻语
你也被同化了
别做梦了，你卡的幽魂已经5天了
迷路！
黄风岭，小西天的你:诶，我怎么回到原地了
887个人？？！！
大型boss身上的空气墙真的逆天
可是天命人不是孙悟空，也没有孙悟空那么厉害
打了四天
很真实
真实
快被空气墙给折磨死了，广智也打不过，玩了还不到两个小时就退款了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
帮帮我，广智先生
虎先锋虎三拳
卧槽，我感觉我不会通关了
根本没有女友嘤嘤嘤
哈哈哈哈哈哈哈哈
广智救我
哈哈哈哈哈哈哈，俺也一样
广智救我
哈哈哈哈哈哈哈哈哈
哪来的女友
女友？
笑死，根本没女友，也没有游戏
已老实，求放过
跪下！！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈，红了，真实伤害
很多风灵宗的同宗啊
西游三广者
好真实
贪刀了
过于真实
广智救我
一纪，再打一纪
绝了！！！
哈哈哈哈哈哈哈哈哈
其实这款游戏还是挺简单的，相对于阿尔顿法环和只狼这款游戏简直就是在送
哈哈哈哈哈哈
一模一样
好真实
这个哼要是换成个 叮就传神了
主播玩:黑神话悟空我玩:黑笑话吗喽
黑神话 广智
看团长有了一个新梗：黑神话：广智
给我一箱泡面，一箱红牛。军中无戏言，10天！10天拿下杨戬
醒醒，你没有女友
哈哈哈
黑神话。广智
大佬已经打第四遍了
哈哈哈哈哈哈
真的好想玩黑神话悟空啊！！！
醒醒你没有女朋友
不是哥们？话密了哦！！！
进入游戏前：着色器编译中。。。
广智救一下啊
哈哈哈哈
去请菩提祖师
我已入月影宗
黑神话:广智
，我要充一晚上，你要想充，我自己再找个头
女友哪里领？
原汤化原食
广智接力赛
全被打成黑吗喽
红温了
1000+!
最后真的笑死了
那是金钱豹
感觉有点高仿只狼
广智救我
五百年～
帮帮我，广智先生
这边建议换成那首500年
这给我干哪来了？这还是国内吗
在下应该是五天，现在打到大圣了
哈哈
1000+
幽魂，虎先锋：啊哈哈哈哈哈哈哈哈哈
广智救我！
哈哈哈哈哈
我以为是500年～
这就叫做   悟空虐你千百遍  你待悟空如初恋啊
我直接风灵月影启动！
哈哈哈哈，快去请风灵老祖
@XBOX玩家(包括我自己)
《直面天命！》
加入宗门啊
23333333333333
太懂了他太懂了
15次过虎先锋（）
正好三天通关，还是在白天上班的情况下
那个打气功的大头怪过不去
笑死了
刘罗锅：三天就三天是6天
我现在每天脑海里都在回响一句话：佛海无边，不渡无缘
俺也一样
我哥确实用了三天。第一天早上10:30到第三天晚上7:30。
这是金钱豹
就那一个大头，我死了27回。打了一个多小时没打死，最后还是开挂打死的。
哈哈哈哈哈哈哈哈
省流：开炮
你没女友
2333333333
玩成了马喽
哎呀  四段空了！
哭死
哈
二周目玩得真的爽，升级嘎嘎快
黑社会:广智
吉吉国王
快去请风灵月影
哈哈哈哈哈怎么就一个怪
哈哈哈哈
有个up主直播不通关不下播，给自己干废了
这不就是我嘛
一点不好玩，我都退款了
哈哈，俺也一样
悟空刷boss，没买专门打野的装备刷不动哈哈哈哈哈哈
笑死，根本没女友
少看一集都剪不出来
蚌埠住了
广智救我
不至于不至于
绝杀
哈哈哈哈
哈哈哈
温馨提示，你还没有女朋友
李奶奶的晾衣棍
一周目打Boss属实心累
被大头虐了一个半小时
哈哈哈哈哈
给我吧摄像头拆了！
哈哈哈哈
啊？
禁字绝启动！
6个小时一周
广智救我
哈哈哈哈哈哈，这个太萌了。。。
广智救我
压500年
那霸王色霸气的鸟人也太难打了，主要是他炫的我笔记本掉帧，我服了。
呃……没女友
贵 你抽几十单648沉船时可不是这么说的
哈哈哈哈哈
哈哈哈哈哈哈哈
我就打了23次，这也太难了
提前预定:烦死了。。。。。。。
六小龄童
说实话，比黑魂和老头环魂游简单多了
俺也一样
我猴哥真可爱
不好意思基本一遍过
二周目天命人
广智 广智 接力接力
广智救我！
3天1周目在这
哎，你们这游戏只有这一个怪吗？
操，太真实了
哈哈哈哈哈
小黄龙卡我三小时，到最后招都背熟了能打无伤
800人……
晕3d了
三天又三天
哈哈哈
宝可梦悟空
幽魂:你好
绷不住
大头娃娃：“你好”
正是在下
我现在就是这样
实际上：广智救我！
俺也一样
难度算降低的了 玩惯魂游的反而觉得难度低
进入游戏后“敢问路在何方”
《我没有女友》
开炮！！！
268块钱还嫌贵充648怎么就不嫌贵
哈哈哈
马楼模拟器
哈哈哈猴哥打不过很正常哈哈
吼吼吼
这个不是虎先锋，这是豹子精
细节虎先锋，你够了
只有匹夫之勇，并非大哥所说的那个人
迷路确实很真实hh
两天通关，现在二周目快结束了
风灵月影速通的结局是“白忙一场”
哈哈哈哈哈
还缺一个焦急等待游戏下载的时间
观看人数1000+
然后各位就碰到了自己的一生之敌，不同的人卡在不同的boss
哈哈哈哈哈哈哈哈
你也打不完
风灵月影宗启动
哈哈
所以玩这个游戏开挂只是还原大圣姿态
2000+
广智先生帮帮我
广智救我！！！
结果晕3D的你
广志先生救救我
《虎先锋》
这里面怪都长一个样吗，那有啥好玩的
我都二周目了
广智救我！
广智救我
快去请广智大人
我已经被广智杀了好多次了
哈哈哈哈哈哈哈哈
广智救我！
这游戏就只有一个怪吗？
的确，真实
观看人数2000+2024年8月二十四日12:44
即将进入吗喽状态哈哈
哈哈哈哈哈哈哈
哈哈哈
生动形象
广智救我！
好多穿模镜头
叮！！！！！  召唤大圣上身
这他娘的也是我不买的原因 实在玩不了
广智救我!!
Steam上架了丝之歌
一个月后原来是三个怪
七天后怎么就两个怪
夯货
我游戏都进不去。唉
纯爱豹哥哥已经很惨了，你还拿他当素材～呜呜呜
哈哈哈哈哈哈哈哈哈哈
365里路呀～
哈哈哈 过于真实
马喽出逝！
谢谢，室友已经疯了
这游戏就只有一个怪！我说的是真的，你们别不信！
广智铠甲！合体！
哈哈哈哈哈
233333333
233333333
师傅别念了
我4天通关
虎先锋三掌干碎大圣梦
广智救我！
黑神话·广志
盲猜最后来一句经典名言：烦死了
用了四天
广智救我！
三掌破了我的大圣梦
哈哈哈哈哈哈
这就是我和广智热血沸腾的组合技！！！
紧跟事实
我一天晚上干死了三个boss
没呀，67个小时已经过了二周目了，准备打三周目了
三拳干碎大圣梦，半日撑死虎先锋
哈哈。正是在下
笑死女友都没有
这游戏只有一关
这tm是豹….
《烦死了！》
省流：开炮！！！
这是金钱豹，拿来的虎先锋，罚你再看86西游记10遍
这是金钱豹，哪来的虎先锋啊？罚你看10遍西游记
广智广谋 欺我太甚 我要去风灵月影学真本领
哈哈哈哈哈哈哈
老登?
草，一模一样!
本想着一扫千军，结果连个小妖都打的费劲。等通关了，实力碾压地图，奈何游戏结束了，哈哈
快死了，广智附体！！！
三拳干碎大圣梦
哈哈哈哈哈到哪了跟我一样到处迷路
@无敌灏克
没有第三结局！！！
对我而言，开挂才有意思
快去请风灵老祖
朽木不可雕也
到时候蓝色的大头儿子就会教你做人
哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
三天啊三天，三天又三天啊哼哼啊啊啊啊啊啊啊啊啊啊
是我是我
1000+
买了还是盗版会怎么样呀?
广智铠甲，合体！
快去请燕双鹰
加入科技的进化吧
广志伤害是真的高
女友都没有的我
其实咱们在这里打不过的boss都是在原著被孙悟空一脚踩死的
要是加入魔兽世界的墓碑就更好了 让玩家看看 地上躺了多少回
↑猴儿打的
哈哈哈哈哈
丝之歌发售时间（确
合
哈哈哈哈哈
别说了！！
进入游戏：开始掉帧
来干来干
说句实在话 这游戏有点贵。
光头现状
他的游客到底有没有第三结局？
打完一二结局之后，
绷不住
我小来，我不一样，我马上二周目了
是我
啊哈哈哈，没有女朋友
第一难：没电脑
不看攻略，纯忙，真打不过，有的还有几个阶段？比如白骨精，白衣秀士
哈哈哈
哈哈哈哈哈哈哈
黑笑话妈喽
风灵月影招人了
我也想玩可惜我没电脑
@棋手战鹰
哈哈哈
太形象了
给赞了
黑神话的尽头是“开挂”
三天，虎先锋都撑死咯
黑神金:若知(指正)
水滴穿了石头
这游戏就一个怪嘛
广智救我
不用打boss直接卡成ppt
没有女友怎么办
哈哈哈哈哈哈
可咱玩的是后代呀
41小时通关差3个成就没做
黑神话：怡宝
哈哈哈哈哈哈
金毛，傲娇，五路赛（
别人手里的天命人，到我手里成了马喽
哈哈哈哈哈哈
办公本带不起来（哭）
哈哈哈哈哈哈哈
你还有女友，嫉妒了
哈哈哈哈哈哈哈哈
哈哈哈
俺也一样
快去请如来佛祖！！！
我打你一下你别打我
撑死虎先锋
我朋友破防了 麻烦你删掉（doge）
细胞人要开始发力了
哈哈哈哈哈哈
1000+
退款
叮～！
一直打不卡关一天就够了，一般人很赶很赶就两天三天的样子
已退款，不适合我，没难度选择
哪来的女朋友啊？
加入风灵月影宗
哈哈哈哈哈
幽魂三次就过了
然后二郎神一个侧身闪避了
张口闭口风灵月影脑子没事吧
风灵月影
俺也一样
说实话，除了没点技能打幽魂，后期打二郎神君和大圣基本没死过几次
两天，三天那都是没时间玩的
是同居女友
刚开始蓄满重击一棍劈下去就几百的伤害(
众所周知这游戏只有一个怪。
202人不点赞等啥呢
对于玩魂游的人来说 是真的简单
三拳淦碎我的大圣梦。
是猴打的
打幽魂时
3天真的能通关
都是修脚师
正是在下
风铃月影杀死一切游戏，包括镖客2、战神5、黑魂3
前面的，建议去看一期磊哥出品的（你打不过不会反手出肉吗？）
哈哈哈哈哈
