女儿唯一清醒又理智的存在
怪不得冷门，打高分的估计都是些青春期的学生
《算》
她太累了
很夸张，但也一定反印了现实
送妻子的礼物明明是他的心意。。现在却拿来求别人的回报
夺少？
这是她的实力，从来不是运气
弹幕竟然说她自己纵容的，丈夫偷钱是她纵容的？？
有酒喝了
酒鬼
血压高了
你谈谁牺牲的多的时候你的文字毫无意义
无能狂怒
难道不是国外多生有补助吗
神金
神金
我希望丈夫只是电影中具象的苦难，而不是在我身边批准父亲外套的恶魔
有个好老婆还不好
哦~
补药啊
现在也这样……
巨婴
孩子妈哪里轻松？
？
只是电影，大家不要太认真对待
任务？up用的词好搞笑，这究竟谁下达的任务？
老天都看不下去了吧
现实根本没有时间写作，十个孩子，一堆家务，还有个狂暴的男人
闹餐
所以女主获奖得利者不是男的吗？只不过从女主手中心甘情愿转移过去
天天做白日梦呢
若之
不是或许，是一定，起码妈妈获奖的钱不会因为买酒没有了
可别在这自欺欺人了，你能生下女儿养活女儿，是你自己的本事，和那男的没关系
这算什么原因 和妻子有关系吗
老天瞎眼了吗？这获奖究竟谁得利？
不懂这个男的
好能忍啊
什么狗男人啊，
大型比赛，定会出事
早干嘛啊
太大这样
不家暴不是优点，是及格
自尊心太过脆弱的男人
十个？不会都是伊芙琳自己生的吧？太吓人了
这只是电影，只是演员演的好。
哈哈哈 这告诉我们喝大酒会短命
能说自己错的男人在中国你们大多数都没说过。
越懦弱 越叫嚣
巨婴
科幻片
又有谁能经常抽到这样的大奖呢？换句话说只有有能力的她才能够。
奥斯卡影后啊
超雄键畜
没钱就喝水啊
感谢时代的和文明的到来吧，不然我们比她们更苦
看到我爸了
怎么又是一生的任务了？你说说这一生的任务是什么？
再歌颂苦难，就替我们所有人受难
这样的女超人居然真的存在，为这个才女致敬
这么有实力的女主不多，但这么烂的男人倒是比比皆是
好无语的文案
没有这个男的，他们能活得好100倍
恐怖又窒息。牺牲一个人成全另一个人的不叫伟大，叫压迫
优秀过短暂的一阵子，然后给孩子和妻子带来了长达数10年的折磨，别太爱男了
这是个供养全家的全职保姆
什么科幻片？
"本来就是,那个男的只完全是拖后腿,姐们仁至义尽了"
这样优秀的女性被困在家庭里，简直是社会的悲剧
好痛苦，创作者好没有生活好不真实
这种男人也会存在么
创作者一定不是女的
这种伟大太接近神了，对人来说好残忍
凭什么要求女生这么付出啊
男的就顾着自己的自尊，女生的自尊在他们眼里什么都不是
老婆真倒霉，他老婆真倒霉呀
导演是男的吧
飞舞是这样的
剑吊飞舞男
她怎么老有小奖啊
最好的结局不是母亲能够独当一面，而是认清这个fw男跟他离婚
吃了德芙似的，太丝滑了
看到她赢我只有心疼太不容易了
演得好好这里
哈哈哈
是斑吧
反转？
哈哈哈哈哈哈哈哈哈哈哈哈
她简直是超人
有你这个家就不会好
牛逼房子都是女人的
没有这个婚姻 她该有多好的生活
好美啊
十一个人的压力全压在了她身上，没疯已经很了不起了
我不明白这样的父亲和丈夫到底哪里值得尊敬
没有家暴还值得表扬了？
这人是美国队长吗
论婚姻给女人带来了什么
最好卖到黑市里换点钱
母亲太伟大了
简直就是荒唐
要是我老婆就好了
这个男的是2012电影里的疯狂解说家
前面说“至少”的，不要自发降低对家庭责任人的标准好吗
希望每一个未婚女孩都来看看这电影
吃苦呀 美版的 吃得苦中苦方得人上人
孩子和父亲争着母亲挣来的房子
人的劣根性，不中用的父亲，以及被母亲温养的丧失进取心的孩子
这个眼神……
怎么跟我爸一样 我妈回来晚了也是这样发神经
吃苦呀
他们朝我扔泥巴，我拿泥巴种荷花，他们朝我扔石头，我拿石头砌小楼
还有人在找理由 是最可悲的也是最无奈的
她是坠入陷阱吧
国产神剧“我是一颗小草”
因为女儿懂妈妈，知道妈妈为家庭付出太多了，到头来父亲都会全部拿去喝酒，早晚有一天会害掉家庭
日常恐婚
so？魅男剧
竟然有真实故事
因为他是男的，所以他的一生注定轻易
本来就没有必要吃这种苦
我感觉被浪费了20分钟
《原谅》
说声谢谢，哭一哭就可怜了？
真实故事，好恐怖
好媽媽，好母親，不會把自己負面情緒帶給孩子
巨婴
为了未来
生了十年
我娘田小草
这种都不离吗
好强大
妈妈咪呀
寡妇牛逼
国内有这个综艺，小时候看过
原来是这样
哈哈哈哈哈哈哈哈
她值得更好的
这就是对宗教的辛辣讽刺了
这样的男人还挺多的
服了
尖
这男人别说帮忙不添乱就是万幸了。。。。。。
预制菜呗，这才是所谓的西式
没有这个男的，她根本就不会为钱发愁
。。。。。。。。。。
就你的周六珍贵是吧
这种日子还要继续吗？
有这样的母亲，会觉得生活无坚不摧
天使老婆
不管是什么原因，也不是他伤害家人的理由
我是快递员 这就是大件货
夺少？
成年人的崩溃，往往都在一瞬间
他也知道伊芙琳能留在这个家庭是一件多么难能可贵的事情。
我做不到伊芙琳这样子，我也不想成为伊芙琳这样子。
fwFW
这样的男人怎么过
谁家超雄
mb
百战百胜
…
Everything is impossible
可是生活没有惊喜
强者思维
躁郁症吧
超雄都不这样
牛逼牛逼啊
贷款喝酒？？
笑了哈哈
好心疼
我真希望能找到这么情绪稳定的老婆
"最后一次比赛的机会是那几个妇女让给伊芙琳的，他们在走之前说：""你家孩子多，你就收下吧！"""
科幻
啊
作为一个男的我要是这样我没脸继续呆在这家
简直就是我
所以呢，一辈子啊
？？
就这就洗白了
天哪好厉害啊
离婚了怎么办？没这个爹离婚了明明会更好
bleeding love
好耶！！！
科幻片
他们是家人啊
飞舞啊
啊和着这个无能的丈夫还是有自知之明的啊
人生的本质，不过是痛苦
难评。这并不能补偿他犯下的错
这都不离婚
不感动的表字圆润的离开就好了不用在这里刷存在感
可以去收银台吗？
不是，这个母亲也太不容易了，不仅要照顾孩子们，还要照顾情绪不稳定的丈夫
这不是我的故人吗，弗兰克
有责任心，可以为自己所有的行为负责。不怪罪他人。
fw男主
搞笑的吧！看的让人无语
织女高超时刻
科幻片
妻子：我上早八！
手臂应该是车祸的烧伤吧
黑色幽默
f5父亲
……
这不是他应该的吗？作为一个父亲！
沙比男
泪目了
夺少？
如果我有这样的母亲，我现在已经是亿万富豪
现在有点本事的女人都不想结婚，绝对不想
奇怪的电影
让他赚！
这里妈妈没有因为生气直接泼 而是等孩子们都从爸爸身上下去再泼
本来就是啊
生活也可以没那没苦
离婚吧
觉得女主的希望，才是真的绝望
0元购光明正大版
准备迎接末世天灾是吧
我去！
这个人真像我爸爸
飞舞男主
你说这是养个儿子我都信
没能力还爱发脾气
这个男的不要也罢
牛奶！
没有这个老公，没有这么多孩子她的生活不知道有多精彩
\】==】
！牛奶！
我希望我妈没有嫁给我爸，真的配不上我妈
我嘞个豆
实际并不是女人男人，父亲母亲，而是这个人真的厉害
侯默比他强多了
完全没有必要因为一个渣男的几次良心发现而感动，选择原谅他。
完全没有必要因为一个从头到尾的渣男因为几次良心发现而感动，选择原谅他，好吗？
当看到这个父亲什么都没做就能享受成果，我非常的难受
我该怎么原谅
所以呢
这有什么关系吗，我最不能理解的就是这段
真的没必要歌颂，对我的乳腺不好
真无语死了，超雄
真实故事改编...好恐怖
接好运
这好像并没有直接关系吧
警察来了就老实了
嫉妒了?
60年代可能离不了婚吧 所以她得接受
除了丈夫改过自新
然而她还是被称呼为莱恩太太 而不是她自己的名字
...
为什么要结婚
啊啊啊，牛奶
幸运女神啊
不算丝滑，应该从购物车里拿出来
。。。。。。。。
如果我是这个家庭的小孩，拥有这样的父亲，我情愿不要，为了一个所谓家庭的完整，让我们一家被一个很糟糕的人弄的很坏，这比起不完整的家庭是更让人难受的
问题其实一直都不在钱上，而是在某个人身上
有这个爹真不如没有。
作家会从自己构筑的精神世界里得到与生活对抗的无穷的勇气
。。。。。
我上早八
？
什么叫没伤害 孩子听着这些不害怕？
他老婆是圣人吧我靠
母亲毕竟不是神，不可能做到一切
不会加入越战了吧
真的是一个好妈妈
发脾气的时候怎么不想想妻子和孩子
破防了
fw只会把过错推给压力
接好运
很心疼这个妻子，生育了十个小孩子，努力为一个家庭，怎么偏偏就摊上这个窝囊废丈夫，希望他马上被车撞死
什么活动啊，天
说给她的人生任务？
全部都靠别人来想，又想要说自己成功想笑
春晚小品
非常讨厌这个丈夫，如果以后我的丈夫是这个鬼样子，我宁可终生不结婚
哦，都是没保障的自由职业
洗衣服有什么屈辱的
凭什么原谅，我真受不了这个电影
啊？歌颂，难道不是警告吗？
独立男性
离婚了不就容易了
任何原因，再有苦衷都不能这样，无法原谅
？发啥疯
求bgm
《俺娘伊芙琳》
那些直接喷的不妨反思一下自己的脾气怎么样
傻雕
女主皮肤怎么了
不伤害家人难道不是最基本的吗？不要给他找理由
尊重祝福
真的很令人感到窒息
可是女主的皮肤可不太好额。。
苏醒砸电视
她本该拥有更好的人生。。。
这是溅火吧
还理解 没离婚不错了
她又坚强又不内耗
fw
她本该拥有更好的人生。。。她的才华 她的天赋 她的幸运！
我们有相似的人生但我不是主角
飞舞啊飞舞
同一个世界同一种爸
天呐。伟大的
貌似没了这种环境，大部分女的也不像这样情绪稳定了
艺术本来就是灵感的爆发
为啥送孩子上路是她一生的任务，而不是自己上路
自己什么都做不到，还要给人家找麻烦
自己什么事都做不到，还不允许妻子做到，要全家跟他一样混吃等死吗
超雄丈夫
为什么不离婚？
超熊体质
这些不是彩票抽奖，这些是比赛获奖的奖励，她的本事比运气更大
情绪稳定是因为她不代入任何人包括她自己，不在乎任何情感，她只为了心中那个“贤妻良母”的角色努力，如果不能，她就完了
用三瓶了 确实好用  150  470毫升
没错
太牛逼了女主
超雄
正确的
你是人啊？
理性的男人
本来的事
好幸福，
积极的态度
没钱还生
情绪稳定是被逼出来的
你猜为什么心态这么平静
不会伤害家人难道不是应该的吗？这可不是任何人的加分项
最需要钱的时候没有，这是在感动什么
理解不了，原谅老公但牺牲了孩子们的生活，值得吗
、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、
、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、
浪费时间的解说
真的很好用 已经用两瓶了
丝滑
66666
時代注定她不能離開家庭跟丈夫 她選擇把日子活好
她不想把生命浪費在仇恨抱怨上
我并不觉得伟大就是要女主一味的付出和包容……
可能幻视我爸了，看得我好难受
我老公
太好啦
如果你只能着眼于对于丈夫的委曲求全，我只能说你根本没理解电影表达的东西
她的伟大不在于委曲求全，而是成功抚养了自己的十个孩子
任务？？我觉得她应该为自己活而不是把照顾孩子当成一种任务成为一种拘束
当今社会其实变化也不大 男性还是那么轻易就会获得赞扬
受不了
啊？
这老婆简直是圣人
男主真的有自我救赎吗？
有这样的老婆这男人怎么好意思这样
快离了得了
值得
呃这个男的好歹没有家暴不然会更难过吧。。
压抑
兼任
受不了这种，抽象人
离吧……
这部电影难道是为了鼓励让女的一直包容男的然后让她帮助男的认清自己吗？？。。
香槟问题，啊啊啊
给我整笑了
保险点大家还是去医院治脸上的痘痘
但愿美国好起来，别再摧残美好的明天了
这爹的性格问题太大了
超雄
我是真的讨厌酒，一股讨厌的塑料味，令人作呕，就像我的父亲
是一种以局外人的角度看问题的超脱
哪里是运气?不过是她的努力，用心，和天赋的集合
价值观有问题
巨婴爸爸
多少？十个？
真的好心酸
很多这样的人
完全可以离婚，自己带着孩子，只会比现在更好
我抱着尊重的态度批判这男的，咋了？
男人一边把妻子当摇钱树，一边要面子
调解员？
对女人的刻板印象，这种叫伟大？
看得心疼，女主真的是太难了
这是恐怖片吧
完全不觉得感动
？
为什么不离婚?远离这个只会给她和孩子制造麻烦的渣男
我妈妈也是，编织毛衣，为一个家付出了很多，我觉得她是最棒的毛衣服装设计师
真的泪目了
啊？
？
那么强的嘛
耶稣：byd东西别喊我名字
这部电影看到现在到底想讲什么
难道不是吗？有什么好生气的?
情绪真稳定~~~
o
哈里斯：你好
自己天天买酒，乐子
accident. 意外的 偶发事故
现实中根本不会有人一直那么好运气
为什么还要和这个没有补偿没有悔改的老公和解
所以这一切的意义是什么？为孩子还能理解
欧内斯特劳伦斯
你管这叫家庭主妇…
很多地方像我爸
凭什么？
这种男人最核心的本质就是自私
眼泪憋回去了
然后还要带着那个累赘
她真的好厉害，好坚强
纯老缠
我一个男的看的想骂人
神人
科幻片
她是一个值得敬佩的人
背景可能是美国的黄金年代？
？
这都能自卑，那你挺小心眼的
没打就算不伤害了吗？情绪失控会给小孩造成心理阴影的
超雄
很符合我对懦弱男人的刻板印象
这个村里的妇联也不管换吗？生十个
其实是养了十一个孩子
《视频同款，立即购买》
毫无疑问这是一位伟大的母亲，需要你共情吗
窒息
而他的丈夫却莫名其妙也享受了这一切
离婚吧。。。。。。这个爸爸太没存在感了。如果没有结婚，这个女人兼职就是人生赢家
愧疚什么？
米国主旋律电影
天呐
后来伊芙琳成为了寡妇制造者
尊重祝福锁死
这是属于她自己的荣耀！不属于她的家庭！！
循环往复啊
↑活的时间够短，才能够像那些天真无邪的弹幕一样完全不顾孩子
对味儿了，百分之九十九改编，百分之一真实
是她强大，才不是幸运
准备这个桌子不就是为了让老婆更好的赚钱给他买酒喝吗？
男人就是这样，总想把自己放在最高位，喜欢打压自己的伴侣
难道不是吗？
支持看电影看急眼的人，因为你们急眼我就笑死了
我现在现实里没有对象，但我有这样一个父亲
纳尼，情报是真的！？
PUA？女主应该付出一切？
好强大的女性
我真服了男的了
确实很好用，很温和
↑谢谢你们整天应激，来做我的乐子
↑看电影总是应激，生活怎么这么不如意？为了给我当乐子，你们还煞费苦心
?
怎么在一起的
我靠，好伟大的母亲，不会因为小事责怪孩子
6分32秒
以累为借口
豪斯
自己能力不行就不要怪妻子太优秀好吗
我也想要这样的工作（奖金不断）
自找的
这不是汉尼拔的女主，卧槽好美
妈呀，好稳定的内核，我都想有一个这样的老婆了
这不挺好的嘛
传说中的自找苦吃
超雄剪货
终于
终于解脱了
原谅？
哎呀，大男人呀 好大的自尊心
所以养孩子是为了啥
这能买多少酒啊，我去
科幻片
直接买酒
爽
给我气笑了
呕呕呕
《我要》
等会骂
超雄丈夫
咋不似呢
躁郁症
典型的无能狂怒
。。。。
10？
死啊
《完成任务》
哇
夸妻子伟大总感觉很讽刺，是鼓励更多女性养巨婴吗？
我红温了
。。。
件货
没钱就别喝
没钱别生孩子好吗，折磨自己也是折磨孩子
这片子简直就是恐怖片（）
？
啊？叫叫叫就知道叫，扶一下啊！
没苦硬吃了
啊？！
所以，他是她的灵感？
我还是不理解，强者不抱怨环境，但为啥能改变环境的时候却又不愿改变？
有种当幸福来敲门的既视感
马上看的我都要红温了（）
《有点良心》
挠掺
《我做这些来付账单》
把婚离了吧
感觉有点没看懂这部片子到底要表达什么
科幻片
超雄
不必纠结与过去，也不必迷茫与未来，重要的是活在当下。
一开始就拿预制菜，笑死
羡慕这样妻子的不会都是跟这个男的一样的人吧
小仙男是这样的
没有孩子不敢想象她会过得多爽
所以要远离那些无能的男人
说明还可以，一个工人可以养十个孩子
这种片子会带歪很多人，现实远比这个残酷百倍
合着只有女主是正常人
致敬传奇抗压王
好有生命力的女人
母亲的这个原谅的意思是不要抱怨生活去成为更好的自己吧
啊？！凯利你！！！！！！
这也能接？
有点窒息了
他是不是病了
哈哈哈哈哈
还生这么多
还得是窈窕奶爸的结局那种最好
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
和我爸也是一样，
我家就是这样，现在
我真的这个父亲，啊啊啊啊啊啊啊啊啊啊
申金吧，这父亲
婚姻带来的痛苦，无关男女，
天哪，女主的手臂上怎么全是点儿？
美国砂金（强运加成）
天使母亲啊，我的天
和我导师一样，责怪别人
干嘛啊啊啊啊啊啊啊
我的天啊
我服了
他还能发泄，国内人更多是高压锅般忍着
就太突然了吧朋友
香槟问题啊啊啊啊啊啊我疯了
终于走了
手臂上应该是雀斑吧，我只知道白人身上也会有雀斑
这对爸妈身体真好，尤其老妈，10个啊。这老爹能力强，妈妈身体好。
确实是好老婆啊
布什戈们
阿哈哈哈哈哈哈哈
这男人
这简直就是我
爽
夺？
她幼时生活的环境应该也是乐观积极向上的吧？
没有这男的，他们一家会和富有
这应该是写笔记获得的奖吧
You won!
随爹的基因
谁要牺牲自己，养着巨婴的伟大母亲定位
这简直就是我
十个孩子
随父亲是吧
科幻片
伸进
三连了
正常人早离婚了
神金
前面的，伟大是指她顶着压力照顾家庭孩子
神金啊
求你离婚
你变了顾我，以前都放在片尾的
你看看你都做了些什么？
是循环还是闭环
这男的是婴儿？
天啊。
离开你就幸福了 谢谢
为什么生那么多
歌颂的是她这个人以及千千万万个她，不是歌颂苦难
不是你们理解吗？你没有共情能力吗？你们在这个家里，别人都在付出，你们没有付出，你们不会着急吗？
这个丈夫是找了个妈吗？
没有这个爹大家会获得辛苦但幸福
无能狂怒
这个男人像个小丑一样
sha人了
这太硬了
这还是美国经济最繁荣的时期，哪怕时间错着一点我都不敢想会多么更闹心
迟早长篇短解得超过他
女主的手臂怎么了
这是超人吗
跳命成功
可是她本不必如此艰难，她的才华那么好
真正的无能狂怒
ps5
朱莉安摩尔阿
典型的眼高手低，没事收拾收拾家里，多陪陪孩子这也是贡献呀。
那个时代根本没有离婚的机会好吧
期待与你的下一次相遇
不是运气是实力啊，她的作品打败了其他的所有人才赢的
懦弱无能，自卑又自傲的超雄男人
我想看到她离婚
这的楠也有人为他说话，绝了
看到努力生活的人 成功 就像自己成功一样
其实他们的孩子性格也潜移默化的被父亲影响 也在抱怨
你们都能发出什么颜色的弹幕啊
哇
不是大哥？
活动一直存在 只不过你不关注这一块生活内容 而她每天关注
不是大哥？
谁不知道是电影啊
不是 本来就是啊 房子已经被丈夫贷款卖出去了 不换钱房子就没了 什么没苦硬吃
？
看个电影还说道上了。。不从电影本身分析其思想内涵非要用你那阴暗的现实做比较
酗酒不是习惯好不好的问题，你能说吸毒不是个好习惯吗？
因为这是演戏啊
可能是某种心理疾病（）
接好运
啊啊啊啊
是真事 这妇人有现实原型所以拍的电影 传统天主教信仰者在封建程度上也是很离谱的
买过，不容易气泡
现在的价值观  离婚是绝对正确的  以前可能会被整个世界全都反对  现在你们都可以选择另一条路
顾我小曲
我是舞蹈家，这就是飞舞
多少？10个？
为啥十个孩子都没人关注
他原本应该站在世界之巅  然而她只能站在了这个家庭的顶点
泪目了 没有和这个丈夫结婚的话生活会更好
终于解放了
我.。。。。。。。
话有点密了
我只看到了一直压抑自己的女性
真实故事，我的天哪，太窒息了
凯利本身就是一种罪过
真的很窒息
如果这一切那个父亲没有了该多好
伊芙琳这样的女性（妻子、母亲）太难得
能不能和那个男人离婚
什么超市，连个空调都不卖
期待与你的下一次相遇
现实中也不乏缺少这样的人，无能狂怒，自己生活无能，只能对家人发怒
自尊心作祟，泰然处之，照顾好家庭，呵护妻子，过好自己的生活，何苦在意他人看法
fw父亲
男人和他可怜的自尊心
fw
祈祷母亲远离这个父亲
这个角色真的太绝望了
哪怕这个之后变好了，我都不认为这段婚姻有什么好的
右边的儿子好帅
如果看到后面他们两个和好的，我不认为这段婚姻有什么值得的
因为纳税
原来老美也有这种结局是“大家一起包饺砸”的电影
情绪好不稳定 像定期发疯
结局就是大家一起包饺砸
这个真没法拒绝 一直都在用
这个家庭困住了她的十年
没有这个家庭这个女性是多么的幸运和幸福啊
可是我看到这里，我已经想不到他们的婚姻给彼此带来的是什么了
这都还能过吗 天呐
啊
气死了
魔门吗
时代的眼泪
我靠，为什么还要他呀？这样的生活没有这男的也可以过得很好
？
有这样的爱人。为什么不珍惜啊？这男的真的无语
发动技能，无能狂怒
这男的上辈子救了世界吗？这么好的妻子他不知道珍惜
loser
。。。看不起这男的
男人的梦想？错了，这就是女性主义电影，仔细看看电影对她们的描写
哭了
侦探？
强
fw玩意
啊？，
侏罗纪主妇
沙子男
唉
她超爱
这个男孩运气太好了，能娶到这么一个媳妇。
我爸就是这样，在家里就是个飞舞还天天发癫
哈哈哈哈哈
完美女人的榜样
啥？
求你了，离婚吧
生十个，还要养十一个
我也再想啊 当天才褪去光环他们只能走下坡路的时候怎么过
真的很可怕啊
生十个的身体可能没有这样体力
有点像infj
生到日子都過不下去了無知真是可悲
以前的人可以做到
啊啊啊啊啊啊啊
这妈妈信仰啥
不是，哥们。。。
这个我好像看过了，打字获得第一
