一个人连续打了4小时大头，她的心态是这么变化的
我发幽魂只有一颗豆
三个豆了？
能把幽冥打出二阶段的除了你就是战老了
我超，人棍神曲
这不立棍转戳棍？
喜欢
这集我看过了，后来2个小时一直在这里……
真的 打过幽魂之后 一直到白衣之前 基本都是微微一笑绝对不抽
12级，先打的广智
我刷到40级过去的
十级伤残
夺笋啊
100级
哈哈哈哈，笑死了
真的大头一下子上难度，打完大头广智一次就过了
11级过的，后面广志和凌虚子很简单了
金池不难啊
三个棍势了都
[OHH]
上班要迟到了
可以饶但也可以等级高了再来打，打金池之前就行
吃芹菜了吗
买精英手柄，这是神话故事吗
其实很厉害了，手柄我根本打不过
明明是黄旭东，什么大头儿子（doge）
三个豆
谁读马楼。。。。
先打4天
我22级打过的。
你让他挑战直接过
喜欢
估计被白衣水蛇要暴打
娃哈哈：我出双倍！
18
幽魂拍地板必接激光掌
请假带一天大儿子，真是个好吗蝼
撒了10个小时的糖
9
厨神=出生
太坏了！
大头的技能感觉很好躲
第一张不是无伤过吗？
塞尔达音乐好评
我一条命过了！！！！！
我是先飞到广智哪里，把广智打了，然后才发现这个光头强
眼神逐渐清澈~~~~~~~！！！
感觉需要上氧了
鼠标按一下滚轮就可以锁定了
打个小怪，咋看的热血沸腾的
你们又要发动战争吗？！
17级
还要奖励狗哥
轻点搞
太有实力了
要去收作业了
金池3不难能回血。。
太有实力了
厉害厉害
厉害厉害
厉害厉害
8级
艾尔登法环出来一定要打黄金树
还好，我死了20次
这是真的，后面的怪感觉都秒过
我也是硬钢的大头，后面才去打的广智
大树守卫是吧
你缺少叮地一声
我是先打的灵虚子再打的大头再打的广智
看成茶甜甜了
[ohh]
11
好机会
[ohhhhh]
不才，10级过
狗哥骗你不打广智
虎先锋就是这样饿死的
引诱大头撞石碑
我到了第三章才解锁的3格棍势
这狗哥是知乎上那个狗哥吗？
我喜欢
开始付费内容了吗-x-
22
107
狗哥目光呆滞
朵拉牛逼2333333
打大头打得我道心破碎
哈哈我打了1小时休息，第二天知道可以绕路 打完广志在打大头
软座变硬座
没死过这个真的简单
看别人玩比自己玩有意思
想看算账
过大头，我满级了，对！~~我满级了
虎先锋饿死了
为什么要放七龙珠的BGM啊
广智：其实。。。你可以。。
你是从敦煌来的吗，壁画这么多？
两次就锤过了
哈哈哈哈 这我真没绷住
我22级打过的
难倒大头和吕布一样难吗？
西瓜中间呢
哈哈哈哈哈哈
算账直播看看吧
6
喜欢
没有，
白衣才是第一章得王
53级
我还记得你带他去看高达吗
平衡了，我11级过的
大头用立棍好打
又哭一个
水壶开了拿一下！
我就奇怪打这个哪来的3豆
磕头还是有用的，可以增加防御力
你这个游戏只有一个怪吗？
太喜欢了！哈哈哈哈哈！
PS5手柄
战术喝水
在这个位置大部份人都是先打的
6级
打寅虎
10
狗哥开始操作了
燃起来了
喜欢喜欢 哈哈哈哈哈
开始打“小头”
新手杀神
想看算账
以后让谢宝打游戏吧 狗哥别打了
虎先锋：你外卖到了，我的呢
13
1级
直接加入风灵月影宗
淦过他之后也就白衣，黑熊有难度，剩下的通吃
第二把过的，，，大头吃重棍
一脸呆像！
打完广智先才能进去啊
我玩你。起来
我玩你，起来。。。。
1个小时
疯虎好大，疯虎比虎先锋脆，虎先锋最难的是他比别的BOSS肉一点，而且攻击欲望强
13
那就得饿一会儿咯
11级左右吧
invoke....
10个小时，真cs啊
升到9级打过的
成长：指等级提升2333
3级3遍
我也是先打的大头，打了十几次吧。。。。
你见不着
舒服了
第26难
第25难
第24难
第23难
投币了
第一次接触魂类是这样的
第8难
第5难
第4难
[ohhhhhhhh]
一模一样
第3难
第2难
8级
你把广智给他啊
不能逃避 不能逃避 不能逃避
二阶段
没打广智打小怪在这练到10级过了，我都觉得我没救了，看来不算差
？？？？？端着PS5手柄找steam？？？？？
BGM不对啊
我们是冠军11
我去三级棍
1级
饲养员养狗，很正常
擦真的吗
这招数戈弗雷吗
我打完黑熊精才三个能量槽。。。
哥们打这玩意打了两个小时
白衣是最难的没毛病
我是先点武艺不点棍势的
[ohhh]
不喜欢你别玩拉
160级
6.5级过的
俄罗斯大坐？
我打金池都没3级蓄力，哈哈哈
确实，前期到中期都要控体力
确实不如你
我的也烂了，会360度转了
一命过的路过
早知道先打广志了
卡了三下
偷心的小曲儿
可以让他撞柱子
我打虎先锋都没三级蓄力
嗯？她好像没打广智
12
又来了又来了，也不难几次就过
人类的悲欢并不相通哈哈
刚开始打他感觉很难   打过后面的  在看大头简直白给
7级过的
一起玩，各玩各的
27
喜欢
先弄小头！
反正都是起来~~什么起来不是起来~~
没有，也就打了几十次而已
换小头玩！
哈哈哈，不先打个广智
+1+1
40分钟
342级
3级过的
不是，这会儿就三级蓄力了吗
bgm正确
14
我先过了广智回头再打的幽魂
拖时间走位靠定身术耗死大头。
[ohh]
事已至此
10打了广智随便打
虎先锋呢？！！！
10
大头挺好打的，白衣秀士才是第一个强度怪
怂什么，上去前。。。啊？换曲儿了？那没事儿了？
看了攻略感觉行了，一开打攻略是什么？
20级回来报仇
8级过的
这里可以直接走
洒花！
根本到不了虎先锋
马骡
[ohh]
血压2333333
一不留神开始偷心了
这个还好吧，不难，我一眼就给他瞪死了，都不需要出手
你现在不正在上班？
啊？
十里坡剑神！
说突然seed的，前面一直没看见背景那个自由高达吗？
8级
喜欢
喜欢
训练的
训练的
训练的
哪找这么可爱的媳妇，
8月21我生日诶
喜欢
Ohohoh
立起来了
护院对于老as人来说真的简单
哈哈哈哈哈哈
大头韧性很低，打头就能一直控制
把狗哥换了，换狗弟
控制好体力，能连到死
喜欢看，哈哈哈哈哈哈哈哈哈哈哈哈
得吃香蕉 桃子 吗喽补给
游戏都是开荒才好玩 大家一起讨论问题 后面攻略出来玩着就没那感觉了
韧性很差，很好打，控到死
8级
我打完大头19级
没事，已经能无伤亢金龙，快去吧
卡两天？不至于吧
6
20多级我已经过了虎先锋了
大家想看
不是有人100多级还没打广智么
BGM好评！！！
你不是一个人  你是我们一群人！
没读诗提母，好！
有人在大头这练到100多级还没出新手村
11级，但有广智了
11
冯骥写作文拿了奖状，但老师说他未经点化无法领取
[ohhhh]
8
西瓜心给挖走了，果然是厨神！
5级开始打的，7级才打过
十里坡剑神~~
hahaha
阿？
太牛了
666666666
啊 都3个豆了吗
广智过了
不能乱打乱跳，浪费气力
可以不放龙珠的歌
试玩会可以拍吗？
坐上去了啊
喜欢
在外面等10小时？神仙老婆
[ohhhhhhhh]
[ohh]
还得是自由高达来给你过
完蛋
可以抱着玩，哈哈哈哈
80
接下来是付费节目~~
1
开后面的自由高达去打
捂捂喳喳是非多
定身破招
进度条瞩目
5
仿佛打过了小黄龙
喜欢这里
哈哈哈哈哈哈哈哈哈哈
下饭哈哈哈
现在打老公开始
我卡了两天
让她打老虎，一开场就说的！！！
哈哈哈，果然把你手柄玩坏了
[ohhhh]
[ohhhh]
我打过他的时候蓄力好像只有一层 …
PUA
可以逃课，蓄力逃课的
20
这怪我起码打了15次。硬是从6级打到10级
第一难：找到Steam
18
三级蓄力打这个确实始料未及
13
2个多小时打了
六次
20
上班是牛马
我是薄丝，原来你请假在家打游戏
31级
先大头、再虎先锋、最后小黄龙
19级过的
虐宝行动开始
卡了半天
哈哈哈哈哈哈哈哈
很喜欢龙珠 但配在这里面BGM很说不出的反感
啊？这是哪？
55555蟹宝我跟你有同款老公，打完才告诉我可以绕过去先打广智
讲道理，大头也不是很难啊，我死了大概4次吧。
吴昕?
牛逼牛逼牛逼
12
喜欢看
这会儿都有三层了嘛哈哈哈
减肥BOSS？
6
往侧面翻滚啊
牛逼！
挺好，心里平衡了
完了感觉没下集了
13级
爆seed了？
3级过的
第二期的内容是看“虎先锋”怎么虐蟹宝
控温 控温
就是喜欢看蟹宝受虐
红温时刻
锁定捏
破防了
狗哥内心发虚
去年？
哈哈哈哈啊哈
16
错了，大头告诉你做人一定要贪（刀）
先打广智再打这个就好打点
还行吧，两命过了
喜欢
卡了两小时
30
虎先锋怎么打看吴表妹视频
我的也扣烂 了
确实，灵虚子一次过
.0
[ohh]
下饭！！
躲什么？这个大头 打的好，他基本放不出技能
刚被虎先锋虐一宿，
确实 卡了一会，第一晚完了一两个小时
三豆了  哈哈哈哈
法环脱战了是往回走，大体型的龙会消失，但是不回血
劝退boss 及时退款用的
打到二十级过的
你是来挨打
卡了十次左右，然后打金池很轻松
你是亚一居
西瓜上火的啊！
防退款的
我最先飞到的地方是广智，结果没打过，去打大头了
6
这游戏就这一个怪吗
软件硬化工程
请收下我的膝盖
他拍地的时候我切广志出来抗伤害
20
虎先锋1小时，大头2小时细品
卡两小时
很會說
哪个是steam
跪下
这玩意卡了2小时硬打过去了
我打到21级，又去打了广智才过了大头
玩辣！
12还是13来着
十里坡剑神一直打到三豆
纯黑少爷无伤视频那可是艺术品!
损失ps5手柄一枚
8级过的，3次吧
我打败大头才去后面的
完辽，脱战回满辽
地圖一職都是問題
别乱说我没卡
mb自由 <-mb是啥阿??
我的也破了 撕掉可以套XBOX的第三方硅胶套
我们是冠军！！！！
也死了一次
9级过
p5！！
五六级就过了呀
虎先锋不难
第二天就第三章了，其实进步不错的
哈哈哈哈~今晚睡床下
3豆？？
真实~
黑神话的第一个教学点戒“贪”
7
[ohh]
广志呢？
喜欢
说实话！突然想看看老狗后背有没有抓痕！
我那死党，请年假玩黑神话，上班前卡黄眉那里
20
抱头猴窜
毕业了
会赢的
看，虎先锋不见不散，谢宝
虎先锋挺好打的十分钟就给过了
哈哈哈  纯黑才是真神！！
[ohh]
我的也是打悟空坏的左摇杆
这蝉好萌
5级
28
小看你了
大头无伤过
打完广谋回来拿的
不卡，就打了二十多分钟就过了
b站新垣结衣
绕过会少一个强力化身
按魔兽来说你脱战了
几年，，证明该换了
我 打完白衣回来打的........
黑神话不敢奢求，给我后面的自由就行
10
210
[ohhhh]
说话好温柔
6级左右过的广智和幽魂
没卡，忘记打了，金池死了，就找不到他了
[OHH]
17
12
这么热血吗
13
13，4
15级
嗯？你开荒打护院，哪来的定身咒
'‘’‘’
我喜欢
`11111111111111119000
请开VIP
我老婆也是到光头这不行了
先点个赞鼓励下，等你过了一周目吧
下饭时间到了
hhhh
巜黑公司·吗喽》
12级
我8级过得，死了十几次一个多小时
要熟悉它套路
5级
[ohhhhhhhhhhh]
我们是冠军!!!!!!
4
4级打到7级
太真实了  哈哈哈
大头老师教了我好多
第一章死的最多的就是幽魂，不过我后面都是三次以内过的
5
现在笑得多开心，等下就有多惨
广智呢？
真的一万个黑神话一万个马喽啊，我虎先锋打了10多次，亢金龙2命过
结果没存档~~
哈哈哈哈哈哈
[ohhhh]
不难
我三个棍势虎先锋都过了
这个不是一次就能过嘛
？？？？？可以跳？
屏幕里一个大头，身边一个大头
幽魂只要不敲三口钟就不会消失，可以先打第一回后面的怪升下等级再回来打
一会打小头
都升级到三个豆了
太喜欢了！！支持小谢开直播玩！！
嗯，我17过大头，后面一把过灵虚子
我特喵30级的时候打的
诱骗她打幽魂
17
我卡到23号晚上。
石头后面其实可以躲排云掌
红了红了
我玩你，起来
15级，先去杀的广智，转了一圈回来
一听到这个BGM就想到强袭自由的苍天之剑登场
[ohh]
[ohhhhhhhh]
绕了他，以后怎么打？
看好教学视频，我觉得她强得可怕
离婚前兆！
脑子我回了
细说算账
哈哈哈  害我笑了一下
在一声一声漂亮中迷失了自我
[OHHHHHHH]
牛逼
我昨晚开个新档给我小学的儿子玩几次就过了，还是魂游零基础
坚毅的眼神
后面小东西也不是这么轻松
我喜欢
三颗豆了
你走罢！别来烦我了！
先打广智就好打
这狼最容易过，两次过
5级能过了
厉害了，虎先锋安排一下
12级
我从9级打到12级
打完广智再打大头鬼两次过
这大头点出3豆棍，这是要10级以上了吧
《简单》
[ohhhhhh]
3豆 最少15级
小怪肯定简单
16
那估计没的吃了
破防
没有用广志挺厉害了
10级不到吧
嗯  这声音可以多听几遍
14
《我玩你，起来！》
挖去
哎哟？键盘是阿米洛sword68
隔壁kk姐表示不屑
11级
27级才过虎先锋
我一开始也不知道这个可以不打也是没拿狼跟大头硬刚了俩点
这是能播的吗!你们各玩各的好嗨哟
5级
我打广智简单，光头难过
这是哪
法宝按不出来呀
我前后打了三个多小时，晚上打了两小时崩溃了，半夜睡不着爬起来去探地图，早上打了一个多小时过了。
哈哈哈哈哈哈哈哈
我打到黄眉才3级
哈哈哈哈哈哈哈哈哈哈哈或或或
纯黑确实可以
？？？？都有3级蓄力了
金长老武功盖世
牛啊，我打到这才1级棍
6级吧
筑基期3000层
哈哈哈哈哈哈哈哈哈
17级
哈哈哈
红红火火恍恍惚惚或或或或或或或或或或或
哈哈哈哈哈哈哈哈哈哈哈或或或
这个姑娘有点像吴曦
哈哈哈哈哈哈哈哈哈哈哈哈或或或
hhhhhhhhhhhhhhhhhhh
66666666666666666
最甜的位置被你吃了
单机游戏还高死亡惩罚吗
上头了哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈或或
训练的？
在家还买果切？？？
】
]
那你得饿死
可以啊，我也死了一次
旁边的盒子是实体豪华版吗？
哈哈哈哈哈哈或
我是 我是
齐天马喽
红红火火恍恍惚惚或或或或或或或或或
8级
哈哈哈哈哈哈哈哈哈哈哈哈或或或
丸辣
讲究
家法伺候哈哈哈哈
拿下了吗
我是真的喜欢
12级锅
6666666666666
居然还用了个识破，6
吴昕，我知道是你
我玩你，起，来
虎先锋呢？
也就打了两个小时吧
我是全探索，15级打的
12
没事 一样 土地会帮你先收着
大头十几次，大概一个小时吧
真的，大头真的训练人
你怎么有3个豆…
？？？？？？
是你进步了
没地图更好 可以探索
哈哈哈，都3个豆了
节目效果
卡住了（指闪退）
有广智的情况下，我卡了10条命
不用卡我一般都是绕过去
记得头点地意思一下？
7
然后小谢饿死了
我也是看纯黑无伤了
喜欢
红温了
？？？几级辊势？
哈哈哈太损了
它确实是训练的
你最好说的是手柄doge
[ohhhh]
7
逐渐暴躁
15级
熟练的让人心疼。。。
可以绕过去的
这个表情我真的要笑死
8
8
这里多少级不记得，只记得广智幽魂凌虚子打完9级
黑悟空让很多人了解了魂类游戏
我感觉虎先锋今天得饿肚子
十级过的
跟我女友说一模一样的话。。。
这就对了
细说算账
猴头
今晚不许放下
我平衡了
没打广智，查攻略就过了
我没打直接过去了
去年？？
不用绕，直接干，下打灵虚子，再打狼教头
虎先锋：我的外卖呢
这是徐静雨
没事有打黑熊50级打亢金龙102级的
我目前只卡一个怪，大头娃娃。因为我还在打这个
其实可以加点
你给我躺下，我上
达成成就
我直接绕过了，二周目回来打得
被门口的保安拦在外面了
第一关最难的不是金池吧，应该是白衣
虎先锋：什么换猴头了
战后复盘
狗哥真是幸福
起来，起来，怎么起不来？
我记得我升到了20多级才打的吧，我也忘了，反正肯定有15级了
这里的确可以用金蝉飞过去，时间够
bgm：ミニゲーム 鳥人間チャレンジ
我玩你  起来！
很正常，我打黄蜂的时候好几次都把他的血量压低到比他的名字还短，如果他一个吸把我埋沙里面三连击，直接给我带走
16级通关 第一章  结束
下饭
其实我打的时候也发现了，从旁边的河可以无伤绕过去，但是我没有绕，因为我感觉绕了就没意思了。我是完美主义者，兄弟们，可以等后面造完更强的棒子再回来打他的，肯定比金池容易
我喜欢
这个机制没常驻可惜了
你三百多块买的游戏只有一个怪吗？
这里是通往广谋那的路
穿的是豪华版送的铠甲吧，我买的也是豪华版，看出来了
原来这个是后面要打的boss。
10级过的
这就三段棍势了？
怎么，这游戏就一个BOSS？笑
上头了上头了
我卡了10分钟。
《去年》
我前期打这个都是加的气力。
17级
丝蒂母已开启
大头俩小时，白衣两遍过
看出来了，魂学家，主打一个体大弱门
什么起来？
小孩哥的战术喝水，这把妥了
11级
白衣也不好打
两遍过，感觉比水蛇简单
5级过
[OHHHHH]
基本都卡了，就是多少的差别，我卡了6次
13级过幽魂，用了广智
广智都不给，就打，确实很难，我是有广智以后打的
我打到第二关才2段
要先过广志，会变身再打，会容易不少
风灵月影  启动
真的只打虎先锋时间够
换个老公吧，这老公不靠谱
装呢？
细节 没广智
8次过
哈哈哈哈
我们是冠军！哈哈
学了立棍打了5次，还是立棍轻松点
14
这游戏就一个怪吗？
没有广智还是很累的
肘，跟我进屋doge
不当人子！！！
32级过的黄风怪嘿嘿
这个还是有点难度的，我打了大概四五遍吧，十五分钟左右（只狼七周目玩家）
真的见面就初见杀就过了，肯定是怪猎、仁王没怎么玩过
卡了1个多小时呢
"哈哈,打了3小时,看了3个不同的攻略才侥幸过,后面黑熊精XXX,后面虎先锋!!!!"
8级过的
玩黑鸟玩的
我打了五六遍比虎先锋还多【doge】
有蚂蚁在身上爬
好燃哈哈哈
床上算账
我记得狗哥也是把虎先锋给喂饱了
爱了
还有后面一个金池长老
哈哈哈哈哈哈哈哈哈哈
把摄像头关了吧，我晕血……
这才刚刚开始嘎嘎嘎
7
逐渐要红温了吗接下来
大圣配卡卡罗特的BGM是吧
我玩你，起來
71
十小时还没过虎先锋啊，我十小时第三章
那你一天都没饭吃了
下饭啊
某些人又开始在莫名其妙的地方找优越感了
红温了
太慌了，一顿乱翻滚
打白衣秀实你不得哭 啊
我也是卡了一个小时，后面的怪都没怎么卡过
我也在这升了好多级
寅虎莽过了，但是小黄龙还是打不过
脱战回血 不奇怪 比如暴雪最著名的招牌游戏之一 魔兽世界
我～玩你 起来
请一个星期吧
你会被劝退
bgm好像p5r啊
哈哈太搞笑
黑神话广志
乌鸦坐飞机！
笑死了
大王那个猴子又来了
看大金头
光头是训练场
喝水降温
？
翻筋斗毕业
到底是谁过的？
前面都打到第三章了，早过了
已经三颗豆了 厉害咯
立棍势
我在这里升到了15级
攻击力都增长到 18 了
广智救我
强而有力
我一段棍势过的，打完大头才看见广志
强而有力，强而有力啊
十里坡战神
背后有自由的半边翅膀
猴急了吧
20级先大头再广智
长了好像年轻版女流
666
就好比空洞0强化打完三螳螂，之后的很多BOSS就好打多了
哈哈哈哈开始找补
卧槽！大头升到三段棍势？？？
13级过的
13
重置了哈哈哈哈
啊？
细说：我玩你 ， 起来
先打广智
还是好人多啊
没打广治5遍久过了大头
哈哈哈哈哈哈
羊了个羊
开发商是懂标题党的！
P5
找到录了
哈哈哈，老头环还有死亡掉落呢，玩起来更痛苦
太喜欢妳了！！！
哪里起来
我11级 过的，过后去打的广智
快板
海女1
我在这里死了77次
出生，他是出生（bushi）
熟练多了
起来?
跟我一样 不打广志打大头
知道你为啥叫狗哥了
那不得饿成虎先锋啊
绝不吃水果店切好的水果
红温了红温
红温了
80级二周目打的
先打广智啊
9
10次左右
卡1小时
啊？
7级过了
我玩你，起来！
想看
真不建议买精英手柄 这价钱买两个普通的版本才是最香的
染起来了哦
