青背龙伤害超级高，但是打几次就能发现技能很好躲
就两个结局官方都说了还在云结局
为啥全图鉴没解锁这个成就
这个句式有点眼熟
这么顺口是要考研啊
希望之花
大王在毒敌大王在初见晦月的时候也可以杀 不是必须在外面找到
这个只需要捡龟泪就能完成
飞起来道人
击败晖月魔君后，道人会消失
老马真是闹麻了
前面说steam云存档的是没被恶心过…
不不不，这个确实挺好，本地存档也有丢失的时候
小黑盒也有地图啊
这比后面回来数值碾压就好打了
这游戏最出生的boss
敲钟前要把蓝大头打了不然就没得打了
飞起来
她是通臂猿猴，说四妹的是想曹丕想入脑了
为什么只有1.3%的人卡在寅虎这里，我不能接受（哭）
排行榜也81名
有28%的人是不換武器的嗎?
她是通臂猿猴看着猴子出世到死，想要复活猴子才去找五蕴的
又砍又剁
一把过，我拿完大圣套装来打的
nb
寅虎真是 一直a 以攻代守
14难是打石中人
这里直接打晦月的话，毒敌会入场一起打晦月一阶段，死后也会跳成就
看着应该是四妹
六爷走好！
这个难
这图标绷不住了
石敢当
哥么打了有三小时小黄龙
已经0.9%了吗，看来肝帝一大堆啊
老头环蚌埠住了
对应悟空悟能悟净和小白龙
功德圆满吧
有大佬知道七十七怎么解锁么
我就知道有6只，正好升满精魄
输在讲话太多，哈哈哈哈哈哈
二周目猴子有九转丹方
这个我是在打完大石敢当解锁的
我就说那绳子好生奇怪，原来是老马啊
steam都有云存档
风灵月影宗就是快
nb
喂不饱的老虎
隐身敲闷棍
豪华版的争先红葫芦游戏里可以拿到
她是通臂猿猴
镜子里的表情233
可爱捏
敲了钟那个幽魂就消失了打不了
糜道人的故事和前面好几个怪的故事相关联，挺有意思的
只有60%的打败了长老，但是却有71%的打败黑熊精
40%被幽魂给干死了
画得突然就不抽象了
还是顺口溜
真把我劝退了，肝不动
那是戌狗
好奇这几个怪外网怎么翻译
那个是预购送的，标准版也有。。
这个二周目开启解锁
火灵元母也要打
这个图标还我笑了一下hhhhhhhhhh
首发。 0.9%
沙二郎错过了，只能等以后了
这个解锁不能杀不空，直接提交笔，感觉贼亏
我打到第五回，现在有两个装备加掉率
宗门只是拿回了大圣的真实力量，不是开挂
路边加灵韵的魂也能解锁
西游时候的虎先锋未必是个好人，现在时间的虎先锋可能是个好人，至于虎弟嘛，他想当个好人。
牛逼
卧槽，这么快！
牛逼!
她是四妹，被练成丹了
这只熊也太可爱了吧
但是天使
小黄龙吃三层棍势满续硬直，一直跑着蓄力满了过去打一下，他不会还手
少个琴螂仙
一刀龙
22
在下宗门人不知道什么叫打不过
不是
冷知识，要打通三周目根器才能全解锁
佛嘛，整天功德圆满挂嘴边，图标是他我不意外
我想给熊熊两脚
就想知道英文版怎么翻译的
13%，都卡死在虎先锋了
这都啥啊
这个绕他一命
这个有矛盾，刚刚已经有全图鉴了
真肝呀
不需要，本地全都有
这个算是隐藏了
喜欢我的快慢刀吗，孩子?
风灵月影帮到你
《解锁东西是遇难》
牛哥，真忠将，泪目！
寅虎好难打
《炼个丹是遇难了》
75 需要二周目，救命毫毛
《打造装备是遇难》
一定要杀魔君前打他
丢丢丢，丢丢丢
元气骑士（雾）
那老头应该就是给泾河龙王算卦的袁守诚
这应该是要先杀国王，不然的话国王就直接跑了
熊熊可爱捏
说简单的究竟是什么大圣(
小马哭泣
还在yy成佛结局 白金成就都不懂吗
也有可能是因为解压500年，死在了解压手里（
六丁六甲
不过黑悟空很值得玩多周目，所以不算是必要的
不是幽魂没打咋办啊
完了，这个得二周目才能拿了。沙二郎的拿不到了
谢谢，就这个没拿
好抽象的狼哈哈
还在这里成佛结局
九州从来向一统，岂容伪朝致两分！
可以可以给你点赞
nb.
牛逼
泡酒是0.4，为什么这个是0.9
+
寅虎三次就过了，快慢刀也没网上说的那么夸张，拉远距离放分身，仇恨会被分身拉走，乘机打一套然后定住再打一套，就分身持续时间内都可以打很多血，然后潜行和广智都能规避伤害
直接修改steam本地存档就行了
。了；跑；【‘’、
我的天
Steam就有云存档
dkdsxdtytytgghgakkkkkakmkmk
小张太子也太惨了
打他的时候就嫌他烦，逼逼赖赖的说个不停，看来猴哥也是这么想的
四妹，唉
蝎太子在路上
我的老婆
小黄龙很难打，而且是最后一条龙
没了 第三个结局应该在DLC里了
难！
可爱捏
这个好
3天通了牛B啊
hhh
BGM好听
一段时间：三天
还有四个影藏成就啊
开始上难度了
剩下的是小黑子
《一段时间》值3天不到
不，5的猴子死在自己的电脑手里
大伙打这么快吗，44%的玩家都打到这里了
卯日星君魔化
看描述应该把风火 云雾 兴掀三对双boss都击败
冒烟罡腮
《8分钟》
提醒一下无量蝠只能是你推主线八戒在你身边的时候才能打，后面再回来只有龟泪
牛逼兄弟
应该不止，除了81难，还得凑齐些什么东西
才1坤天
为什么不叫神鹰道人（恼）
马哥
3天吧，什么叫一段时间，甘帝
要先打糜道士和毒敌大王，先打晦月魔君的话这两都打不了了
陌生的世界
丝滑连招
这次藏好了尾巴（
毒敌攻击欲望太强了
背景黑猴的嘴
寅虎是十二生肖肯定比凡间老虎强得多
寅虎可以重复打
游科还在藏！
应该是打败浪里个波
人家是生肖啊当然强
泡酒物有些要采集
图鉴全解锁了，但是没这个成就，因为有个妖王图里有三只，所以是妖王全清
毕竟这里是是成就攻略，不是战斗攻略
不是升级葫芦，是每张地图都找到袁守城对话，我升级葫芦了但是没成就，因为第三章没见过
打败白衣修士就没选择吗，就没杀他
九九归一
这里指的是四妹
前面没无量蝠的，二周目呗
这个虫子就是灵吉菩萨喊来的
我沙二郎没了
黑手哥二阶段飞起来了
“她”是通臂猿猴
牛逼
不止3结局吧
我刚入的宗门，确实节省了好多时间，可以有更多的时间去探索。
石双双会不会是年轻的石矶娘娘
寅虎才是真的虎，虎先锋三个都是什么东西
开挂的就别叫了
无量福打完黄梅就给
我去，奥尔加
这里马哥有一张没看到，打完最后boss他消失了怎么办
IGN出了这个攻略
5％的猴子死在了杨戬手里
白衣秀士后面也没再遇到了
完了，沙二郎没了。
6
这个老虎太抽象了
它叫蝜蝂
直接把云存档关了就行，除非你要去其他电脑上玩
。
啊啊啊啊啊图标好萌啊
最出生的一集
石头人画的怪可爱的
先复活boss石敢当，他和石先锋打
牛的
注：存档功能可在游戏文件夹手动替换文件
67很费时间 因为有些珍玩是概率掉落的
难打啊
这个我没收沙国王的，烦的一
这玩意巨难打
神tm青狮
父慈子孝
得先杀国王，杀完国王二郎会狂暴
这个成就同时也说明了，如果你之前没打幽魂，那敲完钟幽魂就消失了打不了了
这个成就我怎么通关了都没得啊 换武器这么多次了
小黄龙蓄力棍四遍过
这个炼丹师就是戌狗，我找了半天
蝜蝂
这个是交互蛇骨就行，单人过去不会触发蝙蝠，要带猪八戒
72难对应大圣72变
这个是把三属性仙丹吃满，可以多周目吃
不对，还有条件是不能和这算卦的漏对话
"拿去,拿去，莫跟哥哥客气"
这个熊可爱
马哥啊，我的马哥啊
飘零 扫尘
六十二正好是打青狮
当然不包括
讨个丹吃～
辰龙：你菜死了
听取man声一片
这个还冒金光
这个我也是开二周目后自己解锁的
卧虎寺地窖的戌狗
让他俩先打，最后渔翁得利
你这说的有些抽象了
这成就的画风也太……简陋了吧
这个成就 20下午6点的时候就已经是0.9%了
她是谁
沙二郎怎么办
\
蝎太子在哪里
0-51战绩可查（
这个牢毒敌难打的很 一下打我半管血
小黄龙还好，多打几次
下面都是0.9%，怕不是都是风灵月影宗的()
见过黄校长
这个是要把箱子里的丹药吃到上限也就是一周目全收集
←艾希是吧
黄眉确实动不动就原地说话
进度条过半
看到这就知道不可能有第三个结局了
来了
←白衣秀士自己选择跑路了，打完这个成就就会直接跳出来
666666666666666666666666666666666666666
刀哥
每个回目一只
小龙虾，哈哈哈哈
反派死于(      )
紫皮人都出来了
这个是不是要主动切刀狼去烧黑熊精啊
66村，哈哈
九九八十一
没玩过单机啊，这全成就奖杯
圣人盗，六库仙贼
nb
红孩儿
黑手！让你飞起来！
一家三口整整齐齐哈哈哈哈哈哈哈
这81，怎么感觉。。。。。
各位记得二周目先杀国王
一段时间：指刚差不多两天
第一难，配置（
有些装备二周目才有，是必开的
全清，反正水里的河马我都杀完了
可爱捏
可爱捏
但是一般打完白衣秀才就死了吧，这是饶他一命
你们说在火力打死碧水精金兽会不会给什么特殊的东西
这个秘方是二周目买了九转回魂丹单方才能有
无量蝙蝠打完黄梅会给，我才想起来我那俩没收
金肝！
少了个浮屠界的菇男
马哥故事给我看泪了，忠义无双马天霸
五十三蘑菇男要在浮屠塔上层土地庙然后过了残木桥以后左手第一间牢房摸蘑菇
这么多人完成，怕不是修改器
第53难，打完火中云母解锁的。刚打完
这里收集到后还要回浮屠牢底层找牢里面那个人交付
打完黄眉无量蝠自己就死了
沙二郎没了
白金奖杯是吧
不包括吧
打完之后互动啊，我就说互动没反应
我忘了最后一张符没撕
这个是击败石中人
马哥 我在小西天没找到 然后断了 麻了
53应该还有个菇男
无量幅需要八戒触发
还有个菇男
六丁六甲，从不吃素！（
从此处开始便为目前无人解锁
为何连葫芦都在藏
问菩萨为何倒坐，叹众生不敢回头
无量蝠不打也能完成
是蝜蝂
四妹，我的四妹
豪华版那个红葫芦标准版也是可以得到的好像
这个是啥  这个不会跟十全十美装了吧
我猜猜，九九八十一难之后才能解锁真结局
这个墙在沙大郎那里，
可爱捏
寅虎打完成就没跳人晕了
牛逼
折磨了我俩小时
有飞龙鳞片才能打这个
全部包括豪华版送的吗
到底有多少青蛙!
看到这些抽象成就图不禁又想起灵魂献祭了
笑死我了哈哈哈哈，确实是全成就
击败是不是就是拖着不杀?然后自然赢，可以开修改器试一下
错过了打过黄眉就可以了
这大圣跟失足青年似的哈哈
看得出来小黄龙很难打
应该不仅仅只有这三个，这三个我都打完了，没解锁
主播黑熊怎么打
熊熊可爱捏
叮~大圣回归！
完全打不过怎么办
才TM2天啊WC
这个小黄龙强的夸张
这里炼药师戌狗给的是坚骨丸，说辰龙不至于这么伤
不是没捡，是没打
49还要找到每个地图的老头
好抽象的画风
这个要在杀百眼之前做
不是 所有妖王，小妖击败即可
五三不行捏
这个是把那三对全击败
五十三难那几个我都打了 没解锁啊
精魄没了可以去土地庙拾遗
我希望有
还不是星期六
打多周目呗，完整六根也要多周目
坏了，糜道人找不到了
一天时间了
这个不对
这里应该是所有防具，和80的武器对应
无量蝠打完黄眉还会给精魄的
.
这个就是除了人物其他三个怪物全解锁就能解锁了
这个没戏了，我无量蝠没了
全成就是81常规+34个隐藏
所以晦月魔君和靡道人去哪了
这是个全成就达成才解锁的，啥成佛结局啊
条件不完全啊，葫芦还要在其它地图找葫芦仙人完成对话
《一段时间》
以手拒之
j
一段时间：指54小时
打你的时候就不可爱了
所以黄眉老怪是不唐，是吗
四妹啊
宗门人士打boss应该很轻松吧
七十三没人解锁
这个打完主线boss就不在了
真能种田
牛逼
老马啊  老马
这毅力牛批
马哥真把力量给我了
好可爱的虎子
等免费赚一波流量，后面就收费了
熊熊可爱
一定有，但可能是 DLC
这个只要收魂就可以了，我是收幽魂解锁的
呜呜呜 四妹
这个不是必要吸收的是波里个浪的，吸收其他的也可以
画的好抽象啊哈哈哈哈哈
一段时间指3天
四十九难是要在前四章地图里面找到老头并对话，第五章才是按视频里的
这里收集到后还要回浮屠牢底层找牢里面那个人交付
有
有
有
有
有
有
有
有
有
有
有
有
有
有
有
有
有
有
有
有
哈哈哈哈
四十九这个好像不是这样的
这个是马面支线的成就
一段时间   菜3天
nb
看我发现了什么！
