灵虚子：观众朋友们大家好
最新消息，广智姓满[Doge]
猿摄玩家
boss？爹！
4k 4090
P键拍照，而且拍的时候很多数值都可以调，效果很好
付费解锁拍照功能
6
我艹了
你币有了
布氏…
分不清游戏和现实了
绝对的美学
哈哈哈哈哈哈哈哈哈黑神话窝囊
( ﹡ˆoˆ﹡ )
卧槽，怎么做到的
黑神话的美术简直无敌
显卡的香味
卧槽
广智，救我！
币都给你
不够好就是不够近 帅啊
哈哈哈哈哈韩了
？
转个角度把红眼睛和光一起拍进来应该会更好
只看这个部分你能分清这是游戏还是现实吗（bushi
卧槽，不玩梗，是真分不清了
太帅了
这也太帅了
青蛙：原是我不配
得外加一个法宝：风灵月影
战地记者
这下真分不清游戏和现实了
这是观音菩萨骑着金毛吼(赛太岁)吗
我的天
可达同志？
原来还是个拍照游戏
wc
帅啊，黑熊精
其他游戏有但是细节做不到这么好，导致味道不对
一群没买游戏的才觉得好看
现在是叫黑风大王
省流：直面天命
我们拍黑神话，就不能只拍黑神话（bushi
战  地  摄  影  师
根本不是游戏画质那个，你电脑得多拉胯。我的画质跟up的相似
你好可达鸭
战地记者
太踏马帅了！我要壁纸！壁纸！！
波里个浪，浪里个波，波里个波，浪里个浪
老黄赢麻了
幽魂：？
原
这不是佛像吧。。。。
卧槽
导剪版？
祖玛
我勒个显卡小鬼啊
？
黑神话牛不牛我不知道，摄影师真牛
我擦man
白衣的招式很帅呀，没拍好可惜
我嘞个！！！！！
啊？
维克
我草
我是可达鸭
这张报看
太帅了
赤潮:6
黑神话。旅游
看不过瘾，强烈希望能出个系列！！看不过瘾，强烈希望能出个系列！！
看不过瘾，强烈希望能出个系列！！
《游科巨献》
这个怎么拍摄
怎么截图的
泰裤辣
恶魔人
哇哇哇
有P键啊，很多人不知道么？
niub
冯骥：定价低了
大家好，他是柯达！
黑熊精：还打不打了
主人公：广智
灵虚子：不是哥们
帅
我靠
258便宜了
然而只能拍第一章
亢金龙不难，前提是你有定风珠
卧槽，牛，好看
赛博摄影师到位！！
毛发开太低了hh
猿摄玩家是吧
什么野猿广智，这是野猿猩之助
黑猴美术方面太惊艳了
蓄力攻击的时候是怎么打开菜单拍照的？
好活   好活
高清壁纸游戏
360度无死角
不能再帅了
说黄山实景我都信
哇去
黄山实景
哇
没看过那么帅的妖怪
up在旅游吗
连反派都超帅
悟空：广智救我
黑窝囊:悟空
我操
出一套手机壁纸啊。
随便一截都是壁纸
好帅
我等通关了穿大圣的衣服在回来拍
可达鸭
好帅
真好看啊
卧槽 恶魔人
出成壁纸吧！5555美死了
黑神话，广智
壁纸
这里我也拍了
果断关注
真的就张张都是壁纸啊
《满·广智》
我分不清啊，我真的分不清啊！
波里个浪～
凌虚子作为妖王实在太菜了
《柯达》
为啥我打的是黑大头
我了个战地记者啊
p键
帅！！！！！！！！！
波里个浪，浪里个波
灵虚子：这人怎么一边打一边拍照啊！
招式可帅
《不多见》
卧槽好美
你是来游戏里旅游的吧
幽魂:我不算boss？
卧槽
谁让你拍的，你拍的照片给视觉中国版权费了吗？
终于等到你
第一个是大头
好方法
自带拍摄模式，不会不知道吧？
游戏有拍摄模式
?
这就是职业素养么。。。
你打你的，我打我的
！！！！
妙不可言
换赛道是吧
野猿广智
up多拍，爱看
太美了
太帅了
啊？
这游戏自带摄影机
我勒个豆
他不就是黑熊精？你白玩了吧
恶魔人
啊？？？？
卧槽？！！
逆天画质
啊？这么帅的？
艺术品啊
找到新玩法了属于是
怡宝怡宝
这是我们花果山第一摄影猿，花果山的骄傲
司马韩国人说它也有
为什么我a
我艹
乘风而起！
轮各行各业玩家的在打游戏的时候都干什么
卧槽！！！！
好像实景拍摄
卧槽
啊？
这个云雾光影老外是理解不了的。
天命摄影袁（传说由大圣死后影子所化）
哥们你开辟了新赛道
[ohhhhhhhhhhh！！！]
这个是真分不清现实虚拟了，不玩梗
《黑熊精》
可他叫黑风大王
青蛙：呱呱呱
快去请广智大仙
广智救我
按p拍摄。
原本的凌虚子被黑熊精复活后不能接受，就跑了自杀了，游戏可以找到
6
太牛了
龙宫入口
卧槽？？？
墓地
怡宝
我分不清啊分不清啊
乖乖站好！
开个4K吧
打完大头我就到了禅院错过广智
！！！
分不清游戏和现实了
凌虚子真的可惜了，最初版本更毛茸茸
键鼠是LT加地图键
这构图绝了
啊？
卧槽
我去，这风景！我快要分不清游戏和现实了
卧槽
啊？？？？？
啊？
金毛犼？
268卖便宜了
这里我也拍了
什么战地记者？
广智救我！
三连取图
佳能600D是吧
战地记者是吧
黑神话广智
游戏里面的拍照系统有啊
卧槽，太帅了！
其他游戏没有
鸣人是你吗
啊？
什么时候拍亢金龙，那个是真的帅也是真的难打
黑神话：摄影
键鼠按p拍照不知道手柄是哪一个按键
游戏战斗中esc自带摄影
恶魔人？
黄风岭的壁画细节内容就很丰富，制作组下大功夫了
？这咋拍的啊
我开这画质光影只有1帧了正好可以拍照
卧槽鸡皮疙瘩
我第一个打的是凌虚子﹉
好绝
关键是战斗太爽了，本来进游戏想看看风景的结果一直打怪了
啊？
石雕像祖玛青蛙吐球
胡说！什么boss，这是天命人！
顶级审美
帅
丑？
亢金龙是真好看啊
科技+4
太给力了~要是每个章节有主题和情节来个摄影集那就太好了~必须三连~
天命人：溜了溜了
不是大头娃娃？不是大头娃娃？
黑风大王就是黑熊精变得啊
啊？
看起来像哼哈二将
不可阻挡
棒
霍！
帅啊！
卧槽？
没看见袈裟吗？偷得！
这下分不清游戏和现实了
角色太模糊
好图 韩了做壁纸
摄影员你好
啊？还能拍出这种？？黑神话new bee！！
玩这游戏我的笔记本真的烫手
啊？
看，这就叫专业。
UI都没了
广智救我
实话帅
黑公司：加班
6
原来是用这种方式解决的吗
这个我没碰到
灵虚子前所未有的强化
黑神话广智
游戏里可以调整部分拍照细节的
寺庙后面的山就是黑风山，打黑熊精的地方
各位拍照记得多用悟空的LOGO
大头：我呢我呢
牛逼
从小特别喜欢筋斗云，能不能拍些漂亮的腾云
突然想要不咬咬牙把4090给拿下
哇
wallpaper 你懂的吧
？？？
求壁纸
大头
挖槽！！！！
雷娘同款
不是？
感觉..........画质
专业
卧槽卧槽
这个才是真正的凌虚子
帅
卧槽
啊？
聪明
还是PVP大佬
这是战地摄影师吗
像是门的入口
我草
来不及了，就这个吧
4090:TMD赶紧换50系列我有点顶不住
我靠
不是，哥们？
woc，nb
真帅啊
卧槽
山下黑熊
尕娃
耍耍
卧槽
自挂东南枝
卧槽
卧槽
帮帮我，广智先生
Log
啊？
盘丝洞的浪浪蛙屁股顶爆你
猿摄玩家
战地记者
这真的是同一个游戏吗？
第一个打成了大头娃娃，快虐死我了
打寅虎的时候也可以吗（doge
这游戏美术顶中顶，光是优秀的战斗机制和精美的游戏画面我都觉得票价值了
你们找的是黑熊精，跟我黑风大王有什么关系？doge
嗯，显卡的味道！九成熟！
帅
不可阻挡！
卧槽，震撼
？
按P
这张图你没发！
拿命拍呀您这是
这张图难考吗
大萨摩耶（）
乍一看真以为在现实中
啊？
啊？没想到这么帅
说说打了几次
人家都在找空档输出，黑摄玩家在找角度抓拍
好看
我滴妈
我靠
不会吧？不会吧？有人还不知道黑风大王是黑熊精？这不就跟不知道美猴王是孙悟空一样么？
我草？？？！！！！
什么！？不一样啊！！！
猿摄区up主
卧槽卧槽卧槽！
过暴了，放lr里拉回来
广智救我！
四个蛙蛙，都挺可爱
woc这张！
二百多的游戏看来还是便宜了
黑窝囊 悟空
咋拍的，牛
你是会构图的 太好看了！
达利园效应
0
啊？
显卡的香味
广智救我口牙！
黑神话·广智
啊
好家伙，旅游来了
不是，一个搞摄影的这么厉害？
这个我拍了哈哈哈
卧槽
浪里个波：不是哥们
我嘞个黑神话摄影师啊
空气墙难以忍受！
宇宙冥国：在偷了
青蛙：？
啊？
爱了爱咯
投币
直接投币
有些火盆火把是可以打碎的
新赛道
跟真的一样
这是黑风大王，不是黑熊精
猴子穿的好帅
广智救我！
啊？
这图都可以进美术集了
卧槽！！！
《开不了4K的画质》doge
金池长老：我呢
拍照确实好玩。为了能打卡更多建筑，我真的很有动力打下去
这游戏太容易出图了
卧槽
不管是哪里，什么游戏都有摄影吗？
拍照仙人
Boss？主角！
我啪的一下就关注了
青铜门
为啥我玩游戏感觉模型很别扭啊
？？？
把我的币收下吧
怎么补呀
白衣秀士啦
中式美学
虚幻5
沃日
广智救我！
意境！
太帅了
从未设想的道路
啊？
？？牛逼啊
卧槽
整个游戏不同场景有不同意境
steam截图可以设置快捷键的
这下真分不清现实和虚幻了
英伟达截图
悟空摄！！
UP这玩的是 黑神话：广告
这么帅啊！！！！
虚幻5
果断关注了
卧槽！我这角度完美啊
帅
可以拍灵虚子空中处决技 很帅
wallpaper见
？？？？
官网宣传照拍不找你，真的可惜了
太帅了！！！！！！！
[ohhhhhhhhhhhhhhhhhhhhhh]
广智铠甲！合体！
这游戏有拍摄模式？
显卡：我的命不是命？！
p
出现了达芬奇效应
甚至后期了
青蛙：阿米洛斯
有点像小次郎守的门
韩国:我们也有
woc
握草！！！我勒个槽！！！！这也太帅了
?拍摄
这衣服能自动回血
你礼貌吗
确实真的太黑了
这游戏优化是真不错，我6700xt 2K影视级稳定一百多帧，大多时候150帧
虚幻5的毛发好像有bug，有时候会太透了直接能看到里面的皮肉，火焰山的夫人也是这样直接看到光头了
漂亮！！！！
为什么不先拍打二郎神？
你也是摄像头主角？（笑
哇！
灵虚子最帅的是把你打天上然后他跳天上拍你
住在山里的感觉真不戳
怡宝
太酷拉
怡宝
哇
猴射雷
卧槽，感觉来了
哇
多来点，特别是真假美猴王那里
66
青蛙：你礼貌吗？
？
猴哩摄
这张好棒
帅
挖槽
啊？
佛法无边，不度无缘。我被他说了五次
第三关古建筑爱好者狂喜
定身咒：不许动！来，茄子～
不是“凌”，就是“灵”，原著的那位才是“凌” ，游戏里面的是另一个
这就叫专业
分不清现实了。
姑苏城外寒山寺，夜半钟声到客船
帅
卧槽
帅
帅
帅
握草
深山隐古寺
就是黑熊精，这是化为人型的黑熊精，没玩过就别叽叽喳喳的
不是哥们儿，竟然有人不知道黑熊精还有人形╮（╯＿╰）╭
壁纸来了
哥们，人家up玩鸣潮的
卧槽
好好好
不拍白衣秀士？
只有纯正的中式建筑才有这种感觉
wc，搞这么帅
哈哈哈哈哈
前面的 是灵虚子
大头打不过去？改摄影师了？
66666
soga
这后期调色无敌了
哇
哇
这我学集贸啊
啊？
哇
每一帧都是壁纸 妙啊
？？？？？？？
猿摄区up
青蛙：感觉有被冒犯到
眼睛一下子睁大了
东亚文化圈只有中国能撑的出这么高的山这么深的谷
我勒个？
房子着火我拍照的典型
发书名号的，你暴露了
秀显卡的
这游戏买你这点钱，便宜了呀！
这里一周目哪有等级升立棍啊？
?
你成功拿走了我的币
流弊
这后期太厉害了
厉害
树上挂的是崇祯皇帝吧？（狗头）
智叔虽然打不过你，但是智叔除了你都打得过。
坏了 有人没看过西游记
黑神话:显卡
？？？？？？？？？？？？？？
黑熊精？
啊？？？
哎 老凌虚子
白衣秀士的招式也很帅
和真实世界没啥两样
灵虚子感觉可以很帅
nb
黑神话广志
太帅啦
破案了，现场拍的
这就是黑熊精啊，这么云的吗？
黑熊精的人形态就不是黑熊精了？
真壮
这张漂亮！
因为这是现实存在的
这叫：猴摄
帅啊
盘丝洞！盘丝洞！
唯一真神
黑风大王本就是黑熊精的人形态啊
隐藏主角：广智
这赛道新颖
啪的一下就关注了
卧槽！！！！！
黑神话：广智
《直面天空》
确实是黑熊精，这是他的人形态
游戏第二主角广智
测试工具里就是这个位置
波里个浪：你再骂！
专业
小呱呱
自己不会动脑子打《》显得你更逆天了
炎狼铠甲！开局用到大结局。
？
我靠，这张太帅了
壁纸！，马上上线wallpaper！！！
？？！
啊？
麻烦拍个八戒的
写真放动态谢谢
没玩游戏还发《黑熊精》下头自己去了解一下嘛
搞几个壁纸出来，加油up
就是黑熊精，别云了哥
crybaby？
发“《黑熊精》″的是真没玩
直接干嘛？噢，拍照
恶魔人bgm
啊？
还是挺可爱的啦
背景的远山没拍全，再拉长一点会更好吧
终于等到你啦
帅
纯粹的中式美学，这个景象
不是，哥们？
好
帅
顶级显卡！1万多。。
我靠
拍摄模式怎么开的？
就这一张真的分不清了
怎么拍的呀？
牛逼
？？？？
火钳刘明
衣服真好看
凌虚子
妖怪:律师函警告
感觉好像打了广智一个大逼斗
NB
游戏里的摄影佬
我好喜欢黑熊精，身上爪子印太帅了
wocao
啊？
又有壁纸了
这是把拍照改左键上了吗
cool !
66
哈哈哈
你来黑神话了？
这张好
？
另辟蹊径
好帅
《黑熊精》
抓得好
哈哈哈
啊？？
嗜血印里我也拍了不少有氛围感的照片，黑悟空我也必须拍的
厉害！！！
啊？
帅啊
掏出4能佳百D，马上拍照！
你要跟着一起出招才帅啊！
这也太帅了
？
啊？
牛哇
拍的真好，三连了
漂亮
白衣秀士那里没拍吗 绝美风景
这张真漂亮
猜的真准
我就猜到你要来
哈哈哈
终于等到你
这片我拿去做壁纸了
厉害！
帅
帅！
