并不是，师娘这么说只是为了给程兵一个隐退的理由
费鸡师
已经有十年没看过放鞭炮了
我也觉得是为了让他放手
刑侦大队的真的很能打，而且满脸横肉看着就有压迫感
致敬这样的好警察
眼镜踩坏了吧
喘不上气的感觉
这里起鸡皮疙瘩了
伸张正义为什么这么难啊
卧槽
文波！
这还是鞍山拍的
？
吃瓜吃到自己家
哈哈，长沙火车站没有暖气片。
勇次郎？
如果我们原谅了三大队 那么请各位别再说呼格的办案员无法原谅
防盗窗还有有用的
嗯?7.多分确实不高啊
真出生
cao
到家了
通辽的小曲
没有台平市 有台山 开平 是不是 加起来就是台平
看电影的时候这里是真吓到我了
居然是本煜
ASDFGHJKL;'
这得找潘虹啊
大黑牛哈哈哈哈
村村的萨比
好像是三大队的路演
张译长相不俗，有辨识度
这点很真实，我们单位就有这事
人家女的叫的 你叫她兄弟？
看到这人我i什么就觉得不爽呢？团长里的张立宪也是
不怕又打死了
考研大队
分低了，很多黑子去故意打低分
这点很搞，工作不按工伤按什么报，无语
领便当回来家结婚
后续是那个女的是那个男的之前在KTV点的陪唱，找借口说没时间就跑了 结果在烧烤店碰到了就打起来了
国产电影 默认把豆瓣评分+0.5~~1
是的
世间难得双全法，人都是在不断的选择和放弃
全世界绝大多数警察都依赖刑讯 神探根本没几个
天网
dna自动匹配报警系统，不遗漏任何一个罪犯
怎么可能放
在电影院看的时候泪目了
真的泪目
我也在长沙 哈哈哈
费鸡师
可能十几年前的价格吧
z
这里不会是花果山小区吗
老婆还挺好看啊。
电视剧确实挺好看的
现实不可能的，又不是自己的钱
想起来默杀警长打儿子（
唉，安欣一个人了
真好啊555
这一段陈创老师演的特别好，让人看的心疼的掉眼泪
国产电影自动+1分
这时候怎么没人敢拉架了
好像铲铲阿助的声音
你觉得科幻也好魔幻也罢，它改编的事件现实里已经发生了。你觉得太阳这个核反应堆科幻，是不是还得给你关了？
迟到的正义有什么意义
眼镜又好了？
除了抒情还是抒情
开始抒情
我去都两年了
科目三 low中low 还真有人喜欢赤石
这成本才对 现在动不动好几亿的成本真的离谱
一些漫不经心的说话，将我疑惑解开
豆瓣就是个笑话
灵帧起手
丐帮?
nt拉架
内容可以，剧情有点拖沓了…
直接干成总店了
笑死我了
丝滑
杀人啦
佛山拍的
这段真是封神了，这个音乐超级震撼
这是师娘安慰他的吧
好人不长寿，赖人活不过
不是陈思成会更高吧
前面的王骁演的应该是剧版《三叉戟》
他真的做到了！
做实事的混的不好，会拍马屁可以高升
监狱作息规律还不让人失眠了？
都拉家带口的理解
BA
好人好报啊
完成支线任务吧？
确实
到家了
魏晨。
我去，陈书婷
着音乐一响 我炸了
紧跟着陈就出个解密扑街
我真感觉其实这样的话 不如一开始就不参与 好歹不会有失望…
丸辣
真正的警察聪明着呢，不会这么直白问话，不断地拐弯套你话，找你漏洞，利害着呢
可是真的可以啊
唉，当时唐山的女生要是有人帮忙，也不至于被打得那么惨
坤坤?
六年就生疏了…
缑氏
真实案件里自始至终都只有程兵一个人
任务完成，当时我眼泪哗一下就流下来了
09年网吧还是刷上网卡的
魏晨太帅了有点出戏他还是只能演单纯小透明一类的角色
这烟当年7块现在都涨到11了。。。
魏晨是真的帅啊
我上早八
真的吗！听到这个后续真的流泪了，好人就应该有好报的对吗！
无用
现实这种情况一般会妥善安置的，不然一线人员都看得到会寒心的
我知道你为爱发电不容易
吃好果汁
大嫂润啊
2000年之后的国产电影7.6真不低了
他是舍不得他走
这段喘气，我也跟着喘，太激动了
他好歹有个工作
不可能的，当时0几年就是大记忆恢复的时候，屈打成招的无辜的都不少
他看起来根本不像坏人 太呆了
通融消耗的是纳税人的前！！！
杀人啦
这拉架
这婆娘我行
烧烤店发大财了。。。
赵波还钱！
不是不可能娶妻生子，是不可能突然结婚蹦出个娃。结果进入思维误区了，忘记可以直接找个二婚带娃的
我李大嘴就是个厨子
[前方高能]
cao
这不大嫂吗
要是这里打错人就搞笑了
BA
‘
怎么把狂飙的演员全请过来了？
没木了
卡西欧小方块 同款
迟来的正义不是正义
为什么看见这张脸就想笑
太不容易 感谢坚持寻找光明的人
齐公子...........................胖了
福贵演得很好，看哭好几次
当代毕加索啊，很有艺术气质
湖南耒阳（我是本地人）
因为一直没成功
陈思成老婆佟丽娅
7.6还低？
电视剧都魔改到东南亚了还搁这“更好看”呢
不会被报复吧
报
电影怕程兵孤单让他的队友也加入了，真实一直是程兵一个人在找
牧师！攒劲的节目！！
害怕被打死吧，拉架的也不傻，只敢欺负弱的
mvp
考研二人组？
杀人放火儿多
见义勇为是有代价的
现在还有这种人嘛
程队一无所有那就是目标，其他人不是
这个回头 哎 泪目
我带你们打
这片子纯粹为了给警察这团体挽尊
我好想哭
大家喜欢入冬吗
老费啊~~
坐牢也分做了什么吧
唐山打人事件
豆瓣这啥波一平台7.6还真算高分了
出轨男陈思诚都吹？
曲尼小宝贝
这个表情好像植物大战僵尸里的僵尸
年三十了，能有几个人不想家
记星你变了
父王...
有点像神木丽老师啊
怎么打好人的时候不见这么快就审？
拖家带口的确实
重返未来1999的片段
福贵啊，这是福贵啊
好心疼啊
一起包饺砸
小虎牙很像林允儿
不说哪一年吧，大过年的12点不守岁，谁闲的开车出去？
九月十二日下的大雨终于停了，雨过天晴
09年我刚出生
太好啦，好人就该有好报
那为啥不试试荞麦枕头
比着墨反派的一些剧好多了。
现实里程斌这样的人真的太辛苦了，苦的不是追凶数年，而是孤独他要自己一个人默默承受
万万没想到，凶手竟是我
怎么可能逮不到，指纹，血液采样……这边只是让观众爽一把
只能说本煜长的太硬朗了，也解释了他为啥能再婚
还打~一会儿又进去了
万万没想到
我觉得是师娘的善良，不想让他这样下去
还有一句师傅
罪犯兄弟一开始就是说的西南官话
这里不知道是真相还是劝解。。反正电影前面是有画面被撞的
唐氏
超雄天生坏种是谣言
菜价良心，你要看看这是什么时候
后三家子
父王觉醒
大嫂宇宙
早就离婚了
我敲 冰
除非老板自己也是黑社会不然谁会出手
太好了！！！
0帧起手
杨队赚了
这点吓到我了
审讯要录视频的
这菜价简直良心啊
张本煜真不错
哈哈哈
警察忘记通知你了，不好意思啊让你不知道
墙上菜单味太对辣，是个家常菜馆子
啊啊啊啊
竟然不是坐便器 是蹲便！
减肥片两个亿
MVP 结算画面
这里就是真时案件的原地址
喝沈阳老雪，砍沈阳老铁。
年轻人的工作一步到位了
看哭了
餐饮业什么时候都可以
好看
我们贵州铜仁发生的真实
啊这。。
地点长沙
真不错啊。。。
这个锅包肉太细节了！
指定有你好果子吃
这里如果说一句，自己受了多少罪，我觉得真实度高一点
程兵在这看到玻璃中的自己解读是他的自责
蝙蝠侠
那段时间 餐饮业确实可以
电视剧里面抓的是二勇啊
阮经天
哈哈哈哈哈哈哈哈哈哈
杨建，安欣，水熊虫精(动物管理局)
还娶了漂亮媳妇
陈局：你找我 无用 啊
沈阳:我踏马来辣
47w 7.6啥概念分不清？
谈恋爱了
这不是疯狂赛车手的考研哥吗
如果这个时候那几个人再来叫他，他真的会跟回去吧
出生最爱跳这舞
三大队没了不他们自己作的
这里的师父打错了
2009+20=2024？
《为了能睡着》
这里我的理解是师娘为了让程兵放手，回归正常人的生活。
啊？？沈阳
这个可比安欣艰苦多了
请静音或降低音量
请静音或降低音量
请静音或降低音量
请静音或降低音量
byd吓我一跳
红海行动里的
陈思诚怎么总在逆袭
细节
这点又不走车
犯罪倾向
这表情:我找到你了！
细节，老普桑
小腿一蹬
哈哈哈 原来是你
我带你们打
806
一个人！！！
糖丸了
有家室能理解。。
见义勇为啊
人贩子可还行。这回是大安
这特码18？
真不咋样，浪费了这么好的原型
怎么感觉是在叫我
wdmmd
唐山的真凶抓到了吗？
单身的时候是最自由的，唉
坏了
老莫
石头
这不石头吗
好久没看陈闯的新作品了
哈哈哈哈哈哈哈哈哈
打人啦！
现在20了
他在笑，我在哭
贵州？
？
挑那么个全网静默的老婆 还好眼光 真有意思
二郎神去黑神话当boss了
茂名无嘻哈
妻子要顶着压力照顾女儿 经济压力舆论压力 出来能给好脸色吗
到家了（）
哦吼 没想到啊没想到 还有铜仁的事
这也是艺术作品的重要价值之一：情绪价值
考研兄
徐冬冬 哈哈
+++++++
你赔我的林德伯格
还真的是大嫂
眼睛都气歪了
张译：6
电影版拍的太多书张译抗下所有，电视剧拍的是三大队的所有人都一直没放弃过
为什么不合适
这不是二勇么
兄弟的情义比天还高比地还辽阔
沙比科目三
两个活宝
爽了
丑男
把汉尼拔给你招来
他姑娘不能考公务员
科目三我最反感的一个“舞”
在电影院看到这里的时候真的绝了
好片
束文波
2000人
拉偏架
红海行动里的啊
加油
我一直挺雷科目三的，我觉得很尴尬，也很莫名其妙的一个舞
桂城的沃尔玛那，农业银行隔壁那条路
我也想
你知道这六年我怎么过的吗？
安欣国际
警察后面退休都会记得这个案子
我一身冷汗
大嫂差点死了
这不跑单？
DNA检测到就会自动报警，别问我怎么知道德。
另一个安欣
狂飙团队？
老张后面确实自己的问题
当时听说陈思诚李晨和张译拍完士兵突击后就闹矛盾了好像
弹幕能不能别老刷无关的
我想起来了 这小姑凉是 光荣岁月里面那个 小东西
魏晨，唱歌的魏晨，
阿水
张译为啥之后接的戏都是警察之类的
要是想救人就离开呗，非要去刺激人家，拿生命开玩笑
这菜单还挺便宜
还有招远麦当劳
吃瓜吃到自己家了。。
广西梧州？！！
妻子、儿子、爱情、疾病
电影是为了让大众接受 真实案例是只有队长一个人孤身前往长沙
女版翟天临
南蚌
科目三辣眼睛
已三连
我记得有新闻报道过有老人早上被车撞了以为没事走了，晚上人直接没了
这不是我们唐山的梗吗 下次记得哦标明了
之前网易人间频道，深蓝那个作家的作品，他写了很多刑侦系列的，相当好
注意细节他没给自己买
真正的审讯没有上来这么问的，男主不专业，心急！
doinb
结算画面
丸辣
是孩子年龄对不上，当时以为会是犯案后结婚，这样孩子不可能那么大
五星师傅
作为一名刑警，我哭得稀里哗啦
0. 0.。
又是逆袭之作，逆袭这两字都听烂了，总不能次次都是逆袭吧
可是期间前妻有了新欢，这个
宗向方
bgm是不是有点不合适
帅啊
这不我二郎神吗
之前酒杯都低一头 这里酒杯是齐平的
小丑
"现实这么残酷,为啥电影里不能美好点呢."
哈哈哈哈
这种罪犯打死都是善良的.
舒服了
现在回旋镖了哦，女方是陪酒的，跟男方认识，女方先动手开片
陈思成哈哈哈
我每次跟朋友出去就会少一个打火机.
哪个刑事案件嫌疑犯没挨过打
沙雕.
开店惹了地痞算是倒霉了
我不是药神里的局长
这个地方转就有点不太好。。。感情渲染到位了
拍的真一般
警察也和普通的囚犯关一起的吗
？
如果我在现场听到他这样讲话我的拳头是忍不住的
毕竟见义勇为普通人都是拿命在赌，你不能苛求别人都去愿意做好放弃性命的准备
亚瑟摩根是吧
这说话有水平啊
打谁的脸心里有数吗
有牵挂了
小说中还提到王二勇现在住的房子的户型和受害女孩家一样
华强：我熟
赵波还钱！
黑暗骑士
帅呆了~
这里有细节陈兵没有拿手指触摸镜子
左边是好像jkl
网上哥们发泄来了
五星杀手
挺心酸的。
而且已经不是警察了
真实案例只有一个人查
俄罗斯方块？
还得是怒火重案解气
原型好像就一直这个队长一个人在找……
Wdnmd
潘股长
这里可能是师娘想劝他回头 不然早就说了
老墨的信息可以
陈局表示：千万不能火并啊！
安欣还得是安欣
豪爽的唐山老大哥
构思舞
现实就这样
不如科目三
传说之下！
怎么这么长啊
这个时候已经全国联网了，嫌疑犯经过检测门会自动报警
影帝陈创
福贵！！！
就三天连睡觉的时间都没几个小时，怎么会去喝酒？
魏晨？
纪~星~
00
肉身成圣
张译这段真的神了
梦泪？
若只
拖拉机的长相 法拉利的气质
这 让我想起了 祝福
忽然想起来09年和网恋的湖南初恋在长沙相见。都过去这么多年了
逃犯：nmbd你追我干嘛 我又不是你目标
构思玩意
吃瓜吃到自己家
尬的我脚趾扣地
这里给我看哭了
gun
和家人一起的时候，这首歌很好听，一个人的时候，心情不会太好
注意，2002年监控摄像头的普及率还是不高的
背后高盛集团？？
这一段真的很震撼
电影好看
狂飙电影版？别高抬狂飙了
这帅气颜值还需要用强？
是你
电视剧这个每年给他闺女发红包
从小喝到大
救下了他的爱情
说白了是私仇，不是为了公正
这个太猛了 你打不过的
一个一个都面对生活不得不放弃
我擦
王副站长！！您这是怎么了 怎么落魄了？
这后面有点像黄道十二宫
要知道 你出完手 下一个钟头 你可能就被叔叔带走了
666
电视剧版的 感觉更有那种长久的艰难
电视剧版的我也看了
不太可能
吴用
还酒？  这是出勤
电视剧中间太拖沓了
格局
沈阳，我汤姆来辣
你真是饿了
前面的不是说放假期间吗
邓超
HGTY
说实话人家老婆烫伤了回去看 至于吗这么说吗？
鸡皮疙瘩都起来了
如果没有那件事，大黑牛可能就是程兵的另一条路
这段电影院看哭了
前面几个走的时候没流泪，不知道为什么这个走的时候 我特么流泪了
都反转了
忠是忠于自己的本分，自己的职责，孝是对家庭的记挂
电视剧是王二勇死了，找的王大勇
10
这哥们名字叫王雨甜...演过鬼吹灯昆仑神宫明叔的保镖....
电视剧的师父也是他演的
那是个似人
国产7.6算高的了
魏晨，兰州的
好多年没看过春晚了
又一个队员要走了
导演：“和张译演对手戏”
救了个老婆
大海捞针
环钱
这就去看！
电影真不行，剧版很好
一个王二勇赔了多少人的性命。。
车上还有佟大为？
天网恢恢，疏而不漏。
哈哈哈哈哈哈瞬间出戏
鬼影是真的绷不住了233
哈哈
超雄体!!!!!!!!
原来是你!!!!!!!!!
自古忠孝难两全
呸! 树倒猢狲散
付出了多大的代价，牺牲了多少人的前途，时间。才让罪恶绳之以法
完了 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!死不足惜啊 这种最烦
←你没见过就是没有啊？
这才是真正的明星，不是那种流量
梅花
放假 好巧不巧出现在抓捕现场  一个个都是貔貅
7.6低了
那个时候证据齐全没有口供不能定罪知道吗
哮天犬，你二郎神呢
王大勇：关门的那一刻，天塌了
抽烟肯定是不会妨碍思考的
还真是老默
有关系就是好
本煜
当你说出这句话时，你就属于动动嘴皮子也不动手的那类型
烧烤店
五星杀手
不是，吃瓜又吃到家了
黄眉大王？
小兰好漂亮
丢人
杀币舞
石头？
不是叫名字，是打你的人突然朝你吼一声下意识看
他女儿就王大勇见过 王二勇都没见能被咋
父王居然是凶手哈哈
你人呢
叔叔们辛苦了！！
3000你真拼命啊
淦！
徐富贵
不让在马路上放烟花都能喷了，毕竟发生火灾你也不用来扑，倒霉受累的不是你
当时看到这里紧张的要命
众所周知大记忆恢复是给好人认罪用的
其实就是狂飙电影版
还是挺配合的
7.6还不高，7.3都算能看的了
这时候你不救？
这是要放弃现在的生活，你会为了你朋友放弃你的家人你安稳的生活么？
不要一起男女对立好么，人家还要生活
开眉展眼下此以往未之闻也阿努尼克的网也敢
丸辣！！
张本煜啊哈哈哈
好的
魔幻现实主义
考研姐夫
天地无极 万里追踪
是兄弟就来铁西砍我
这种情况只会在电影里
钱没给呢
东北二王？
吃瓜吃到自己家
好人有好报。
喜当爹
不行啊，看到这张脸我就想笑。带入不了一点。哈哈
我踏马来辣
唉，可惜了
我去好像真的是桂城啊
父王？
普通成年男性如果手上有武器是可以做到一打多的
jkl
满嘴顺口溜你是想考验呐
跳那个什么科目的脑子多看有点儿……
电视剧版好看
电视剧好看电视剧好看
啊
资金来源呢？靠啥吃饭啊啊
致敬！！！
对面的就像当年的自己
眼睛进沙子了
不是哥们
啊
好人，有能力，，没顾忌的，不多
劝人从警，五雷轰顶。
其实我是   刀仙
csc还有好片?
谢若琳胖了好多
看电影也能当真，实属人才了
魏晨这个角色的这种操作好离谱
都两年了吗？时间飞逝啊
好啊，好啊，好人好报
吃瓜吃到自己家
杯子里都  没酒？？
齐公子
到我家了
片尾曲也非常出彩
这段配乐非常传神
莫名心酸
说3000万那个，你要知道，买新容易做旧难，这片子花3000万不多。
罪犯过了那么多年好生活  警察却改变了人生
记星
跟程兵一样憋了一口气
说收获了什么的人，道不同不相为谋
玛德，我想哭
电影很好看，故事原型更牛
这段太难受了
赞
出轨楠吗
电视剧版除了国外那段有点扯了其他还好
电脑向右18下
警察里也是有正义负责的好人的
天呐
这应该是源自唐山打人事件的灵感
这个路口是桂城nh吗？
回收开头
网吧拒绝都是严查那几天，平时谁管你几岁啊
为啥广东是假名，四川蒲江是真名
能理解，都没有错
你意思有点眉目了
初中门口的是12中是吧
这是种传承
《婉拒》
厉害
0.
伏笔伏笔
这一刻 世界已经崩塌
蕾姆了
互殴
经典南方口音，结果唐山被骂了那么久，唉
老默和安欣
浩浩妈？
记忆恢复术呢？
蕾姆了
一个月几百块你玩什么命啊
大记忆恢复术违反规定
辗转反侧？
△电影手法
唐
前方高能 整部电影最神的一幕出现了
二队间接害死了老张
这个回头答应一声，真是点睛之笔
局长威武
这谁刃得了
其他人退出理由都很充分，这个哥们这里退出是为啥当初没看明白
逮住你了
幽默疏而不漏
智多星吴用
父王哈哈哈哈
我好紧张啊
豆瓣国产+1分，等于这片8.6
程兵就不是警察，大黑牛也应该给支援吧，报销路费吃喝啥的
这是真兄弟
恼残中的恼残喜欢跳
居然在台山拍的
徐冬冬
老默:阿强你看，阿欣给我买鱼了
这不应该带薪休假2周返工
这个发型只有魏晨能驾驭
王骁演的坤坤吗
有经验啊
陈创老师牛逼
他一边踢我一边捡他一边踢我一边捡他一边踢我一边捡他一边踢我一边捡
没人说是你，不打自招呀
前面的你上厕所不锁门吗
王骁是不是演过电视剧版的三大队
抓贼都轮到一群蹲过大狱的无业游民了，还能说啥。
感觉还是电视剧好一点
严重烫伤的大嫂：抓贼不差你一个。
工作没有错，但没有做好一个父亲，一个丈夫。成年人要付责任。
现实中有几个人能一个打三五个？
年轻力壮还训过猎犬的还整不了个疑犯？
茂名茄子
岳云鹏?
广东人露头
豆瓣国产加0.5 外国减0.5
又一个大嫂
是魏晨
什么叫女人误事？这种情况下他选择离开有啥不对的？
到我家了
可以理解
男人之间就是这样
跳泥祃
闹餐
一曲难忘今宵，感觉又快过了一年
是师父
在影院这段真的哭的不行 那一刻作为一名政法干警的意义具象化
阿助的声音
哈哈哈哈秉公执法
这个干警看着好像阿哲啊...也算是一种隐喻吧
像范小勇
在影院看到这自己差点蹦起来
看这个情况，是没有去探监的
走向光明
警告程兵不要试图考研doge
血检结果出来了
瓢虫高潮了
小徐不会被丹砂吧
赵波 还钱
那个年代很多都在马路中间放，说话之前看看背景，过过脑子
我到沈阳站了，现在就去抓你
你们这种人一辈子就只有利益了
"一个在监狱里蹲了6年的警察,终于回归到正常人的生活了...T_T"
"这还不是最泪目,后面的那段才叫泪目..."
说陈思诚完美转型的看一下他家的家谱
好好好好好
"所以我奶奶从小教我,不要作奸犯科,否则下场就是这样被人摁在地上"
是时候进去了...
我不懒，看来不合适我
在影院的时候 就因为这句台词一下子破防了.....
赞！！！
丸辣
帝能舞蹈
万恶之源...?
三大队去年冬天看的 拍的很好
沙雕
同事:一个月几百块玩什么命啊
范小勇
都挺好的...
把他从椅子上放下来，说他还没上椅子就打人（doge）
名字太随意
有点出戏 之前说有四川口音 这会儿又是纯正普通话
纪星
这么多年没过追诉期吗
和警察打?即便是退役警察...
这还是遇到了退役警察...当初那个女孩就没这么幸运了...
这不是考研哥吗
前面说过王二勇脾气暴躁，他想激怒他，揭下他的面具
本煜演的没问题，但一看见这张脸我就想笑...也算是喜剧出道的悲哀了
有劲儿
大嫂是真大嫂...[捂脸]
魏晨演八佰的时候你在干嘛
真了不起！！！
娶了个带孩子的，伪装成结婚很多年了
我开始发抖了
徐冬冬
实际上就是被撞了
咬道！
哈哈哈哈哈哈哈哈
你管这叫天网恢恢?
啊？哈哈哈哈哈哈哈
那边
旁边一堆乌合之众。
十几年的按件你能知道就有鬼了
tmd是真能跑
0几年，我家县城不仅可以大马路上放烟花，年货摊还能摆在路上。热闹的不得了！！
知道啥意思了
说的好
我特么莱纳
看到科目三就想吐
还交代遗言，这是监狱还是黑社会啊
拿娱乐商品装高尚呢
杀手猴
小头爸爸
