？干活的人啥样干活就啥样，干活的样子还有定式了？
老师，注意防韩！
快点上热门
[ohh]
太厉害了
穿越没网
说背景是玉米的老铁，up背后紧挨着那块可能是高粱地
[ohh]
跳进染缸～
好棒
[ohh]
这才是真正的艺术…
雕塑生有人懂吗
！胡广生
[OHHHHHHH]
126人
能文能武
高手
小心防寒！！！
夸张的动作
但是我要说一句，关键笔画都没看见，看见的全是简单的
[ohh]
[ohh]
冻豆腐
弹幕吃货饭桶好多啊
[OHH]
[OHHHH]
[OHHHH]
好像年糕啊。
静音看舒服多了
太厉害了吧？！
团队不错
[OHHHH]
这下看懂了
我好怕这个铲子给戳烂
[ohhhh]
[ohhh]
看起来好脆好容易碎啊 做的时候碎的多吗
环保不上门？
说绿豆糕的笑死了，那叫豌豆糕↑
实际上泥活字在历史上也没怎么使用过
看起来好好吃啊˃ʍ˂
有一句说一句，是真的大
过于哗众取宠了
染缸出现了！
这是吃的，还是用的？
在文化传播面前谈up团不团队的属实没意思
姐姐技师出道，推油手法犀利娴熟
老人小孩儿先飞
鱼豆腐
省流：太牛了
小米粥还能拿去喂鸡鸭牲口。不会浪费的
必给
[OHHHH]
多好的女人啊
[ohhhhhhhhhhhhhh]
[OHHHH]
[ohh]
怎么会，怎么会，就变成了
狗叫安倍？
狗叫安倍？
妙啊这样字就不跑了
[ohhhh]
[ohh]
[OHHHH]
跳进染缸……砸了染缸！！！
牛逼
古代排字，一个字要好多块
你创越也不行，原生材料不好搞啊
女性天生脂肪偏厚，肌肉一上去感觉特别壮
[ohh]
防止发霉的
姐姐看起来胖，其实全是肌肉
晒干不会变形的，写了是阴干
这就是为什么古代会有文言文，就是为了用更少的字
[ohhh]
用胶泥刻字，薄如钱唇
毕昇发明出来的时候比外国的早440多年 先进不先进有啥好比的
[ohh]
[ohhhh]
没听过《活版》正常啊，因为这个是在22年把《河中石兽》删了的
跳进染缸
f8fq
什麼印刷體，這是宋體
姐姐好有毅力啊我要是这样干什么都会成功的
啊？
[OHHHH]
卧槽！！！！
工作量头皮发麻
[OHHH]
[ohh]
好有力量的女性
好有力量的女性
唯一缺点就是BGM选得不太好
健妇
[ohhhhhhhh]
[ohh]
空瓶～～好厉害啊
[ohh]
好蒂！！
[〖ohh〗]
[ohh]
下豆腐
[ohhhh]
箕子棒子滾！別偷
[ohh]
那一片白，有5000年的历史底蕴。
还不如直接就写在纸上了
古法滤镜
好震撼
[ohh]
好有力量
这饱和度…太高了吧…
好了，可以吃了
这一锅吃了会考满分吧
大半夜的看饿了
看饿了
用的时候排版 然后印刷  古人智慧
[OHHHH]
真厉害！
什么五百，这是无价之宝
这工作量投币了，
十万的粉整千万的活？
泪目
能文能武，厉害厉害
好蒂
[ohhhh]
这混在一起然后在一个个挑好麻烦啊
[ohh]
[ohh]
印了一张《有机化学》
[ohh]
[OHHHH]
脸怎么看起来怪怪的？
好厉害！！！
哇
[ohh]
辛苦了
因为最早的泥活字雕刻困难耐印力也不高啊，制作费时费力也不可能普及
白纸黑字真漂亮
跳进染缸
[ohh]
[oHHHHHHH]
臭豆腐
相当漂亮
[ohhhhhhh]
缎泥？
小米手机字体搜索印刷体字体，设置为印刷宋体相当有美感
[OHHHH]
三连支持
就是这个东西让更多的人有书读，教化天下。
[OHHHH]
有的人真是太搞笑了，在文化传承的视频下面问为什么不用打印机
鸣潮白芷（bushi
木头的不好吗？
[ohh]
[ohh]
今天后面那块玉米地都割了都
在古代这玩意儿根本没人用
[ohh]
[ohh]
雕板的工作量并不小，而且没有活板灵活活板雕一次可以印刷很多种。但雕版不行，非常死板
[ohh]
反字。。。我的天。。
古法烟囱
怎一个美字了得
从姐姐的眼神里看见了热爱带来的坚定劲儿
[ohh]
这才是新时代女性
[ohhhhhhh]
玉米地都黄了！
我也吃吃
这就是中华文明
这我必须投币！！！
为什么没有写完整字呢
[ohh]
泪目
这是艺术！
[OHHHHHH]
卧槽
妇女能顶半边天
感谢你
时运赋么！！！
牛啊
麻将由来?
为什么只能投两个币
刚刚那一幕好艺术
姐姐小心手
卧槽
这是在干什么呀？
甚至很多女生都做得到啊，别人只是不想去做，他不做就代表他是在装柔弱，他只是不想做，他就是不想做怎么了？就是不想做，那凭什么非要做一下？然后呢？能表示什么吗？
练泥
势大力沉
[ohh]
很强 优秀
好棒
这反光板起码有5米
太厉害了！
现在小孩真单纯
震惊
天我要哭了
woc
字印出来的一瞬间，我鸡皮疙瘩都起来了
哇
臭豆腐制作流程
泪目了
？？？？？
省什么流，别走
省什么流，别走
这tm不是吃的啊
[ohhhhh]
[ohhhh]
3d打印就完事了
啊啊啊同款小狗好可爱啊
怕突然丝滑
古法恒河水
意义是什么？传承中华文化和手艺
好震撼啊
古代读书真的很贵
看起来脆脆的很好吃（bushi）
火钳刘明
佩服佩服！
[ohh]
牛批
牛啊！！
希望有文字解说
麻糖
多少钱！我买了！
[ohhh]
[ohh]
乐在其中
[ohh]
底盘好稳啊，换我站都站不稳了还搅和
先设一铁板，其上以松脂，蜡和纸灰之类冒之
[OHHHH]
其法，用胶泥刻字，薄如钱唇，每字为一印，火烧令坚
手太巧了，人形打字机
[ohhhhhh]
哇哇哇
哇
[ohh]
[ohh]
这字写得不赖哦
咬一口，嘎嘣脆()
[ohh]
原来是吃的()
[OHHHH]
[OHHHH]
[ohhhhhhhhhhhh]
制版
能吃了吗？
三连了
居然是这个BGM！好久没听了
好酷
好美
好力害呀丶
[ohh]
牛逼！
我天，姐姐好厉害
缸好欲溅泥
[ohh]
打造又一个李子柒
[ohh]
[ohh]
为什么不用打印机
[ohh]
[ohhhh]
看着好解压呀
[OHHHH]
这个是真的强
[ohh]
看着都觉得好重
O HHHH
文字烧
前天刚好去了博物馆看到这个的动画 好神奇
好害怕会戳到手上
[ohh]
[ohh]
妙手啊
好像黄豆糕
[OHHHH]
[ohh]
[ohh]
啊，我的名
阳刻啊！
恭喜你发现了宝藏
那个课文不是不用背吗？
游向欲望~
好活当赏
[ohhhh]
炒糖色
我去！
好美
币有了
唐人尚未盛为之
[ohh]
[ohh]
这一幕莫名想起宝儿姐
啊啊啊啊啊好美！！！
[ohhh]
1！2！3！跳！
@看谁先！
这不得是非遗吗
太牛了
与君共勉
好震撼！
要来力！
好厉害
妇女能扛起半边天
狗明明是你放上去的，叫人家走开
时光光光光光光光光光光
[OHHHHHHHHHHHHH]
外星人：这艺术对我来说刚刚好
我要买
[OHHHH]
量产
写反字写的也这么好，能文能武啊。
我竟然看哭了，女性的生命力！
[ohh]
豆腐
豆腐乳
跳进染缸！！！！！
好自豪啊
卧槽，这厉害的
这才是真正的妇女
突然想起来她长得好像智博啊
活字印刷？
太厉害了！！！！！
大姐真有劲阿
好吃的
太有耐心了
好棒
[ohhhh]
[ohhhh]
¿
nb
[ohhhhhhhh]
[OHHHH]
这些东西需要有人拍出来让大家看到
啊？为什么不会散啊
[ohhhhhhh]
牛啊
投币回血
好熟悉的音乐，好像好几年前活过一次
不会砸碎吗？
其上以松脂蜡和纸灰之类冒之
这不会是豆腐乳吧
只能怪我没文化 一句wc走天下
这造的大了吧，一张纸能印几个字
果然是会用粮食做很多东西的。比如用粮食熬浆糊之类的。
[ohhh]
怎么拍的 啥滤镜 为什么这么好看！！！
太强了吧
我滴妈，她结婚了吗
荒野求生一定要带上她，她能造一个星球
[ohh]
有些会不会烧炸开
[ohh]
珍藏品啊！！！
哇！
搬这么远就为了摔打几下？
好复杂
[ohhhh]
[[ohh]！！！]
女强人
能写反字的人才是真牛啊
我也以为刻好久行了
看着好下饭
好漂亮！！！
女强人！
拿斧头锤东西？厉害
[ohhhh]
回复前面那个问为什么有个镜子？看看自己有没有写错笔划，应该是
我滴妈真的好厉害
这是我很少能完整看完的视频
上链接吧
印出来不是倒的吗？
我而言只要都是宣传非遗的，那就不存在抄袭这么一说
[ohh]
厉害了
[ohh]
[ohh]
[ohh]
好厉害啊
相当漂亮了
[ohh]
太牛了
[ohh]
不能做凹版印刷吗？
刻字？
这标题，啊？
[OHH]
[OHH]
印刷当然要反着写
[OHH]
有种老电影的调色
好有感觉
[OHHHH]
姐姐你咋啥都会啊
有个吊的力量，有力量的是背后的团队
跳进染缸~
其上以松脂，蜡和纸灰之类冒之
字真好看
每字为一印
好多啊
女人中的女人 雌性中的雌性
我靠
烤完又再煮的食物不多呀！
姐，我服了你姐，真厉害
可以吃了吗
他在做老坛酸菜吗？
北宋毕昇发明泥活字，元朝有转轮排字法，初中历史课本里有
女娲（确信）
好像豆腐
小米粥
古代还用年糕粘城墙呢，这有啥
姐姐太厉害了！！！
越来越好吃了
这就是胶泥活字吗？
看起来好好吃的亚子
估计和喷砂差不多，用小米磨润
全弄完，只能印一页书，一本书
真的好厉害
绿豆糕写了字还能吃吗？
毕生你看到了吗
古代有时候会拿这种稀饭低价出售给人吃。
天不得时，日月无光；地不得时，草木不生；水不得时，风浪不平；人不得时，利运不通。
不就是三连吗？我给你给你还不行吗？
小米粥
我有幸发现宝藏
这是陶瓷不化开
这得做多久啊
发明人毕升发明项目，活子印刷术
古时候只有大户人家才用得起
还能喂猪
这好奢侈啊，小米和中药熬
独特的美
Q弹.
几十万个不是小工程呢？
好美
绿豆糕
弄月饼？
宋仁宗时毕昇发明了活字印刷术，标志着活字印刷术的诞生。他是世界上第一个发明人，比德国人约翰内斯·古腾堡的铅活字印刷术早约400年
活字印刷？
高分挑选已经烧制完成的，没有烧制完成的会在这一阶段被融化掉，啊，当然要彻底完成了，也会被融，但是融的不彻底，所以这一步呢，是会挑选掉这些好的
为什么我高中读完了也没有学过什么活版
oh
123跳！跳进染—缸—
一斧子轮偏了，它就见太奶去了……
多冷啊，我在东北玩泥巴
弹幕刷的吗？全是好有力量感
活版确实是伟大的发明，但是使用率确实没有雕版高，活版排列的工作量也是很大的，雕版差不多能一劳永逸
一直以为这东西就是找一张报纸先正着写，然后加点水给它贴上去再刻的
我好像看到前面有人说这是吃的。
看后面的玉米，已经收割完了
好快这样
用右手反手写，难度特别高
印刷印刷，这个词语造的真不错
一!二!三!跳!
是繁体字细节。
个人行为请勿上升至群体
倒着写的字都比我写的好看
吃的不是只有吃了才不是浪费
好有耐心
是雕版容易出错前面的，活字印刷真的很厉害啊
初见端倪
姐姐真的好美
我妈以为的巧克力制作工程
牛逼！！！
牛逼！！！
这打击感
mk
好看
八哥！开饭喽！（雾）
她生机勃勃诶！！！
女性的力量是无穷的
才确认出来是胡广生
^o^
看了之后真的是感觉有画面感了
我妈认为的辣条制作过程↓
沃德玛雅
啊？
我是男的，我愿尊称您为姐妹
姐姐辛苦了
像茯苓…（）
活板不是初一学的吗？
可以吃吗？（不是）
如果斧头打到自己就是另一个故事了
这个妹子是真有劲
就这个成本，普通人还想读书
啊？！
有实力
厉害了
？
锤炼
忍不住吹了一下
女人撑起半边天
我要6
不看开头真容易以为是做麻将
这姐姐绝对是个艺术家，一般人干不了的活儿她一个人都干了
哇哇哇 这个泥巴放小时候我能玩一天 现在也能(dog)
这配乐+女主有点宝儿姐的感觉
太牛了。。
都是力气活，一般人真干不了
看着有点好吃，不知道为什么
胡了
看到最后，太吊了！！！
好像做臭豆腐
好有力量，感谢up主为我们展现传统文化（希望评论里不要再争论是不是一个人做的了）
大鹅。我以为磨刀呢。
我靠，腻害
不容易
麻将dbq
这不是。某些家长眼中，绿豆糕的生产过程吗？
还以为活字印刷是木雕的
女性的力量是强大的！
好吃吗
光线这么怪
姐这个发力姿势特漂亮！
吃了几个打印机！！
完了，没硬币了
姐姐好厉害！
《我的世界》
乃密布字印，满铁范为一板 持就火炀之
不会啊 ks上也都是在夸姐姐能干
所以要煮小米粥是吗？
我爸妈眼中奶茶的制作过程
你老师不行啊，押题不准，《活板》考的概率还挺大的，和《爱莲说》差不多
用心了
这是重建索引
院子高墙外四角的天空
妈呀！好牛
这我学集贸啊
书中自有千钟粟
《烧烤》
你这背景是假的吧（doge）
泥巴还能这么玩
自拍杆
心灵手巧
呜呜呜想投币但是没有了 各位帅哥靓女能给点吗
我去!你是啥都会做吗？
在古代降低知识获取成本，善莫大焉
？？？？？
要来力！！！
《用胶泥刻字》
到这里下意识的吹了一下。
见证奇迹的时刻！
古法制作
半边天
活字印刷术
好了可以吃了（Doge
姐姐是从宋朝穿越过来的吗(
我怎么用力都走不到你心里（误
跳进染缸@
看了半天，感觉这是调了色调吧
我怎么用力都走不到你心里（误
好厉害啊
染缸
为什么现在都能用手机打字了？非要用活字印刷呢？
有一点浪费呀。
因为鹅是AI
光打得很舒服很好看啊
绿豆糕
能文能武
超酷！
月饼
好厉害
跳进染缸～
传统文化的传承，在这一刻得以体现。感谢up主
投币投币
没有空白块吗？
古法绿豆糕（doge
泥烧制不就硬了吗，还变石头
辛苦了！
跳进染～缸～
好辛苦
很用心。
女性楷模
好厉害！
干豆腐
姐姐好厉害！！！
太牛了不是我说
看标题
古法美人
好漂亮的天井
古法磨具
古法玩泥巴
古法黄土
这个铝壶我家也有！！
古法铁锅乱炖
我妈以为的辣条制作法
不可能！绝对不可能！这是什么全能才女？！
好好看的字
古朴稚拙的质感，妙至毫巅
松香凝胶，起固定和找平的作用，高！
活字在古代使用率根本比不上雕版。你要用活字印刷，首先你就得认字，不然印刷时根本不会排列。古代印刷书籍的人有几个认字的？
笑川克星
mc草方块制作过程be like:
这种黄泥，精细过滤了，特别磁实！
拿锅铲（雾）
这一瞬间鸡皮疙瘩热泪盈眶，我们祖先真nb啊
封窑
什么人间仙境
大妹子，打印机好吃吗
各位老弟，侄子们，投了！
一二三跳，跳进染缸~
活字印刷其实在古代并不流行……
太厉害了
歪了一点
美丽又强大
这女人怎么什么都会
姐姐太厉害了！
以草火烧瞬息可就
这院子真好看。
可以端上桌了
你这背景是假的吧
牛的
语文课本里的算什么？
古法水壶
泥牛入海~
不许走！！！！
太有耐心了
土方块儿
跳！！！
咬文嚼字
辛苦啦
第一眼还以为是动画
好了可以吃了
起锅烧油
？让我尝尝
光荣的劳动女性
装逼我让你（）起来
牛逼
换成酸菜同理
太有耐心了
开局以为要活人印刷
活板
不买个石头捣臼啊？
这粥是干啥的啊
现在自媒体怎么拼吗？
问问这一步是为什么啊
李子捌
跳！
123...
好美啊
开饭了吗
看起来很好吃
我的币保不住了
小学时候拿橡皮做印章
暂停提问，活版印刷步骤是啥
绿豆糕
啊？
我们大女人真棒
那些打拳的过来看看
科技改变生活
古代有钱人比现在奢侈多了
好标准啊
真厉害
让人平静
阿飞？
好健美的姐姐
1000+人
弄成石头了
好厉害的姐姐，粉了
我嘞个！！！好强！！！-
想帮姐姐锤背
搞活字印刷啊
劳动人民最光荣
劳动人民的智慧
开幕雷击
开幕雷击
头盖骨痛起来了
字好好看！
妙
染缸
“战争践踏”
终于知道语文书里面是怎么做的
艺术品
好多狗狗
鱼豆腐（）
写反字都这么厉害，为什么不能直接写一个？
这才是真正自立自强的女性
一，二，三，跳！跳～进～染～缸～
申遗
一顿操作如猛虎，多多才卖25
搞不懂你们到底在争什么，她只是为了让我们看到中国印刷的制作，你们一个个在那里争论是不是一个人做的，搞笑
太厉害了……
要来了
以前的时候干这活都是好几个人分工干，他一个人干这个，我靠，太厉害了
这就是女性力量
胶泥
厉害
希望优秀传统文化能代代相传
这才是真正的觉醒女性！
一看就是买的流量
幺鸡
恭喜你发现了宝藏
大鹅！
则字平如砥
绿豆糕
有点想吃了怎么办
大女人!
投币了
搞里头
战歌起
衣服都好好看，这色彩绝了
我以为刻好就完成了
胶泥活字印刷术？
活字印刷术？
好有力量感
墨！！
很健康的没
想减肥又想玩起泡胶的女生看过来
大家都点个赞吧。
高二去研学体验过
是不是为了防腐
阳刻啊
一个人为啥啥都会
万能的草木灰上场
↓没有剧烈变形的原因等你看完那篇课文就知道了
逐渐离谱。
友情提示：视频刚刚过半
这么多！
古法撵狗
不管是不是一个人，她都是真的厉害啊
像画一样美！
像画一样美！
又为活板
版印书籍，唐人尚未盛为之
这个我知道，碳酸钾o(^o^)o
几个月过去了
雕版复印率比这个高多了，这个真好早传开了
根本看不懂
南无地藏王菩萨
文武双全
活字乱刷术
活板   作者：沈括
2000＋的人数…
666
卧槽，这么多看
姐你衡水毕业的吗
霉豆腐
加了蜂蜜就不会开裂
玉米已经收完啦！
看起来就好沉
好牛，我硬笔都写不了能看的反字
快进到灵魂之汁浇给
茯苓饼
饱和度战神
为什么要放小米？
好了该我吃了
好像新中国成立那会的画
好了该我吃了
方糖
这首歌我一直以为是周深唱的。。。好好听
谢谢，不吃。
哇
劳动人民的美
牛啊
震惊了
吃一个，谢谢
我操，真活字印刷
活字印刷
麻将
七年级下册语文第25课《活板》现实还原版
人美字写得好
姐姐好白啊～
上面的，都说了是阴干，肯定没有暴晒，防止变形
可以喂猪。
可以吃了
黄山毛豆腐
想吃
小时候用来刻陀螺玩
粉丝先吃
K2CO3
不管是不是一个人都很厉害啊，别火气太冲
冰山熔岩
刚才是小米吗
看着好舒服
妇女能顶半边天
太强了
好贵！投币回血！
这就不得不投币了
熬粥？！
这个腿部的线条很美  有女性的力量感
好厉害！！！
可以吃了吗（bushi
喂猪就不浪费了
隔壁小孩都馋哭了
中年版 李子柒
这套收藏，怎么的也的50个W吧
跳进㳃缸
应该不用打磨吧
看着好好吃
霉豆腐
同款铁盆
这里光影一直好美啊
开始炒豆腐了
厉害哇
怎么往豆腐上写字啊
姐姐好厉害！
好厉害
好好看的字啊！！！
鱼豆腐
哇啊啊啊啊啊啊啊！！！！！
天热，但是也要防韩
铁锅炖大鹅
刚柔并济...神人啊
五下科学啊
你们不考这个嘛
跳进染缸（bushi
这个不是学过吗，活字印刷术
繁杂的可能有人代工，但大部分重活都是吧
如此高强度的颠簸，难道就不会碎吗？即便是陶瓷也容易碎呀。
能文能武
这规格不太准确呀，有些长有些短的不均匀，排版的时候容易出现误差。
我去，这手劲儿运用的可以啊，我也尝试过用土做印章很容易崩坏的。
？
跳进染缸~
出了好多汗啊
这个主播是干嘛的？
上链接
这很累的
活版
这才是女人味真实展示
姐姐好有力量感好美！！！
因为要印出来，所以是写的字左右反的，所以用镜子呈现给你看
唐人尚未胜为之
恭喜你发现了宝藏
好感动
先辈们都好智慧
好漂亮啊
我没有币了，下次给你投个币
能文能武
安倍？
1000加
好强大的团队！
活字印刷术
可是这个反复使用不了多少次怎么办
我勒个豆印刷体，还是反着的
好厉害
唐人尚未盛为之，接。
我的姓！
搞活字印刷吗
拍得好
天呐好有成就感，好感动
姐你是真女人，好样的
一个人干几百个人的量
好像是活字印刷
谁还记得这是泥
自摸七对糊了
赶紧三连呀，兄弟
我玩起泡胶都累
你这背景太假了
？？？不是印出来的吗？
晒干之后竟然没有剧烈变形
豆腐角
归于传承，归于信仰
书香小米粥
当时学活板都知道是啥意思，就是想象不出来咋弄的，现在可是明白了
中国文字浓缩的一生
太强了，大姐。
狗狗一起抱走了
古代有钱人和穷人差距巨大，一个饿死一个撑死，你觉得用不用小米
夺少？
王龙绿豆糕
集天下之智，汇天下之美
我出2000
万一下雨了呢
好厉害
这打光
鹅鹅鹅
温柔点，我受不了
哇
牛啊
还是个大雷
好了，可以吃了
好厉害
给我一块玩玩
等等？该不会要做活字印刷吧？
活版
半边天！
支持每一个中国传承
视频同款一键下单
则字平如砥
看到这里才看了一下标题，才反应过来要做印版
厉害厉害
药稍镕，则以一平板按其面
这是什么
你要滴存钱我收起
哇！
多说那么多句
乃密布字印
认得我妈
人称出气
这是啥
两个斧称撑不起
用松脂、腊和纸灰冒之
完了，币给早了，只给了一个
感觉像活字印刷术
啊？
辛苦了！
字平如砥
？前面的你站住，这个姐这是顶了一整片天。说人家顶半边天的，另外半边谁顶？你？
有点像活字印刷术
好美啊
卧槽
保护腰和膝盖吧！！
这才是半边天 ！
卧槽 这力量感
小狗狗！
回来感叹一下，真的好厉害！
字好好看
加水印吧，姐
橡皮章也是这么刻的
我的天！
让我想起了活板诶 ！
《跳进染缸》
确实要反过来，不然印出来就是反的
我下意识的吹了一下
[ohh]
大地母神的感觉！
哇
跳进染缸
给你两个圆圆的东西   ！
有团队的呀 宝贝
你这背景太假了。
恭喜宝藏发现了你
谁说要识字才能排版？你照着原版一个一个比对啊
版印书籍，唐人尚未盛及之，自冯瀛王始印五经，以后典籍，皆为版本
谁说要识字才能排版？你照着原版一个一个比对啊
古代排版比这个密多了
如果有纸的话，为什么不直接用毛笔在纸上面写呢？
是任素汐唱的
殴泥匠
太厉害了
不仅写反字，而且字也很好呀！厉害！
食之
好厉害
毕昇
Good!
“有两把刷子”
酸奶碗
这么细致的教程，不会又被韩某国偷吧？
成了！！！
太厉害了
玉米熟了
哇塞，姐姐真的厉害
旁边村霸看了也点头
好漂亮
哇塞，能文能武厉害厉害！！！
污染池塘
后面不是玉米吧？
麸炒
这烤完不得黢黑
个都可以做麻将了
茯苓
这可是老祖宗的四大发明之一，文明之光
盘泥
脚字印刷
好有力量，好纯朴的姐姐
傻子都不欠你
13:22
勤劳朴实的中国劳动女性
上次研学刚刚做的这个
还好这是B站不是慢脚
小米可以增加粘性
专业团队，新李子柒
劳动妇女光芒万丈！
这院子，已经周围的林子太棒了
四大发明，印刷术
好怕把字铲没了
有没有人馋了
牛逼 才疏学浅 实在想不出来别的词了
原来这么硬啊
这手一看就是常干粗活
确实厉害
绿豆糕
活字发明出来到开始大量使用隔两三百年
那1000+的人别躲了。
刷墨听老师讲过，考试的时候都是他们刷，一刷就是一个通宵
高端的食材往往只需要简单的烹饪
豆腐乳doge
123跳！跳进染↓缸↑
甚至不用砂纸，全自然物品
为什么不用压杆？
6
好吃好吃
哇哇哇好厉害
前面累惨的，没有古人的勤劳智慧 怎么有现代的方便快捷？
哇
油墨掉了，形状还在
上链接！泰漂亮了
腰马合一
龙泉印章？
增广贤文？
太厉害了
啪的一下就关注了
这下力气的视频我要投币
此刻已成艺术
woc反字牛的
蠹
指甲上紫的弧度像做了美甲长出来了一些又卸掉了
开锅就能吃了吧
一点不输男儿，这天下要凤在上啦！
能文能武
好技艺。
这不对吧，火字印刷是先刻字，再用墨
好牛
不知道为什么突然就泪目了。
古法绿豆糕
雌鹰一般的女人
好有力量！
小米有粘性，可以上一层膜
好吃的噢
好有力量，她在发光耶
文明和艺术在此时完美呈现
厉害
漂亮
80，80，80，
可以吃了？
卧操这人有四合院卧！
