《天才少年和逆天母亲之间的故事》
"家人们,点点举报"
不是到2022年才有第一次可控核聚变实验吗？
所以以后也别吹嘘美国教育了好嘛，这也是不可多得的天才，在大洋彼岸一样能酿成恐怖的悲剧
JUST DO IT
警察局真不怕被一锅烩了啊
抽象
？？？
真为人民谋辐
少年谢尔顿也有这种剧情，估计就是参考这个
啊？搓出来个什么？？？？
其他up讲过吧
恐怖如斯
熊父母
太酷了
警察：这种话我一天听十遍
牛啊
我的发
JUST DO IT
有正确引导
没有学校收他吗 自己不考个学校吗
没有正确的引导
为什么不去他家用盖格计数器测一下？FBI  OPEN THE DOOR!
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
污染啥地球？这些放射性元素本来就是地球的一部分，总有人把生物代表整个星球来看待
学闪老师做的吧
卧槽
@闪老师
以老美现在的状况，这人如果引导得当，可以在老美的军工体里混得很好的
@闪老师
牛啊，手搓核反应堆。。
强
我也要，遭出，核反应堆
还有高手？？？
啊?
Just do it
可惜了一位超级天才
.          ╱╲         ╲       ╲     ╱╲    ╲       ╲        ╲    ╲    ╲       ╲╱╲    ╲      ╲   ╲
666
？？？
总有刁民想害朕
天才！
天才都是NSA重点盯防的人
FBI摸鱼摸了3个月
啊？
？
骇人鲸
1000微西弗还是2000微西弗
这还不简单，去喝一口恒河水
科学狂人
我突然想起来一个美剧少年谢尔顿。
小谢尔顿
歼歼弹弹
可惜了
十四岁。。。我刚摆脱捏泥巴的快乐
可能真的有人要害他
？？？？？？
这是个人才  可惜了
瑞克
msu 核物理全美第一
啊？
可刑又可铐，可狱不可囚。加铀！美好生活就在阎前！
他长得很像瑞克
可刑又可铐，可狱不可囚。加铀！美好生活就在阎前！
可刑又可铐，可狱不可囚。加铀！美好生活就在阎前！
可刑又可铐，可狱不可囚。加铀！美好生活就在阎前！
《美式意外*doge*》
加铀
逆天
已经不想活了吧
《改变世界》
才1000倍 广岛上万倍了
赛博修仙
出了这事居然都不全屋搜查...
什么石神千空...
sheldon
被自尽
？？？
最好说清楚实现了几秒的可控核聚变，2024年8月，目前最长时间记录也就1056秒而已
可控核聚变，他也配？
6
核反应不是得高温高压才能激活么，平民哪儿来的这条件
他居然可以拒绝？自由美利坚啊
物理化学都要懂，才能玩这个
核聚变早就造出来了，但是输出的能量还没输入的能量大，还没达到实际应用价值
？
WC
天才和疯子只一线之隔
？
？
夺少岁？
啊？
？
《狂人日记》
666
逆天
不是，三个月他们都不知道拿盖格计数器扫一下周围吗
化学疯子
up主这里要做做功课了，“可控”两个字可不能乱说
Impassible
impassebil
小谢尔顿。。。。
那是怎么被发现的呢
啊
估计不能一直运行，就和现在的实验机一样，不过14岁造出来能稳定运行一段时间也很厉害了
一家子都有了
稀有地图
生在辐中不知辐
天才和疯子只有一步之差
？
______          ______                       ﹨       ＼  ／        ／                          ﹨
啊！！？？
被迫害妄想症
迪达拉
天才的陨落~体制问题+反思
丸辣
广告:我才是主角
《无声核弹》
另一个人生...只能说大卫真的好可怜
666
大卫：爷要变炒鸡硬熊
富二代
just do it
《 小   小 》
成为最年轻的“核聚变”实现者，说的好像“核聚变”已经成了不值钱的技术了。
Just to do
什么青年期托尼史塔克
这就是课本不乱教硬核知识的原因
英属哥伦比亚大学
托尼斯塔克
这不是天不天才了，比他聪明的人应该不少，问题没这么多人有这钱家里人还提供支持
？？？
复活赛打赢了而且家庭正常
簡易核聚變而已，輸入能量遠遠大於產出，不具備商用價值
可控核聚变？？？
上面的氯仿是三氯甲烷
不禁要问系列
头孢就酒？
可惜啊 可惜
天才
邻居也是典中典影视剧多管闲事的那种
喔，这就是化学天才，中毒
国外太容易药物成瘾了
？
？
小谢尔顿哈哈哈哈
这里说的聚变是fusor，输入远大于输出的，fusor网上有制作教程的，不缺电的可以自己造一个~~
化学还有物理不分家的，这两个学科交叉很多，只要是物质就和物理和化学有关
这不谢耳朵么
核聚变是可以做到的，但是目前做不到的是可控核聚变，无法做到能量产出大于消耗
视频同款 立即购买
别人是莫名其妙辐射病，他可是抑郁了啊！（艹）
身边的人要害他，那确实如此…
不是，去他家了不拿盖革计数器刷刷？
伟大，无需多言，这是真的天才
这么短
判刑吧
so？有病了就能害别人暴露在危险中？
故意的
说可惜的等你邻居手搓核反应堆就不要害怕
母亲：？
母亲真可怜
丝毫不在乎他人生死的自私自利的人还能叫做天才？
说合理的建议以后重组家庭的孩子都手搓下辐射物质玩玩
有前摇の起手
市民：瘟疫之源
讲的不错，好有趣
局长：阿弥诺斯
前面的，那不是天子，是你刚刚才疯掉了，
孩子很爱吃dogs
拿奖的话能接触到实验室了吧
全城人：6
核聚变沒成功的吧。。
谢尔顿
？
流弊·
丸辣
吗呀牛逼
放心去做
神天才
？
谢耳朵
？？？？
纸张
90年代锂电池是高级货
剪减担耽
流汗了
富二代
这我就不困了。
天才中的天才卧槽，小舍尔顿都不如他
手搓不知道有辐射吗
战力报表了
好恐怖。。
他都不用赚钱的吗？羡慕
学校好多放射性物质都只是贴的照片
Just do it！！！
没有好好读书    可惜了
可惜了   读书出来没准可以改变世界
完成了谢耳朵小时候的梦想
没实现的是可大规模商用的可控核聚变
偷换概念！！！这个和反应堆差远了
牛逼
核弹小镇
这个年龄我们国内的小孩在干嘛ರ_ರ
impossible is nothing
啊？
just do it！
只能将给不懂基本核物理知识的人听
本来是个天才，可惜了
吓我一跳
知道就不会死吗？
不做防护怎么活下来的
6
邻居？你还来
不是一家人不进一家门
布什戈门
看哇，要常备盖革计数器！
布什戈门
还有高手？
丸辣
布什戈门
？
为人民辐物！
啊？
《简简单单》
如果早些年就是诺贝尔第二了
啊？等会我为啥听不懂
yyyyyyyy
简简单单
托尼斯塔克？
bgm和selene的一样，卧槽
说到底是他母亲的错乱扔垃圾按
他造化不出来的，没有必要的循环冷却装置，随着反应进行越来越热
不是哥们？
??????
????
害人不浅
什么，吓死我了，这个比我们12岁上大学的那个神童牛比多了
前些年在意林还是哪个地方看到过，当时夸赞他是全世界第几个弄出核反应堆的人
天呐
可控核聚变？
镭是化学，居里夫人
牛
头孢和酒一起喝的话，会产生毒素
有其母必有其子
？？是我云了吗
影之实力者！
检查完了八成被当实验材料了
可控核聚变哈哈哈哈哈牛逼牛逼
他们当时小孩子的玩具也能搞核。很离谱的镭洗脸、
哥们他不知道自己在搞什么66666
天才但是简陋的防护，看来天才有专精啊
天才在左疯子在右
和当年的历史背景有关系
丸辣
核反应堆，堆？？？
一个能做核反应堆的人，不会不懂里面的副作用，他还是做了，那这件事的后果他就该承担！
和伤仲永有相似之处
這鄰居…
天才
关键是原料怎么搞来的
啊？
还好
老的夜光手表，确实有辐射
哈哈。 收藏癖
童子军？
金凯瑞
《托尼史塔克》
啊？？？？？
威尔逊 饥荒(
哈哈哈哈哈哈哈
天才
丸辣
才四万？太少了吧
盖格一响，丧钟就响
邻居你都不认识
啊？
远大志向
just do it
教练：我也想学！
哈哈哈哈哈哈哈哈
FBI在干啥。。。
可控核聚变？他是三体人吗？
6
好家伙，还有一年我才出生
快速睡眠法
这种母亲如何养出天才儿子的？
开门，FBI
FBI在干啥，没查大卫的日常活动范围吗
还是有钱
我嘞个镭！
童子军发的章
这人啊，我看过他的故事
adidas 没有不可能
丸辣！
裂变我都信，你告诉我聚变
万一真有入室抢劫，这些就是好邻居了
第二个切尔诺贝利
这么聪明没人用他？
天才
带辐射版就没事了
6
我感觉他很闲
生在辐中不知辐
领居和警察都算上倒大霉了
头孢配酒，天下我有
Impossible is nothing
？？？？？？？？？？？？？？？？？？？？？？
放在中国，有游戏室的小孩会干这个？
检测员：下辈子有了
啊？
??可控啥？？
钍在大理石里有分布
啊？
逆天
少年谢尔逊
又是烟雾报警器
不是哥们
这些好像都在暗示我是个白痴
no thing is impossible
天才和疯子仅有一线之隔
话说为什么不去他家探测一下
这谁挺得住啊
第一个愿望比第二个更难
简简单单的核反应堆还是得用‘钍办法’和“铀道理”
是天才还是恶魔？
天才陨落
地球：别太把自己到底当回事孩子……
天才遇上人才
《天才散修打造极品武器》
just do it
如果去研究肯定是一大主力
？？？
不考虑事情后果是这样的
可控核聚变？？？？？
可控？核聚变？
还有高手？
Sheldon ？
可控核聚变？你搞笑吧
结果造出来个更狠的
有钱啊还是
这就是生物的进化（Doge）
啊？
他真的能
可控核聚变？？作者是未来人！
？
所以，有更多的后人捡起前人的遗志，向着手搓原子弹的目标不断前进...[doge]
谢耳朵
大卫，一个传奇的名字·
他为什么没有进入正规的实验室
啊
被辐射后老了之后不确定多痛苦，酗酒磕药趋势反而好受
在天才的人，基础积累要吧
我记得美国佬之前出的玩具里面是有核原料
Just do it!
我感觉这是让我们学会的节奏
666
牛顿转世？
我靠
哈哈哈哈哈，可控核聚变，是那个几十个国家合理研究，到现在都没有实现的可控核聚变吗？？？
锂电池才一美元一个，好点的两美元不到
我去
孝死我了
？
诺贝尔
太刑了
有专业知识，可惜没得好设备防核
...........
可惜了，如果没出事绝对能成为个不得了的科学家
1000倍背景辐射还好
+
吓人
盖茨
前面说“考”个研究生的，真的把我逗乐了
人才
邻居的行为说明这个社区的治安并不好
他是天才没错，但是他对自己与其他人不负责任
Just do it！
这是真的天才
都是必样的
天才在左疯子在右
这太有点东西了，就是杀伤力让人受不了
？
开始叠buff
？
《昶戬》
《枭枭》
《视频同款立即购买》
这是焰色反应↓
我工作涉及物理实验我都格外小心，毕竟都是浓硫酸啥的，实验室还有过着火先例，后来还是换了工作
上个世纪，确实很可能先前不知道
强者从不抱怨环境
感觉家长根本不懂孩子搞了什么东西，后面调查才明白这个东西危害性很大，超乎想象的大
邻居不认识自己隔壁的小孩？还是因为他穿了防护服？
还挺好心（不是
？
在蓝星人看到过
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
缺少一个好老师
认真的？
电影都不敢这么拍
身在辐中不知辐
好小众的文字
Just do it
《1000+人正在观看》
这不去印度打点恒河水？
中子源就是原子弹的扳机
上链接
可惜中国没有也不可能有这样的天才，因为他们在内卷。。。。。。。。
What？
人家那是自由社会，好多人都在热衷说人家好呢
逆天
核能是无理学
@闪老师
裂变吧
《危险》
现在国内还有很多父母认为孩子不用管教，会自己学好呢，只是给自己不用花时间管孩子子找了个借口，这种人都不配为人父母
如果有一个好老师教导他的话，他现在是个万人敬仰的博士了吧
沙漠：我谢谢你啊
just do it
自由的西方买个辐射物品还不简单，闹麻了
钢铁侠是吧。
nb
当时他提取的核原料是从一个家用扫地机器人身上，因为美国在那个年代的一个公民用公司里面一种家用机器人的电池原料用了和原料的一部分，
这对我们来说，绝对是个好消息，因为美国损失了一个天才
弹幕请分清，可控核聚变和核聚变是两个概念，这里up肯定是理解错了
不是？哥们？想光宗耀祖是吧
6
真正意上的超越所有人的天才。
不去高校深造，反而危害社会
丸辣
？？？
高手啊，可惜了，在中国就好了
这故事，死因竟不是癌症，可以了
中国课业太重了，美国学校3点放学，业余时间可以自由发展
？
2024 年 8 月 18 日 13:28:55
？
绝命毒师啊
我不想知道...不想知道啊
不得不说，挺6的
手搓核弹
啊？
6
实验室制法无法实现商业价值！
实验室做法！
高手中的高手啊
？？？？？
不给拆迁费吗
螺旋丸
居然能活这么久
现在科学可以实现可控核聚变，但只能维持很小一段时间
家里挺有钱的吧，各种买买买
核反应是物理，但手搓反应堆的天分属于化学实验的动手能力，而且视频也交代了喜欢在家做化学实验
正常，这是外国，要是从中国国内的黑市上面能淘铀，那估计国内的一部分，手搓和反应堆那没问题
大脑过于活跃就这样
现在科学可以实现可控核聚变，但只能维持很小一段时间
‘’阿迪达斯没有不可能‘’
小谢尔顿
勇敢去做
材料是化学
没有不可能
天才
熊的不止孩子 还有他妈呀
？
不是啊？？？？？？
逆天了
从家里出来还要报警？
核聚变不是还没实现么？应该是核裂变吧
逆天沐琴
啊/
？？？？？？？？？可控核聚变？？？？？？？？？？
多少？？？？？？
真---简单
可控核聚变？你要不听听你在说什么
是谢大耳朵吗~？
硬核狠人
逆天的不止是他母亲，他也够逆天的。
这样就说通了
他也是个“人才”
出生母亲
……
丸辣
《小小的心愿》
警察同事：谢谢你
最熊
不是哥们？
逆天母亲
唉
被害妄想症
可控核聚变？！看来这把真的高端局了……
还有高手？
假如有人搓出第2个……
nbcs
暗区突围
地球：我吃柠檬
《邻里》
《意外》
锂电池啊
人话：类似喝酒吃头孢
《拿起》
把美国改成日本
rr
有啥打击的，你可以折腾自己，折腾别人，还抑郁
章鱼博士直呼内行
去印度舀恒河水（
？
可以在学校制造了
勇敢去做
不是谢尔顿么
外星人吧
可控核聚变是吧
富的要死
还不是死于辐射！难怪他不怕，也不去检查。原来早就预见到了，还真是个天才！
一切皆有可能
@谢尔顿
66
6
要是有个好导师，就造福人类了
可控核聚变？？？？？？？
天才少年
给我链接，我离诺贝尔就差这一本书了
这个人好像是《怪奇物语》里面的无牙小胖
垃圾最后不都是直接进垃圾堆的吗？然后转运到其他国家
just do it
不是邻居，难道不认识邻居家的孩子
正正那边看过
中子能破坏DNA序列，命不久矣
太自由了
数学的尽头是nm哲学
我的发
6666666666666666666666666666666666666666666666666666
6
先做人，再学识啊
并不是天才
造的也没有原创性
我的天！
快乐教育，除了快乐，其他都是多余。
橘生淮南则为橘，生于淮北则为枳
知道是一回事，做到又是另一回事
呦西，干得漂亮
我们最多手搓飞机， 他竟然搓反应堆
这样的人才，欧美需要更多一些。
启动！
暗区突围！
参军用ptsd对冲
？？？？
逆天操作
啊？！
这里UP说错了，大家可以在简介上看到
沙漠什么都能挖到
实现了什么？你要不要听一听你在说些什么？
最简单的食材，往往只需要最简单的烹饪方式
他本可以成为优秀的化学家
just do it
齁死
人类都没实现可控核聚变
我也，有点，想
普通人也知道酗酒的后果
天才啊
just do it
疯子和天才共存
一个大卫倒下了，更多大卫站起来了
他只是觉得好玩知道吗
家境殷实啊
这样的天才不留着
物化生不分家，很多领域都有交叉
美国领先是有原因的
牛啊
他好懂啊
试验很好玩的
科学狂人
哈哈哈哈哈
啊啊啊啊啊啊？
药丸
牛啊牛啊
天才与疯子
小谢尔顿
好像希捷的炒豆子硬盘（
只能说无知带来的巨大伤害
居民们:飞一般的感觉
核聚变早就实现了，只是现在的技术造出来的聚变反应堆能量输入和输出不成正比
不少的知识核乐趣
大概率是有一直威脅讓青少年腦子往壞的方面想，小孩都這樣的天生良善不可能
绝命毒师
丸辣
他那些辐射源还没有变成反应堆理论上应该没什么危害吧，中子源才是大头
啊？
呵呵，原来是富家子弟，撤了
好小众的标题哈哈哈哈哈
真绝命毒师
不是？这就可控核聚变了？
可控核聚变已经造出来了？
不愿意面对
烟雾报警器这个在阿基米吴那学过
笑点：视频同款，立即购买
划重点“古董店的手表”
幸好没造出来
总要为自己的行为买单
啊？
对于天才，老师只会是妨碍他们进化的障碍物，天才是不需要老师的，他们只需要知识和实践。
邻居也是逆天
666
如果给他一个专业的实验场所，提供专业的器材和防护，他手搓一个核弹都不成问题
18岁有人刚刚失业有人名利双收
可惜了
这个事处理真差
可惜了，这不报警
.
完播率我来贡献
我去  可控核聚变都能几乎无限资源了  搞笑死我
总结 你得有钱
搞笑的母亲
牛人阿
刘招华同款
身在辐中不知辐
天才少年阿   政府会释放他的
托尼·斯塔克
德布劳内
牛逼，为了吹外国书还发明新词，请问你这个“防自学机制”是根据什么维度进行认定的啊？
人家 甚至 不需要上班糊口
美国吹的可以
大哥知道聚变材料多贵吗？
周星驰没有骗我
666
《拿起》
搓的啥？
都对化学感兴趣了研究一下核物理很正常吧（不是）
要成神啦？
这牛逼吹的，还实现了可控核聚变，知道自己在说什么吗
天才可能都有偏执的一面吧，核反应堆就在那里如何忍住
沙漠：好好好，什么都拉我这里埋
要是有个好的老师带，肯定是个天才，可惜了
聂凯
辽宁
JUST DO IT——NICK
巴西
挪威
肖军
俄罗斯
原子能是物理学
盖格一响，爹妈白养
谢耳朵？
+
人类之光
诗人？
大聪明全家
?
天才
这要真手搓可控核聚变那是真逆天
招安得了，不知道怎么想的
?
被害妄想症？
果真是天地养人
穷家天才的缺陷之一沉迷忘了后果
那离事件也很远了
绝命毒师青春版
464611
sheldon的故事来源是这里，这么小就执行能力这么强悍
还有高手？
天呀，没人引导的天才
？ ？ ？ ？ ？
逆天
物理化学
？
呦，又回来了
啥？
可控？
她不明白辐射的后果吧
讳疾忌医
绷不住了哈哈哈哈
《整个调查结束》
2000+
6
这好像哪个国家的行为
化学难道不是微观物理吗
谢尔顿
Just do it.
钢铁侠
造了个盒子反应堆
这真有真事啊，我以为是个梗
还有高手？？？
啊？
祖 安 医 生
中国的孩子们在忙些啥
他居然买的到原料？
他比你们更懂发生了什么
才4万人
各种美剧既视感
啊？？？
？
6
绝对的天才
可控核聚变是实现了的，只是没办法商用
逆天，可控？
辐射导致的
18岁i？
真化学人才
为人民辐物
实验表明，用废料只能生产更多的废料
为人民辐物
666这个入是桂
Just do it
《环境保护》
？
卢驭龙？
闪老师
铪峎
？
天才怎么会不知道做防护
无情铁手
小小的心愿？
母亲挺叛逆的
谢尔比里面有这个画面
这是什么天才
？
我17岁还在学手搓螺旋丸
蓝星人讲过
头孢就酒，越喝越有
别人的17手搓核反应，我的17吃喝拉撒睡
丸辣！
脂溶性溶剂
科学的基础是严谨
《小谢尔顿》
不是
真的太可惜了，但凡受到良好的教育……
你确定？
头孢就酒
？
烟雾报警器
《视频同款立即购买》
别人的成才手搓核弹 我们的成才背出师表
谢尔顿
这是邻居应得的回报
谢耳朵照进现实
«简简单单»
不是化学天才咩。。 不知道如何处理就不对了吧
啊？
总感觉后边的这些都是包装出来的。
由此可见大量拆迁款的作用性
听听你自己说的！造出了可控核聚变！举报！
听听你自己说的！造出了可控核聚变！举报！
吃头孢喝酒，神仙难救
为何吹成天才？希望作者家附近天天有这种天才作实验
纯天才
中国的数学天才都是灌进去的 他们能解决已知的很多问题 而未知的他们发现不了 看新闻就知道了 别人发现了啥 过段时间我们就像雨后春笋般拓展发现了啥
人要有梦想
《简简单单》
孩子年少有为。
可控核聚变？？？？？？
国外是真的支持孩子的天赋
美国联邦调查局: WC
妈妈：我的好大儿
手搓原子弹，牛逼
盖格一响，爹妈白养
记住，死了对我们有益，活着对我们有害
3000+
看来米也不是自由的国度，这样的天才也没有发现，却让他误入歧途
新生代
比尔盖茨也曾收集过，花了几千万美元，不过有些物质存在的时间很短很短，按微秒来记的
这种天才居然没有科研机构收吗
好好考个研究生，那里会有你想要的东西的
我突然知道那不是我的邻居是怎么回事儿
这种天才还是需要父母社会好好引导吧，不然危害太大了
狠人啊
天才啊
高手在民间
《简简单单》
这就不奇怪了
‘【
元素周期表可不是好收集的
nb
4000家邻居
局长谢谢你
这种聚变反应又不难，B站上都有教程，又不用保持可控，聚变没你们想的那么难
美国以前有款科学儿童玩具里有就放射性物质
假的，全是网上段子
？
IMPOSSIBLE　IS　NOTHING
可控核聚变是现在科学界无法突破的最大难题
不用怕，头晕是正常的
可憐人
前面那个，你知不知道可控核聚变意味什么？还无法商用？
中子灭杀
上小黄车
666天才儿子逆天木琴
元素周期表比尔盖茨有
just do it
Just do it
耐辐王
原材料提炼出来的
6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666
可控核聚变？？？认真的？
6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666
666
666
666
没有使用地毯式搜查是警察的疏忽
才发现视频同款立即购买
为什么不上学去研究所工作
逆天？可控核聚变？
666
看过，里面反派自己搓了一个小型原子弹要炸美国国贸
啊？
下次要挫核弹了都
？？
你刚刚说什么
什么都知道的儿子和什么都不知道的母亲
天才
锈湖的音乐
近代物理和反应居然被称为化学
身在在辐中不知辐
化学实验禁书
MVP
秀儿 做自己
你这个错的离谱了吧，可控什么概念？
Just do it
这邻居也是够抽象的
其实我也有这个梦想
我嘞个mc格雷啊
警方不直接找专人收走？
我是化学家，这就是砷金
JUST DO IT
邻居不认识小孩啊？？
逆天
天才
《碱碱氮氮》
在中国就不要想了 这种环境出不了
人才啊
????
卡莫纳人无处不在
小诺贝尔
可控核聚变早已可实现，只是无法商用
?Y
中国需要你
行动力永远是第一要素
我们17岁之间的区别和人与狗的区别都大
我12岁还在手搓泥巴……
啊
不一定
大卫一个多次传奇的名字
逆天
合理
《小小》
核聚变目前都无法控制啊，核裂变就是原子弹工作原理吧
《似乎》
警官：不是哥们？
偏执了吧
唉
稀有地图
继祖父不是化学相关的吗，救一下啊啊啊，教一教他嘛
这就解释的通了，没有人引导自己捣鼓就没多在意化学安全的那一部分内容，最终酿成大祸
为全城人造辐
所以是谁自杀
妈耶真是天才啊，可惜了
可控核聚变？？？
……我理解了
无知的危害
一个化学天才死于化学反应，好讽刺，还是被意外？
疯狂行为，没有接受正确引导到时候成了科学家也不一定造福人民
6啊，可控核聚变？
托尼！
？？？
10分06秒
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
《不忘初心》
？啥？你说啥？
然后变异超级英雄？
应该是呼吸抑制了
啥？1万美元的设备防护等级够吗？
《碱碱氮氮》
这位母亲才牛批
