下一位
卧槽 我生日
火子哥？！
能活一年算成功
好！！！！
唢呐一响，黄金万两
薄纱，一直薄纱，只要没处就是薄纱
抬走，下一位
一看2d就是大火鸟做的
山东潮吧
好酷炫
九月十三我等你！
打赢复活赛了
你给我干哪儿来了 这这是火子哥吗
我分不清，我分不清
兄弟们，也是来赤石了
他真好看！
李火旺？
害怕
你还知道回来？
红中老大耍的好啊
你是？
说一下：归龙潮由早期忍3策划制作
火子哥别来无恙
长命锁的心啊！！！
求解码，克鲁苏之眼里面是谁
一闪而过的覆面，谁！
vocal
绣球？鬼新娘？
cg做的这么好看游戏一定很好玩吧
大兄弟不会bgm都是你一手包办的吧
大傩结局的李火旺吗
我们需要更多女角色（跪求
长命锁放技能好流畅，看得好舒服
新角色怎么瞳孔突然全黑了？
麻烦算一下我和长命锁的八字
这里bgm接的好哇
游神氛围
归龙潮，未来可期！
有人说说战斗手感如何吗
pv每段暂停都可以找点细节品
决战皮衣之巅
动画组加分，配乐组也加分
m属性的爆发啊
塞纳河畔的春水
（汪汪汪
小东西你也为姐痴狂吧
公测pv！期待很久了
蜃!!!
黑发红瞳大姐姐，suki
不聊游戏实机怎么样，这个pv做得是真好
终于删打榜了，安心等公测
不歪池包要冲一波了
挺好的，已经删打榜了
良心制作组！竟然可以不歪池
woc这真的是我可以看的吗
看pv这游戏风格好特别，有点感兴趣了
太rock了这兄弟俩
这段战斗做得好燃，感觉已经躁动了
我去这大乱斗场景，好牛逼
这打斗做得666
向美工献出膝盖
有没有剧情课代表
bgm豪庭
最爱皮裤的一集
用心做pv，用脚做游戏（？
唇这妆面好耐看
许愿全角色
长命锁好帅的招式
拂云的狮子头！！！
蜃姐姐真的是优雅又性感啊
等不了一点啊，怎么不是8.13公测
烛的新建模确实还不错昂
好看好看
很般配的两个人
这打斗帅啊
赛博抓鬼？
好一个天地共生
有长命锁在包玩的
看板2选1吧这俩
卡给奔新诺几次
最帅的两个来了
感觉你们也很适配川渝rap
这是？这样搞我可一下子就不困了
前方高能预警！
局内打斗可以这么丝滑吗，龙
主动就有故事
不歪池，好好好，9.13你等着
火遁.豪火球术
这结印帅啊
克鲁苏之眼点睛之笔
帅啊哥
黑白狮子
眼睛睁大了
好姐姐求您疼我
蜃的pv呢，速速端上来
高能
唉这种角色多点不就好了
不敢想象手感多好
还挺潮
触发连招
哥你不能是反派吧？
烛这次真的改的帅到我了
两分钟我要她的全部信息
白毛可爱
快速等待！！！
wocccccccc
后面去，等着被踩也是要排队的
来点国风乐器共奏
绿光是你的怨气吗，弹琴小哥？
她骂我一句，就算踩我一脚我也愿意
很丝滑嘛这小连招
皮衣皮衣皮衣！！！
看一遍PV就老实了，蜃我要永远追随你
屑喵你是懂我们的
泪目，听听劝不骂
这两个人对我眼睛很好
大狮子！两只！
这蜃这真是再看一眼就爆炸
算命二人组
对味对味
这是兄弟俩吗？感觉不太像
脸好看
傩面具，太强了
芜湖~
长命锁好身段啊
搞咩啊
呀耶9.13公测和生日在同一天
打榜没了，求饭圈滚
是的，眼镜妹必须是我们看板娘
我嘞个跳大神
就这个唢呐爽！
救命，这绿光真的好像打工人的怨气
愿实机如你所视
屑喵终于等到你
现在还有人在看吗
有点游神的味道
这俩都是红粉瞳诶
和道诡异仙联动啊？
已经三刷了，这PV太好看了
跪求速度公测
兄弟齐心，其利断金
大白狮，萌到心里了
9.13我要像鬼一样缠着你
惊现晓组织bushi
似曾相识的半遮面
pv太短根本不够看啊屑喵
这俩看板娘or看板郎？
高能预警
许愿超级大反派
哟，这不咱们火旺哥吗
面具之下是更美的面具
有点赛博地府内味了
国潮动作rpg还得是你
为蜃痴，为蜃狂，为蜃酷酷撞大墙
球球你给我们蜃再建精致一点，好吗，好的
那么帅，这是能抽的吗
强烈要求和纸嫁衣联动
鳖笑了，我害怕
看板娘只认长命锁
求求了快上线吧
还有新角色爆料吗
暑假快结束了
锁!想你了大妹子
赛博朋克风实在太显眼
许愿每一发入魂
火子哥首尾呼应！
豪庭啊，和pv结合的好好
轿子上谁啊？
下个版本十连三金就是我的了
潮的我风湿要犯了
不歪池子上了，我想非都难了
听劝就是好事
月卡党不急着公测，希望你能多来几个十连
只能说建模再努努力
我的大刀已经饥渴难耐了
去饭圈化大大滴支持
下次不公测不许发视频
不歪卡池对非洲人很友好
怎么那么晚，还要等那么久
我要开学了啊啊啊啊啊啊
雪豹？？ 明抄潮是吧哈哈哈
他真好看
会和王朝二度合作吗
9.13我生日，那我要试试了
不错不错，值得期待
9.13我生日，那我要试试了
一二三四测的，终于要公测了
真的燃烧起来了
川妹子就是辣
前方高能，非战斗人员请离开战场
峰回路转，要开打了！
要燃起来了
角色是好看，给人一种很新潮的感觉
挺帅的，打架也帅
这个角色应该是反派吧，这么多面具都在他手里
剧情设定有点意思
这个火子哥真的是个反派啊
吃我闪电五连鞭
插眼
我分不清，我真的分不清啊！！！！！！
你是我的眼~但这个眼有点多了吧
你俩别争了，我给你们买俩球，出现在我仓库里吧
谁家红事那么喜庆
感觉像个大反派
蜃姐姐好好看
可以给小狮子出周边
中浦区没这个地方吧
我也来凑热闹
教科书式的抬腿 prprpr
好...好大，我是说这上面的吊灯
我感觉抽卡规划要改了
大雷必抽
若隐若现的美才是王道
你是S吧
穿皮裤我爱了
好撩
她在看我！！！
就这，前面的大姐姐呢，她怎么不出来
这战斗的好丝滑
打斗好帅啊，游戏里面打斗的特效也给我拉拉满
游戏荒了，被pv吸引了
能不能明天就上线，等到9月13真的好久
我不装了，摊牌了，你们我全都要
9月13号 就是我得到长命锁的日子
祝我首日出看板娘
开始期待公测
改成不歪池，才能杀出二游的决赛圈
先期待一下子
妈呀这个姐姐我是真的喜欢！
女角色都好漂亮，我都要！
所以PV的角色公测都会有吗
战斗挺帅
燃起来了让我上去打两拳
这建模能百分百实装吗！期待
这段反复观看三遍，姐姐太美了
人在不同阶段总会反复爱上长命锁
好活当赏
很好！以后的PV都保持这质量
归龙潮你好好做肯定大火
国潮游戏独一份
bgm绝赞！
其他角色会出PV吗好期待啊
实机会有吗
透露的角色太少了吧完全不够看
人设都很有新意啊完全不会脸盲
没有实机，先观望
希望看板娘是我们长命锁
看板娘定的谁啊
兄弟们开头见
什么时候放实机
希望限定角色爆率能搞一点
好好改，你会爆
这游戏氪吗
潮，你的好日子在后头
让我玩！快让我玩！
希望对手机配置要求低点，我是老年机
会赢吗会赢吗
改了就行，对自己有信心
别搞大小保底
这边建议：公测送长命锁
这BGM我鸡皮疙瘩都起来了
得不掉就毁到
期待期待，希望自由度高一些！
太喜欢国潮+都市怪谈了！冲冲冲
美术真的很不错，希望剧情也很顶
我既要得到你的人，也要得到你的心
冲这立绘和建模我一定玩玩看
终于定档了不容易啊
妈妈，我得到长命锁的心了
真希望明天就是9月13
双端互通好耶~
什么都好就是太短了
人麻了
左下角是谁老婆
烛你再靠近就要爱上了
烛和长命锁都有眼角痣欸
以为你是舞狮的，结果是掌控雷电的
烛这个脸建模建的真的帅
期待期待
印象中没玩过这段剧情，新加的？
好看但加油吧
画风好怪我好爱
有点诡异
中式怪谈？
这游戏的美工确实一绝
公测好好整。加油
我玩
美术力爆炸！给动画加鸡腿
音乐真有点东西
人设很新！
娃儿，你着相了
国风音乐适配度百分百
好喜欢这里的唢呐声
嘿嘿，又中他人 一记~~
前排提示：9月13号公测开始
唢呐真是乐器之王
长命锁抽我！
已经迫不及待到9月13号了
你来压轴是吧
Duang~~~
结印，直接召唤迷惘司令
大招：置闰五行，掏心掏肺攻击敌人
小怪：上线就送一百抽
伞原来是用来抽人的
你好瑟啊
我想多看看我的长命锁啊！！！
我直接就是个结印
长命锁小姐姐竟然是近身格斗系的hhh
很能打啊尘嚣
这个长棍是真帅啊
水灵灵的就全杀了
包帅的啊我烛哥
水灵灵的就全杀了
音乐好燃真带感
还挺顺眼的
是用的符箓吗，好帅
道士小哥竟然是用火的
帅哥你谁
哇这个帅
哥你还会舞棍呢
这个角色该不会考自残来打架吧
哦，我心有所属了，姐姐你给我下蛊了吗
这角色我必定抽爆
你给我算一卦，我池子塞满5新
许愿我十发出角色
结印动作快点就更帅了
结印手势真不错
帅啊这个白毛男
来个铜钱剑，你就是身体完整的火子哥
尘嚣手感还可以
9月还要等
漫展见过！
谁的狮子头落这了
你俩画风和这诡异的氛围不一样
给我看这个我就不困了
好喜欢这个痣啊我舔
姐姐请狠狠骂我
赛博朋克下的斗兽场？
好魅惑的眼神我中枪了
来来来，撩我
眼尾痣啊我真受不了了
美工加一百个鸡腿
务必用这双高跟鞋踩我心上
不错不错不错
我命中注定的老婆
姐姐踩我！汪汪汪
美术你真的很懂
手游荒了，你赶紧上线，急急急
对味了，这个眼神
你瞅啥
听的头皮发麻
啊啊啊啊啊好帅！
我入他法眼了！
最右边这个也太像大眼的角色了，简直一模一样
啊啊啊啊啊啊啊啊啊姐姐好飒
雀食，有点像忍4
还有高手？
游神？
还愁没有女角色？？
买量糕手
又是这画风。。。
不如鸣潮
不如鸣潮
芝士雪豹
注意，此为正式战斗中不会出现的画面
尽一切恶得须陀洹，然后布施远离诸苦，受苦众生令得解脱，怖畏众生令得远离。  ——《僧伽吒经》
抬走，下一位
中式风的帅
米氏三件套，包凉
红中老大你怎么在这
耶耶耶
一会儿怎么就加了20个人
593
河南女法官
握握草，是做望道呀
又是一个雪豹
我生日？！！！
我记得我刚划走
这个有点模仿宿傩的领域展开了
火子哥！是你吗！！！
我的天，是火子哥吗
高手！
游戏画面一点不给看？
芝士雪豹
又是舞狮。。。
喵的，我开学了
现在是中元节凌晨，就想进来看看，有没有逝
你怎么还没亖啊
哥我好像等了你两年吧现在我要开学了你开服了？
这头套，，子车哥是你吧！！
还不错
领域展开
好火子哥，玩了！
。。。
雪豹？
1000+的道友
1000+的道友
还有高手
芝士雪豹
啥潮？
我喜欢这个美工……
我去李火旺
这个之前玩过非常好真的
鬼娶亲
诶，坐忘道！
有星穹铁道的味道了，米哈游味道很重
长命锁！
我还以为是不敢说真话的恐惧
这些动作效果，在游戏里你都看不到
之前的测试问题特别多，突然就准备公测了，挺不安
你修改完了？
雪豹是你吗
红中老大.真的是你吗？耍的好
我勒个火子哥啊！
潮男？
爬
这是傩面
我勒个领域展开啊
李火旺？
你确定这段音乐没有抄合金装备
咋没有小光
据我所知应该没啥关系⇧
woc，我生日
好飒哦
好帅哦
这要是做动漫得多好看啊
除了怕没钱，啥也不怕。
这回头可以跟道诡异仙联动了
有耶無耶な儘廻る世界
终于。。。
模糊不清回转的世界
烛——
说不得大军！！！
抓鬼？
舞狮宫！！！
傩戏！！！
诸葛兄吗
火旺是你吗，火旺！！！
咒术回战?
北风！
领域属开
被火子哥吸引进来的
这个图标好像不什·戈门
你是懂封面的
恕我直言，二次元游戏，包括原在内，都是答辩
好你个坐忘道
开机大吉
咒术回战领域展开?
李火旺！！！！
中元节公测吗
下一位
还真有芝士雪豹啊
笑呀，怎么不笑了？是嘴裂的太大了吗？
月计（幻视）
领域展开！！！
风格很不错
仙舟
中式恐怖？
新的潮吧？
潮水啊，我已归来
这个翘腿太帅了！眼泪不自觉从嘴角流出！
合影留念！
人总是会反复爱上烟熏妆御姐
辣妹子辣
好圆！！（羞愤地爬走又从手指缝偷偷看）
锁子杀我！
火子哥，是你吗？火子哥？
这场景做得好啊能实装吗
终于不是第五内测了
弹琴的帅哥多来点
快出，我等着你
很喜欢这种风格，多来点
是的没错锁锁老婆连侧脸都这么惊艳
流光溢彩！
如果这次公测抽不到长命锁我就要闹了！
嘿嘿嘿嘿嘿
不是哥们你李火旺啊
这装扮爱了爱了
胆子小还能玩吗
中式恐怖就是最牛的！
这么多人
长命锁！没有你我可怎么活啊！
中式怪谈！可以有！
莫挨老子
鬼新娘？
真是我火子哥
喜欢带点恐怖元素的游戏
锁子来！锁子来！锁从四面八方来！
惊悚怪谈？
↓其实是幕后黑手
小可爱长得真东西
这是火子哥
许愿抽到这个！
所以第一个卡池出长命锁吗
很喜欢这种风格，多来点
（偷看
国风看起来更帅了
弹琴的帅哥多来点
眯眯眼大BOSS的感觉
武器是这个琴吗
疯批老婆
逼歌挺高的
啊？
足智多谋的军师感觉
好好好好爱看
将离是真的帅
这个帅哥公测能上吗
建模优化听到没
手串好看的
建模比内测好多了
多出女角色你才能活
这不是能做的很帅吗
手指建模很精细嘛
这游戏成败在 玩法。。。好玩就火。。
放映机转过来一个酷炫的杜老爷很合理
坐在高位真的很BOSS
哇哦
