《学新闻学学的》
支持不彻底等于彻底不支持，美国也是哈马斯
讲道理三体人都没这么离谱
疏散令是如何传达的呢？如果没有电话电视如何收到疏散令
不要断章取义——取自《要不要断章取义》
有可能
每日定场诗
一边跑外卖一边听
这位司长的声音给人一种冷静理性和令人信服的印象
确实是折返跑…北到南再到北
还得靠实力，任何嘴炮都是需要实力来支撑。
刘慈欣写的三体实在是太保守了
上阵父子兵
让我配音的话：田文镜！我……
注意旁边人看他的眼神
我现在可算是懂维也纳美术生的含金量了
开玩笑，美国人就不能是哈马斯了？
看不了一点，听着揪心
绝望的呐喊，想起了以前孱弱的我们，哎！
联合国维和部队数量最多的是谁？没有的又是谁，猜猜看
“要断章取义” —— 节选自“不要断章取义”
给所有地方都发了疏散令那还能去哪里？
球状闪电吧
一个月，一个月内的21次袭击
美政中经那剩下三常副秘书长都管什么
当年的联合军与维和部队没关系。
一边包馄饨一边听
他走了我还莫名有点伤心
说明物资不行
80年前的极端名族主义终究回旋镖中了以色列
古希腊掌管项链穿搭的神
熟悉的定场诗
阿盟最近两任代表都挺有水平的
《据说》
《唯一一次》《17起》
说派维和部队的，先了解下安理会一票否决权4
变声期
他急了他急了他急了他急了
我去，诗人握持
蓝盔维和需要冲突双方均同意才行
带了一串红枣
三体直呼内行。
注：今年
un维和部队需要当事双方同意才可进入，以在真的有联合国hms的情况下明显不可能同意
张艺谋：这就是老戏骨
而且没有网络通知
与会的各位是怎么忍住不笑的
《宇宙安全声明》
语气好稳，像AI
这项链好看
说是时局图真形象啊
我不知道，我用公历的
多痛苦啊巴勒斯坦代表
笔杆子斗不过枪杆子，但总是笔杆子来决定谁拿着枪杆子
以色列:这下知道怎么炸了
不光是这样，而且选晚上发，就是看中了人都睡着了，收到也醒不来
说少了，还有南京
点名表扬
太拟人了
三体守信用是一种强者的怜悯，以色列不守信用是一种“背后有人”的底气不足。
如同英美的父子关系一样，美以的父子关系也是如此了
说的还是太客气了，还是喜欢俄罗斯的发言
时    局    图
这不是历史，这叫神话故事
真正有道德的人是不会跟别人说自己有道德的
昂撒人才不会看不下去，只是外交和舆论压力顶不住了
路修反了
那真是太好啦
半步英剧治天下
犹太人:活学活用
应该还有一些其他收入方式吧
我有个问题，蓝盔为什么不能行动啊
UP说了“要断章取义”，截取自“不要断章取义”
现实比小说更离奇
看的我都想“奋斗”一次
废除否决权。那就只能以实际行动实行否决了
不好说，支持不彻底等于彻底不支持全球都是哈马斯
是的
新闻学魅力时刻
谁在乎战犯的哀悼日呢？
俄罗斯;真的吗
人想象不出认知之外的东西，所以是有现实基础的更离谱
新概念哈马斯，现在的，未来的，成年的，未成年的，巴勒斯坦的还有外国的
问题是，以色列不仅才加了奥运，而且奥运期间也没停火。。。
不 言 而 喻 一 目 了 然
才12名吗，巴勒斯坦去世儿童如果有照片留存的话一人一张联合国的桌子都远远放不下
这字原来真这么大啊，一页一句
探索语言之美
南非发言稿不是纸质，是墨水屏
军情六处:正是在下更新的
他甚至说了两遍
客观的，合理的，令人信服的。
《合理和道德的》
小泽：这真可能的吗？
但废除否决权，有如脱缰野马，秩序混乱，弱肉强食
这里是曾经是餐桌，坐的人变多了才变成的办公桌
突然听懂了
有效的证明了含金量
什么专业对口
一边是11个，一边是20000个
《考研调剂通知》
第一反应3人，结果仔细一听3位数，卧槽
小说给读者上帝视角，现实给读者模糊视角
三体澳大利亚都比这个人道
建议下一次物资运输加入RPG来保证运输安全
这是生命宝石吗
开门见史
人越缺啥呀，他越强调啥（）
我是历史学家，这就是唯一真史
我觉得有必要规范疏散令免责的范围，不能说发了就能免责。而是发了也不一定能免责。
阿道夫的道 德三的德
“联合国军”呢？当年不是挺“勇敢”的吗？
越缺什么就越会强调什么
汪汪汪汪汪
维和部队类似于外派志愿者，得当地实控者请求了才能去，主责是维持秩序，不是打仗
新闻学的含金量还在提升
把联合国看成一个公益组织就对了，真正有用的是组织里有实力的头头们
《最道德》
就这样 以能参加奥运 俄罗斯的却不能代表国家参加
以色列：我给你指条冥路
《最有道德》
开门见史
维和部队是去维和的，不是去帮冲突双方打仗的。
蓝盔又不是作战部队
维和部队规定很严格的，不能随意出动
美：我都不敢这样瞎搞
越是没啥才越要反复强调
平均每天差不多有一次
重视教育
纠正一下字幕 moron
愿阿道夫与以色列同在
老艺术家的著作还是有价值的
“大国一致原则”而对巴以问题上大国不一致…
怎么办呀啊呀，太可怜了
你猜“维和部队”为什么叫这个名字? 巴以都没正式停火，你怎么派遣维和部队进驻
维和部队需要安理会授权，兄第，不是你想派就派的，所以为啥说美国阻扰安理会行动就是这个意思
古人的智慧果然没有错
看得出来她真的很喜欢大枣项链
出生呀
古人的智慧。
老人家要是还在，绝不会允许这样的事情持续发生
逃无可逃
这一长串介绍
个人不承认以色列是国家
维和，维持和平，不是创造和平
《道德》
▽
除了以色列其他都是哈马斯
怎么感觉这俩人剧本拿反了……
善！
这项链真别致
这里的were是where 打错了
倒吸一口凉气
纪念？庆祝！庆祝！庆祝！
前面精犹，学校哪有地方放弹药，哈马斯每次作战都是在远离人群的地方
一张嘴就给大伙逗笑了
出牲以色列
还准备了道具嘞
《世界上最有道德的国家》
她真的很喜欢戴这么夸张的项链
。/
极限大逃杀
卡牌大师古尔丹……爱尔蛋
道德:滚少侮辱我
这是什么东西在说话？
停不停火看大选
“要断章取义”——《不要断章取义》
这声音，兼职就是红警的官方配音啊
我靠！我为她导览过展览！
传下去，小Q说学校里都是哈马斯
星海共同体
狗吠
跟深圳学的吧？去年9月6号三更半夜泄洪，下游损失惨重
自定义的道德谁不会啊
说出生话不打草稿
链子是实心儿的吗
《moral》
专业对口了
还好我住四环边上/doge
“冥路”
才十六号就21次袭击了诶
武器大师
仅仅一个月……
联合国有几个师啊？
有点讽刺……
加沙的基建能和北京比?
政 通 人 和
全世界都在逆行！
恬不知耻
难说
重新定义《道德》
艹
肯定啊，有些人上学了也没学到理解能力
兄弟你是真的饿了
怎么二战这些受难者都被提到了却没有中国平民
这发音很标准，普通话甲等二级以上
大刘在描写三体人的时候还是带着人性的，反观······
宋朝“升迁”点了个赞
开门见史
??
以色列∶冥路
非不为，实不能也
抗战打了8年，巴勒斯坦路长且难，坚持下去啊
我还以为说的日语呢
就这样以色列还能去奥运
还好我住二环边上
开门见史
点开就听到这个，笑拉了
英国管人道主义，法国管维和行动，俄国管反恐
我们支持巴勒斯坦，我们都是哈马斯（大笑）
他竟好意思说以色列最有道德
为什么会存在？因为艺术家手软了
这就是见人
timi打王者先
中文语气增强的艺术
最深文化底蕴的输出
盗
道德：发扬阿道夫思想，践行德二主义
准备道具中
怀念约瑟夫·戈培尔部长
联大上组织联合国军不知道可行吗
越没什么就越强调什么
中国不能失去山东，就像巴勒斯坦不能失去耶路撒冷
很遗憾，你答对了
……………
唉……
谁说钱在这个世界上不是万能的？
以暴制暴，最惨的还是两国人民
用的好
哈哈哈哈哈哈
嚯嚯嚯嚯嚯嚯还准备了道具了，嚯嚯嚯嚯嚯嚯
小说都不敢这么写
知道同声翻译不容易，只是听感没那好
中国有句古话:瘦死的骆驼比马大
在二环的我这血压噌一下就上去了……
那你应该紫砂
好！
这位同声很熟悉
到处都有你美国
真的绝了
没有买卖就没有伤害
嘚瑟不了几天了
你们该
话别说早了
必须谴责狠狠滴谴责
难评，乌克兰那边还等“支援”呢
能同声传译本来水平就极高了
不知所云
同声传译有点难啊，建议我们的发言人还是用英语吧，更直接
细节iPhone
说的太对了
哈马斯为什么打以色列，别装了
又来，以色列能代表全体犹太人？
你咋不说以色列有哈马斯呢
俩大国都还没给呢
这不是已经知道了吗
听到了嘛 我的巴勒斯坦老表hhhhhhhh
《这就是他国的道德》
沃要吐了
打法指导：三体人
本身语言语序不同，还要在对方说出口的一瞬间翻译出，这已经是最好的了，除非你能通过几个字预判他后面一整句
我也想知道通过之后会怎样
笑
最有盗得的国家
美国真是一个国家多个面孔
中弹的都是哈马斯
最有道德？
你是要当人类老大呗
艾伦：我都提前通知一下，保证大家都能听到
汪汪汪
他脸皮真的够厚
关我毛事
瘟铭
倒反天罡
哈哈哈印刷店
俄语很复杂的，语序也和我们不一样
《Mrs   老登》
同意什么交易哈哈哈哈哈哈哈哈
动不动就航母战斗群 哈哈哈 赤裸裸的恐吓
这段话要停下来细看才能理解哈哈哈，
下课
南非比以色列环保
谢谢，见证了新碳基生物
太熟悉了
形容词，名词，动词都占据了属于
虽然人没了，但房子没塌啊（
设问（
又跑了，哈哈哈。
压力给到美国代表哈哈哈
not just a school
管我屁事
旁边那姐们拿眼睛在瞪他
美国下场的结局就是，美国败走中东。以色列灭国。哈哈哈哈
《it》
以色列要进博物馆了
我懂，是次声波氢弹
喜欢一个老板
将前往水草丰美之处（）
骇人听闻用appalling应该差不多
以色列是美爹，想管爹？
去到水草丰美之地
就是兜圈
关我屁事
以色列真是他们的爹
拿反剧本23333
联合国会费多少，我给你多少去打
涅边贾呢？
忠诚的演员
"out of schools,但你boom in schools！"
美国在走向灭亡
好的，请你掏心窝（物理）
你不插手，这地区就不会升温
球状闪电
那你不该找意大利吗www
他说了不算
▼▼▼
▼▼▼
门神哥红温了
你猜巴比伦和罗马为什么要这样做
史中史
so?
▼
突然听到VG
还提醒？
完了，碎纸机滞销了
新概念道德沦丧，他有道德吗？他没有
我说个乐子，你耶路撒冷里边有人家法国的地
罗马皇帝还是太手软了呢
撒旦确实应该会赞扬以色列
罪魁祸首一直在场内
掏心掏肺？
？wtf太抽象了吧
入典了
为啥不知道你心里没点数吗？
你跟他讲翻来他跟你讲故事
俄语装饰词多，语序又不一样。同传有时候就联系不出他下句是啥。
田文镜我***
中南美非洲这些小国都是经过斗争才独立的，感同身受属于是。
youare shit
说日语没同传的，你要不要想想联合国官方用语是啥
这不应该是件好事，值得庆祝的吗
真的不关心
孝
白人在美国就很聚集，我们可以去解决下这些潜在威胁吗
美国为什么要说英语，是没有自己语言吗？
顾左右而言其他
背景板两人表情
要吐了
这部iPhone要记住，等会要考
藕
个人感觉现在的国际形势等同于春秋时期，大家还都要脸，但也没把联合国太当回事
劳动法
太敬业了
我听着呢！
还是跑到五环去，再远跑不出去了
越缺啥越嚷嚷啥
说磕磕绊绊的，同传可不是等全部说完再给你翻译
who cares?
你在说什么童话鬼故事？
夺少？
怎么不说阿拉伯语
这项链你姥姥带的吧？  好看？
残奥会还在办
以色列：我接受意见不等于我实施
记忆恢复100%
不要碧莲
这老头说得太对了！表示很无奈之余！还代表着各国想问的！
英国对大洋洲以及北美洲的小国有很大影响力，法国对非洲有很大影响力
说谎的最高境界就是把自己骗信了
深耕伴夜
搞笑如果世界上60亿人 都觉
确实没人关心
大胆，孙子敢说爷爷
离离原上谱
美：你们不准说他他是我爹！
最后一次叫嚣
好耳熟
结晶体都说不出这话
以色列想打的从来都不是哈马斯，就是平民
2.2+63+2.1
自我介绍呢搁着
父辞子笑
你有资格嘲笑英法是因为咱们国家强，你要在非洲你试试
别问，问就是在打哈马斯
所以最后还得靠大炮真刀真枪得干
难得清醒
如此具象的事情在这一刻抽象化
这算是威胁吗?
尽量减少
担忧什么呢
不仅没停，还加大了军事援助
好日子啊，再多毁几次更好
谁还记得前些天美国不是说让以色列停火吗，这会怎么没声了
次声波
左边这代表耳朵红的又捏鼻子显得很局促
《最有道德》
啊？
越没啥，越强调啥
这不放个炮庆祝下？
请不要侮辱马克思和恩格斯
巡猎的飞星，只会坠落在最长的夜晚，而它的身后将是黎明的到来
他说完好无损是不可能的的
有以色列，人类文明倒退千年
史↓
跟俄语没关系，之前也有过别的女同传能平稳平静的同传俄语
LLM是法学硕士吧
跟俄语没关系，这个翻译确实没有其他翻译听得舒服，之前也有过别的女同传能平稳平静的同传俄语
血压起来了
以色列得了戈培尔真传
谁是父？
IDF：天底下只有两种人，哈马斯和我觉得你是哈马斯
大使真的不是谁都能当的，尤其是以色列大使，我记得他们教义说谎什么惩罚来着？看来它信仰不够虔诚啊
谁问你的
美国说：就没停，你能怎么着
这个of couse not 真的像昂撒人
你前面不是说，联合国都是哈马斯吗，你就是这个星球上有几个不是哈马斯
犹太人还是太多了
Buff叠起来
过去的苦难不是你如今搞别人的借口，何况犹太人不是无辜的
一张纸没几个字
<经典之开始收拾东西>
孝啊
俄语翻译听了那么多，属这个听感最难受，可能因为一直拖长音，哪怕一个词一个词蹦都好过拖长音
美国孝啊
听得要落泪了
还是掏心掏肺吧（物理）
这位发言人会不会晚上睡不着
德国，伊朗核问题和南联盟问题都有德国的影子
前面几个肤浅了，五常要是有人要是不响应制裁和限制，下次他再要提制裁，剩下四常也不会给面子，必然上升到全面战争
弱国无外交
一句话得罪全世界
这不就欺负罗马没了吗，罗马：谁先干的呢？
汪汪汪，汪汪汪，听不懂，听不懂
哈马斯同样有权追捕以色列犯下的滔天罪行
南非代表这个墨水屏平板看着像华为的matepad paper
爹干啥，儿子支持便是
这个南非代表用的水墨屏是kindle吗？
汪汪汪
大伙们永远都要记住，这就是犹太人！
“要断章取义”——取自《不要断章取义》[doge]
《 声 称 》
停火协议
目前世界上脸皮最厚的国家
美国已经被犹太控制了
都不把美国爹放眼里了哈哈哈
不是刚说他不代表吗？
难绷
？？
懒得喷
犹太教关我们什么事
谁问你了
至少把门关上啊
有半点关系吗
说话前言不搭后语不是一两次了
曹丞相觉得你屠的有点太多了
镜头语言
归根结底美国仍是世界唯一的超级大国，霸权还在，其他的跳的欢，真有事的时候，还是得缩回去
热水澡能用吗
库克：喵喵喵？
一句话把全世界骂了一遍
刚才都在说英语，一到中国就说中文2333
眼镜到底带不带啊看的我难受
几十个哈马斯 怎么统计的？
同传不是他说完再翻译而是一边说一边翻译，能这样不错了，尤其是语法结构不同的语言
因为听不懂啊，可能除了英文其他的都需要同传吧。
难绷点名un
因为你《掏心窝子》
啊？傅聪？只是同名吗。
好日子啊
好
这是个纯粹的cs
宣战是吧
因为中间有个美国，不然送啥都能送进去
真的是恬不知耻啊
《帝国主义》《完美》
没有人比我更懂道德！（doge）
维和部队是维和的，不是去争斗的
勾冬夕
又开始翻几千年前的陈年旧账了
美国过不到30
烫烫症倒
真控油吗？
阿联酋，沙特这些封建君主制国家看到这句话也不知道什么想法
德国:死去的记忆不断攻击我
流浪千年不是没有原因的
干得漂亮
怕不是去准备道具的。。
王国保卫战
真是巴黎和会
这项链跟我的手串一模一样，
iPhone战神
LLM是硕士，JD才是博士
科比？！
看到了，下单了
刚好在淘宝卡没到
犹太真不愧是新闻学的发源地
全部红脸了属于是 英国也黄脸了 只有美国还是绿脸
南非有很多白人啊
故意的
军事降温，不是没有军事行动，而是“低烈度军事行动”，受益者可想而知。你我打架你不能喊爸妈
这里as the不应该是“作为”吗？
咋还rap起来了
关我们屁事？
还有办理出生证，回来妻女都被炸死的，出生证刚拿到就没了
瑞士：我没有，别乱说
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
那一缕好出戏啊！你是要出道啊！
appalled！
天啊，大史在说话
德国为啥不发言，我觉得就该德国治治它
为什么不反思？为啥犹太人被杀而其他民族没事
真的是 真的是 真的是 cs
谁在乎？
太正确了
21次，给我气笑了
老伙计蚌埠住了
英国内部那么多移民你猜是因为哪里乱才跑过去的
几个月后它就不是了
巴勒斯坦带的什么手表？
轮回开始
球状闪电
纯粹的愚昧
文明的标杆！
看这个所有人的画面，基本上所有的大使都在认真听。。。。。
开个义务小商品市场也不错
好
以色列真要反啊？联合国的人也打？
真剑
哈哈哈哈哈哈哈哈哈哈
流浪千年的含金量
真是大逃杀了
我靠，这个国家真是坏到骨子里了我去
他们没有睡，他们醒着呢，只有用实力打疼对方才行！
出生埃尔丹
不是，以色列不也信这个教吗？就这么干？？
法国是五国中的摇摆国 但意识形态靠近西方
缺一个右手上扬礼这段话就完整了（）
你是指灭掉同一个人种？那么先驱到这了是吗
篮圈手榴弹
对中国的全球战略未必是一件坏事
差点劫持哈哈哈哈
?
.
圭亚那
要想通过联合国停火，得先出兵美国
我就算你无话可说吧哈哈
又来了
关我屁事
否决权在同一个地方用多了就不那么服众了
路上的车怎么都在逆行啊
左边小伙好像看起来一点点的人的感觉
以色列：你算个啥？
你要是真的有道德，世界没有坏人
要脸不
我们的呼吁是有用的！我好开心
真是震震又惊惊啊
赞 扬
有没有动物语言专家翻译一下？
！
没有可守的也不意味着你逮住平民当军事目标啊
听话听就行了别质疑同声传译了，我真的是解释累了都
多尔衮：这招儿我熟~~
“说的不好”是由你来你给下定义是吗？你是什么水平？你先说说你的
同传不太行
哈哈哈哈哈
是的像日语说，我吃饭了他们的语序是“我饭吃”你还得把语序摆成我们的语序才能看懂啊
老铁要不要先了解一下俄语怎么同声传译，再去质疑同声传译工作者是否年轻呢？很无聊
后面两个吉祥物是以色列人吧，，
是只能说无常的
不知道的还以为是沙僧。。。
向万国宣战
我踏马的就在四环里啊
讲话的这个是人么？
笑死
又开始扯了
我是英语专业的，我们有成语，他们也有俚语之类的，无关紧要都能翻译
有翻译这个事情别在说了好吗？中文是联合国通用语言，哪国人说哪国话都是正常的
南非之前是殖民地，有白人很正常
自己外语不知道是个什么水平去贬低走上联合国的人才，人才啊
你别担心了，全世界都在学中国话。如果我们能听懂并且去学习英语，那么外国人也是一样
审判日
难别干，又不是没听过别的同传在这装什么呢
第一次觉得小胡子做的很对
那么为什么罗马会屠杀呢
图160
犹太历最悲伤，公历最开心的一天（）
啊？
太过于保守了
我去，直接骂rogue，骂得好！
今日的因明日的果，以色列吃枣药丸
刚刚那些国家母语都是英语吗
怎么又代表了？
中方发言还是没有俄方直白
巴勒斯坦代表发言的时候他不是在玩iPhone吗
guigui327
英国一直都支持巴勒斯坦的
要断章取义
气的我手抖
不是，开联合国会议呢？让我们洗什么澡哦
苏联和美国都曾是灯塔，91年之后，一个灯塔到了，一个灯塔灭了
看得出来以色列下一个目标就是巴勒斯坦代表了
我是精罗，罗马做的对
这字真大
听懂了
似曾相识的话语，吊俄乌的时候，美国是不是对中国这么说过？
never say never（
谁问你了？
起来 不愿做
要是安理会提出了决议都不照办，那就等于宣布五常接下来可以绕开安理会做任何事情，那么中国发个核弹给美国，美国也没有理由委屈了
35亿美元合约245亿人民币
俄语确实难翻译。。。
我和我的动物朋友
谁来为他们哭泣？
就是脸皮子厚呗
直球
翻译姐姐今天状态不行啊
联合国怎么绕过安理会制裁啊？？你去骂美国行不行
向右十下
哦，我知道了，你明天就死
他急了
脸呢
英法凭什么是五常？就凭英联邦和法共体
孝
是的，自7月3日起，这21所学校里面都是哈马斯
定义道德
那我请问你，是否在意过今天那所学校里的孩子在哪里呢？
说了等于没说
来了来了，真史出场了
▼
字字泣血啊
长崎邀请了巴勒斯坦，没有邀请以色列，广岛邀请了以色列没有邀请巴勒斯坦
长崎邀请了巴勒斯坦，没有邀请以色列，广岛邀请了以色列，但没有邀请巴勒斯坦
有没有圣殿还两说呢
停火才能派维和部队，你以为维和部队是去打仗的啊
还是家乡话舒服
拿他没办法
“The representative will be playing with his iPhone while you are talking”
呃呃呃呃呃呃呃呃
这是边听边翻译啊，很难的，而且中俄语法差别大
你们能拿我怎么样
我涅哥呢
好吧
到底谁是儿子谁是爹啊！
老妹 辛苦了 别咬到舌头了
以色列当然是爸爸，华尔街都是以的
三体是保守派
你不通过那一版，其他的版本人家也不给你通过呀
听懂了
这次居然说人话了
罗马人还是太仁慈
Appalling!
这么硬啊，公然说要保这个儿子
维和不能随便行动，这也是预防大国侵占
nasa：那我呢？
五常是这样 我们可以斗  你们不能斗我们
说的真对
感觉像花魁
how dare you
你有人心吗你就掏
弱国无外交
C
没天理了
这个词好像海鸥叫
虽然知道不可能，有时候还是很希望有报应这种东西
曼苏尔大使：看见了吧，凶手不以为自己是凶手，还搁着这里自我良好呢
那你去找罗马的麻烦啊
有一说一，我很听到我国通过这么重的词语
号外：小Q让北京四环内的人抓紧跑路。
？
肤色很正确
同声传译觉得不行的你们来试试
哈？
朕的同传呢
小Q的消息只比军情六处慢一点点（狗头保命）
他们是怎么忍住不打他的，如果我在场肯定先骇他一板砖
这是好事啊
←会中文那个，这是同声传译
好厚的脸皮。。。。
12人以色列儿童，巴勒斯坦多少？1万2？以色列人值钱点？
又不是所有非洲人都是黑色人种
什么上阵父子兵，爷孙满堂，活全家阵容
赫伯特巴克是吧
希望他不要成为以色列暗杀目标
又吹惨
主教练正在热身
啥？佬娘们说桌子了。那就掀呗。谁怕谁啊。
引用普京的话：我祝它身体健康
那我们也向文明学习？到时候别急嗷
气笑了
戴高龙上线了?
它们现在的发言其实不是在获取支持了，而是给结晶粉听的
辈分不能乱
就是你打我要我同意才行
没必要带iPhone的节奏呀，巴勒斯坦的大使手上还带着Apple Watch呢
找罗马后人去啊？
大国一致原则是妥协的结果，不妥协就没有联合国了
充满智慧的声线
阿拉伯人自己不争气又有什么办法
现在以色列才是米国的爹
*+
《道德？盗得！》
汪汪汪汪汪汪汪汪汪汪
wawwwwww
翻译不懂政治，只会单词
还有王法嘛 还有法律嘛
▼
"那他们确实自洽了,不愧是“最有道德”的国家"
一针见血
祖孙四代
这个赖我们，唯一一次军事行动让我们打败了
应该对美国的制裁协议
联合国，连起来一起挨骂
波加查的故乡
《玩给你看》
这下听懂了
章北海：幽默哈
哈哈哈哈哈，我现在看到他就想笑
银发红瞳
决赛圈是吧
？
这项链 好重
什么绝地求生
谁问你了
点名表扬
都是活生生的人啊
难说
啊这
好日子捏
丝滑
我去
老伦敦地道英语
道具赛？
几个菜喝成这样？
毕竟翻的是俄语，理解一下哈哈哈哈
好吧，好吧。
哕
他是怎么说出这种话的。。。。。
哈哈哈哈哈
孝
、
俄语有大量无意义的过渡词
越没有越强调
他们根本就收不到信息的
关我屁事
▼
在这场战役当中，我说实话，我看了很多国际会议和新闻，还有真实的东西，我觉得支持以色列的人确实很多，就是国家，我说的是国家
关全世界人民什么事
只是现在改名叫以色列了
Guanquanshijiwewnminshenmeshi
她的项链都有点东西啊
又开始虚空索敌了大史
质疑美术生，理解美术生
失道寡助
专业对口
全世界都在诽谤以色列（
哈哈哈哈
说些什么叼话在
气笑了
今天道具好多
为什么要感谢？
最爽的一集
气得暂停打字都不知道什么字能代表
/
曼苏尔已经非常优秀了
一群老外知道这个词啥意思嘛？？
这个几句写得好
灭的好
说明实力才是硬道理，只有强大才不会被欺负
0.
一天炸一个，周六日休息
他在讲什么笑话，还试图解释笑话
Shame on you
哦吼！！
文明启动
各位，不要着急着下结论，了解后再发言再评价
CS以色列:我是指条明路让他们上天堂
我觉得卖碎纸机也很赚钱啊
联合国中应该只有五常可以讲自己国家的语言，别的国家应该都要讲英文吧
不是追悼会吗
我是考古学家，这就是史
法学博士是phd 法律博士是JD
你无敌了
有没有可能是主动提出来不遵守的呢
人形出生
连广岛长崎都提到了，居然没提南京，同志们仍需努力啊
还不够彻底
神金
这大妈挺好看
小泽已经是弃子了，俄罗斯主要还是不敢全面开战怕舆论要不然哪有小泽啥事
好可怜啊
申遗
确实cs
装甲尼禄呢
而且跑不出五环
梅婷？梅婷在哪？
那你找罗马帝国去啊
罪 疣 氘 鍀
毕竟是美国的爹
说得太好了
没有的人才总会去强调自己没有的事
争相喝煤油
哈哈哈哈
？
使
又拿出你那虚构的历史
家乡的语言
他说的是人话吧？我怎么听不懂？
Free Palestine
走可以，下一个必须会整活儿
高卢鸡虽迟但到
瘟冥
取消了一票否决权，超级大国可以有另一种血腥有效的手段阻止事情发生
带英要顾一下在阿拉伯世界的面子，毕竟那些都是曾经的殖民地
怎么还有小黑在里面
烂尾工程
别说印度了，半岛上那俩，随机拿一个去欧洲，都能吊打一片
快 落榜美术生再来奋斗一次
尊嘟假嘟，有点心动了
外空资产是指太空武器吗？
联合国的作用只是为了不发生世界大战，这些会议不要看过程，只看结果开了等于没开。。。。
说的大地之母是魔兽世界玛拉顿的最终BOSS么
提出≠认可
接受≠执行
门神哥
GAIA！！！！！！！！
丝滑
作为普通人，心疼但毫无办法
《倒德》是《道德》的反义词
炸之前不一定，炸了之后迟早都是哈马斯
瑞士只是没必要被打，现在发个hd分分钟没了
人致贱则无敌是真的
他可能要先去见一见上帝
什么叫共轭父子啊
送你见上帝
哈 心力笑烂了
右边的是丁真吗 不是说他去联合国了吗
世界脸皮你最厚
就你最特殊 每次都有道具
下周？明天！
50万马克！
合着联合国一圈人都在扭曲？众人皆醉我独醒？
谁关心你啊
谁关心你犹太教啊
整活道具筹备中
戳iphone
新废话文学
it
草
玩iPhone中
