乘胜追踢（指正）
活过来了，前几天刚刚缅怀一下
我打大圣都是用的戳棍和禁字诀，戳棍四豆可以闪避秒放，只有这样才能打中大圣
偶尔飞踹，保持脚感
两年了啊
泪目了
攻其阴睾
失踪人口！！！！！！
[ohh]
哈哈哈哈
逗川集齐六件宝物复活了
牛的呀
[ohh]
爷青回！
失踪人口回归
[ohh]
大圣：已经闻到脚气了
大圣：已经闻到脚气了
我超，谁？！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
爷青回
川！
好像是踹了三下
大圣：这真是我后人？看着不像啊
识破
《小圣施威降大圣》
John
卧槽，你谁，哪来的
. 021.3
[ohhhhhhhhhhhhhhh]
失踪人口回归
woc！
我打大圣就是大圣开了3个火圈让我过的
wocc
失踪人口回归
高手过招你得让大圣穿上锦鳞衣服啊
啪一个右鞭腿，啪一个左正蹬
不是过了，是压根一秒都没吃到，转阶段就清掉了
这不就是我吗，从晚上11点干到一点才踢死死了N回呀呀装备也一样，但有救命毫毛才打过，这是真的有实力
还说大圣不会飞踢
一脚踢出了一个西游记
宇将军飞踢
刚刚是不是有什么鸡闪过去了
李宁都给我踹开线了
[ohh]
诈尸？
逆天！
这下真的泪目了，爷的青春回来了
这一场是 五郎八卦棍 VS 十二路谭腿
师从鬼脚七
唯一一个停更不取关的
？？？？wc 不是 你谁？？？
不是，兄弟
wdf回归了
不然他为什么叫齐天大圣~~
呦呦呦 瞧瞧这是谁来了 你还记得这个家呀
全空
爷爷！逗川更新啦！！！！！！？
你真是个天才
奥运会撑杆跳没有你我不看-0-
?
！！！！！
踹哪呢？
失踪人口回归
卧槽，上一次看的时候还是在什么小鱼那里
PC党好难学这个飞踢流
[OHHHH]
[ohhh]
体育猴
展示容错率
是五根
小飞棍来喽~
!!!!!!!!!!!!!!!!!
站水里疯狂回血
？复活了
失踪人口回归
大圣: 我黄金甲都是你的jio气
熟悉的开场白
我靠！！！！！！！！！！！！！！
虎先锋：这汤我能下酒吗
韦陀献杵
啊？？？
woooooooo！
这踢哪儿了？
复活了
大圣：这个继承人有点傻不拉几的
大圣二阶段会飞踢
忍者神龟的飞踢
哈哈哈哈哈哈
彳亍
你是大圣？那我是谁啊？
不愧是你！BUG川
，，，，，，
大又细
哈哈哈哈哈
卧槽！！我最喜欢的UP回来了！！！！
？？？？？？？？？？
nb
哥们 你谁？？？？？？？？？？
大圣：我会读指令，没想到吧
帅！
金刚腿是吧
坤爪流
欢迎失踪人口回归
举杯共饮
啊！
最终BOSS不是杨戬么
改教材了
笑死
想要主播跳棍教程
[ohhhh]
大圣魅力时刻
离开
类目
两年半耶！！！
川!
实习两年半
汗流浃背了老弟
风灵月影十二层楼
WeChat一下
点属性的飞行道具很多挡不掉
失踪人口回归
听到声音已经开始笑了
???????
他是干什么的我都忘了
[Ohh]
我好想你啊
不是要成功了啊，那我现在就去试！
展示容错x
铜头铁臂小子
夜凯！
感觉你把棍子放下，换吧青龙偃月刀会更强
胜利近在眼前
坠机了
哈哈哈哈哈哈
酿跄动画doge
[ohhhhhhhhhh]
哈哈哈哈哈哈他慌了
哈哈哈哈就爱听这句
泪目了
踹飞了笑的我
是不是听到了墨鱼的一声“哎呀”
卧槽
大圣也会飞踹，而且踹完还有棍子的连击
哈哈哈哈哈哈
爷青回！！！
on you left
[OHH]
王牌空战么 不落地
衣服可以升级
[OHHHHHHHHHHH]
失踪人口回归
宇将军飞踢
哈哈哈哈哈哈哈哈哈哈哈哈哈
man！！！
wtf
这游戏不会也能给逗川发现bug吧
？啊？
谁回来了！？
[ohhhhhhhh]
[ohhhhhhhhh]
[ohhhhhhhhh]
[ohhhhhhhhhh]
帅
[ohhhhhhhhhhhhhh]
[ohhhhhhhhhhhhhhhhhhh]
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
屏息凝神
屏息凝神
泪目
泪目
哈哈哈哈哈哈哈哈哈哈
战歌起
那就加个跳棍吧（
回来了！
我操
[ohhh]
卧槽，卧槽！
川！
啊？
失踪人口回归
钢管舞大圣应该也不会
呜呜感动
失踪人口回归
笑了
复活了
[ohh]
[ohh]
这下听懂了
失踪人口回归
大圣：这是猴子还是蚂蚱怎么这么能跳？
帅
今夕是何年
[ohhhhh]
大圣其实有对应跳+平a+重击的连招模组，一般会跟在4豆重击后
火圈还涨神力呢，广智能一直放大
等等你是！！
失踪人口回归
我丢！！！
woc
爷青回
woc!!!!!
啊？？？？？？
风神腿
太久太久不见了
天命人：踢你棍子啦
啊
熟练的让人心疼
消费棍
失踪人口回归
5根吧
小飞棍乃no
失踪人口回归
男人什么时候最紧张
你z y hong yu hui lai l
啊啊啊啊啊眼泪
大圣会这招的，被定后大圣的连招就是飞踢接重棍
我焯！你复活了！
人丝不能复生，所以你我一眼就看出你不是人
日常空满豆
身子还泡了毒
小黑子
整活王
脚艺人哈哈哈哈哈哈
。。。主打一个伤害全吃
泪目！爷青回！
.
啊卧槽
川砸！！！！！！
大圣也会飞踹的 而且飞的很高
大圣：你是我见过的最差的一届后辈
失踪人口回归
第一章这招把白衣秀士踹死了
黑神话：宇将军
大圣:棍法和法术都失传了啊
[ohhhhhhhhh]
這位置 有點尷尬啊
"飞踹大圣会啊,还贼疼"
禁字决
失踪人口回归
这一脚下去，大圣六根变五根了
蛙趣我刷到了谁！！！
头像终于换回来了
拿根儿烧火棍干嘛
不是说大圣不会吗，这一脚踹的
泪目
泪目
大圣也会飞踹阿···
屋里动jiojio～
UP紧张的说都不会话了
斗战神里还真的有腿法
啊啊啊啊啊啊啊啊
我直接去了
梆梆梆梆 梆梆梆
我去！这谁啊这是？！
猴子面前耍跳棍
[ohh]
999
大圣也会飞踹。
？？？
5年半前，逗川在踩弦一郎的头
OhOhOhOh
梆了那么多天命人，这么活泼好动的还是头回见
喝完闪避能躲定身术的
葫里坤坤大
说不难的开个直播嘛，大家来看看你有多牛逼
我操！
爷关更！
失踪人口回归
啊？
啊？
失踪人口回归
啊？？？谁？
爷青回
你是？？？？？？。
大圣:我这么多个招都整不死这在我身上踩来踩去的鳖孙？
？？？爷关更
失踪人口回归
棍子是保持身体平衡用的
巴西猴儿
woc！
亮这一下绝区零玩家都会躲了
真是一场精彩绝伦的决斗
一定是我起猛了出幻觉了~~再睡会
？
啊
[ohhhh]
啊？
你谁呀？？？
热知识：重击不需要垫刀
奥特面具mod配奥特飞踢
奥特飞踢
！！！
握草，你是谁
爷青回
666
[精准打鸡]
eternal mamixum drive
看来是凤翅紫金冠有空气墙
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
不是挺简单嘛
真 好久不见
不是？？？我看到了谁？？？！！！
失踪人口回归
天命飞踢，man——
神马！！！！！！！我看到了神马！！！
牛逼，我的哥，终于回来了
逗川！！呜呜呜
啊？？？？
哭死
神奇
好悬没给我锁子甲踹开线了
用翻江海，能打白衣秀士就能大圣，妥妥放水的陪练来着
大圣：觉醒度100%
下段攻击
高贵的z轴攻击
卧槽复活了
啊？！
大圣：敲尼玛
AI正在理解你的打法
遗容遗表
。。。
天命人：我太想进步了
失踪人口回归
失踪人口回归
[ohhhhhhhhhhhhhh]
oh
[ohhhhhhhhhhhhhhh]
不是你谁？
“大圣，我可以敲你吗？”
大圣：棍法失传了，气啊
我打二郎神打了3个小时，大圣打了2次过了
我认为是高脚过招
失踪人口回归
失踪人口回归
失踪人口回归
失踪人口回归
泪目
[ohhhhhhhhhhhhhhhhhhhh~]
爷青回！
win！！！！！
他是金刚腿
仙峰寺进修过来的猴
我们是冠军！
[OHHHHHHHHHHHHHH]
鸡爪流是吧
[ohhhh]
哭了
失踪人口回归
哎我去，活久见
？？？？
[ohhhhhhhhhh]
屏息凝神
泪目
达游戏啦
找bug圣体，都回来了
想你了
体术是吧
花棍要搭配定字法，要不然你能靠花棍攒两段棍式都算你牛了
拿下终究是逗更胜一筹
？
我丢陈年往事
woc
发♂Q
带妙葫芦，一个重击暴击4000，打大圣不要太简单
还有脸回来
加坠机
身法猴教学
[ohhhh]
不是你咋活了
卧槽
逗川？？？
嘿嘿嘿老一辈的智慧
有生之年
失踪人口回归
wc复活吧我的爱人
恐怖跳脸猴
夹心酱飞踢！
！！！失踪人口回归
踢了，大圣他也踢了。。还是大圣的招~
这一脚踹出了个二阶段？我怎么感觉在看车祸集锦？
哈哈哈哈哈
你雷欧啊
虫棍
命运的飞踹
[ohh]
奶奶，你关注的UP突然更新了
我去！！！
？？？？
好你个逗川！我就知道你还在！
哈哈哈哈哈哈
回归了
爷青回
啊？
大圣飞踢了
女武神:似曾相识的感觉
呆了不过想起来当初跟墨鱼喝酒说的话黑神话
卧槽
你回来啦
asi
活了?
你真的回来了你？？啊啊啊
[OHH]
泪目
你是?
666666!
你是被打得多惨才记得大圣的那么多技能 哈哈哈
man！
来打kick！
战歌
这个衣服再换点儿高防御和减伤的东西可以全吃大圣伤害不被打死，然后就可以打过大圣了
我感觉挺简单的
啊？！
宇将军：老弟，你有啥实力啊？
失踪人口回归
如果你不喜欢棍子，本猴也略通一些拳脚。
大圣会飞踹，踹完还接一个四蓄的跳劈
飞行道具棍花基本都能挡
369
来啦来啦
。。。镜头明确
爷青回
《完全体》
[ohhhhhhhhh]
抢葫芦可以靠闪避躲掉定身术的
我艹艹艹
大圣打完之后检查脑震荡了
啊？
拟态baby辣
可己！
露出鸡脚了
你也是小黑子
身法好真的为所欲为，怎么打都行……
！！爷青回！！
跳起来踹你膝盖
我的发
欢迎回来
失踪人口回归
最折磨我的是虎老登，大圣就打了一次，老虎打了少说20次
失踪人口回归
失踪人口回归！！！！！！！
近两年了
热知识：大圣转阶段会消状态
大圣都被踢懵了
两年了
失踪人口回归
zu交ji师
这衣服是回到半血的
你是？
奎
但是你不跳来个定也是当沙包打啊
逗川活啦！(喜)
失踪人口回归
这给完成空战虫棍了都
卧槽！川！
遥想当年，大圣出嫁了
不是哥们？你复活赛打赢了
熟悉的小曲儿
想你了，牢川
倒因为果
斯哈斯哈
哈哈哈哈
WC、拉～！
我超
不愧是您
敲里麻
door川，你更新啦!
啊，逗川你终于回来了
我爱你么么哒
？？？你谁
失踪人口
天才
跳蚤猴
[ohh]
爷青回啊！！！！！！
软银
[ohh]
回血甲太好用了
软银
大圣:这是个李小龙吗？
奥特飞踢！
脚活
跳起来躲冰环
你谁啊？？？
[OHHHH]
卧槽卧槽卧槽卧槽卧槽卧槽
你是谁啊
WOCAO
奇迹的复活
区区致命伤，不值一提
先直劈再横扫，是尊矣卡利亚！
失踪人口回归！
你谁啊
？
我去
夏亚飞踢
你是？
失踪人口回归
.
[ohh]
帅
这是谁啊！！
ready？dark ♂you ♂see
我靠。。。失踪人口回归
？你谁
++
致命打击
6
（大肾）dog
你是你是谁来着
打赢复活赛了
虫棍是吧
这个招没见过
回来了
时隔两年半 失踪人口回归
时隔两年半 失踪人口回归
啊？你是?
喝腐乳
我们是冠军！
最爱的up主
狡诈恶徒
死二最讨厌的一集
得，得得得得
果体战队！！！！！
公鸡
没看头像点进来的，看到开头震惊了，你来啦！！！！
有生之年！
还是我熟悉的川
噢噢噢噢噢噢噢噢噢噢噢噢噢
？？？？？？？？
一股强劲的bgm袭来
啊？
顿悟了
失踪人口回归
[ohh]
哈哈哈
[ohh]
走位 走位 看不见我
轮椅病服
woc逗川
哥哥哥，别走了别走了，太爱看你们了
打赢复活赛！
方寸大乱？小鹿乱撞！
爷关更
方寸大乱？小鹿乱撞！
我看到谁了？
我擦 哇擦
阁下今夕是何年
看它这眼神，估计他也没想到自己能被踢死
甚至每一个动作在他眼中我估计都不带动的
爷青回
wc，活的
来打 kick
失踪人口回归
踹哈大酱
原来能挡？
三个完美闪
你好歹百万粉，理解为羞辱，成分复杂
你好歹百万粉，理解为羞辱，成分复杂
失踪人口回归
大胆
难不成宇将军被流放到花果山了？
啊？！！！！
衣服在虎哥那可以强化呀
谁？
？
幸好没取关
大圣：这后生怎么啥都不会啊？而且酒也没给我留一口！
宇将军
什么情况？给我整兴奋了
好久不见呀
爷青回
？？？
您衣服都不强化一下吗
呜呜呜
前面的，弥勒佛给孙悟空也传授过禁字诀
那就是禁字法（）
停更时长两年半
哈哈哈哈
哇哇哇
这么帅啊
熟练的让人蛋疼
大圣，为什么这么高啊
wc，复活了？
大圣:踹死我吧，我放弃了，遇到逗比，莫法莫法
熟练的让人心疼！
川
大圣：子孙说是练起了猴拳
真搞笑，一边解说一边踢
《你们男生什么时候最紧张》
能躲掉能打到就是赚到
人家鬼脚踢，你是圣脚踢
就不给你喝
失踪人口回归
忽略！
我一直姨母笑
door川
[ohhhh]
禁
一阶段保留状态，二阶段开始上难度
逗川川川川我想死你了
擦！你丫踹哪呢？？！！！........
啊啊啊青春！！
啊！?
：这个我们挡掉就行了
复活啦！
川好想你www
爷青回
欢迎回来
回来了！！
哈哈哈
效果满分哈哈
你回来了！
啊？？？？逗川？
靓号哈哈哈哈哈
你复活了！你知道吗你知道我等你多久吗？你知道吗！
小圣施威降大圣
都穿这个衣服了 把大力王头也带上呀 挨打也给棍势
？？？？
时代的眼泪啊
啊？这谁
孙悟空面前你耍猴拳啊
活辣！
这不是你的技能吗
失踪人口回归
被空接了哈哈哈
你复活啦
欢迎回来！
啊？
我从初二等到高二终于更新了
感觉比二郎神简单
爷青回
复活吧，我的爱人！
我去
大圣被我踹飞了
比博燃！
啊？
禁字不是棍头红，下个游戏别云了
我的飞踢像亨利
失踪人口回归
九天雷霆 双！脚！蹬！
？
你是谁？
紧急避险
大圣：我都xiao会啦！你贫啦！
格斗游戏
雷欧盗号
嘉然让马文杰试试
!
你是？
打大圣的小圣
医学奇迹
失踪人口回归
调皮
游科能把死人变活
这么活泼，还这么调皮
[ohh]
现在知到大圣放的海了吧
你还知道回来！！！！
鳴，不知要說些啥，只想你回來就好
硬打10分钟，溜溜腿吧（doge）
泡汤好评
师承石双双
AA
只狼识破
爷青回
逗老师我想要你的天命人跳棍课程
边吃饭边看
命运的飞踹！
失踪人口回归
《脚艺人》
裸体战队
金箍棒是用来平衡身体的
练习两年半是吧
失踪人口回归
身法猴
猴子踢桃…
你谁?
活了！
啊？？？？
裸体战队
[Ohhhhhhh]
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
王力宏写过大圣歌曲
72路猴腿踢
你肥来了
被脚气熏死的
大圣：好悬这一脚没给我盔甲踹开线
活了？
啊啊啊啊啊啊啊啊啊啊啊啊啊！
豆川！
乱点天宫帅爆了
你是谁？
回归了？？？
我人都要笑麻了
欢迎回来
复活了！！
你这一走就是三年啊
转阶段就直接没了
那个牛逼哦
帅
啊？
我艹我艹！！！！泪目了！居然是逗川！！！
？？？？
啊啊啊啊啊啊！！！
？？
棍头红是因为禁字法
啊，失踪人员回归了
爷，请回
不是，川哥你？！！
腿酸了，我以为要触发连招
大圣：晚点我死后棍法失传了
他见你攻势太慢回吃桃子然后把桃核弹你脑袋
没有双双的飞踹，不是很认可
重棍只能抓大圣后摇不然大概率会被躲，戳棍好中一点，立棍就等着吃彩蛋吧
终于来了
耐踹王
坤坤
战    歌    起！
RIDER KICK
失踪人口回归，头像正确
[OHHHH]
[ohhhhhhhhhhhhhhhhhhh]
我还以为我眼花了我靠
啊？
啊？
“高手过招”
《我的师父石双双》
[ohhhh]
开庭记得带上你的葫芦
不是，你不强化吗？
禁字法呀
冷知识：大圣会马踏飞涧
第六根，意在杨戬那里，如果不是一周目不打杨戬是没有意的
啊？？？
大圣：哒咩哟
花果山的猴子都在看慢脚
这个漂亮
花果山无影脚
就像丐帮的打狗棒法，都失传了一样
看完了，等下up是逗川？？
最中幻想
活辣！！！！
大圣：看来没有六根不妨碍当大圣这件事
大圣：耍你的！
大圣：我可不承认这是我的转生，这不是天命人！
大圣这不是会飞踢么
您丫哪位
小黄龙这么过的
坠机
敲到麻袋
大圣可太有武德了，他就像个导师一样，感觉真好
大圣：我这转世不对劲啊
大圣也怕了
大圣：好悬给我黄金锁子甲踹开线了
大圣：这猴子是花果山的？
禁字法
我靠
我靠
一脚踹400多伤害
有猿再见
苍蝇（确信
技术革新，大圣，食大便了
禁术，他不会
爷青回
好悬没给我李宁踹开线
你是？
man！
泪目
宇将军是吧？
我用，我天天用跳加左键再右键接近敌人
啊？
这个披挂不升级吗？
哇爆率真的很高
哇去
花果山最近改踢足球了
你复活辣！
踹你腰子
《Deep dark fantasy》
意义不明的特写（
akmkdsmkamkmk
[OHHHH]
大圣3:07其实我也能踢
失踪人口回归
[OHHHHHHHH]
你的师傅到底是谁！
致命打击
比杨戬好打
传下去，孙悟空用他的棍子把UP主插的春心大乱
逗川川川川川川川川川川川川川川川川川川！！！！！！！！！！！！！！！
失踪人口回归
啊？
失踪人口回归
大圣：家被偷了
夜凯
冒汗了
大圣：喜欢踹
没致命就不算问题
111111111111111111111111111111111111111111111111111111111111111111
啊？？？？？？？？？？？？？？
人才
大圣：不对啊我不是把我的套装都给他了吗，他怎么用的是拳脚
[ohh]
你是？
？
天才的构思
大圣：我像你这么大的时候把玉皇大帝都干桌子底下去了
帅
踢人不成反被踢
大圣:必养的后生
我一个右边腿
黑神经广志
等会这装备。。。。
自己打自己，同一个师傅教的确实破不了防
大又细
加油啊大圣
汗流夹背了
我焯！
引什么？
活啦！
这一大飞脚，好悬没给我锁子黄金甲踹开线了
卧槽！
《坤坤葫芦》
大圣残躯的圈内好像可以给自己回棍势
我操！
当我们4条皆空时-boss越残越紧张
踢哪呢！
boss丝血-压力时刻
啊？
[ohhhhhh]
屏息凝神 屏息凝神!
失踪人口回归
我天，老逗打出好多我没见过的招式。
躲了个定身吗这里是
，吸血猴
牢川复活啦！
泪目！
广智
略有失重感
杰米仔：我熟
我去复活了？
失踪人口回归
失踪人口回归
他上一个视频是2022 3月 11日，蛙趣，泰酷了！！！
左下角还有buff图标
徐静雨
爷青回！！！
踢哪呢
诈尸了？？？？？
汗流浃背了
小黑子，漏出坤脚了吧！
好像没毛病
失踪人口回归
花棍更快你要这么说
？？？
怪不得浪里得浪是红色品质，减跳跃的技能
[ohhhh]
全脚功夫
呜哇！！？
大飞脚
一遍过，没杨戬难
大圣要被踢死了
我怎么炸了
一大飛腳
你是谁！！！！
是六连小飞棍吧？
徐静雨飞踢
高手过招
[OHH]
过年了？
好活，当赏！！
斗战神里面还真有，而且大圣残躯很多棍法斗战神里面也有
我操逗川
大圣:我的衣钵就交给你了。。。怎么感觉交给了一个无耻的家伙
不愧是你
足疗
沃德法！逗川！！！！
啊啊啊啊啊啊啊啊
妈呀我发现了什么！！！！！！！！
骑士踢！
爷青回
-20-20-20
左蛋
贤侄，你又空啦
踹的还挺快
哈哈哈哈哈
还真是
大圣：交给你我感觉不太放心啊
大圣。。我真是潸然泪下（）
寸只了（doge
大圣：现在不能敲哦
立棍也是空中
戳辣，大圣会飞踢
打完大圣一身脚气
复活了
大圣：这套脚法我是真没办法
夜凯！！！
绝大部分远程都能棍花挡，包括一些剑气
1000年前的自己（）
磊哥的飞棍流成功了没有
大圣活不了因为没有意根
悟空特有的顶层空气墙
徐静雨进来学习
追亡逐北
天呐竟然上哔哩哔哩热搜了
挖槽
大圣的撑杆跳打真帅啊
[ohh]
我的天呀
飞踹大圣也会，有个连招是先重棍砸你再飞踹到空中再接一个重棍
大圣:这猴子的师傅怕不是雷欧，这么能踢
我记得有个加飞踢的虫子头是小怪掉的
：“猴急！”
啊？失踪人口回归
爷青回
失踪人口
[ohhh]
飞踢加立正
：“康康，我的筋斗云！”
踢到大圣迪克了（悲）
宇将军飞踢
天才
啊？
失踪人口回归
空战骑士
失踪人口回归
功夫派是吧
6666
熟悉的声音
你想要大圣跳棍教程不是你配吗牢底
[ohh]
明年我就能打到这了
啦
不是，你谁？
哈哈哈
？？？？
主播主播我想要天命人跳棍教程
失踪人口回归
你在圈里面被抓取也是接近秒杀了
可能祖籍是仙峰寺的猴，脚上功夫更熟练
回来了，都回来了
笑飞了
666
禁字法，弥勒亲口说的
失踪人口回归
天呐你谁啊！！！！！
宽面棍
疯狂刮痧
味大，无需多盐
从没打过这么憋屈的仗
失踪人口回归
笑死
[OHHHH]
坤坤
糟糕！骑士踢变成猴子踢了
禁字法
大圣残躯：哼！雕虫小技，竟敢班门弄斧，大卫天龙！
？？？
其实会，但是是筋斗云踹
黑神话以为我会干的，实际上我干的
孙悟空的致命部位
顺子
为啥不升级这个绿衣？
练习时长两年半
失踪人口回归
仙峰寺菩萨脚
错了，是禁字法
徐静雨
大圣:你终于用了一次棍子了
我觉得很简单的一次过
注意，已经踢掉一半血了哈哈哈哈
出院！
大圣：棍法失传，就会劈棍……
虫棍
啊？？？？？
我嘞个快慢踢
从石猴到打完就一命过，大圣，赐教了
已经冒浓浓黑烟了
多少级了？
[ohh]
[ohh]
必须被击中
青田葫芦
大圣：不是，过这么多年，花果山的棍法失传了？只会一套劈棍？
我承认阁下很强，但我风灵月影宗（bushi
[ohhhhhhhhh]
你还知道回来
全都想起来了
我擦！这是谁！
大圣挠头
失踪人口回归
大圣的第6根在死的时候就散了，更何况，虽然这是具尸体，他头上还是有紧箍
大圣：菩提师傅最近教的是什么玩意
可是大圣也会飞踢啊
鬼脚七是吧
研究撩阴脚是吧
回来了
踢哪呢？
我预判了你的预判
跳棍
厉害
[OHHHHH]
啊？
大圣被小圣踢的裆部出血了
活泼又调皮
大圣对空可以的
男人最紧张的时刻
回来了！都回来了
时隔两年半？
这不用石双双
[ohhhh]
卧槽，你是谁？为什么在我的关注里面
笑死我了，急了
果体战队
帅
大圣：不太放心啊……
首先这里是大圣残躯，不是本人，其次看到脚下那片海了吗？那是大圣放的水
坠机了
刚说完就被打了
禁字啊
大圣学会了
大圣学会了，弹幕护体
听到高手过招我笑cry了哈哈哈哈哈
接着踢哈哈哈哈哈哈
完了，大圣也会这招，还是3连
哈哈哈哈哈哈哈专业对口
“好悬没给我紫金甲踹开线了”
猴子偷桃？
？？？？？
一键三连来一个先！！！！
狂踢大圣菠萝盖
一定要再见啊
谁？
《仌》
[ohh]
《撑杆跳》
徐鲸鱼已赞
bug体质
骑士踢
甜菜
回来了，都回来了
两年半了啊
制作组:这谁能想到来了个专攻下三路的猴子。
大圣水里能安身法
我就说扣1有用！
钢管舞
man
踢累了↓
“踢裆”这就是你说的不会？
啊？我怎么炸了啊？
屏息凝神，屏息凝神！
小莫！
电子竞技不需要视力
时代的眼泪！来啦！
耐克鞋都踹开线了
失踪人口回归
啊
复活？？？？
buff不是没了吗？
