我只能说幸好他们都健身哈哈哈不健身根本不可能唱这么有劲
火钳刘明
你们看到阿如的一丝笑了吗！！！就一瞬间！笑了之后就严肃了！
阿如娜的包里装了凤小岳
再来亿遍
太好听了啊啊啊啊啊啊
还是很难想象这是没有NG的
想要这个包的链接
石凯石凯石凯石凯石凯石凯石凯宝宝
凯凯应该是借阿如那的力量翻的
开头见 再看亿遍
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊歪头
就这个逆流三子爽！！！！！
谁懂啊啊啊啊啊啊啊
这歌无限循环 太燃了，电影质感超绝
这个歪头我天
全开麦实锤了哈哈哈哈哈哈
石凯太帅了
凯队好帅
助力出圈
太阳部落真的很牛
再来亿遍！
哇天救命太帅了石凯
石凯开头哼的好绝
这段rap好燃
包开麦的
绝了，舞台好棒
恭喜你发现宝藏
这段好帅！
舞台好帅
哇靠石凯rap这么强！律动感好足！
石凯唱的好好听
唱的好 演得好 打的好 帅!
这嗓音我爱了
好听
太绝了
一天不看浑身难受
再来亿遍
棒
石凯特别棒！！！！！
我又回来了
太牛啦啊啊啊啊啊啊
助力出圈！
早起看一遍，太帅啦
他来了他来了
石凯这个哼唱太绝了，太有故事感了
帅的我吱哇乱叫
石凯最棒
太帅啦
全程高能
硬控我
开头见
井胧最帅的一次
吼吼吼吼吼吼吼吼吼吼吼吼吼吼
太帅了石凯！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
石凯石凯！
天呐
老帅啦我得天
凯凯最棒
我来啦啊啊啊啊
石凯，帅惨啦
耶耶猛猛冲！
石凯闪亮登场！
好帅
石凯石凯
再来亿遍
再来亿遍
全程高能
拳拳到肉
阿如那很细节
再来n遍
阿如那太帅了
这声线绝了
好听
不是，哥们，你怎么能这么帅
已经脑补出了阿如那这个大佬早年一手打柠檬茶天下的画面了！
啊啊啊啊啊啊啊
被这个舞台硬控3天了我已经
比绝大部分电视剧都打的好看
石凯身行灵活
太阳部落！
服装很加分
看完，被他们帅到了
天哪，三天了，我还没出来哈哈哈哈
助力出圈啊家人们
我也不知道我看了多少遍了→_→
花会自然开，凯凯不是笨小孩
根本出不去
凯凯唱的很好听
石凯你好帅
石凯rap真好听
这舞台也太牛了吧
好喜欢这个fire的咬字
好帅石凯
石凯这个小烟嗓，我真的好爱啊啊啊啊啊
阿如那一身的肌肉
太好听了凯！！！
开头见 兄弟们 一起逆流而上
开头见
这段rap太舒服了
好帅！！！！！！
太帅了，石凯！！
绝了绝了绝了绝了绝了绝了绝了绝了绝了绝了绝了
再来亿遍！！！！！
石凯
石凯好帅！
还是个开放式结局呢
开头见
看着好爽
石凯，帅！！！！！！
声音太合适了
再来一遍
石凯太帅了
开头好帅
？
太阳部落 太阳部落 太阳部落
背景音石凯唱得好绝！！！
石凯好帅！！！
这歌感觉好适合他们
石凯太帅了
这一击干脆利落
rap好棒
宝藏
这打戏给我看爽了
太帅了逆流组
每天亿遍
石凯牛逼！！！
重刷亿遍
再来亿遍
每日一刷太帅了石凯啊啊啊啊
早八人一大早就来看逆流而上了
我天，我才意识到凯凯你唱的多打得多而且还有rap
帅！
太强了凯凯
井胧第一句让我坠入爱河！！！
帅
帅死了井胧
太帅啦
感谢阿如那坚持了初心选择唱演 石凯鼎力支持 井胧温暖陪伴成就了这个舞台
他们仨赛前练的每天一身伤 各有各的瘸法23333
真是常看常新 再次刷感受会不同 代入舞台角色这对唱太带感了
第四天
阿如那野性荷尔蒙爆炸！！
这个舞台帅的我满地乱爬
太帅了石凯
石凯太帅了啊啊啊啊啊啊啊
再来亿遍
太帅了吧凯凯这小表情也太帅了吧
真不错
石凯井胧阿如那牛牛牛
太阳部落！！太阳不落，我们部落！
石凯阿如那井胧石凯阿如那井胧石凯阿如那井胧石凯阿如那井胧
真的很棒！
[前方高能]
爱了
爱死了
硬控我
太帅了天哪
全开麦打卡
两眼一睁就是nanana
全开麦好稳
太帅了石凯
石凯石凯石凯石凯石凯石凯
N刷开始，这也太帅了！
好帅好帅！
这个击掌转椅子好帅好丝滑
硬控我
我来了
啊啊啊啊啊啊啊啊啊啊
石凯石凯石凯石凯石凯石凯
石凯石凯石凯石凯石凯石凯石凯
石凯猛猛冲
反复观看
高质量有效武打
本季目前最佳
怎么演起来了哈哈哈哈哈哈哈，音乐剧是吧
再来一遍家人们
石凯这个小嗓音 我太爱了
这个back off就很hot
永远都有人在看系列
这三天练习时间真的下功夫了
石凯这几步所向披靡的感觉，拽拽的
井胧这里演的好好
两个人合的好贴，好听
这段rap好好听
好帅的一拳
井胧这里的动作表情真的有内味了
再来亿遍
再来亿遍！
井珑这个“披风”唱的好好啊
惊喜舞台
这个帅炸裂的唱演打舞台不出圈，内娱就真的完了
太阳部落太阳部落太阳部落太阳部落
又来看啦
三个人的声音真的怎么这么合适
三逆子绝绝子
恭喜你发现宝藏
恭喜你发现宝藏
被硬控
再来亿遍！
恭喜你发现了宝藏
恭喜热门！
恭喜热门！！
恭喜热门！！
这个走路太帅咯
太阳部落，我们不落！
这点儿还这么多人观看
太棒了哥！！！
[前方高能]
太棒了哥
聚拢我真的绝了！
阿如那硬控我和我的进度条
他来了，他来了！
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
耶耶闪亮登场
学院输送的大vocal
学院输送的大vocal
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
太阳部落！！！
石凯猛猛冲！！！
这个舞台帅炸了，凯凯实力圈粉
好爱这一句啊啊啊啊啊，反复听的程度
家人们，这个视频看5遍了！
凯凯，帅
石凯打的好有力量
学院里输送的大vocal
硬控我
太阳部落牛！！！！！
凯凯，帅
石凯，帅爆了
凯凯帅炸了
太搭了哥仨
他们三个真的是绝配
太阳不落，我们不落
大哥出街 通通闪开
Now call me by fire
石凯真的拳拳到肉的感觉 力度好强
太燃了太帅了
帅晕我了
太帅了石凯
改写！
又来看第N次了
助力出圈
太帅了
这个rap好勾人
石凯声音真的太好听了
井胧唱的好好
石凯特棒
凯凯的声音太好听了
石凯啊啊啊啊好帅
井胧帅！！！
最后亿遍
石凯帅死了
太阳部落太励志了
全开麦太牛了哥仨
石凯的bgm配的真好哈哈哈哈
剪刀腿！！！
俩人对打太带感了
这个起身帅晕我
太帅了石凯
我靠 石凯 帅
石凯的声音真的得天独厚
太帅了打戏
这个舞台只能他们三个能呈现出来，太犟种了，死活不改低武打难度，不行没事，往死里练总能行的
凯凯这句好棒
井胧这句好好听！
这小眼神 帅
阿如太帅了 我天哪
牛太牛了
三天了还没出去
石凯棒棒哒
再来亿遍
配合很默契耶！
阿如步步后退ing
太阳不落 我们不落
木板损失+1 井数值-1
回来了家人们
凯凯！加油！
太阳不落！我们不落！！！！
井胧这两句好绝
这也太帅了
三个人都太出彩了，魅力值拉满
三个人都太出彩了，魅力大拉满
信念终会跨越万物
猛猛冲
巨帅
都好棒啊
牛！！
超厉害
太阳不落，我们不落
石凯好帅太牛了
牛牛牛！！！三个人都好帅！！！！
帅死啦啊啊啊啊啊啊啊
恭喜你发现了宝藏
冲冲冲！！！
rap好绝，像开了混响一样
哈哈哈哈哈
吟唱绝了
凯凯好酷
睡前再来一遍
石凯帅
NOW CALL ME BY FIRE
今天也要再看一遍
井胧这个“围”尾音太好听了，中气十足
又来了
再看一遍
LIAR！
NANANA~
石凯RAP盼了好久！
看着都疼
啊啊啊啊啊啊啊！就不能有直拍吗？打戏直拍！
石凯的嗓音好好听
石凯，帅！
重复欣赏
太棒了，太精彩了
再看一遍
太阳部落！
太阳不落！！！我们不落！！！
牛死了
阿如那这个歪头绝了
丝滑顺畅！好听！就是干！
啊啊啊这句英文说唱好有感觉啊
有点东西啊哥们！
飒！
真唱标记2
感觉自己正在看电影
飒！
真唱标记
猛猛冲！
back  off唱进心里了
我又来了
轮唱桥段很吸引人，整体设计层次和结构好爽
帅帅帅!!!
睡前一遍
太厉害了凯凯
凯凯牛！！！
我来充填弹幕！！！
太上头了
n刷n刷
超级好看
看了好多遍了每晚都看
石凯好帅
好感动，上总榜了
都太帅啦
这个rap不错诶
流血不掉泪
帅帅的，get到了
有点燃
睡前来看一遍
冲冲冲
出圈
太阳部落 我们不落 太阳部落 我们部落 太阳部落 我们不落！！！！！！！！！
石凯
再来亿遍
滴—————————
太帅了再来亿遍
不管什么时候点进来，都有人在看
石凯唱的好好听
披风好好听 井胧好棒
硬控三天
帅炸了！！石凯石凯
n刷了
好棒好棒啊啊啊我的凯
超爱凯凯的嗓音！
冲冲冲冲冲冲冲冲冲冲冲
阿如那太帅了！！！！！！！！！！！
背景音真的好好听啊
凯凯打戏好棒！！
太阳部落 我们不落！！！！！！！
太阳部落牛
前方全程高能
这段好流畅啊
披风唱的太绝了太有对峙感了
好帅
太帅了
全开麦啊好厉害
石凯，帅！！！
太爽了！
被硬控了
杀这个字真的像利剑一样
好帅好帅唱的太好了
好听啊啊啊
好帅啊石凯
偏见被我碾碎
这里摇头晃脑感觉真的很帅
开口脆绝了
太有感觉了啊啊啊啊
暴力美学
酣畅淋漓
开头绝了
n刷啊啊啊啊啊
这里双方的眼神都很帅！！！
真的爱死了
出不去了好好看
再来亿遍
绝美舞台
音色真的很亮很好听啊
这个舞台帅炸了
石凯猛猛冲
石凯好帅
太绝了
再看亿遍
逆流好争气
掉了一句，真唱无疑了
进总榜了
再来亿遍！！
不知道几刷了
不断小回看看细节
这个舞台好牛！！
这个向下看的眼神太帅
这个舞台比出圈的好吧！
来了来了
嘻嘻，又来了
太牛了！
两个小偷偷包来着。。后来主管来了
再来一遍
每日必刷！
看了n遍又刷到了，再来亿遍
他来了他来了
石对太棒了
包帅的
这里太帅了石凯
阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！
每天早晚一遍哈哈哈哈哈
飞踢
这个冲上去的感觉好爽
石凯这个舔唇的表情好酷
石凯，帅！
全开麦标记点
这段戏的节奏很好，看似打戏不断，但基本都是不用打的时候在唱
石凯，帅！
再来亿遍
石凯的嗓音我爱了
石凯唱的真好
再来亿遍
石凯的rap太顶了
被逆流而上硬控的第三天，看的第N遍
啊啊啊啊啊啊啊啊啊啊石凯
石凯石凯石凯石凯石凯
太帅了啊啊啊啊啊啊啊啊啊啊
石凯石凯石凯石凯石凯
这三人表现都很好！一起夸！
我爱了啊啊啊啊啊啊啊啊啊啊
再来一遍
石凯石凯石凯石凯石凯石凯
再来一遍
石凯闪亮登场
石凯石凯石凯石凯石凯石凯石凯
每日一遍
石凯石凯石凯石凯石凯石凯
太帅了！！！！！
恭喜你发现宝藏
啊啊啊啊
n刷
哼 开头见就见！！！！！！！
这段两人的表情戏超好，我脑海里像是自动补了台词
井胧这里好帅
好的舞台就是每个人都很出彩
每个人都好帅
阿如那的角色人狠话不多
恭喜你发现宝藏
开场好好听
打得好爽
真的帅。。。。。
那个舔嘴唇 啊啊啊啊啊啊啊
大佬以一敌众夺回包包这也太顶了
全开麦！！！！
你坐下 这几个人我来
井胧刮目相看 他唱的太好了 最好的
突然变成男人啦
耶子好帅啊
开口就稳啦
阿如那我爱死了
太帅了太帅了
前方高能 ！！！！！
这几天都不知道看了多少遍啦
说阿如那帅我都说累了
逆流而上冲鸭
井胧的这句披风好有感觉！
再来亿遍
石凯，帅，石凯，帅。石凯，帅
真的太帅了！！！
再来亿遍
阿如那应该还翻了个跟头
阿如那阿如那
阿如那阿如那
这个歪头杀，蛊死我了
太牛了！石凯！
这仨私下其实都是逗逼哈哈哈
再来亿遍
石凯好帅！！
逆流而上猛猛冲！！
没事就点进来看看欣赏
李宏伟已经不是当初的李宏伟了哈哈
把凤小岳扔出去了哈哈
再来亿遍
太帅了我的凯
还得是音合啊，他俩音色太合了
再来n遍！
[前方高能]
[前方高能]
[前方高能]
再来亿遍
恭喜你发现宝藏
开头见大家！
真的音综打戏天花板了！
每次点进来都几百人在看
牛
观众的眼睛是雪亮的，这个节目做的是真好
恭喜你发现宝藏
这没点臂力都支撑不住
太阳不落，我们不落！！！
这不是阿如那都架不住
太阳不落，我们不落！！！！！
阿如那动作太漂亮了
帅遭了
阿如那！阿如那！阿如那！阿如那！阿如那！阿如那！
这里对唱好有感觉
别说真别说，井挺会唱的
wow
再来亿遍
阿如那帅呀
这踢腿是怎么做到的！！！
井胧这个翘腿好帅
这儿太强了！！！！！
凯凯帅炸了！
帅的我不敢眨眼
恭喜发现宝藏
这飞踢直接踢我心坎儿上
这多带劲儿
阿如那这句也太霸气了
甩手反复看
帅的发疯
来了 他来了
9
没有人可以只看一遍离开！！
阿如那已经在我脑海里帅两天了
太阳部落啊啊啊啊啊太帅了
想象不出还要谁能做好这个舞台，他们三个太搭了
胧子太惨了啊
好带感啊啊啊啊
好想看哥哥的reaction
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
这里闷声好绝啊啊啊
走不出去了
演得好好啊
混混感拉满
这开场绝了
太帅了！
最后这一下，超帅阿如那！
这个比笼好多了，竟然输了。。。
这个眼神和皱眉啊啊啊啊啊
胸腔起伏
这个吟唱好代入
阿如那超绝！
背景音绝了
反复观看
再来亿遍
Liar绝了
像老虎朝天吼叫
井胧你好会！！太好听了披风！！
井胧是帅的
有种当年mma的感觉了
开头见朋友们！！
硬控我好几天了
超帅
好帅的石凯！
真的太厲害了這個舞台!!!!!
帅
30万了
这个打戏太帅了
解扣子啊啊啊啊
凯凯真的，每次舞台我都好喜欢！每次都重刷好多遍，每天两眼一睁就是重刷！
liar~~~
好有感觉啊
最近被这个洗脑了真的
帅是一辈子的事情！
我又来了
好牛哇我天
太酷了
欢迎回来！！！
背景音太燃了
这个顶舌硬控我三秒！
六刷！最喜欢的！
babe babe babe
太酷了！！！石凯猛猛冲
三天了，我还在反复看
再看n遍
为凯凯举大旗！！！！
好帅啊啊啊啊啊
凤小岳还给我
哥仨，每次意外的选曲都意外的好
太帅啦
这里帅惨了凯凯
好几刷了啊啊啊
真的好好看
太酷了
石凯牛！
恭喜你发现宝藏
石凯！！！！！！！你超棒！！！！
阿如那可塑性太强了 也可以是混混小弟 也可以是黑帮大佬
恭喜播放量30万了
石凯帅！！！
我就喜欢他们仨平时日常那些相爱相杀抓马又哄好哈哈
再来一遍！！！
9月1号第三天我还沉浸在这个舞台里
爽
太帅了！！！
哇这个哼唱
好想知道阿如的鞋什么时候掉的
再来亿遍
哇
出不去了
我又来了
太阳部落牛牛的
总觉得熄灯是去找鞋穿了（尺v尺）
萨摩耶爆冲哈哈哈哈谁发的啊 笑鼠
一个字，爽！
阿如那的鞋掉了
这个舞台的含金量还在上升
这个舞台的含金量还在上升
太帅了
哇 这个背景的歌声
太牛了
莱尔
哥们又来看啦
石凯太帅了！！
阿如那这里太帅了吧
我的老天奶啊 可太帅了
感觉石凯当队长好好，让每个人发光
石凯，帅！
石凯声音好听
太帅了！
太帅了吧
n刷来了
n刷
希望出圈啊啊啊啊
全开麦太牛了，还打的那么厉害！
助力30w
反复反复观看
助力出圈
宝藏舞台来啦！！！
太帅啦啦啦
N刷了，再来亿遍
再来亿遍
这段也巨巨巨好看
这段巨巨巨好听
可以输给兰亭序，但不懂为啥输给笼
太帅了我的天
井胧开口好好听
太牛了各位，开头见
石凯的吟唱好好听啊
太阳部落！
再来亿遍
不管什么时候看都会有几百人在看诶
cool
每日N刷
刚听完0.75倍速，调回正常的感觉变快了
看到了诚意
每天都看
永远有人看哈哈哈哈
助力30w
躲的这一下太帅了
牛
这个liar好好听啊
！！那！！哥
阿如那
太帅了
帅
助力30w
阿如那真的太帅了！！！！！
好听好听
石凯做的好啊啊啊啊
训练包那个真的
这里的表情好有戏
这个和声好好听
开头的吟唱真的太有感觉了
太帅了
好帅
再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍
太带感了这舞台
再来亿遍
完美的一镜到底的打戏
出圈
三星
早安哈哈哈哈哈哈哈哈哈
上次看到这个力度打戏还是肖宇梁……
宝宝这次特别特别棒！！！！！！
前方核能前方核能前方核能前方核能
前方核能！！！！
说实话这个吞音让我觉得更精彩了
前方核能！！！！！
9月1号我又来了
太阳部落！！！！！
帅
哥仨是真的披荆斩棘了
太喜欢这里的对唱！！！
每天一遍
涨的好慢啊啊啊啊
太帅了井胧这一嗓子
石凯声音太好听了
我的最佳 再来几遍
太帅了
别搞别搞啊啊啊啊啊啊啊啊啊啊啊啊
如果感到无聊 就来看《逆流而上》
有亿点帅啊啊啊啊啊啊啊
石凯石凯石凯
每日一遍
打的真的太好了！
石凯啊啊啊帅死了
猛猛冲猛猛冲猛猛冲猛猛冲猛猛冲猛猛冲猛猛冲猛猛冲
三天了还是出不来，太帅了
好看，真的太帅了这三个人
井龙这句真好听啊
太精彩了，硬控两天了
太好听了石凯
石队石队石队石队石队石队石队石队石队石队石队石队石队石队石队石队石队石队石队石队
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
逆流而上实火
365个人和我同时观看
再来亿遍
石凯，帅
凯凯宝贝
石凯石凯
石凯的音色真的太特殊了
哥仨猛猛冲啊啊啊啊啊啊啊啊啊啊啊啊
被硬控了
好帅
我又来了
再来一遍哈哈哈
xxx，帅！
重刷好的遍
再来一遍
石凯唱的超好听啊啊啊啊啊多唱多唱
石凯打戏绝了
天空一声巨响，石小耶闪亮登场！！
桓桓哈哈哈哈哈
石凯太棒了！！！！！
石凯太棒了！！！！
太阳部落！
太棒了！！！
石凯，帅啊
帅！！！！！
呜呜呜凯凯的声音太好听好了
帅帅帅帅帅帅！！！！
太帅了！！！！
我的天出不去了这个歌
再来一遍
石凯石凯石凯石凯石凯石凯石凯石凯石凯
绝了
再来亿遍
恭喜你发现宝藏
痞帅，好痞我好爱
n刷
这是内娱能有的武打舞台吗！
帅!
全程高能
利落！
再来亿遍!
高能预警
对唱太牛
视听盛宴咱就是说
来刷了
阿如那鞋子都掉了哈哈哈哈
助力30w
为逆流三子疯狂打call！！！
太帅了
石凯包帅的呀！！！
这是真帅啊 重复多遍观看
双开门的阿如那 宽肩 窄腰
告诉老默 我想吃鱼了
欢迎回来
欢迎回来
这里阿如那摇摇晃晃也蛮好看
石凯好帅
视听盛宴！！
这里细听的气息声简直是点睛之笔
太阳部落太牛了
我又来了
天这里看着都疼
音乐综艺也是拍上mv了
助力出圈
再来亿遍
石凯，帅！
阳光正好 你们是烧不尽的野草
好帅
石凯特棒！！
石凯可以去唱那种动画片的OST
才知道是他的鞋掉了
继MMA后终于又有一个完美的打戏舞台了
这句直接鸡皮疙瘩
井胧这里滑下来好丝滑
抬手绝了
萨摩耶爆冲
这段锁脖井胧和阿如那好牛
开口就好听
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍
给我出圈给我出圈给我出圈给我出圈给我出圈给我出圈给我出圈给我出圈
兄弟在我周围（指阿如娜旁边空空如也）
谁懂啊这个翻身啊啊啊啊啊啊 帅呆了!!!
我都不知道看了多少遍了
这个招手我反复看！
再来亿遍
阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那阿如那
这个舞台你们做到啦
井胧井胧井胧井胧井胧井胧井胧井胧井胧井胧井胧井胧井胧井胧
石凯声音挺少年音的啊
阿如那气场好强
太阳不落我们不落
石凯真的好会唱啊！！！
石凯的声音好有辨识度
石凯唱歌真的很好听！！！
石凯这里唱的好有感觉
全程高能
我又来了
这真不是在演戏吗
很完整的剧情
太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～
太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～
太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～
就这个石队帅！每一次的舞台都很惊艳
石凯这儿范儿拿捏
井胧出场好评
警笛声
再来亿遍
疯狂无限循环
完了，出不去了哥们，循环两天了
太迷人了
这个打戏好猛
超赞的舞台
这段rap真的很好听，谁懂啊
太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～
太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～太阳部落～
他们三声音太和了！
石凯猛猛冲
啊啊啊啊啊啊啊啊啊超级大旋转
兄弟们，给我上
再看一遍 好多小细节
三个人太适合这首歌了
阿如那出场那一下有点张晋在杀破狼那味了
石凯
n刷开始
这段唱的好绝和他们打的一样好精彩
阿如那要拿包，石凯冲上去阻止
反复高观看
太阳不落！！！！！！
就这！！！翻身好帅我滴娘诶！！！！
啊啊啊我的鸡皮疙瘩起一身
帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅
再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍再来亿遍
帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅
干脆利落！就这打戏 爽！！！！
眼神戏好牛
起鸡皮疙瘩了啊啊啊啊啊啊啊啊
循环啊啊啊啊啊啊啊啊超绝太上头了
石凯打的拳拳到肉的感觉
上头了
太帅了
神级舞台给我出圈
狠狠出圈！
这段巨巨巨好救命
太强了在这个舞台
神级舞台
每次看都还是觉得太帅了我的天
再来一遍
再看亿遍
这个舞台牛
这个舞台牛
石凯闪亮登场
石凯石凯石凯
桓桓演我
石凯！帅
帅帅帅
好牛
石凯你好帅
阿如那真的 出场的时候好帅哦
我的老天，石凯帅！
助力出圈
石凯！石凯！石凯！
让哥来
石凯好棒
召唤兽哈哈哈哈哈笑死我了
石凯太帅了！
还好哥们穿的
背景音太绝！！！
火钳刘明
再来一遍
啊啊！！帅了！
那个老师太厉害 了
落凡尘  石凯唱的  大改观！
太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太阳部落我们不落 太
啊啊啊啊啊啊啊啊石凯帅
太阳不落，我们不落，太阳部落，我们部落！！
我又来了
被硬控几天了
这一段唱的好好听啊。
太牛了
上头第三天
再来亿遍
石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯石凯
