生前留影（）
歪日，帅啊
帅啊
歪日
等我买张4060再说
寄？
帅
这游戏买268太亏辣
橙字你家虚幻引擎自带这样的景？↑
黑神话.广智现已加入steam全家桶系列
大家玩悟空的时候为什么都不用晏虎
你好
帅！
再牛逼也是虚幻引擎的功劳
这一张还行比起前面的感觉差了点
原来暂停才是最帅的
我听到了仙法的回想
先天领周天，盖周天之变，化吾为王！！
风后奇门！
老马啊老马
卧槽，太帅了
打钩锁百列啊
神杀枪！
无敌
广哥救我
啊？
只猴
铠甲合体
（见危思广）是指见到危险就想起广志
无敌了我艹
还得是专业的
哈哈哈哈哈哈哈哈哈
老马啊，老马，啊啊啊
卧槽
卧槽！！！
疑是银河落九天 尸兄 诗仙剑
我第一次当幽魂，广智帮我打了半条血，非常牛
《阎王铠甲，合体》
万钧
这么帅
这是自己调的吧
不是哥们，下下个视频又是你了
钓鱼佬（）
哎我次奥
不是哥们儿，这么帅啊
三刷插眼
二刷插眼
十刷  要烦死了
上号！
急中生智，见多识广。
！
？
居然是风灵月影宗门下的弟子！
马哥！
不是哥们，你搞这么帅，显得我很呆
光速二刷
奇门遁甲，启动！
二刷了
后天八卦，就是图的方向错了
好像显卡坏了。
太迪奥了
银狼铠甲(幻听
太帅了
啊？
黑神话广智
炎之广智
有一种阴阳双鱼的味道
策划，你看他
wc
集合！论剑！！！
火焰山土地这场BOSS战的美术真的爆炸
bgm么？
风后奇门
广智：给我加点啊
拿自己定中宫的是武侯奇门
化吾为王
马天霸
哈哈哈，这个解说
见多识广
猴工与龙
哈哈哈哈哈哈
你怎么跑这么高的
广智救我！！！
不是男生不会拍照只是你配不上我好好给你拍照
黑悟空广志（确信）
振刀处决式
我草，这不得来个坤字土河车呀
我听到了什么？
这是打的老猪吧！
飒！
2
。。。
黑猴卖他 268便宜了
黑社会：广智
只隔了2个视频又刷到了
天河一挂淘龙鱼
帅帅帅
帅帅帅
8102开赌
我了个周圣在世啊！
寅虎铠甲不好吗？
回复那个阴阳割分晓的 应该是阴阳割昏晓
八戒:bushi小侄子 你真是天命人啊
我心中的梦
三刷了
阴阳割昏晓
对角线构图？
真能玩出花来
黑神话，广智
牛
这不就是一后天八卦吗，是谁一直在说风后奇门的，奇门遁甲不是九宫八门吗
牛逼的水墨风
我嘞个后天八卦
血脉里的审美，太美妙了
7866
不是哥们儿？！你真会啊？！
一咳嗽，广智，让他见见我们的羁绊吧！
马哥啊
因为根本不是影视级
帅
我去，地狱火
黑泽明模式
我嘞个
盖周天之变，化吾为王
马哥啊
把旁边悟空换成广志就行了
布什戈门 你合体了没 bgm 的啊
看的不够过瘾，评论区再翻翻
哇欧
老马啊
啊？
两三百还是太便宜了
羡慕配置
三刷
不宗门拍 摄影师容易寄
二刷了
原来是宗门弟子~久仰久仰！
澡称冯福
黑叔叔·广智
握草
下一站江湖 3
为了心中的梦，欲血奋战像一阵狂风
帅炸了
卧槽
黑风山广智，拜见老土地
老马呀~老马
隔着一个视频又刷到一次？
十分抱歉！由于我的疏忽没有注意到八卦阵摆位的细节，如果想要了解正确的八卦，请用合适的方式去了解正确的八卦摆位哦，可别被我误导了！
卧槽
芥末帅?
我超！
这张太惊艳了
张力知道吗？那是我同学（
夕瓜？
啊？
前面的，这哪错了？不是后天八卦吗？
啊？我就说咋这么刮痧
[ohhhhhhh]
熙康
这个时候应该小黄龙 广智不顶用了
不知是什么剧情啊，隐藏了吗？
我c第一眼没看出来这是黑神话悟空
我勒个对角线构图
卧槽！！！
截哥
我靠
这游戏卖328还是便宜你了
老 猿 与 海
刀狼
永不空军
翻墨倒朔
好看
赶紧发到外网去啊，这好东西就必须让老外好好看
赶紧发到外网去啊，这好东西就必须让老外好好看
太有创意了
哇，你币有了！！
哇
啊？
这么帅的？
300块卖给你亏了，3000摄影都拿不下来
哇
噔
帅啊
至此已成艺术
牛逼牛逼
牛皮
专业的就是不一样
墨海屠龙
啊
我们玩的是一个游戏？
是秦王破阵曲
啊？
攒豆就是这个声音啊
角落的八戒被截去（悲）
撑杆跳（确信
哇，这个最难拍到了吧
艺术！
可惜这么惊艳的设计，只用在了一个boss身上
这游戏不止年度最佳！艺术品
老粉
嚯
卧槽
万年潜水被激的给了个三连
这就是传说中的遗像吗
怎么拍的
真tmd帅
影之刃哈哈哈
不会拍照的男的你看他能截出这么好的图不？
我的妈呀
卧槽
我测好他妈帅啊
别打我老马！
卧槽！卧槽！卧槽！万万没想到
这也太帅了ba
会拍照的男生也不一定有女友哈哈哈
太帅了
太帅了
谁说男生不会拍照的
八戒！
老马啊！
土地一次过的，看他自己本体脆的不行我就知道肯定有转阶段
nb
太会拍照了哥们
帅哭了
哇靠太帅啦
好美的画
给鱼一个大逼斗
这是明日方舟夕的攻击音效？？
哇
使用波纹之力！
鸡爪流，启动
歪日
老马啊，老马，啊啊啊
QAQ画质感人
广智铠甲合体！
全体起立
随手一截就是一张壁纸
帅帅帅
野猿广智
护手换成念珠就更帅了
极天流星雨VS大圣齐天
独钓寒江雪
牛！
阴阳割昏晓
上号
叮
老马啊~~呜呜呜呜呜
'
命可以不要，拍照一定要帅
至此已成艺术
不是哥们儿！
币有了
太牛逼了
钓鱼佬！
暴打马化腾！
对你M岛
阴阳鱼：布什戈门
没什么印象啊这招
这个BOSS设计是后期顶级
打完这里我还以为马哥没了，支线断了
这些弹丸能不能来一张
炎狼铠甲
应该换枪来拍
第4955个
我去
这个太好了
怪不得拔河了 鱼真不小～
帅
太帅了
太帅了！
夕的普攻音效？
卧槽张力十足
风后奇门定中宫
哇帅
智狼！
听，秦王破阵乐！
《黑神话:广智》
老马呀，老马
我去
这游戏268块钱卖给你们是真的亏了。
我去这个构图牛牛
牛哇
倒影绝了
我去
广智：休伤吾儿
我去，那么好看
wok
、这种水墨画一样的战斗场景太棒了
哇
秦王破阵
老马啊！！！
卧槽！！！
二刷了
教练，我想学这个
可以
马哥！
拍的好
帅帅帅
我勒个漂泊佩恩
我愿辅佐不良帅
为了心中的梦！
黑神话:广智
《黑神话:广智》
我草
西牛贺洲第一高手，广智大师！
我草牛
直接关注
太酷了吧
好看
太好看了
帅啊
帅啊
666666666
这张好
帅啊我去
WOW
因为这最后一张图  会很帅
握草
草
就这几张截图卖几百都不贵
这个我知道，张力，我同学
张力
怎么做到收藏跟关注一样多的
、、、好看吗
vocal!!
广哥，救我。
太帅了
卧槽我喜欢这张
不是黑神话么，怎么变壁纸引擎了
宗门弟子
造化钟神秀，阴阳割分晓
我靠，周！
这里是我看直播觉得场景最好的一关
哇塞
有高手
因为最后一张巨帅
强！
帅
我怎么听到了宗门的力量
真的帅
阴阳鱼！
BGM不是秦王破阵乐吗？
离字！炼狱！
6666
你的“广智救我”没气势ꉂ(ˊᗜˋ*)
帅
战斗的时候怎么照相？
我嘞个摄影师啊
为了心中的梦
绝了，超帅
帮帮我！！广智先生！！
帮帮我广智先生！！！！
这是悟广吗
急中生智
别打我马哥
不是这是什么滤镜弄的啊。。这么帅，让游科套皮开个小武侠
不许打马哥！
这要4090才行吧
你猜为什么叫影视级
1000＋
怎么背景音听到了夕的三技能的声音
怎么有叮的一声（doge）
广智才是主角
帅
宝个毛
急中生智
好帅啊
老马啊
哥们起鸡皮了
广结善缘
字不是广智我不是很认可
这个好有张艺谋的影的味道
卖268真的是亏了
太漂亮了
什么杜普兰蒂斯
这张帅
火焰山土地是真帅，可惜数值真低
黑神话:广智
是哥们
风后奇门
WOC！
老马啊~啊~老马啊~~~
不是哥们儿
游戏 还是卖给你们卖便宜了
秦王破阵乐
哇
这太帅了吧
拍摄功能成功被玩出花！up主镜头感真的很强，游科这场水墨boss战做的也好
帅呀
不要欺负老马！！！
听到了大圣的声音
这游戏几百卖你亏大发了
挺帅的
现在人文化水平这么低了 看个八卦就只知道风后奇门了?
黑神话:广智
啊？我一遍过的甚至没喝药
《足智多谋》:广智使用越多，越容易在谋略中战胜对方
是夕宝的音效欸
太牛逼乐，我都想象得出要是真人版武侠片用这种构图运镜会有多牛逼
好有张力的画面
哇，太帅了
步时戈门
土地这一战太有水墨画味道了
土地这一幕太爽
这构图无敌
马哥？
怎么拉这么远的
黑神话:广智
不是原来这么好看啊。
现在黑神话的战地记者真不少，这是第三个了
怎么不配BGM
前面的，bgm是：听！秦王破阵乐
这328卖给你是卖亏了(ーー;)
乍一听挺耳熟，秦王破阵乐
小怪：把我拍那么帅
张艺谋的《影》
你 币有啦
(⊙o⊙)哇
好帅
后天八卦
键鼠p键进入照相模式
好好好
我草
广智：休伤吾儿
开赌
我超，绝了
老马呀！
不…不良人？
说广智刮的，广智是百分比伤害，小怪刮痧，大怪刮骨。
头上长草了
张力！
啊，我怎么没见过这招
哇
一杆钓起满天星
广智？光之铠甲！合体！
BGM：象王行
不知道还以为来打你的小怪
有水打不动
见多识广
后天八卦图
张力好足
不！！！！！马哥！！！
不愧是广志，轻易做到了天命人做不到的事情
显卡:我受不了了
这个湖中倒影也是非常真
这个有点掉帧了
每一张都是壁纸
广志铠甲，吞噬血条的力量
你拍得给我整不会了兄弟
帅啊bro
黑神话：广志
卧槽？咋弄的
？这个音效在哪儿听过
牛的
卧槽？
老马
休伤吾儿
摄影狂人
广智铠甲，合体
银狼铠甲？
风后奇门？
天才
天河一挂淘龙鱼
不是哥们
夕的攻击音效！
广智救我！
披坚执锐！！
旁边应该写广智（
广智呢？直接看不见啦
风后奇门，是吧？！
啊？哥们你真会啊
遗照
黑铠甲：广智
这是个什么东西？黑八卦:广智吗？
太燃了，比博人传还燃。
老马，老马啊老马
老马
老马呀！
布什戈门？！
啊？
交战的每一帧都是绝美的壁纸
天！星！落！
叮～
老马啊老马
啊？
凌晨三点给我看不困了
妙！
真的好厉害
