还有高手？！
看得出来他真的很害怕
好家伙。麦片卖到弹幕里了
后面法官是将军吗
九一新址[z叉47]
这叫兵不厌诈！
九一新址[z叉47]
九一新址[z叉47]
九一新址[z叉47]
将军雅兴啊
医学奇迹
我常威不会武功
海洋法系独有
医学奇迹
这好像是7.62奖章持有者之一
他甚至进来才不慌不忙地穿
医学奇迹
医学奇迹
《裁判》
哈哈哈哈哈救命笑晕了
医学奇迹
狙他！！！
有点眼熟啊这个造型
妙手回春啊大夫
医学奇迹
妙手回春
将军！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
医学奇迹啊！妙手回春啊，大夫
医学奇迹啊
一斤鸭梨
大夫妙手回春啊大夫
常威你还说你不会武功
沈腾（不是
常威，还说你不会武功
将军
医学奇迹哈哈哈
这不是最强80吗
《狙他》
还不完，将军的恩情根本还不完！
医学奇迹～
忠诚忠诚
法官是金将军？
哈哈哈哈哈哈
哈哈哈哈哈，今天被你笑惨了
医学奇迹
哈哈哈哈哈哈哈
医学奇迹
这是半岛小胖在线审判？？？
神医啊
奇迹啊
医学奇迹啊大夫
神医
这小锤敲的 啪啪响
拿个锤子膝盖上一敲不就能跑了吗
将军，将军怎么做法官了
忠诚！！！！！！！！！
还有糕手
问就是医学奇迹
哈哈哈
一眼金太阳
6
正义处刑，判了他
你夺冒昧啊
阿凡提的故事最后一集
太像了。
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
常威你还说你不会武功
哈哈哈哈哈
还有高手？
医学奇迹，妙手仁心
哈哈
本人
《裁判》
莫名的像宇宙大将军
还说你不会武功？
严丝合缝
出其不意
眼睛都没看到后面就开始跑？
占领空屏
这小三连锤
医学奇迹
