摇头晃脑可爱捏
还有超级喜欢陆老师，您的画风还有怎么搞的呀？想学
视频的质量越高越高，质量越差，您是个例外
声援童润中同志，反对压迫，反对封禁！
把帧数拉高应该会好点
好Duang～
早上六点也有一百人看，不错啦
质量越高流量越少，那流量越少质量就越高，所以质量越高质量就越高
可是这个作品质量确实高啊，不懂前面的
好看
501个人
能看出你这个视频没什么质量了
大伙都是夜猫子
好可爱
懂了，之所以流量多是因为质量低
好看
提示：这是up翻纸手绘的
《全站排行榜最高第三十名》
太好看了
你，是高质量的敌人
德芙，打钱！（
大神这得多少张手稿
B站特色
曲对币有
熟悉的闹钟铃声
眨眼补帧
流畅
好可爱！！！
三连给上了！！！
全站排行榜最高第37名
可爱
流量越来越多，所以质量越来越低
纸绘手书!!!
首页通知书！！！
电视中的电视
超级高质！！
太好康了（星星眼
没币了，只能投一个了，抱歉
好看好看
基本都开学了
可爱腻
首页通知书
啊？
首页来的
927出来
三连了
厉害厉害
939人
太酷啦
我都没看出来，居然是翻页画，up厉害。
大佬
经典一播放20赞
有点大王娆命一主题曲的样子了
可爱捏
小众
909
nb
开学了
54.5万播放量？
直接做动画吧
神迹啊啊啊啊啊啊啊
短视频质量太好啦嘻嘻
6666
无敌
首页通知书！
啪的一下就关注了
好橙
喔
看不懂啊
喜欢
这啥歌啊？
上链接吧，求
挖去，太diao了
太可爱了，挖去
881个人
花了很多时间和力气的作品，质量就一定高吗？
开学了dT-Tb
917个人
可爱捏
哪里少了？
棒
八百七十七人正在看出来吧
这不得发个弹幕支持一下
首页通知书！
912人正在观看
挺一般的啊
首页通知书！！！太可爱啦啊啊啊
六
好可爱！！
打卡打卡
Q萌
833个人正在观看
801正在观看
up加油
我看成消耗流量越少了
说德芙去哪了
可爱
牛逼！
正好800人和我看
808人出来
热门通知书
1/4的点赞率
717人+热门
歌不行  说唱一秒就关了
绫华的小曲
《橙 人 视 频》
哈哈哈，小土豆小曲儿
火了赞我
火了赞我
橙色！！！（失智）
老婆！！！！！！！！！
首页通知书
好活
金森男人的歌。。。
没流量？反手一个关注
Up加油！
可可爱爱
上面都穿帮可以升级一下条件
gak
好自恋笑死我了
帅
太可爱
681个人站出来！
乃万先生的bgm？
顺风车拼车一喂顺风车
顺风车拼车一喂顺风车
顺风车拼车一喂顺风车
略老师的画风，喜欢！
高质量发展！
谁说的？
反手一个关注
赏
提前恭喜获得百万粉丝
真好看诶  想学画画了
赏
首页通知书
保护海洋（看到后传给千千万万个视频）
保护海洋（看到后传给千千万万个视频）
保护海洋（看到后传给千千万万个视频）
保护海洋（看到后传给千千万万个视频）
保护海洋（看到后传给千千万万个视频）
保护海洋（看到后传给千千万万个视频）
保护海洋（看到后传给千千万万个视频）
很流畅啊
733人
7.5新世界
c，没币了
重庆就是好啊（doge）
667
可爱哇
鱼越大鱼越小
678
牛逼
…………………………………………………………………………-_-
首页来的
哇，真是太棒了
主要是这些视频没任何意义
终于有橙人片看了
687人
！！
开学了，怎么搞啊？
首页通知书
首页通知书
手绘真君最新力作
重庆的重庆大学没延期
重庆的没开学
高质作者三连了
这段好
很可爱～
火钳刘明！
厉害厉害
当前观看人数555
首页通知书
首页通知书
666
就要个点赞？看不起谁啊！给你两币
要整活啊。
赏！大赏！给你两个币！
这下突然听懂了
开学啦
投你两个硬币吧
200多人和我一起看
确实是首页
好牛逼，，
可爱啊啊啊啊啊啊啊啊啊啊啊啊啊啊
逃到这里就没有村里人了吧
开学一周都上完了，这
+1
nb
perfect
Boring写错了
nb
我因为高温放了俩星期[超大声，超骄傲]
首页通知书！！！
播放量还在增加，特么我就进了下up主页，就涨6000播放！这合理吗！！！
那我为什么还能刷到？
卡瓦
已三连
三连了
我自己下意识得跟着摇起来了
好丝滑
首页通知书
可爱
原因：开学了
《 B a d   O r a n g e 》
关于全国德芙消失这件事
卡点舒服
原来是这首歌
厉害啊，必须投币智齿
你好
我只能表示，这很“略”awa
140个人
但是你点赞多啊
看看
这是高手
哇，热乎得
挺不错的
这还是24年吗
原因：都开学了
好耶！
可悲
这下听懂了
好看啊，up主也很厉害
流量+1
kksk
可爱！
要不出周边吧。
什么！这么好的视频居然没有流量，我靠！之前就看过一遍了，再看一遍！
我！在家照顾6个月了大宝子的宝爸！没学可开（贼高傲！）
我！我！开学了！！！
所以视频流量越少，作画数量越少
我！还在读书今天刚回回来
谁问你了 TAT
火了赞我
牛
好长
这一段好可爱
流畅啊
好可爱啊！
来了来了
不要停下来了口牙
送你两个硬币
up太厉害了
百万粉丝
我！因为高温延期了（更高傲）
选的歌很好，下次不要选了
好可爱
乃万！！好评！！
你好，结芬
可爱
流畅得嘞
110人出来
可爱捏
给爷火啊！
给我火啊！！！
一键三连！！！
好帅！
我说怎么赞那么少，原来是我来早了
首页来的
我！因为台风停课了！（高傲）
awsl！！！
awsl！！！
每期都投币呢
最后一幕太震撼了
这回质量确实高，不得不币了
以为标题是真的 原来是来早了
橙人之美
空瓶
一播放136赞
欧耶，还热乎
经典一播放20赞
