由崎司同款长生
省流：为了一顿宵夜
庞加莱回归才几百万年？
？
吸血鬼日记
所以说你欺骗了你同学一个夜宵
然后石猴出世？
我就知道，哈哈
这燕国地图真长啊
阿格尼
孙悟空是吧
停止了思考
恍然大悟
亚人
触发连招
马杰特放弃了思考，他的阿伟根本没有来救他
你们谁能进的去，出的来，我们就让他当大王
黑笑话:马楼
DIO：你等着什么时候有人捞你出来吧
水力侵蚀：6
衣服还在？
蚌埠住了
这是真成猴王出世了吧？
亚人是吧，不会老死的亚人
原来是猴哥
笑了
悟空
下一个大圣啊
《黑神话-阿廖沙》
爷青结
卡兹
军粮
这下子看懂了
衣服也复活啦
《我真的长生不老》
所以？熏悟空？
孙悟空还是什么？
活下去！！
哪里买的水泥 上一下链接
炎拳
其实这个视频3分28秒
要灌水泥扔海底了
第一章，猴王出事
突然释怀的笑了一下
然而真正和水泥没几年就软了，尤其是海里的
不过是些许风霜罢了
膏潮了（bushi）
省流：百年西游
亚托克斯？
基因可能突变？
稳辣
那这不是在制造矛盾吗？为了什么？为了制造出一个只想复仇的恶魔吗？
真挺有才的
不畏死，方可生！
活下去
现在欠两顿了
21世纪少年
那不是给他永生能力的那个人更厉害?
活了2000年，能当个历史学教授
致不灭的你！！！
石纪元是吧
阿刃：同道中人
省流：一切都是为了宵夜
我好像听过这个
超能力者都排到277号了，难免有一些里面机构的工作人员拥有什么加固的超能力吗？
省流，见他一顿夜宵
正常水泥过个几百年都该干废了。更别说海水腐蚀。
？
猴子出世了是吧
燕国地图最长的一集
6
星际人类 接受永生者的复仇吧
《准备送死》
第一章：猴王出世
猿神，启动！
钢筋混凝土？为啥不扔进铁水里
小明是怎么死的
所以衣服质量是真的好！买的推荐一下呗！
鸭脖！
忽然明白了，卧槽
ko no dio da
这个音乐竟然是金光神咒
草哈哈哈我看懂了
没有用，哪怕是用钢水浇筑，几千年也能出来
孙悟空！！！
坏未来
猜到了
卧虎渊是吧
亚人
亚伯啊
被鱼吃了
只是永生而已，又不是永葆青春？
魔保育的爱丽丝？
难道是……
永生之酒
主角：原来我是天命人
阿格尼
钢筋混凝土能保持几百年就不错了还在海里哈哈
成孙悟空了？
dio不对，当时dio再过几年就死了，这个更像jo7的替身使者（二十世纪少年）
孙悟空
为什么比直接弄铁块里，是没有条件吗
对于永生者而言，不过是在水里泡个澡罢了
悟空
飞段
486：试试呗
我有，魔芋爽！！
6
逆流河上万仙退，爱情不敌坚持泪。
坚持
生了
我去，天堂制造啊
军粮有着落了
龙胤之力？！
毕竟是超能力世界混凝土牛逼点没问题啊
模仿知乎回答？
千空Promax版
丸辣！
对他使用炎拳吧
不是哥们？
浮世英寿
尸兄
方源！你做了什么！
活了两千年，还在底层。
飞段 着我熟
我嘞个不死不灭
这啥衣服？
？？
猴王出世
？黑吗喽
害我笑了一下
丸辣！
哥，两千年还是个普通人，你是真不学啊
石纪元?
柱之男（bushi）
无悔华夏音效！
丸辣！
图穷匕见
20世纪少年
《 Island》《夏日悬疑》
哦，宵夜！
迪亚哥会来救我的
《黑神话悟空》
《2.0》
阿刃
所以原先的人类成为了天庭？
悟空是你
懂了，孙悟空
？？？？
进化出了鱼腮
卧槽，
普通人可能觉得很丑，但是这些事情真的是真的
致不灭的你
苏牧牧
说实话主要是怕疼
五百年了...
炎拳
英寿，是你吗？英寿
吐胃酸
生生不息？
这不是有个外国电影的情节吗
卧槽
这回燕国地图变长了
完了，这把是修仙世界。
都活2000年了，也不知道多锻炼一下，练习一下武术枪法什么的
《问久》
黑神经：悟空
路明非表示还有这好事。
黑猴，启动！
我嘞个island啊
猴王出世
庞加莱回归
绷不住了
夜宵
以后的事后必再有，已行的事后必再行
原地复活啊？我还以为找一个复活点那种的呢！
仙舟人↓(确信)
丸辣
剑魔
乌鸦夜叉狂喜
阿廖沙停止了思考
黑神话悟空是吧
我看到了「生生不息」的激荡！
以为被封印是传奇的落幕，其实是序幕的开端
卧槽...
估计被水泥沉海里变孙悟空了？之前看过这个段子
深海里那个水压冲不开的吧？
所以啊，那块石头实际上是水泥
省流:《这个男人来自地球》
牧苏苏:？
省流:《这个男人来自地球》
夜宵请了吗
猴哥？
黑神话阿廖沙
我看到了【生生不息】的激荡
既然不会知道你是谁，那我就不知道你是谁。
坚定的唯物主义无神论者，不相信没有实物基础的谎言
致不灭的你
1000人出来
我累个美猴王啊
过了万年亿年，你又重生了
这一段与李献计历险记一模一样
省流:笑场了
佐藤？
BYD亚人是吧
忌炎
石猴出世
坏了孙悟空
跳出来的时候是孙悟空对吧？
上次
懂了，孙悟空是吧
省流：骗一顿夜宵
不死是吧
猴哥猴哥
up脑洞好大呀
大圣！
灵猴出世？
不会磨损吗
亚人！
钢筋混凝土最多几十年
亚人
打人桩
这个男人来自地球
你是悟空吗？
马杰特•马杰特，八木山夜露
Doctor
我突然释怀的笑
《陀思妥耶夫斯基》
我看见了「生生不息」的激荡
给你个【不灭】就老实了
致不灭的你
悟空的一生
了她！
坎瑞亚不死诅咒
庞加莱复现
混凝土还泡水里没有保质期？
转生之我成为孙悟空这件事
有点儿像炎拳了
想起呼雷勒
完了看过这个剧本几次。。后面猴哥出世
黑神话悟空。
这给我干哪来了？还是国内吗
省流：嘿
不离人
丸辣
时空管理局是吧hhh
第一集 猴王出世
全军听令，自刎归天！
人都是这样的
这里说的几百万年，是指从原始古猿带来的肌肉
钢筋混凝土寿命只有两三百年正好，前面说过了，是让这个同学至少这辈子见不到他，正常人也就活个100多年撑死了
牧苏是吧
谁家混泥土这么耐造
亚人？？？？
300年多一点就没了
哎呦，被困那么久，出来就能当花果山美猴王这猴王爷当定了
过几百年就可以了
什么衬衣这么厉害
为啥好好的要这么搞，魔女狩猎？
炎...炎拳？
二周目
飞段
省流:嘻嘻
省流：为了一顿夜宵忽悠阿伟
顾楠
巨人是吧
钛合金混凝土，啊，我操，几十年过去，混凝土就就快碎没了都
不灭
飞段？
疼呀
刃：6
绷不住了
水泥怎么可能保持百万年
省流：为了顿夜宵
为了骗个夜宵，吃不容易啊
闪！
天堂制造
天堂制造 ---  Made In Heaven！
打生桩啊！
亚人处理方案
？
代价是别人死了就死了，你要承受死的时候的痛苦
我？大圣？真的假的？
盘古
什么申公豹？肉身填北海之眼？
可能肉干年以后，钢筋混凝土灰结构崩塌
哈哈哈火影是吧哈哈哈
NND不成了究极
Re•从零开始的逃兵生活
懂了，女娲用水泥补的天
方源：谁？哪呢？我看看
？
坚持仙蛊，炼成！
省流：嘻噫
？
有点像卡兹，有点像悟空
砸瓦鲁多！
什么金刚狼
金刚狼
《孙悟空》
hhhhh原来是为了让他请夜宵啊
初见端倪
你选择彻底的活着还是彻底的死亡？
龙胤之力
为了顿夜宵你是真能吹牛逼啊
让你不死  你就不会复活
阿廖沙？
几百万年没人交流基本会失去语言能力
这个有电影的
不可能啊，水泥不可能几百万年还不化
彭加莱回归
庞加莱回归？
完了，钢筋混水泥他又来了
庞加莱回归
稳辣！
我可以接受快给我永生
哟，安吉罗~
石神千空
有人不断为--献出生命
希儿？
你无敌了孩子
生不如死啊
红红火火恍恍惚惚
悟空：你点我呢？
啊？byd穿越了是吧
尸王？
所以你想蹭夜宵是吗
工作人员呢？来一下啊
哈哈哈哈哈哈哈哈哈
TVA，确信
封印指定
超脱三界之外，不在五行之中
铁处女
丸辣！
不会精神崩溃吗
道家元会轮回理论，十二万年一劫，就玉帝度过了一千多回
《浮世英寿》
正常水泥过个几百年就差不多了
然后硫磺海诞生（bushi）
放弃思考
用不了那么久，早就出来了
庞加莱回归了
庞加莱回归秒了
我嘞个神话啊
完蛋
？？？
活下去
什么水泥质量这么好？就算是金属，5万年也成粉末了
这下看懂了
盲猜结局石猴降世
不可能的，几百万年都变成灰了
混凝土会被腐蚀掉的
不是哥们，剑魔出世是吧？
？
马杰特·马杰特
一股强劲的音乐响起。
布什戈门
谁给不灭点赞，不灭是不死他要的复活
天堂制造 ---  Made In Heaven！
方老魔：你刚刚说了永生，对吧？
我抄炎挙
冷知识，海水是有腐蚀性的，即便是极其坚固的钢筋水泥，或者科技再往后推进，放在海里几百几千年都能损坏，不至于被困那么久
想到亚人了
什么水泥质量这么好几百万年都没腐蚀。
在山里我能听见各种各样的声音
像真有这个是那个同学会被拉到警察局。
图穷匕见
？
嘿呦呵
怎么有点像173？
活下去。
图穷匕见
阿伪
成猴哥了
悟空？
永恒轮回理论
哦 这不新石纪元吗
没事，时间能磨灭一切
稳辣
泡久了就散了估计要特别久，但是对于永生者只是一瞬
dio~
吓我一跳
石纪元
过两年就是黑神话：阿缪沙了
那沙哥你历史为啥不及格啊（doge
背景是去非洲 了?
朋友:为了吃个夜宵请演员？
然后你把海水喝完了
死侍：7
《您的床已被遗失或阻挡》
《穷鬼的上下两千年》
神秘博士:这个我熟
迪奥：熟
目标明确
悟空
死的很快每次只能活
省流，你其实欠我顿宵夜
亚伯？
所以说玉帝是人类？
并且注意，这是在海里有碱性的海水，水泥只会坏的更快
这水泥，质量好的离谱了，在哪买的？
暗裔
谁来当神仙
之后你看见了刚被带走的你之后呢你就去找你的朋友吃夜宵了
坏了，看过最后成孙悟空了
虽然不死死了还能复活但是呢会痛啊懂吗
为啥不浇筑在钢铁里？
还有高手？！
『二十世纪少年』
『20世纪少年』
魔阴身
谁家永劫轮回
庞加莱回归
图穷匕见
什么island
冷知识:钢筋混凝土的寿命只有两三百年
最后，卡兹停止了思考
我嘞个慈怀药王
又杀出来个工作人员就丸辣
是怕死吗，是怕痛
五条悟算个屁，他这一下子就死了，还有卡兹人家虽然说痛苦吧，但人家好歹不至于那么痛苦，这纯粹就是求生本能疯狂的求生求生本能还在呀
剑魔：来！与我一起！灭世！！
忏悔罗盘？
那是不是有人来抓你了
悟空
我们估计也轮回过了
海水好像可以腐蚀钢筋混凝土吧
陈九，我的天赋是复活
亚托克斯
省流：什么燕国地图这么长
什么混泥土质量这么好
致不灭的你
173
《三分二十八超能力片》
你菌子吃多了吧？
朗基努斯大人
盘古？！
科幻啊
省流：这燕国地图也太长了吧？
记住这个夜宵
省流：夜宵骗局
阿格尼
我看到了生生不息的激荡
丸辣
省流：封你为八戒
尸王龙右
停止了思考
？？？
这完全是折磨人吧
下辈子见到了
Dio
海底深处的压力不会把石头压扁吗
深海水泥
收束时间线了
岁悟空
省流：老演员笑场
我想起那个被困在钻石里的漫画
立正了
好家伙轮回了
卡兹表示6666。
哟，安杰罗
不死:这我熟
二周目确信
若黯夜终临，吾必立于万万人前，横刀向渊，血染天穹
到最后图穷匕见了
6
悟空？
就为了骗顿夜宵
为啥要这样啊？
猜对了
盲猜变马楼
这个石头落水，我终于看到了后续
几百万年混凝土还没坏，那也是牛逼
魔芋爽
《魔阴身》
怎么全是焉民
哟，变成猴哥了？
我听见了生生不息的激荡
亚人
鬼武士无惨
古月方源：什么！哪里？！！！！
NB
卡慈：我和你差不多，只不过我是在外太空
了她！
藤本树:开庭的时候记得把你的视频带上
飞段；这不是我吗
一直死
活下去
几十年就出来了
千年终焉
黑神话悟空？
《魔阴身》
《丰 饶 孽 物》
《大梦千年》，《在明朝救马皇后》
我赴死是为了能死，战争不是儿戏，但正好我想si
深海少女
实在有才！！
滴水石穿是化学反应
坏未来
死侍
doctor who?
由崎司是吧
不会要从石头缝里蹦出来吧
神金
孙悟空是吧
《黑神话：人类》
绷不住了
停止思考
占领空屏
卡兹
2.1
变成卡兹了
少卿：这个我熟啊
到现在的话，如果他这个水泥没被冲开，要么就已经和大陆融为一体了
这混凝土质量真好
失踪人口回归
不死鸟:这我熟啊
省流:吃夜宵
你搞半天就是为了吃夜宵啊。
其实浇在混凝土里就行了，扔海里反而可能让他跑了
悟空出世了
46分钟前
什么水泥这么牛
蚌埠住了
不会死又不是不会疼
这不马骝吗
可以成为永动机
黑马喽启动！
悟空？
最早的一集
爷爷，你关注的up更新啦！！！
孙悟空？
几百万年前有一只马楼
谁家飞段
他都笑了。
27分钟！
俗称猪八戒。
还有一点懵。
懂了
那是不是永生了两次？
所以是真的有孙悟空啊
最早的一次
合着《西游记》是他写的。
dio：6奥
啊？
五条悟：感觉有点熟悉
日本富士山爆发
想到石纪元哈哈哈哈
迪奥:这个我熟啊。
我凑，我猜到了
往期的秘密找到啦
绷不住了
《准备赴死》
卡兹
这不会干扰士气吗？
悟空？
意识流视频
帮黄老爷把这条腿接上！
你是孙悟空？
我就想过获得这样的能力
蚌
斩断不死！
？！？！
高山，石胎，孙悟空？
卡兹
6
……
这下看懂了
省流：骗了一顿夜宵
省流：夜宵
省流：天蓬元帅
省流：嘿嘿
已经猜到结局了
省流：夜宵
燃起来了（
亚人
省流：为了顿夜宵编的
悟空，是你吗？
省流：骗了一顿夜宵
逆天↑
逆天
《奇葩校规：禁止编故事骗人（》
啊？
为了顿夜宵这样子编
猴？
省流：骗了一顿夜宵
占领空瓶
马萨卡？！悟空！
占领空屏
无毛鼠（bishi）
这么早！
用禁液？
黑神话悟空启动
沙哥这身衣服有点帅的哟
孙悟空！
本以为不火了，没想到是我来早了才发现两分钟前
1分钟
好烫，2分钟
哎，不是一播放20赞
最早的一次
好烫好烫
经典1播放71赞
播放一！
B站特色一播放35赞
无悔华夏的音效
1播放45点赞
一分钟前无敌了
1播放20赞
播放一无敌了
