舞蹈功底都这么扎实的吗
扎头发的是谁呀
我他妈眼泪在眼眶打转
好好听！！
歌还不错诶
卧槽我好想哭
好好听啊，舞蹈也很好看，两个主唱姐姐好有范儿
我靠
当初就很喜欢这首歌
挺好听的呢
好听啊，曲风很特别
大爆一定要大发大火
这个姐姐好米
没有翻译呀
我靠
曹璐真的很努力 没有她就没有这个重聚
好好听
原来是这首
走花路吧！
回归大发
这个动作也好帅啊
妈呀那甩手太太帅了我天
支持！
好想哭
宝宝们你们特别特别棒！！！
有感觉了，以前的味道回来了
前奏好想哭！！！
leon就火个一个其他全死
太好听了
祝前辈回归大发！
好喜欢
姐姐有姐姐的魅力 好帅
伴奏太有特点了
冲冲冲
神曲！
好漂亮这个姐姐
原来？？？？
好好听啊
挺好听
这段钢琴也太好听了吧
长裤子那个是不是主舞啊
怨妇风无敌
有谁懂这段贼好听
惠美我真的好爱
弱化编曲，完全突出人声，音色简直是杀器
这首歌好好听
天哪。。。好喜欢你们
地下rap出身
这个前奏好好听啊
妈呀，还是二代的游刃有余
好帅
今天
谁还记得疯狗rap
回归大发
支持
姐姐们身材都好好啊
FIESTAR 卡加！一起走花路吧！
大家可以刷瓜有机会召回打歌！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
二代身材管理绝了……
女爱豆解散这么多年依然身材状态保持这么好，反观某些男爱豆
从初中听到工作
大发！
好好听
纯正kpop味！
如果全员女西装感觉也很好看，不要紧身那种
为什么现在没有这么正常好听的歌了，都有点奇奇怪怪的
身材管理都好在线
这么离谱
真的很好听啊啊啊啊，姐姐们大发
有mirror的感觉！
这身衣服真的哭了，回忆杀
为了梦想，坚持下来是很厉害的事了
这首真的值得
很有以前韩语歌的味道
二三代一般都是主唱c位
还是那么美
卧槽好好听
原来是这首歌！？
好好听啊
Leon的偶像团体都糊了，就iu红，后面leon变身kakao后也不出团了就开始买买买
韩国以前训练生真是严苛训练出来的啊，等级森严
怒那呜呜呜呜
我到现在还听这首呢，还在我歌单里
完美的女团配置，没火实在是当时竞争激烈，没后台可惜了
好听
给曹璐他们宣传多多的，看看能不能上国内舞台或者综艺表演
要哭了，这和mirror是真的好听啊！
rap好帅
御姐们的魅力
好好听
太不容易了
二代团
科普一下是曹璐自己花钱组队发歌，大家多去支持曹璐，在b站搜曹璐就能看到正版。
科普一下是曹璐自己花钱组队发歌，大家多去支持曹璐，在b站搜曹璐就能看到正版。
很漂亮啊
我天哪，歌单里的歌！
熟悉的二代歌曲
副歌好好听啊
姐姐们的身材管理都好好
真的爱舞台
有梦想谁都了不起
听了一小时了，唱的真好
这世界上最伟大的事就是追逐自己的梦想，甚至帮助别人完成梦想
我手机里现在还有这首歌
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
怨妇释怀，真的很会聊哈哈哈哈哈
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
中文版是红色的光，韩语版是蓝色的
律动还是很好啊！！！！
真好啊真好
这个姐姐好迷人
呜呜太励志啦曹璐
姐姐加油
这首歌当时还有好几个百万直拍吧？门面的百万直拍
我喜欢这个胯步动作，看起来好帅
姐姐太宠粉
这首歌我听好多年了 循环起来没在腻的
噢原来是这首歌
如果我追的组合解散六年后再这样我会哭死
她们还和IU合作过一首歌，月光海，当时也是榜单第一吧？
以前的歌没有句句英文
加油！
我的妈，曹璐姐姐的腿好长啊
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
蛙趣原来是她们的歌！
喜羊羊与灰太狼决战次时代还是勇闯四季城的主题曲也是这个调调
好帅！
看她们的表现就像现役爱豆一样
好帅！！
这个甩手太帅啦
所有人腿都好长好美
哇塞！！！原曲已经很好听了！！！更好听了！！！感动
jei的腿还是这么绝
这姐和当年变化不大啊
本来就是小公司，kakao也是后来才买的这个公司股份吧，之前更小
怨妇风
确实是以前和iu同一个公司
？？？
长裤这套好美哦
曹璐回韩国了？
果然美女年纪大了也是美女
文艺复兴
这个姐姐音色太好听了
希望新团体看看，以前不红的团体的业务能力，不红只是因为运气，绝不是因为实力
大发
哇这位声音好好
姐姐们身材管理都好棒…
crazy dog当时真的很惊艳啊超帅的
看了rapstar对yezi印象很深 没想到是这个团的
unpretty star2的亚军yezi
好好听的声音
这歌是exid 女团的安孝珍写的
iu的亲故
中文词的意境也很好，填词感受到了释怀，大家可以听听
看出来曹璐为人真不错啊，自己出钱买了版权，part还是原来这几句查无此人的程度
终于没有耳朵莫名其妙的感觉了
crazy dog啊谁还记得
这个雨中的景真的是太漂亮了！！！！
这个背景音唱的真好啊
这姐真美啊
就是纯好听 冲呀
我还真不知道！原来这首歌是她们团的！
啊啊啊啊啊啊
支持支持！！
好听 舞蹈也好看
能上打歌吗
腿真好看啊
璐璐还是没两句词啊，都改编了来两句吧
露姐自己根本没几句词
主唱 linzy
主唱 惠美
曹璐
队长 jei
rap yezi
声音都好美
好好听
想起了曾经kpop不那么火的时候温馨又美好
其实撒水这块 她们应该光脚跳 效果更好
fiestar和iu原所属社都是loen不过后面被kakao收购了
一键三连上热门
一键三连上热门，一键三连上热门!
加油加油加油
现在都没有这种风格的团了，真的很喜欢
这首歌真的很好听，以前就很喜欢，但不知道这个团
jei真的好漂亮 一点没变
这是新沙洞老虎的歌
太好看了
璐姐花大价钱请zico anysong编舞团队 改掉她们以前被迫接受的性感舞蹈
加油
好好听啊
这个姐姐的声音太好听了
队长感觉一点没变啊
好漂亮啊
支持一个
状态都好好啊
姐姐们回归大发！
长裤子主唱是JYP练习生出身
yezi crazy dog
回归大发！！！！！！！
才发现扎头发的是我们国人曹璐啊啊啊啊啊
这个新版好好呀
都好好看啊
这首歌旋律太经典了
好帅
好听
姐姐们状态太好了！
新版编曲太好听了！！！
改的也好听
谢谢UP
rap实力很好哎
这么多年了身材管理依然在线
希望取得好成绩
田小娟的师傅
还是之前的歌好听啊！
再就业吧！姐姐们
yezi姐的rap很好听大家可以听一听
比现在很多歌都好听太多
姐姐们都好美
爷青回
YEZI!
回归大发！
这个新编舞比之前的好看多了
重新编舞比起原版好多了
我果然还是喜欢成熟的姐姐！
crazy dog
太爱了
跳的不是很齐，但是也算是弥补遗憾了
挽发的姐姐叫JEI，金珍熙，是门面
纯路人 看着就很有实力的样子
呜呜呜
好帅
我的妈，JEI的颜值还是那么能打
我的天yezi啊我第一次知道
看了这么久才发现换了编舞
这段rap真的好听
姐几个太美了
好好听啊啊啊啊啊啊啊啊
自费真的哭死
我要来支持一下姐姐们！
没想到我还能看到2024年的版本
纱裙姐好几个c
三代的歌真的太耐听了
一如既往的好听
长裤姐跳舞刚刚变速好美
爷青回
长裤子应该是linzy
FIESTAR回归大发
比现在的歌好听多了
p姐你真的搬了！我哭死
那个年代的女团跳舞没有说哐哐打铁或者很难的技巧，但每个人舞感都很独特，特别有魅力
她们的动作都好干净利索
加油加油
给我大爆
原来是这首歌
这表情管理和身材管理真优秀啊
姐姐们真的对以前的编舞耿耿于怀哈哈哈哈
好好听
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
白色上衣的姐姐好美啊
加油加油
冲冲冲
这就是他们的歌！重录了而已～
柳有点像队长
iu不是背靠kakao吗，风格和资源差别太大了
这段音乐好好听啊
最喜欢这个姐姐
以前能出道的基本功都很扎实的
神曲
我竟然听过
文艺复兴！
这个动作好帅气，干净利落！
我天原来这是她们的歌啊
MV舞蹈和中文版还不一样
这个姐姐好帅啊！
前奏好好听
这个桥好听极了卧槽
都好漂亮
姐姐们其实实力很好就是可惜
比水牛回归曲好听
啊！！！这个是以前的剪影吧
长裤子的是谁
好听啊啊啊啊
经典服装
虽然现在女团是市场，但是姐姐们的舞台还只是单纯的女团梦呀
fiestar回归大发
怨妇释怀笑死
啊啊啊啊梦回
梦回当年啊，我的青春
这位是主唱
是的，以前是iu公司的
神颜jei，婚后还是这么美
新版还有中文版的！！！！！也超级好听
太美了姐姐们
都好漂亮呀
希望可以像勇女一样逆袭啊
好勇敢
真的是神曲啊，有段时间一直再听
喜欢姐姐们的多多听歌切瓜
曹璐
rap yezi
都还好漂亮，实力也能打
门面 jei
主唱 linzy
这位动作好好看
主唱 惠美
主唱 惠美
这才叫rap啊
我爱yezi
啊？这首歌是她们的？
他们的状态是保持的真好
啊，中文版的歌词改编的实在是太棒了
c位姐姐是谁 好美
真的好励志啊
Yezi真的很会拉的呜呜呜
为什么我会一边看一边哭呢？大家真的一起多多支持姐姐们
真的很好听这首歌
哥 这是二三代女团 随便拉出来一个团业务能力都是杠杠的
居然是她们的
姐姐好加油！
回归大发！！！！！
队长是门面吧我没记错的话
太帅啦
靠 梦回韩娱
我鸡皮疙瘩都起来了 天啦
感觉怨妇释怀了
好好听
我哭死了姐姐们好努力的
前奏很好听啊，是什么乐器啊？
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
打call！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
酷！
泪目
好听
主唱 Linzy
主唱 hyemi金惠美
曹璐
yezi
啊啊啊啊椰子还是好帅
看个mv给我看哭了谁懂啊哇哇
队长Jei 金珍熙
她们好像还是iu那个公司，以前的时候
姐几个状态真好啊，这身材管理
看哭了呜呜呜
真的很感动
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
支持啊啊啊啊
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好歌
好听！
好好好！
比某些大公司的歌好听
哇！up搬了！
大家狠狠切瓜!给追梦的姐姐们一个上打歌节目和得一位的机会!
哭了 好喜欢yezi的solo和疯狗来着
神曲啊
看哭了，太不容易了
好好听
爷青回
开玩笑，二三代都是把一生都堵在练习室的，从刚懂事就以必须出道完成梦想为目标的
姐姐帅死我了啊啊啊啊啊啊啊
好帅啊
我靠，这首巨好听
熟悉的味道，好好听，想哭了
果然好听的歌永远不过时
好听
自费回归，谁看了不哭！！
挺好听的
因为歌很火 但是很多人不知道是她们团的 呜呜
姐姐们这次一定要拿一位啊
不是爷青回
今夕是何年
rap牛
还是好美啊
挽头发的姐姐好好看～
这个水舞台厉害了
!!!!!!!!!!!!!!!!
姐姐们啊啊加油啊
这个舞蹈版好棒
以前认识她们时候还是在路演上唱这首歌
都好美啊我晕
跟现在的歌不一样
真正的乘风破浪的姐姐！！！！！！！！！！！！！！！！！！！[打call][打call][打call][打call]
这位姐姐是门面吗？
你搬了！你是个好人
对这个团不熟，但这首歌一直循环好几年了，第一次看mv
请多多支持吧！
我当年的手机铃声
给每个姐姐的视频三连表示支持
真的好爱这首
好漂亮
很棒
改编的很好
姐姐们状态都好棒
很喜欢！
这是一首好歌
很好听啊
这个旋律原来是她们的歌啊
挺好听的
这个前奏！对味
身材疯了
一键三连支持一下！！！
jei姐姐太好看了
好古早的味
这个姐姐好好看
好感动
支持一下
Yezi!
姐姐们身材也太好了吧
好听
加油
加油
fiestar回归大发
腿形都好好看
开头有点熟悉‥是我的错觉吗
左二好美
这熟悉的旋律一下子就回来了
