小孩才喜欢黑深残，成年人都喜欢爱与魔法
过膝袜之歌！！！！
这就缺大德了喂
绝对霸权
好家伙对标驱魔少年x
啊，another也是这公司吧，画风好像
以前一直不知道这番为啥火
这位更是
神之天平
重量级
天哪，简直就是我
你不一定看过，但是一定听过核爆神曲
啊？
核爆神曲！
番没看过歌倒是听过
信協！
确实是中二期
四大名著下个季度就来了doge
有一说一作者脑洞堪比空之猩猩
还有完全不会读空气但歌声仿佛天使的濑尾
这个好看啊啊啊
洗海带
当时看就觉得纯纯猎奇作品搞噱头
啊啊啊啊这是十年前？？？
烂片出神曲
我嘞个绝剑
核爆神曲出处
我靠1000-7已经过去那么久了吗
烂片出神曲
绝剑篇是真不错，经常重复回看sao篇和绝剑篇
1000-7
这个也超级好看！
作者后面跑去给零之使魔补结局了
何止是新鲜，我都傻了
那时候我才九岁，超喜欢后宫番
神
治愈番
真神
两男主bl就好了
好像是因为换编剧的原因
全体起立
那个刀砍子弹是真好看啊
神！
入坑番
看过漫画，感觉没活了
确实
一来听懂了
典
老虚只写了3话，后面的锅可背不了
来了
入坑神作
别说了别说了汗流浃背了
花江夏树的成名之作，同期还有政宗君的复仇。
勾起了我的胃酸
天呐这简直就是我
我都社畜十年了，第二季都没出
所以月刊少女销量好质量高原作也还有很长篇幅，为什么没有第二季
这下听懂了
雀食
这个好看
啊听到&Z还是很感动
能所双亡，自他不二
这个电视剧也很好看，非常好看
孤睾战士
雨伞浇花
喜欢董香的单翼
万恶之源
看第一季就收手！
yoki
老虚就参与了前三集，后面没他事，他去搞东离剑游纪了我记得
飙血战斗仅限一二季
最后还得是异世界厕纸
14分钟时光机 谢谢老up
别念了别念了
我还以为说的是今年新番……
见千代进
最早看的轻小说之一
不能单身，求求你了
不能单身，求求你了
真神
啊？
尝试了1集，可惜没对上电波
入坑番
当年追着看的 贼喜欢哈哈哈
小林未郁的声音出来直接泪目了
披上这袈裟！
居然已经十年了吗
啊啊啊啊啊啊不要说了
唯一真神
太痛了，新番时光机都出现我追着看的番了。。。。。
哈哈哈哈哈救命
这个是真好看
az第一季就是神
真神登场！
治愈番，强烈推荐
呜呜呜，十年啦，依旧没有后续
yuuki！！
14年看不看动画的学生基本都知道这个东西
yyds
真神！！
心梗啊，男一男二争半天，女主嫁给一个打酱油的
马云我赐你姨妈！
刀剑排面！！
全体起立！
派拉斯吗这不是
哦哦哦哦哦哦哦哦哦哦
机油佬在火星挖出了虚空龙是吧
核爆神曲
确实
生存社螃蟹那集真的笑死
最后，爷就是二次元
3+33333333366.622261..............
+
记忆苏醒
都是我的青春哇啊啊啊啊！！QAQ
追更的第一部动漫，当时看第一集真的有被惊艳到
入坑番
远不如另外两
很好看 正派反派都有很多很喜欢的角色 20来集的剧情能做到这样很不容易
这点太逆天了，就像美利坚要把核武器技术送给朝朝来和平
妈呀这都十年了时间过得真快
动漫魔改了
跟这个没关系啊就是主线太儿戏没逻辑了，很多人真不关心这个所谓女主嫁谁
日本人的政治戏
其实也就小骑士跟公主算有关系，跟伊神没关系
没事儿，来听歌就很好，这是我个人觉得泽野最好听的一张ost
就是那种单机游戏里的主角，一路剧情推进一直杀
绝望老师BGM！
现在听到这首歌有点难绷
我的第二季呢！！！！！
入坑作
这位更是重量级。。。。。。。。
核爆神曲居然是在巨人后面出的？我的记忆紊乱了
永远的神
神明之作
op是真的好听
1000-7
起立
跟大家说，这番我只听了歌，然后就关掉了
马云空耳（
入坑番
真神！
真神降临！！！！
全是白光的bl番
痛 太痛了
二战后德法倒是真有够军火开发合作
高开低走
byd机械神教打到泰拉了？
草哈哈哈哈哈哈哈哈哈哈哈哈hhh
高高在上
黑月骑士VS暗月战队
这个和碧蓝之海都看了好几遍
优纪我的优纪
这位更是痛，太痛了
半田君
除了罪恶王冠吗？那好像没什么必要看了
这位当年更是重量级
烂番出神曲第一批队代表
这两个我超爱！！！！！
不要放原片啊啊啊
1000-7等于多少？
逆天结局
三大美食番
我勒个love stage
梦回高考结束的夏天
什么？？？已经十年过去了？？？
它！！！
？
说藏话了（doge
真神来了！
套路大家都用，但真有点子的才好看
但是漫画结局还挺好的
ED很好听
ed
生存游戏社，很好看的！！
我的入坑作，原来已经十年了
方言
难道不时bo吗
好看
没看过，但是知道派拉斯兽的梗图
第一季里男主被干到十一集半才开始有战斗能力
这下真是入坑番了
还有寄生兽
前作是《半田君传说》
碇真嗣？
等不到的第二季
这居然是十年前的了？！
我永远为残响打call！！就是没有勇气看第二遍罢了
至今记得那个星字
吾辈楷模
吾辈楷模
芙兰达点了个踩
别说了（已黑化）
太痛了，太1000-7了
这个现在看还是很强
奈因两个人99吧
亏贼，梦回14
死枪篇确实是青春了
入坑作
看得我云里雾里
什么玄鉴仙族
真神降临
超级无敌好看
永远记得第二季结尾看完的心梗
普罗仙遗迹
神！！
来了来了
拉克丝嫁扎夫特不知名小卒
下雨那段笑闷了
神
我家有整套的漫畫！真的好看死！
我嘞个真神！
俯卧撑呢？怎么不俯卧撑啊
绝绝子
当初看pv的时候特别期待，然后特别失望。
理科小知识？什么object手拆铁球
10年前我吃的真好
大脑在颤抖
kimi 去拿 吉他 糯米糖
月刊少女派斯拉
1000-7=？
啊啊啊啊，这个追完之后每年夏天都N刷
痛！太痛了！
X
致敬 鲁殿
没事 三个月后 14年10月pa的那部原创才是真重量级（褒义
那还是巨人（一二季）水平高
四大名著出列
这番也是成就了不少mader
当时结局后我缓了好几天，太难受了！！
月刊少女居然已经十年了
什么时候第二季什么时候第二季
入坑作！
神
太听过了 当初版权战争 b站买的第一部 没钱啊
超级喜欢
开头就是两部我最爱的作品
我一个多角恋胃疼爱好者，看这个片差点睡着……
这就再去看一遍
月刊！！！！！！
神作
说实话每集死一个，挺烦人的
斩！赤红之瞳
这不宇智波斑木分身须佐嘛（doge）
这是2014年？？？
歌也挺好听的
我应该在车底
诗人握持
仅限第一季
哦 老虚啊 没事了
漫画反方写的挺好的
可甜了
wccccccc！！！！
青春！
这啥番
月刊少女！搞笑恋爱的神！
这位更是重量级
入宅作之一。
这个真不错 打斗场面和便当角色都不错
卧槽 op
啊？？
当时就连不看动漫的同学都看这个
无处不在的哩猫
蘑菇伞
美食番
月刊什么时候第二季！！！
见封进
你知道金木的通吗哈哈哈
月刊少女呜呜呜
给十几岁的我带来巨大震撼
不得不说第一季的战斗质量还是不错的，然后后面换公司做了之后就呃呃
卧槽6人
最后还是二次元返祖了
真神降临
这部的ost我现在还会听……菅野洋子是神
我去，太经典了
ggo！诗乃老婆！
臭鼬可爱捏
？
漫画成了一对，不过不是主角这三对
感觉不如。。。绯弹的亚里亚
三森？啊？
好看。好听
这个也好看
超级好看 实在不理解为什么不出第二季
吹爆
这视频真吵闹
第一季多好看 第二季結尾就多不予置評
十年前的咒术回战
可是我小学看的喰种
其实就是这样，如果整个番的氛围是严肃现实的，结局现实就不会突兀了
刚看完
我只记得看过，别的什么都不记得了，确实无聊
那是跨时代的开创
什么86男主（
鸡皮疙瘩hhhhhh
俺初三嘞
神降临
天然夹
你说的对，所以这个为啥不出第2季，别的要出N季。。
还没出第二季
宝镜，有人在我家装摄像头了
凉宫春日的房间
当时我才九岁啊....该死的入坑番
难绷
这句话绷不住了
-+-+
已经结束辣!
入坑作
马达马达kimi我洗你大衣
原来是你
阎 王 点 卯
二次元进化论
1000-7 刷起来！！！
好歌好歌
漫画更刀！！
全体起立
听过，2200w讲的
还有人记得牧羊人，泪目
太治愈了
卡一字开一拿饭
我当年超爱哈哈哈哈哈哈哈
全体起立
第一季神中神，第二季吃了口大的
我勒个love stage啊
洗海带
笑死我了
求第二季啊啊啊
真神
巨搞笑我只能说 又想去再看了
东京食种
啊啊啊啊我最喜欢的月刊！！
呀买咯！不要再说了
别看第二季就是神作
高达seed二十年后都出电影了
没第二季太可惜了
泛式:《我和一个朋友靠骂罪恶王冠骂复合了》
这部的3d机战还不错
神！
璐璐萌！
青春之旅很好看
青春之旅！！！
喰种！！！
玛茵我的玛茵555
真神！！！
好看！！！
超喜欢元气囝仔！
脱出型nt：纳尼，你也......
明明是你
这个无敌的
这个漫画也很好看
月刊少女十年了？ 我第二部呢
月刊！！
那是真的
十年真快啊
求你了 不要再念了
哈哈哈哈这两个作品真的是很相似
当时刚上大学，接触这些还挺幸运的
@某绿毛
第一季虚渊玄，第二季不是他了
远不如seed，但当年热度很高，足见seed的时髦性
mappa双男主大作里程碑
剧情全忘光了
甲沟炎拔过整个脚趾甲，打了麻醉还是疼
已经开始痛了
神
洗海带哟
真神
踏马的，当年劳资入坑追的前几部就来个这个
谁敢想原作是四格漫画
少儿频道看的你敢信
人生相谈好看的
来了！
核爆
想复刻鲁鲁修吧
塔兹米啥表情我就啥表情
切尔茜，当年看到她的结局我直接人傻了，直接呆在屏幕面前的
这个超好看，建议补原著，原著是从动画后续之后成神的，很多妹子们到这个房间的设定都能解释
这个挺好看的
神！
啊6……6人？
火力覆盖不够猛，一个太阳不够那就十个太阳
恋爱舞台我嘞个豆，看的第一部耽美，小时候懵懵懂懂的，真的觉得bl很美好
这番追的时候弃了
哇哇哇竟然能看到这个
结尾很棒好吧，女主大局观
翻看无数遍的月刊
剧情可以的
1000-7
其实挺好看的
舌尖上的东京嘛
机 战 神 金 作
我靠，恋爱舞台
入坑番
神！！！
月刊少女！！！！
aniki——（无端联想天元突破）
！！！
全体起立
十年了卧槽
n刷的
确实，喰种和巨人真不配碰瓷寄生兽
B站有广播剧，非常好的
青春之旅好看！
我也喜欢尼亚。。。和大家
我心目中的神作！
再次起立
强推三坪，很好看的
痛，太痛了
入坑季
火星，古代科技，机战，这不是铁血的奥尔芬斯吗
四月！
笑死我了
人家直接去法国搬了
“不孝有三，无后为大”
泽野弘之的配乐可不跟你嘻嘻哈哈
哈哈 磕双男主的有福了
月刊少女野崎君！！！！
怎么不出第二季！！！！！！！！！！！！！！！！！
治好男主的精神内耗？
漫画最后也挺迷的
下个季度有重头戏白箱
看不懂
依神专场
这个战斗确实好看啊
入坑作！
三大美食番
西园寺世界：对对对，都怪我
cod13?
love stage居然也是十年前的番了
can？
其实有点无聊的
mizuki瑞葵女神！
实际过程也儿戏，看的时候千万别动脑子去思考
青春之旅
师傅别念了
神番
真真好看
起立
大师我悟了
月刊居然已经10年了！！！！！！！！！！
现在已经是正版受害者了
除开结局就是神作
什么时候出第二季！！！！！！！
神仙打架
大上传时代开启了
神作
入坑番
谁还记得濑尾结月
月刊少女赛高
试过了啃不下去
只有第一季不错
打上花火
爷青回
憋说辣
这个好看
这一句是致敬鲁鲁修。最早出自于08年鲁鲁修r2
后面便当地太随意了
十年了？？
真神登场
哈哈哈哈哈哈哈哈哈哈哈哈
还有高手!
一边男的死光一边女的死光
全体起立！！！！
确实
那一开始就使用伊神不就好了吗（）
切    尔茜
斯雷因你好苦啊呜啊呜啊 奈因好香啊我吃我吃
不要说了没脸见人了
神
但我对食尸鬼印象最深的是咖啡店里对和平和希望得渴望和追求的大家
真神登场
神
进击的巨人
阎王点名
我的最爱
卡哇伊
md，我现在在跟女朋友开车的时候就算这玩意（）
太痛了
神！
给我整嘛了
绝剑！
唯二神
真神
第二季
闭嘴番
哭了 入坑作
北乔丹南慕斯
别说了别说了
花舞少女
唯一真神！
鸡皮疙瘩起来了
喰种啊啊啊啊啊！
女主可爱！
三国杀太平天书之将魂觉醒（doge）
开始痛了
别说了，我尴尬死了
小学直接给我看抑郁了，往后几年是不敢看黑深残
无敌！！
然后就磕奈因了
當年阿b有，但我在補夏娜，等我要看的時候已經下架了
我看到这一幕直接痛苦嚎叫，这辈子没有一部动漫对我伤害这么大
很符合二次元喜欢的病娇
我竟然追完了这部番……
46+
入宅作啊啊啊，小学看这样的题材铭记一辈子
半田君！！！
都十年了 漫画都还没在一起呢我服了
眉头皱起来了
姬哥！
别说了师傅
入坑作
终于到我的入坑年了
下个季度就入坑十年了
顺带一提，当年瞎眼大家还猜男主是奥丁剧本，结果。。。
最强中文mad！
上次看到这个还是新番预告，都十年了。。。
超爱
这个确实厉害
靠，这个记忆太深了
芜湖
就是啊！
喔喔喔喔！
入坑作！！！
搞姬日常草
是的，这首歌也好听
影响了后代很多rpg剧情的描写
所以什么时候第二季！BTW，这首歌真的好听
公主怎么能嫁给骑士呢
唯一神
美食番是吧
核爆神曲
疑似有点媚泛了（恼）
好看！
确实是日本出来的
牛头人
前传也好看
看剧透的福报就是这个了
成年人都喜欢来点兔子吧
唯一优点我记得有个女同
真神，我的入宅番
真神登场
我勒个老虚
看山还是山了
？
woc，az
六叠神话大系
下雨那真好笑
这个番留下的唯一印象就是op很好听
花舞少女
泛式，你在说什么啊泛式
我小学用的塑料包书皮上面都有金木研
搞姬日常不讲讲可太可惜了
花舞少女很好看，歌也很好听
太痛了
有人记得加速世界吗……
伊藤城：没错是世界的错
直到十年后的今天也没有第二季
网瘾少年的后宫生活
中后期真的感觉太赶了，什么都想讲，但什么都没讲好
配嘛
woc，诗乃乃
都是当年轻小说入的坑
并没有
这个有意思
上半部分王炸开局，下班部分超级扯淡实在是没看下去
真神！！！！
痛，太痛了
谁和男主走的近就离死不远了
对味了
确实，第二季等麻了，这个番我刷了无数遍
白色方案前夕，德三把各类虎豹的生产方式卖给波兰并承诺和平
姬哥
学好数理化，走遍天下都不怕
痛
对，世外桃源
这个好看
啊啊啊，入坑番
什么seed
来力
好看
1000-7
我记得op1好像不是洗海带吧
强烈推荐
剑舞的原作轻小说还可以
死枪篇确实精彩
老虚好像就负责了前三集的剧本，后面的剧本他只写了个大纲
虽然明白是政治联姻，但给黄毛的戏份真的太少了
好耶！
没看过，不会这就是假面骑士空我里面被打的蝙蝠吧，每集都挨揍
团长（）
马达马达kimi
鬼灭之刃现代版
我的青春啊
我靠，我的暑期双榜单
是真的
对啊，第二季呢（咆哮）
月刊少女野崎君！看了好多次！！
看到封面，我啪地一下就进来了！
开痛！
无敌！
神
不要再讲了口牙
神！
淦！又是老虚！！！！
花舞少女！
确实
元气囝仔！！
1000-7
新时代团灭神作，鬼灭之刃
这个是真的好看
搞基日常
是谁想看，你不妨把话说得明白些(
起立
最活全家的一集
神中神
神
这首歌真的好怀念
这画面当初在学校和同学偷偷看的，到现在记忆犹新啊
丝袜圣剑我能记一辈子（
别让我想起来啊
草
学好数理化
这个我还真看过一集，就是刚买的那个季度
动画最后魔改了吧，是真的只剩一个人还活着
一直都没在意王女这个角色的戏份，所以意外的没觉得是烂尾
我接受不了！
呜呜呜呜呜呜
切尔茜呜呜呜
居然都十年过去了
绝剑篇
游戏人生为啥不出第二季
当年看这个公主真的觉得是个沙壁。
草血压真的高了，我是男二党
治愈番神作
这个日剧也好看
养女党来了
璐璐萌！
58+++++++++++++++++++++++++++++++++++++++++++++++-+
北乔丹南慕斯
痛，太痛了
重量级来了！
我勒个那年今天啊
烂尾！！！！！！别看！！！！！！
女性天生就有爱人的能力。
我入坑了
怎么感觉这还挺崩三原神的
什么崩三
14年太恐怖了
慕容复屡战屡败，为何与萧大王齐名
这个我是先看了小说，过了一年多忽然动画化了哈哈哈哈
可惜只有bgm出圈了
扎古？学员机最多就是铁球
日方d
超好看！去看！
日漫入坑作
月刊啊月刊 有生之年还能看到第二季吗
黄头发  是牛战士！
我超，当时给我留下阴影了都
痛，太痛了
入宅看的第一步，冲击感还是很强的，可惜现在找不到那种感觉了
bgm一出就想流泪了
这个太典了
早期ylg动画(
刚高考完
最好的一个季度入了宅
这部番居然十年了？！天呐当年给幼小的我带来极大伤害...
当时几个不看动漫的大学室友都开始追这个了
艾斯德斯真的很喜欢
到现在三刷
谢谢，光是想起当年的自己三室一厅就抠出来了
马云我赐你姨妈！
专业对口
好看
1000-7＝？
夜拳妹子我觉得很好看啊，可能是人物塑造带动了我的喜好吧
背景音乐   幻昼
？？
想起伤物语了
诸君，我喜欢战争.jpg
啊我的初中
还以为更新了哈哈哈
我到现在还掰手指呢
为什么缺外汇呀为什么会有经济的
让我们把荒坂烧成灰
堪比笑容的代价
青春之旅！！
那么用斩断万物的剑来砍吸收一切的盾会怎么样呢
绷
全体起立
最虐的一个
超级厕纸
死枪篇好好好，最喜欢诗乃了
青春之旅，真的好看
已经开始痛了
囝仔（zai）
这个时隔十年依然让人很痛心啊
幸好没看
知道了，原来是这部番啊
好看的
Summer porkets要动画化了！都去看!
=-=
1000-7
az相比核爆神曲更喜欢这首
1000-7＝？
东京喰种何德何能并列。。。
公主对谁都没有爱情
入坑番，我的白月光wwww
第一季还是没问题的
痛，太痛了！
搞姬日常hhhh
youki是神！！！！！！
夺少？
这里不是拔脚趾吗？
已经开始笑了
这个挺好看的其实
这可是小泽亚李第一个主役，配得太棒了
BGM: Breathless
公主就是路人
绀野木棉季
？？
夺少？
信长协奏曲！
eva
千代酱太可爱了
这个要补小说，动画完全没有展开
全体起立！！！unravel！！！！
好好看啊这个op
好小众的文字哈哈哈哈
寄生兽才是从头到尾都没烂得神作
好看鼠了
绀野木棉季
以色列：我就说吧 暗杀就是正义！
那首在高速上骑摩托逃跑的配乐真的绝
大师，我悟了
女主声优是华哥，女二是帽皇的cv
虐杀原形了属于是
我记得当时女仆的声优描述配音现场两个男主看到剧本脸都绿了哈哈哈
赞美欧姆尼赛亚
这个神！
神
其实前作半田君传说也很好看
这个超级好看强推
那个半田君传说的男主！这个动漫也超好看
青春之旅非常好看！有神曲
这都10年了呀
恶鬼缠身！
1000-7等于多少！！！！~~~~~~~~~
上条当麻：不幸啊！
这本书中期展开真的不错，可惜动画完全没做到那里
《凉宫春日的小屋》
难怪我洗海带呦
全体起立
来了来了
花舞！
当年追到最后人给我追傻了：）
真神登场
青春之旅甚至无法出现在正片
泛式喜欢的ntr出场了
太痛了
泛式想看的其实是有的
师傅别念了
别的不说东京吃货的音乐真的很棒，第二季结尾真忘不了
最后成为萌豚
草
bgm超级牛逼
神
最爱的一部
?
看这个视频感觉年轻十年……
那个年代，B站资源太多了。
卧槽，这特么真是我的青春了，还不知道追番是啥的我傻乎乎的吧第二季全程追完了
你给我亲上去啊啊啊啊啊啊啊啊
这玩意当年可不算烂番，它的模仿者才是烂番
入宅作
这么说，我的头像也十年了！
真的超喜欢登场时配的这个音乐
我大刀剑还能再战500年！！！！！！
这个商城真的痛
seed不就是偶像剧吗
我也想要真物！！
十年了还不出第二季！
女主和男一只有朋友关系，男二第二季被妹妹牛了
辛买臣名留青史
寄生兽是神作，其他两部cjb
漫画反复看，后面没怎么出，凑不齐第二季
原作没有这段
还有高手？
月刊少女神就神在就这一个瞬间片段都能让我笑出声
诚哥：抢台词？
大师，我悟了
原来已经十年了
别说了！别说了！啊啊啊!
神，但是没有第二季
不记得这番叫真实之泪，只记得后面那个养鸡了
痛痛痛痛痛痛痛痛痛痛痛痛
痛痛痛
神！
这个其实很好看
这个特别好看
来喽来喽
神！入坑作
这个在当时确实有点太黑暗了，表达的观念不怎么样
9和12的爱情故事
竟然都十年了
第四季是真无聊  给我看困了都
个人评分7，能看完
这才是季度真神
太痛了
笑了
入宅
这部居然是14年的吗我的天…
大鸣王潮
[ohhh]
因为这个名号知道的…
最早接触黑深残是寒蝉，那个反差太大了
入宅番
全体起立！
月刊少女
全体起立
啊？搞姬日常？？
我小学都有一个喰种的书壳。。
前传是半田君的传说
前两季特别好看 后面都就emm
这个世界并没有错，而是它就存在于那里
老虚发力了
听说好多人是这部番入坑的，，，何其惨烈
大道至简，最后醒悟还得是萌豚番
wc，入坑作！！
刀剑2的第二部分是川原砾原作写得最好的一个部分
纷纷完结
我去精灵使的剑舞！
哈哈哈哈哈哈哈哈救命
ED印象很深
我基本每年都会看一次
寄生兽是真神作无需多言
草
当年的三大美食番
养鸡党大战养女党
起立！迎接我们的神
别说了别说了啊啊啊啊啊啊
我记得结局不一样是因为动画的进度超过漫画了，所以原创了个结局
丸辣，全看过！
痛，太痛了
哈哈哈现在b站签名还是这个
这个很有意思
鸡皮疙瘩来了，第一季到第二季我看了六遍
第一集就很震惊了，把我看致郁了
全体起立
太对味儿了
美食三部曲
温馨提示：别看第三四季
别说了别说了
这个好看，又一个永远没第二季的
痛，太痛了
全体起立
典，但是我还挺喜欢的
看到月刊马上就进来了
全体起立！
结局太惨
这个成棒棒糖了
三位食神
本作女主CV小泽亚李后来和ed作曲者结婚了
我当时看真的觉得一般般，特别是去年夏天还有进巨第一季的情况下
真•意识流恋爱
马云我刺倪马
信长！这部我超爱！
主播行为请勿上升观众（）
这个想起来了，巨胃痛
泛式的语气开始愉悦了起来
白学构图
刀，但刀得很凄美
死枪是真的可以
我勒个美树啊
已上天堂了
《你是否在找莉可丽丝》
这个巨好看
刀片来了
从科幻剧情变回现实剧情，只不过太现实了
结果后面两男主cp飙升
前几天N刷了，还是笑到胃痛
《虚渊玄》令人安息的三个大字
十年了还没第二季
实在是超赞的作品
卡其脱离太
瑞葵！
当时追到结局我人都傻了
入坑时间
这剧的两个男主的cv是不是花江夏树和小野贤章来着
当时的弹幕：学好数理化，走遍天下都不怕
来了来了，它laileq
啊啊啊啊啊
但是全都不防水。然后被男主的训练机吊打
最有名的其实是这首歌（
这不铁血一个命运吗-0-
经典的烂片出神曲
啊，真威武啊
他还是忘不了春物
超级高手
跟宫崎骏的电影里小孩角色的配音很像
14年的九岁女孩现在已经19岁了
寄生兽真的很nb
不也挺好吗
有牛不看
出院！
明明是白化
真神
这个声音一出，直接笑喷
对啊！所以什么时候出第二季啊！啊啊啊啊啊
我去 这就是我！（
月刊！
真神登场
吾辈楷模
吾辈楷模
歌好听
d当初在迅雷的在线网站看的，时代的眼泪啊
终于来了
中嘞，俺们走——♪卡其脱离太，莫娜莫娜一♪
这个有前作的
sabage!!!
名场面
与冰菓，游戏人生形成三大未解之谜
痛，太痛了！
您是否在找：《甲贺忍法帖》
来了
而且没什么门槛，圈外的也能看
月刊少女野崎君都十年了，什么时候出第二季啊啊啊！
救命
《动漫群星闪耀时》
入坑作
[ohh]
有牛我不看了，看了我睡不着觉
艾斯德斯，女王大人
有牛？？？？？///
舒服了
终于等到东京食尸鬼了
人生番
师傅别念了，别念了
你懂什么最后剩下的两个男主才是最好磕的doge
这个真的是我小时候偶然看到的第一部后宫番，给我看后宫番打开了一扇门
可以中間截掉兩人牽手
?
好，我的拳头硬了
sabage好看的
