我英文不好，那我就写拼音给他们吧！
中国人好像都没说什么吧，新华社什么的还放了英语版的西游记
外国人：好多字啊，不看了
互联网给你们看片的吗？不了解不会查？不会学？
这就是区别
好玩的游戏什时候需要不了解拖后腿了。
你币有了
那就别玩
那就了解一下
你们也就能玩个游戏。要去运营一个游戏，就是哪有如何是吧
那我了解美国西部？
阿婆主真是闲人啊
爱玩玩不玩滚
不了解赶紧了解呀
那就对了
那就别玩
币有了
可以出个中文版吗？我也想看
德国网友这话说的有水平
up辛苦了，必须三连
我咋没觉得北欧神话和希腊神话对我不友好？
并不惯着
不是哥们
如果你想玩，就自己来学
外国60美元
你玩游戏会西欧神话？
感谢游科！！！
没文化，去学呗
确实，如果不了解猴哥的身世开头打杨戬挺劝退的
7万阅读50多评论。。。老外这么不爱说话吗
那你去看啊去了解啊
你们的游戏也没见你们科普过啊，就这一点反过来还说我们来了真搞笑
这是你们的问题啊
这是你的问题，不是游戏的问题
对喜欢西游记世界观的应该也不友好
笑死了，我们玩国外游戏不也一样
大佬！！！！！！
还好吧，西欧的伦理关系给老整不会了
当中有多少中国玩家阅读量
这是国外玩家对中国文化不了解导致的
那就去看西游记啊
说得确实是有道理，对于游戏公司来讲可以听取意见，那些傲慢的就算了
自己不愿意学怪我们不好好教？
这很好，文化要自信，但不要傲慢！
客观不了一点，劳资为了看个动漫去查的北欧神话故事，也没说因为这事跑去差评啊！
反正错了他们也不知道，哈哈哈
不了解西游记是什么意思。不懂
干的漂亮
三联支持
先生大义
幽默
原来是你
外国的伦理关系也复杂
不了解，那你去了解啊！买家愿意买这个游戏，就说明至少了解了一些或者被游戏效果吸引！！！
最早的一集
牛的
自己不会学啊，非得把饭喂你嘴里？
菜就多练，不懂就去学
要不人家怎么是四大名著呢，每一部都有好几个研究学派
那就去了解啊
你做的好啊。
其实不是师徒四个而是师徒五人
哈哈哈，god of war
这才是年轻人该有的样子
杀杀杀就行了
看到三眼战神没绷住，哈哈
乐子，我玩外国游戏咋玩的
三连你有了
你币有了
nb
白龙马：谢谢你还记得我
谢谢你 朋友
看不懂就去学
我也不了解西部文化啊，玩大镖客不也游刃有余，自己的接受能力差在这赖上游戏了？
这哥们说的话有点小感动
不知道去学啊
西游记翻译成英文都成啥了，理解不了也正常
那就去了解啊，咋了
启动の小曲儿
那就了解完了在来玩。
爱玩不玩
不懂就去研究，我们玩游戏不懂外国史也没给过差评啊
《 简  单 》
太深奥了，他们哪有这么深刻的历史文化啊
冰之造型魔导士
游戏也无国界
注意是2018年战神4
那就去了解
可以！！
那你自己查查
的确，他们看不懂
？北欧神话也混乱啊，老子不照样玩外国游戏吗？
Great fire wall
啊？哥们不是
是实话
这就是文化输出，这就是文化输出!
西游记怎么望而却步了? 难道不应该是很新鲜很好奇么?
这个游戏刚好发出的节点也巨好，一切都是水到渠成的感觉，现在这个大势前所未有的好。
我认为这也是目前悟空比较大的一个缺点吧，如果无法让外国玩家了解到中国文化的话，那也只能玩到皮毛而已，这一点黑神话悟空还是要改进的。反正就是黑神话悟空越来越好嘛
让他们丫学
而你，我的朋友，你是真正的英雄
那就自己去了解，惯的。我们以前不也去了解你们嘛
up很友善，弹幕很丑陋
up太历害了
好玩就会去了解
好玩就行
西方文化不用了解，很浅显
哈！他们！自己去！翻！原著！呀！（虽然有些诗他们看了也不一定懂）
先生大义
这是超级重要的贡献
西游记是6世纪的事吧
纯放p 不了解就去了解啊！老子玩战神还了解北欧神话呢
那就去了解一下吧，还怪有意思了
现在不是有chatgpt？
So? 那就让老外去补知识
且听我娓娓道来
小伙子有心了
爱玩不玩，现在有的是人玩
硬币呢？老子要打赏辣！！
那我以后玩外国得一律差评，笑死
他们的游戏难道就没有文化壁垒？？比如战神系列你天生就知道北欧神话？
不懂就查资料
那就是他们的问题，多读几本书吧老外们
让他们自己学呗
辛苦辛苦
我对西方神话不感兴趣
哈哈哈哈哈哈哈
那是因为战神4本身足够优秀，能吸引文化受众以外的人自发的去了解相关文化
管我们屁事，要玩就玩不玩就不玩
我也不了解西方文化，但不耽误我能分辨清楚战斗和美术画面啊，就是傲慢和歧视罢了
确实是事实
不了解就去了解
先生大义
大头还没打过呢，那有空去当老师
如果你真的喜欢你，就不会只是嘴上说说，而是去认真了解。就比如我们玩外国游戏一样。
而你，我的朋友，你才是真正的英雄
不能等西方大儒，我们东方大儒要走出去弘法
为何不buy？
这就去给战神打差评，理由就是不懂北欧神话
难道让老外去看西游记不也是文化输出的一部分吗
爱玩不玩
.
.
那咋了???
.
杨戬：三眼战神
菜就多练 不懂就去学 以前是以前，现在是现在
.
.
原著我也看不懂
好贴心啊
棒啊
咋了 默认语言是中文 这是中国游戏！
北欧神话在全世界传播可比《西游记》的传播要广泛多了
爱玩玩不玩滚
说白了就是没脑子的人才觉得看不懂
神经
说实话不是前几年漫威电影火北欧神话国人不一定了解
nmb不会自己学？
所以应该按照原著做一个悟空前传
对国人来说 不是差评
给up点赞
你的翻译可能和游戏不统一
《简单》
3a不就是战斗爽吗？
不懂就去学，不了解就去了解
你们不懂凯尔特文不可能真的懂北欧神话
怪我喽
哥们铁猿劈
原神，启动
小白龙
而你，我的朋友，你是真正的英雄
原神，启动
牛逼！！！
三连了
双标
牛
支持支持！！！
不懂就问战神我给这种差评会不会被外国人喷
燃起来了！
想到某些二游自称的文化输出，真是笑了
正常啊苹果在中国卖的也贵啊，国外工资高游戏贵更合理了
很简单，不想看就滚，为啥求这么一小部分人也了解啊
好了，现在做到真正的文化输出，他们为了玩这个，他们会去了解中国文化
中国人太了解了
记得让外友们了解到神仙的等级划分 更加好让他们了解什么人物的强大
说的好像在艾尔登法环发售前就有人熟读法环历史似的
把自己没文化说得这么清新脱俗
这才是学习的意义
我突然释怀的笑了
我觉得是很多国人都望而却步
里面剧情台词真的很多有一定深度在里面，要去品
魂系游戏哪个剧情不迷？
不了解就自己去查
西游记不算复杂了
关我屁事
我们没抱怨过巫师三，也没抱怨过新战神，因为我们知道不了解文化背景是自己的问题，他们居然认为是游戏的问题
爱玩不玩
谁有耐心看得完？要的不是攻略吗
帅！UP！帅！
评测战神，是不是也要说对北欧神话不了解的人不友好？
牛逼
厉害
先生大义
我踏马直接三连~
币给了
不了解就去学！哈哈哈！
不懂就去弄懂，不适应就去学着适应适应
太贴心了吧！
感觉影响不大
"oh, no"
很详细，upnb阿
nb
白龙马，蹄朝西~
让他们看西游记动画片了解一下
不了解？活该亖切
鸡皮疙瘩了这一句话
预定拿奖了是吧doge
应该像魔兽一样，官方应该出一部编年史，给老外讲一讲
我也不了解外国文化啊。。。。。不是照样玩
从此 悟空不再只有是那个爆炸头了！
不了解就去学，想玩就别哔哔
我不了解那些东西也能玩战神啊
好！
文化输出
godofwar应该是战争之神吧更像战争化身的意思而咱战神是说战力最高最厉害的那位
那咋啦！！！
格局打开了
下一句是是关卡无聊，怪物太少
没好好看游记导致的
我B站用户愿称你为最强！
那就去学啊
你，我的朋友，你是我真正的英雄
这哪有什么客观，刺客信条全战三国就没有这种差评理由
朋友，你是我的英雄
科普5名角色 点赞！
玩战神的时候也对北欧神话不了解啊
外国的华人，或者中国文化爱好博主这时候不就可以发西游记内容科普了，这不是天然的流量？
好人啊
其实可以理解啊毕竟我们可是有五千年历史文化底蕴，对他们某些人确实理解不了
不了解，那就去了解啊！
把币投给你！看似平凡的举动却有着了不起的意义！
UP功德无量！！！
猿神！ 启动！
卧槽，帅
帅
牛逼
二郎神直接用拼音，然后才是英文释义
小学必背知识点
16世纪的修仙小说
说到底就是西方媒体作为文化中心太久习惯了
很多小国家其实缺乏本国的文化认同感
战神4那个游戏怎么评分不说对不了解北欧神话的玩家不友好？
支持，干得好，你币有了
两百算正常价格吧
喔
那就这一次开始，让世界知道知道什么是中华文化^O^
英雄！！！
引路人
先生大义！
厉害了！
那就自己去了解
憋着奥
你不懂，自己去看，别玩不起
那是你自己的问题
老外，不求你們玩，不求們喜歡
我也不了解北欧神话呀，更不了解地中海发展史
我玩战神的时候也没要求了解北欧神话啊
（主要是篇幅有限是吧，这帖子太小，写不下
nb
菜就多练，玩不起就别玩
还有在86电视剧的，哇
文化输出，请加大力度
这才是好的文化输出，不是人家看不懂就搁那喷人家，说自己看得懂就行
杨二郎跟杨戬并不是一个人，至少在西游记创作的时候并不是
这普通话听着真舒胡
牛！
可以读一读西游记嘛
没毛病
北欧文化中国人也了解吗？
又了解北欧神话，战神给了高分。
输出
北欧神话，我不懂，给战神打了高分。
想玩就去查，他们自己感兴趣比咱强塞要好的多，咱们之前玩游戏哪个不得自己去了解背景
既见未来！为何不拜？
i hen ！
666
没事，我玩战神也是这样的，完全不懂，所以玩的没太大感觉，通了几关就觉得很累。
不了解自己去学
真实
四大名著之一，你就算是写个十万字论文都说不完
热心网友
优秀！
山猪吃不了细糠
国外神话太乱lun了
三连了
你们一直在剽窃我们的文化和科技
笑了，那战神对中国玩家友好嘛
这位德国网友说的好棒！
那你就去了解啊，在这矫情什么呢？
没文化别哔哔
Loong，不是dragon
能把龙翻译成loong吗
那就了解了再过来不了解滚蛋。
丸辣
国内媒体敢因为不懂西方神话而给战神扣分吗
顺便普及西游记
chatgpt，哈哈
西方人的东游记
顶你
就是让你去了解 这就是文化输出
那咋了？
理解，假如哪天悲惨世界出了个3a，我肯定也不想去读
那不是你们自己没文化么？
完辣
游科与库洛
《没太多准备》
不服教化的蛮夷，也有脸在此饶舌
好了好了，给你币了，请继续加油
伟大的游戏
那就去了解啊
确实复杂，毕竟我们的文化几千年，他们的也就几百年罢了，怎么可能理解呢？
抛开事实
猴子王……三眼战神……
老师你是真的英雄
不是，它怎么知道玩家不会自己做功课，单纯唉鸡恩自己懒吧
黑神话·悟空~稀奇来马~弼马温~孙悟空，三桓（孟孙氏、叔孙氏、季孙氏）~三孙子~三损色~three sunset，日落之处，喀喇昆仑，道场悟道，冥界悟空，色即是空，譬喻即如绘画把颜色损到极致，就是黑！
拿凭什么我们要学习他们的知识？
骂的原来都是外国人
功德无量
先生大义
三眼战神没绷住
玩个游戏还当上大爷了，要不外网友去开发
别扯了 新鲜感是文化作品的生命力 喜欢的人自然就会去了解 不了解西游记才是最好的
想玩就去了解啊
爱看不看。真的是，
感谢科普！
也可以科普日漫许多角色也来源于西游记 例如《七龙珠》
不懂就学，菜就多练
大义！
你不了解可以去看啊
自己去学啊
喔，那你去了解啊
自己去查
你应该告诉他们，开局跟主角对战的杨戬，也有自己的独立故事，同样精彩，还他斧子的来历。
大圣自东来，经（中国文化）向西方取（去）
科普我都怕他们看不懂……
你做的好啊
中华文化走遍世界只是时间问题，我们的文化底蕴不输任何一个西方文化体系
好好好
牛批啊哥们
UP还在发力！
太好啦，总算轮外国玩家适应到我们了
他们看不懂就慢慢学总要开始的
这锅才思做善事
不懂就他妈去学，我小学的时候玩战神，什么宙斯赫拉克勒斯珀尔修斯美杜莎赫尔墨斯都不认识 都是后面自己去翻希腊神话科普 现在轮到你们了
支持，加油
就没见过拿不了解西方神话给战神刷差评的
可以可以
我们可没有因为不了解北欧神话去打差评
自己了解去啊，想啥呢
Monkey brother
国内也不是给电影剧经常打差评
正常都一样
逗，你觉得中国有几个能分清广谋广智？
考试重点是吧
我为啥要客观？我觉得好，就没问题了
我没设备差评╰_╯
三连
感谢
你不了解又不妨碍你玩啊，揍的爽不就行了
你不了解北欧神话，照样玩战神，恰恰说明了人家游戏的优秀
为什么外国游戏这点不给差评，说好的公平自由呢
看了86版西游记就懂了，连个电视剧都不愿意去了解
正道的光
真棒
谁让你不了解的？
先在老师这里补课再去玩游戏了
我感觉大多数中国人自己都一知半解，歪歪云读者特别多
猿神，启动
自己没文化不学习还怪别人咯
66666
那咋了，当初发行《刺客信条》的时候不也没考虑这么多嘛。想玩就忍着吧，忍不了别玩。
好好好
难？哪里难，这么多年一直都是这样子的啊
感谢你为中国文化做的贡献
真的很赞
BGM是什么？
nice老哥
搞笑哩，外国游戏环境有管过我们吗
那就去了解啊，你猜他做这个游戏的目的是为了什么？
而你我的朋友，
外国名著原版对不懂外文的读者并不友好，差评！
你是真正的英雄
高级
加分项
感谢科普
给他们惯的臭毛病
好的，这就去给战神差评（bushi）
上下五千！轩辕至上！！！
希腊神话有味些
北欧神话简单粗暴，不是教培就是打打杀杀
那些西欧神话背景的别人就了解吗
以前一堆游戏我们不了解他们的文化 玩起来也有很多东西搞不懂 所以 现在到了他们了解我们文化的时候了
重新定义简单
没事 让他们自己去查去看西游记
兄弟，你才是真正的英雄
客观您吗
佛法真义在震旦
美西方国家一直是双标嘴脸，他们被洗脑洗的可怜，一切与东方有关的都要黑
没有他们伦理复杂
泪目
看懂了
疯狂输出，文化输出
知识总是以一种狡猾的方式进入我的脑子
一定会有人看到！
不了解就去了解一下啊，玩战神的时候你们可没这样说过
外国神话除了伦理关系，还有哪复杂呀？
太有实力啦！
我的评价：不懂就学，菜就多练
我们了解北欧希腊神话？
中美合拍的西游记怎么还不出？
说实话，“偏见”
就是取经之后，都封佛位了。
nb
可是我们一般也不会刻意了解别国的故事啊
呱！是三眼武神口牙！
好在没有女拳打过来
直接看西游动画或者是电视剧就好 ，英文配音字幕都有
不了解就去学，这不是理由
是我的猴哥
我也感谢你！！！
你买书看电视剧都可以，西游记我几天读完了
看好了硬币之力是这样用的
被了解文化就去了解，不然就找不到攻略玩
对一个东西感兴趣，就会去搜索，去了解
好样的
那就去了解，别逼逼。
西游记的英文译本里会用猴子称呼孙悟空，没什么问题
8分叫差评？
棒棒
吃了没文化的亏
战神也可以差评了
外国人恨国人不是没缘由的，哈哈。
所以这两天央视在放英语《西游记》！
所以呢，那咋了？哪个中国人不了解呀？
好，给你三连了
感兴趣的人自然会想要去了解呀
法环：看来我发售时大家都很了解交界地呢
不了解不是我们的问题，自己去补课
支持
太赞了！
你的意思是我自己家做的游戏，还得照顾到你们不懂？
真好啊！
国人的文学浪漫
非常的好玩
劝不了解的人反思
确实很有可能！
那群野蛮人理解不了正常
大灾变
三连支持
这么说没啥毛病吧，
支持！
那就去了解啊
好棒啊 up，点赞点赞！！
坏了，老外要去了解前传
不懂那就去了解
文化壁垒？
老头环先了解文化才能玩吗
确实，第一次知道一个马喽会腾云驾雾的感觉确实很帅，尤其是小时候看86版《西游记》，那是真的震撼
不了解自个了解去
我特么都没看完第一卷。。
这句确实牛逼
翻译一下悟空传
不会就去学，这不是你们打差评的借口
干得漂亮
老师真的太有实力啦
给他们推一下动画-大闹天宫
尽一切恶得须陀洹，然后布施远离诸苦，受苦众生令得解脱，怖畏众生令得远离。  ——《僧伽吒经》
没太多....
反思！
中国人自己都还得再学习
去看西游记啊，电子小说，纸质书，电视剧，电影，那么多种途径让你去了解西游记你不去还打差评，自己不想了解还怪上游戏了
不好翻译吧
那你是真的坏啊.....
为什么不多读点书
外国人不会用chatgpt
确实，国内还有不少人分不清西游记和洪荒呢
好样的
太棒了吧！
你币有了
三连支持
说的真好啊
菜就多练
byd玩你们九分游戏的时候我们就知道北欧神话就了解北欧神话是吧
高中生要担心会不会成为阅读理解了
就硬骂是吧
不能让步，这是外国了解和接受中国文化的必经之路
说得我就了解刺客信条的背景一样
辛苦你了
以前来过
五千年文化你撑不住()
who cares？
其实也就七八分，还有很多不足
这下听懂了
没啥问题啊，在我眼里，刺客信条也最多6分。
我们当初不了解北欧神话他们科普过吗
不用理解，理解完它们就会开始曲解
我战神就没法玩进去，玩了10小时实在受不了弃坑了
博大精深的东西不是他们这些百年历史的国家能轻易看懂的
这话没毛病，我也完全玩不进去西方世界观的游戏
说实在是这样的，自己去补原著是一码事，上手一脸迷茫也是客观存在
千年文化的累积
属于是实在没得黑了
非常棒
非常棒
非常棒
是合理的，这些文化对外国人确实艰深
不是，他要是不知道的话可以看啊
说实话的确是，了解北欧神话之后再玩战神4的确心情不一样，有种笔友见面的感觉
我也不了解西方文化捏
这个事情，其实应该游戏商来做
我玩战神也无法理解北欧诸神文化
sandy哈哈哈哈哈
为什么不能贵你这什么心态好游戏贵不正常吗？
自己没文化还怪上游戏了
厉害啊
差评不是不够woke吗
好好好
哥们缺一部86版
支持！
其实黑神话悟空的剧情是接着斗战神悟空传的，直接说是异变并不太合适
就应该不友好，为什么要友好
没文化有理了
你们要不猜猜白龙马为什么叫龙？
对对对，我总是觉得悟空将会成为自战神4之后的一大史诗
北欧有什么文化，贴什么金
功德无量！
北欧神话主要就没什么难理清的东西。。。线条很简单
给币表扬
那就去读西游记!!!
这个格式感觉一眼chat
西游其实去的是南亚哈哈哈哈哈
你真棒惹
而你，我的朋友，你才是真正的英雄
哈哈哈哈哈 绿色字幕好骂
那没办法了 他们自己读书少没文化怪谁
法环这个比喻可以的
笑死了，不会拿筷子怪它不是叉子呗
所以跟我们有啥关系呢？我要教非洲食人族做豆腐吃吗
The Monkey Brother
高低得给你投一币
销冠！
先生大义！！
哈哈哈 卧槽  要是是英文翻译的话 还是缺少一点那个味道 哈哈哈
博主的工作很有意义
加油！
中国人都不一定全了解
好好好好好好好！有意思！
支持
玩只狼的时候也妹说什么啊，玩就结束了，又不是不知道背景文化就玩不了，就硬挑刺
支持
不了解就对了啊哈哈，就不是给你们玩的
666
看不懂哈哈哈
咋地了 我们当年玩欧美游戏也不懂他们的神话和历史啊
想玩就去了解啊
朋友，我的朋友，你是真正的英雄
魔理沙：灵梦快出门，有异变
那你去了解啊，我给你讲？
外国网友：我又懂了
对，玩美国游戏还要让别人了解文化背景
那咋了
希腊神话多简单啊，除了杀就是教培
好玩玩就行了，也没逼你强行了解中华文化
太牛啦！
就得这样，不了解就给我学！
英语不好做不到啊，
管我们屁事，你们的战神、刺客信条之类的历史或者神话我们也不了解不照样玩，也没见你们照顾过不了解你们文化的玩家啊，现在轮到你们玩我们的游戏就不愿意了解我们的文化了？
牛逼
问宙斯有多少个孩子
难蚌，游科主打一个不管不顾
sign me f**k up
客观？
厉害  三联鼓励！
扯 我玩战神时多好
谢谢up！！
、-】、
爱玩不玩
这还客观啊，那我们怎么那么了解漫威宇宙，那么爱看指环王霍比特人，那么爱看哈利波特
144H免签，启动
三连支持
菜就多练，玩不起就去学
反思
西游记新资料片DLC是吧
不了解就去学，少BB
那就别玩
文化传播就是这么一回事，西方四大名著在座的九成人不也没有看过
加油，支持你
他们发的科普帖子是用汉语写的吗？
又不是专门做给外国人玩的
北欧神话 圣经这些你就都明白啦？
不够多元（doge）
不了解就去看书，你不理解不是我们这边的问题
世界之蛇--耶梦加得
不了解就去学
你币有了！
我的评价是，关我屁事，我寻思我玩外国游戏的时候也没人来管过我啊
确实，游戏的根本就是好玩儿
强
而你我的朋友你才是真正的佛
真是傲慢
那咋了
那就去了解嘛
先生大义
西游记的二郎显圣真君不是杨戬
说明我们不够重视文化宣传
我玩战神了解北欧神话 外国人你们玩黑悟空搁这瞎嚷啥呢
确实 咱要这么想 文明的文化底蕴深度厚度是不同的 咱理解他们很容易因为简单 而让他们理解咱们的是很难的
难道我们了解外国文化吗？
支持！
赞赞赞
在我的地盘，对不起请说华语
那就自己去了解
不了解就自己去查去！我们玩他们游戏不也得查
菜就多练，不懂就学
好好看，好好学！
那外国神话的伦理大剧对谁都不友好啊
有本事自己多学学！！差评显得自己无知！！
赞
很简单，你会买一款印度产的讲述湿婆故事的游戏么？
去学啊，去看书啊，没事慢慢你们就开始学习中文啊
孙悟空 不是芒克
我们自己喜欢就好
加油！
甚善
让游科打钱
赶紧上电影啊！《西游记后传》！
先生大义
不了解玩不进去这是实话，北欧神话和西游记比起来内容其实简单太多了，完全不是一个量级的没办法比
Monkey brother（有端）
那就去补课暑假看两边寒假看一遍
顶顶顶
北欧神话感觉没有西游记那套体系复杂，那套神话体系哪怕是大部分中国人都不算完全明白
于是外网就出现了 一口气看完《西游记》
《西游记》的底蕴是中华上下5000年，北欧神话就是一群海盗瞎想出来的
夺少？
先生大义
不了解只能说明无知，没有调查就没有发言权
功德无量
不懂就学嘿嘿
印度人更应该自豪
厉害厉害
过于傲慢了   国外人的西方神话故事我们这边也摸透的人不少   为什么他们不能了解我们这边的故事？
爱玩不玩又没人求你
那又咋了？看不懂是老外自己的问题，跟我们游戏有什么关系
支持
先生大义
外国神话除了伦理关系还有比较复杂的吗
赶紧记下来，要考
先生大义
好好好 弘扬中华文化 加油！
老外那套逻辑我也不懂
不知道就滚去查资料去了解，什么都要喂嘴里？我们玩战神的时候会因为这种理由打差评？
战神4通了，完全不在意剧情，爽就够了
英雄
搜索“生命光华、爱与拯救”的故事，发生拯救自己的那道光！
搜索“生命光华、爱与拯救”的故事，发生拯救自己的那道光！
搜索“生命光华、爱与拯救”的故事，发生拯救自己的那道光！
得了吧，再别跟我说文化入侵
那你就去了解！
你不了解牛仔 你能玩下去大镖客 只狼吧
那你们的刺客信条英灵殿什么的不一样是欧美文化吗
学去
数据很棒啊
所以，你敢说说是哪个外国论坛吗？
笑死，西方的剧情难道我们就喜欢去了解吗
老师大义啊
白龙马：谢谢你把我当个人
