欲知造化会元功，须看西游释厄传，出自西游记篇首，有心了
感觉乳p了
RX580：再生父母啊
可爱捏
我6750XT 2K高画质都能稳定100帧左右
来了来了
啊
1050TI：我这辈子值了
被up的名字吸引来
卖电脑吗亲。
我现在就要打网球
为什么我开了帧生成画面会闪
七泽亚美出新的片了？哟 还是中华娘打扮的？
赛博女神
优化很不错了，低端卡都能玩还求啥
妙手回春啊大夫
嫌弃废话多的你们是不能快进吗？？？？？？？？？？
你怎么穿四妹的衣服啊
这是四妹的妆造吧？
6700xt:？
大善人就我猴命那
很烂
有没有3050笔记本的兄弟，让我抄下设置
甚好甚好
帮帮我的960
你好！大盘姬
大盘姬来的太是时候了
4g显存能玩吗
豪华版已购，正在下载，看完视频下载好了去调试
不，我1060开4K分辨率
mx330
610为什么不能玩
哇！
赛博华佗
ROG 3060TI前来报到
6900xt4k 高级 还行，偶尔卡顿
神医！
6500
手机能玩吗
我3050，我走？
本1050ti用户表示在焦急等待破解版
内设谁？？
后面不看了，预算不够
还得是她
贫穷限制了我的想象
这个建议不要开低，其他都行
怎么你可以进游戏里？
正片结束
.
就知道会来的
赛博神医啊
没有这样的朋友怎么办
笔记本4050miaomiaomiao
4060还不该自信嘛…
这是拿1060开光追么？？
太漂亮了 这个影响观看 静看美人忘记说什么了 小孩名字我都想好了
太强了
有960吗
虽然我买了一个游戏本。但从不玩游戏，哈哈
6800h
延迟贼大
羡慕大海
神医
mx350能行嘛
960 怎么半
请问960怎么调
握草，马上试试
4060他配4k显示器了吗
真有1050？！！！
非常有次世代的感觉
美女你谁
一句话讲明白，真是好老师
救救我的960
反正我9400F+1066运行很流畅，玩得很爽，除了黄风怪打不过开CE锁血闪退过一次，没出过任何问题。
奔4可以玩吗
为什么没有7700xt
←同是970的，握爪
阿狸不妨放下显卡，与我学点佛法，如何？
GT610请求出战
1080？？？
我去，赛博华佗啊大夫
妙手回春呀大夫！！！3060笔电开帧生成直接上100帧！！！
3036ti
降画质前降画质后
好
超然
阿狸这个号换主播了吗?
我测 我就是
当世赛博华佗
1660ti何在
此轮儿
妖精啊...
妖怪啊
这是谁???
是不是忘了光线追踪等级？
黑色显瘦
阿狸 救我口牙
华佗在世
000000000000000000000
师傅别念了，头疼
卧槽我是6700k
卡
970能玩儿吗？
帧生成我用Geforce experience看开不开延迟都一样，那我还不如开了
580
280
6500XT怎么办？
还要啥自行车啊
970在哪儿？
优化=无体验。可别自欺欺人了
我靠
跪一个 跪一个
580？？？我没看错
开全景光追就爆显存
好美啊
她好好看啊
光线追踪是默认关闭么
-+
全局光照是默认关闭么？
4g：？
我也是1050ti
血源诅咒
绝美
啊？
1030能不能
hi 老婆
神医啊
我选择帧数
4080表示毫无压力
1030能不能行
众生平等 挺好
核显报道
为什么没有1080
老婆啥时候瘦了
十方三世一切众生一切万法皆为一人一念之所变现
十方三世一切众生一切万法皆为一人一念之所变现
十方三世一切众生一切万法皆为一人一念之所变现
如是我闻，阿弥陀佛，阿弥陀闻，如是我佛。
1060显卡，诶嘿嘿嘿
这边准备用750ti试试
GT610 D3 2G  申请出战，60帧就可以了，不用太高！！
无效磕头
3050的我，狗都不如
妙手回春啊大夫
这是西游后传的主题曲？
1050怎么办
我一充钱，快乐七天
纹理是啥
10系以下参考1050ti
10
啊？
就是帧数越高反而越适合开帧生成
970申请出战！
美女你水
原来阿狸不是正圆脸
美女，你谁？？
5600xt  平均100帧
美女你谁
i3 8100可以吗
低配能玩就是好
6
妙手回春啊
原来如来是个女施主
卡可能是没锁帧
30系开fsr
3080ti也是这样设置的，稳定在55帧左右。无敌
体积雾影响观感
感谢up主今晚调试看看
这也能救？
阿狸化形了~233
i9级！启动！
这优化前看得我是身临其境啊
好呀
啊？？？？？
确实要设置，1080p全开满都只有50帧的程度哦
我开那个nv自带的性能监测，发现实际延迟40ms。。。。我这还是啥也没开
到！
1050TI蠢蠢欲动
1060还能再战么？
2080maxQ申请出战
啊？
赛罗奥特曼的bgm
970怎么办
2080ti哭了
阿狸，你是不是显卡精
好!!!
有人970的也能玩
能不能快点
1660TI申请出战
影视级太黑了，有时候啥都看不见
对对对，我一变身久卡的不行
瘦这么多？
居然有我580，壮哉
左边还更亮
那我直接60帧以上不开帧生成更流畅
要知道这可是虚幻5，真的很良心了。
3帧电竞
说人话
开帧生成感觉延迟很高，只能关了
虽然文案是不错，但来看的人应该都很急，话太多了
没有S80我是不认可的
感谢黑神话，让我认识了这么个宝藏up主
老四
谢谢你，赛博菩萨
赛博华佗在世
接受，完全能接受
游戏优化工程师深藏功与名啊
r9蠢蠢欲动
6800XT YYDS
妙手回春阿大夫
三分钟了还没进入正题
造型很帅，很可爱
优化是为了让大部分玩家能畅玩游戏，顶级大佬那只是少数
6800xt哭了
我630也想玩！
hi鼻孔
慢慢等
赛兔子的bgm
别慌，猴还会继续优化的
黑神话：我来给显卡上点强度
狸宝！
如数家珍
我6650xt那？
简直在世神医
赛博华佗啊
天才
这和我玩的是一个猴？
你是谁
真狐狸啊！太美了吧
？
别问，先收藏
2060
这一切还是在黑猴这种顶尖画质的前提下！
卧槽，美
手残党太受虐了
1050显卡还有机会吗？
啊
为什么没有4060ti啊？
老婆老婆
我不明白
客厅电脑 e3v3 流畅运行
空气墙不是有点多是太多了一些不能去的地方不如遮挡起来让你看不见，明明就是一条路但就是有墙，太影响体验了
显卡危机
彩！
才60-70？！动作类游戏，45-60帧跟150帧表现力是一个样的，你当射击游戏啊
显卡:“给爷整啸了”
哇
众神归位
A750哭了
打一下亢金龙就老实了
三分钟废话了
已点赞投币！
当代华佗
真的？
啊？
这下听懂了
坏了我1660Ti怎么办？
我开帧生成就闪退
我欲成仙快乐齐天
开头说吃显存的出来
赛兔子的BGM
设置里提示这项是吃配置的啊
神医！
远古卡皇1080Ti 2k显示器咋设置
赛博华佗属于是
赛博神医！
不是。。能不能讲重点？
注意，此处未标识为笔记本，所以是以台式显卡为基准，性能换算为笔记本会有性能衰减
怎么感觉左右眼眼影没画对称啊（）
而你 是真正的大圣
赛博华佗
肉眼可见的画质降低了
980ti行不行？
有我的（
啊？
原地先磕一个还行
bgm：我欲成仙。爱了
美
???我4060ti
欸，这是为何
不想，我想要高帧数
神医啊
太墨迹了
开了就bug了，开不了一点
黄风领的“头”原来在你这啊
7900xt表示全超高也没压力
神医
这还是你吗
这也卡的飞起啊
建议视频分个段落，我只想知道我的卡该怎么设置
100块的470前来报到
已投币，问问阿狸我5700XT，1080p参考哪个设置？
1050申请出战
善！大善！
4G显存都能拉满
3050咋整你把3050忘了啊
美女你好
战斗反馈？？？？你认真的？？？
Xe Graphics申请出战
用键鼠不能玩？非得手柄是吧？
因为他们家庭条件太高了，我们那个时候能活下来就不容易了，你看现在的小孩子有几个会担心吃饭的问题？
显卡：稳啦！
5600G 怎么设置
太强了，能玩就行
卧槽
5600 G怎么设置
就是我1050ti
狸子精
崩铁
来了来了
4G丸辣
不接受的，都给我存钱！
6650xt：我走
1060还能再战 币给你 2个还是太少了
6950xt玩家路过
我4G
纹理是什么？？？？？？
帧生成如果你原生帧率在50以下，不推荐开。。。。
确实
950申请出战
6500，丸辣
ps4帧数
960m
不，障碍是我手残
天哪，这简直就是我
来了来了，干货
握草，这过场拉满效果这么好的嘛？
750还能救么
我4060ti开中光追有70左右就是有时候会卡
絲滑
50没有6gb直接被开除
哇！
1050能玩吗？
1650申请出战！
啊？
NV不是辉达吗
这是谁家的宣发ppt
赛博华佗受我一拜！！
我的卡只能玩LOL高帧率
7900xtx超采88，全影视也是70帧（开帧生成）
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh]
等5090了
不好我的神卡1060
师傅，别念了
真 0帧起手
想！
核显？
美女你谁？？？
谢谢
丸辣，4060ti
ps5才多少钱！！
核显
3050？
不吃配置？凌虚子出来直接卡成电竞帧数
什么？你们用电脑玩这个？我还特意买了PS5
哇偶
3050ti
三连了 感谢女菩萨指点
电竞帧数
不吃显存…
我1050全低跑出来37帧
up
1650战未来
你币有了
我1050ti 你无论如何调节你都救不了我！
2060前来报到！！
啊？你是谁
哈哈哈哈好菜的磕头
[ohhhhhhhhhhhhhhhhhhhhhhhhhh]
再说一遍这也太可爱啦
哪里来的美女
580最有性价比
永恒金典 750Ti 申请出战！
真的吗神医，是现在就去调
你币有啦
正是在下。。。
咋这么可爱
1050地图不复杂还行
？
赛博神医
960...
游戏本还得选
4060ti
4帧点睛了
什么菩萨
华佗在世啊
优化如何设置不重要，就是想看大脸盘子。
4060真拉啊
最吃内存  经常闪退
1050Ti：你杀了我吧
左右鼻孔不对称啊
有点意思
可以可以！
Nanite是吧
赛博神医啊
美女你谁啊
为什么要把袈裟当兜裆布？
E3 1231 V3都可以带着RX580 8G玩
这不就是我的显卡吗
赞美FSR拯救老显卡
就是找到一个适合平衡点
啊？
6088K路过
流明算法
我靠我就是1050ti
啊~750ti没戏了
跟我念！丝趴二~
我1660ti也需要！
750可以吗
666
1050ti，开了帧生成没影响
来了来了
草
问题是我觉得除了顽皮狗的游戏以外，其他的全局光对画面都是反向提升
这个选项我怎么默认是4x（8K）？
话多，直接上干货吧
这就输女菩萨呀
6750能玩吗？
哇
带制作！
显卡的渲染压力下来了生成帧又不吃太多资源的话延迟自然就低了
当代华伦 等我回去抢救一下
一点都不韵脚啊
woneng我能玩就是优化好！
显卡危机
对不起。 我显示器不支持
6
前面说调整不了的，你要在桌面再进入系统分辨率调整一次系统的分辨率，这样才能在游戏里面调整成6K画质
780
不如换个显卡吧还是
1050ti前来学习
三连简直想来多两个
4g显存要被爆
不会
构思
648是啥
《乱   坟    岗》
师傅，别念了
多少显存阿
女菩萨
66666666
4050的泪流满面
直接变2K不到了
‘’l‘’；
我就是这么自己设置的
起飞
阿狸的新造型和游戏一样让人惊艳
？？？？？？？？？？？？？？？？？？
原著花果山的描述诗
达利园
好美！！
牛 算你牛
我970还能不能带哇？
连环画级帧数，找回了童年的感觉
3060表示冒犯
RE8
黑熊精的JK裙真不错
3040我走
这声“嘛～”听了就很舒服，无限回放
感谢
我开真生成直接闪退
兄弟们，这个我是真喜欢
750ti 2G 学习了
好家伙3000+
那一块显眼的七彩虹是我的
没有我970嘛
可以打电竞了
会闪退
卡皇的实力
750Ti不服
真好看啊
神医啊，大夫
帧生成要配合 低延迟一起开在 显卡设置里面
脸瘦了好多
序章还是严重卡顿，只有20多帧
扯，玩时毛发很吃配置！
人眼已经无法分辨了吧
祖传挡脸毛
华佗
好看
RX580
哈哈，人才啊
核显申请出战
都1050ti了，官方都没辙了，这能调到流畅玩那简直就神医了
善哉善哉
666
12ms还不卡?
我的3050嘞
阿狸真漂亮
1650:那我走吧
只要不开光追，可以全部拉满
我觉得现在就很好！
还我大脸狸
重操旧业？！
2050：？
怎么感觉更好了
天才啊
能！！！！！
轻薄本？？？
1050ti申请出战
不止，开高显存占13G多
全局光照至少开到中，中和低是2个光影画面
帧生成不是只有40卡吗？
NB，阿狸狸辛苦了。
啊？
噔噔~
噔噔~
去测第三章啊
雪山上教做人 我这里130桢 雪山60不到
wow！
美女啊
收了神通吧
救救RTX3050吧～
三连啦，谢谢赛博华佗
QQ嘛我懂！
