《原声大碟》
这声哎，我都以为是大圣本人了
葫芦的效果 第一口满血 后面一口回三分之一
脑袋砸核桃
猫转身，猫落地，猫抖水
看他这么流畅以为都躲过去了呢
广智救我
丸辣！
一口回满啊？
虎先锋：嗨害嗨！吃饱啦！
虎哥：吗喽别刮了
有点像只狼但整体不一样操作上就有明显不同
盲人：这是孙悟空本人上号了吗
这一刀可以看握刀
谁家猴子
罗太刚开始播的可是火，包反应的
虎先锋の秘密小厕所
倍速开启新世界
黑奖杯：曹操
每日奖杯（1/1）
黑神话 广智
爱猫tv（不是）
虎先锋三拳干碎你的大圣梦
是猴子本人在玩吗
Hen Shin！
漏电了
小嘴抹了蜜
虎先锋出招间隙还是很好抓的，挺容易躲，伤害高就是容错低
广智出来救一下啊
帅！otto！
狼小鬼又来了
还没开大
最 文 明 的 一 集
广智救我
好吵啊
本色出演
全空啊
说只狼的请你滚出去
说像只狼的请问呢，只狼有几个这么大的boss，还是冲刺什么都能躲，还是黑猴是靠打架势条打boss的
盲猜：丝血被反杀
黑神话广智
花果山口音
帅！萝太 帅！
强
高能01:57
你知道在地铁里面憋笑有多难吗
喝尿（幻听
原声大碟
声控游戏？
孙悟空顶号了
byb当名刀用是吧
一顿操作猛如虎 一看血条接近无
广志当名刀使，哈哈哈
暴雪！虎哥必须来两下！
黑鹰话：悟草
闪中了
？
请神上身
咋还有日语
手机音道被污染了
俺姥孙吃柠檬的
结算rap
笑死了
[前方高能]
黑神话—广智
讲究！！！
bro以为自己是真的孙悟空。
谁家汤姆
我们是冠军！！！
字幕剧透视频内容
哈哈哈哈哈
帅
留着装鼻用的
空降01:53
但是他好强啊
牛逼
蓟县！
黑吗喽：广智
哈哈哈哈哈哈哈哈
这是真天命人
笑死我了
你怎么有天命人语音包的
小萝太也来啦（喜）
声控游戏
小罗太别玩了让罗太玩吧
广智救我
诶他这喝药怎么，一次回那么多啊？？
黑神话广智
？
卧槽哈哈哈哈
最简单的嘴臭，最极致的享受
《永不破防》
henshin！
文明猴vs文明虎，祖安大圣大战祖安先锋
最应当的一集
预购送的葫芦第一口酒满血
疑似猴哥本人操作，建议彻查
萝太好可爱 好想养一只
买了之后半个小时就打不过了
笑死我了
本色出演
……
《效果抵抗》
我是买到假的了吗？怎么我的吗咯不是这个闪避音效
叫郎中来玩这游戏
帅！
字正腔圆
不愧是高玩
点进来之前都不知道有那么炸裂
我要在鬼畜区听到这个闪避音效
附身了
入戏了
真能叫啊up
广智救我
卧槽这个声音
哈哈哈哈哈哈哈哈
素质猴
我
技能记忆法：哎哎，喔嚯嚯
谁家吗喽跑出来了（
跳伞1′45
谁家小赛文
《谁家小孩》
啊～♂
广智救一下啊
哈哈哈，就喜欢听无头僧唱歌
一口就回满了？
广智铠甲，合体
广志，救我！
虎先锋三拳打碎大圣梦。
团长一命过
操作最帅的一集
植物大战僵尸后遗症
演唱会开始
最像猴哥的一集
牢虎：他是个闪避！闪避啊！
赶紧变狼啊
刀郎
卡门来打广智
帅
吃好了妈咪
老虎屁股摸不得，但是能打
自动闪避
这原声笑死我了哈哈
哈哈哈哈哈哈
暴雪！
↑只猴
一命过关，也不是很难嘛
虎先锋：使不得，吃不下，真的吃不下
定身术消失教学
田文镜
广智救我！
耐躲王
up哪里下的版本，为什么我的版本里都没有猴叫does
哈哈哈哈哈哈哈哈笑死我了！！
宗门弟子
黑神话广智
笑死我了
这一声吼还挺有感觉（）
跟只狼不是一个流派
进二阶段了
哎呦卧槽这一句笑死我了哈哈哈哈
吉吉国王大战铁掌大师
吉吉国王大战丛林土鳖
说像只狼的，建议先买个电脑
哈哈哈哈哈
右下角steam好友也在玩黑吗喽，哈哈哈哈哈哈
[前方高能]
这药瓶咋这么大劲 一口就回满了
小馋“猫”
太帅了大圣本人
罗太注意保护音道
不哥们哪里像只狼
虎先锋真帅吧！
黑神话，广智
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
笑死！！
[前方高能]
这个地方来回看了五遍，给我哈哈哈哈哈的笑立了
腚！
谢谢夸奖
"不,你是汤姆"
等一个音效mod
广智牛逼
玩到真猴子了
帅！
逃课哟套妈嘞
花果山电报猴
黑社会：罗太
很酷不喝药
真猴子。
我定身术经常空，不知道是bug还是什么
猴哥附体
罗太「吗喽显现」
哈哈哈 这里笑死我
哈哈哈哈
不是…孙悟空自己上号了吧？
我只是个路过的狼妖，你给我记好了！
bro给虎先锋吃撑了
猴哥本人上号了
快去请广智老祖
打了8个小时干到第四章了
虎先锋
第一次直接被秒，然后三次过
M78星云口音
黑神话广智
不是，他的猴为啥会说话啊
好机会！
[前方高能]
最帅的一集
那么，请看好吧，我的 【变身】！！！
花果山本地猴
黑手悟空
【The World】!!!
砍到大动脉了
快进到下地道被五只小怪围殴死
帅
莱斯利三命过
是我的精神状态了
花果山电报猴
讲究~
我也想超虎先锋
被壁咚了
帅是一种感觉
黑神话：魏武
医疗包
黑社会。悟空
大沙漠的谁过圣诞节呢？
wipe out
遇到本尊了
挤墙角暴打
哈哈哈哈哈哈哈杜鹃
技术肉眼可见的提升
广智：我叫广智，不叫若智
只狼主打格挡，能说像只狼的弹幕都是神人了
没绷住
说像只狼的笑死我了不会看看就懂了吧
爱虎TV之猴哥双大棒
电报猴
黑神话 广智救我
闪退呢，闪退救一下啊
花果山电报猿
原号主顶号了
罗太可是国服仙兜，包有操作的
不是三下两个完美虚化，你真猴哥上线了？
帅！
空棍子没绷住
在现场，这死了几十次了
身法可以、黄风给你预估5小时
逆天
语气助词最多的一集
在现场
疑似猴子本人上号
帅！！！！！！！！！！！！
花果山口音
文明的猴
疑似本人上号。
帅！
谁让他玩上黑神话的？
哈哈哈哈哈哈哈哈哈哈
大圣本人
哈哈哈哈
猴哥来了可能还真是会说。
悟空本人上号了。
最难躲的是快慢刀
我都打到看见猪八戒了
猿啼三声泪沾裳
帅
真的↑
祖安猴子
我逐渐分不起哪个是游戏音效
byd闪避还有音效
暴雪
关上声音还挺帅的
黑什么，马喽
我了个下三路战神
6
声控游戏
那一下快刀并不是秒杀，但是那一刀伤害高达200多
nb
广智 救我
4000多个猴头出来
老八打的？
好身法
byd受击音效是吧
听声是请大圣上身了
游戏还没买，请问里面的孙悟空是这样叫的吗？
帅！！！
不懂就问，刚刚UP是不是开斯安威撕坦了（
这是真大圣
最帅的一集
在现场，我是金箍棒
广智:当我是假的啊？
广智之力！
猴哥上号了这是
罗太还是用键盘打的，还能打那么好
刮痧
若治大劈砍
陌生
谁家汤姆猫
原声
帅
悟空开大车
孙悟空顶号了
无敌帧，对吗
本人上号
在现场
蓟县
时停系列！
虎先锋
米老鼠
素质泼猴
躲不掉没有资格吃药
哈哈哈哈哈哈
绷不住了
到底谁是猴子
墙角惨案
比只狼刺激
这段太难绷了
6666666
猿声大碟
省流:黑神经，萝太
有时候顿悟了就打的好，我初见黄风大王直接打的剩三分之一血，后面一样打了两个小时
哈哈哈
笑死我了哈哈哈哈哈哈哈哈
感觉好糊啊
哈哈哈哈哈
虎先锋：你别过来我害怕
谁家米老鼠？
大圣顶号了
好帅（云音）
怎么还有种米老鼠的感觉呢
什么黑话
俺老孙就开始打电报
你别说还挺厉害
帕斯卡契约重制版（）
广智救我!
帕斯卡契约重置版（）
这不是帕斯卡契约重制版吗（）
猴哥：早知道让你来叫我就不叫了
估计是死了好几次，疯了
虎先锋：握草，我隐约听到了两个人的事声音。。
两遍过（
爱猫是吧
虚无之灵
腚！
最不认识的一集
单押
萝太（大圣显现）
合理怀疑是孙悟空本人配音
《小猴太》
一个真正的马喽
天命人本人上号了
听说罗太以前是打火影的，真的假的
原声大碟
玩到真的了
亲你有邻居么？
广智救我！！！！
广智救我
不是，你都不喝酒的？这技能躲的
笑死我了
汤姆猫在玩游戏
小脏猫
无敌帧，对吗
这歌太上头了
为啥你的大圣会说话？？？？
最有实力的一集
身法猿
《大圣归来》
温柔老孙
猿神
别问我怎么笑起来，哈哈哈哈哈
两岸猿声啼不住
大圣别叫了
疑似本人出演
黑神话广智环节呢？
省蓝
[前方高能]
啊？这是本尊在玩
《黑社会--马喽》
虎先锋小伙立正了
陌生
帅！otto帅！
？
我一个人就送了十几只
大圣：替身攻击？
两岸猿声啼不住
要下载额外语音包的
这悟空哪是不见了，分明是附身到罗太上了
不残雪不会玩
咋成汤姆猫啦！！！！！！
最原始的情绪发泄
都上四字真言了
黑奴隶:广智
出家人不打诳语
虎先锋比较好躲
暴雪
哈哈哈
小虎子立正了
玩家也猴化了吗？
帅啊
耐杀王
比游戏配得更像
哈哈哈
原声大碟
请问是大圣黛打吗
啊，不行了，绷不住了
谁敢横刀立马，唯我虎大将军！！！
疑似猴哥本人顶号
328的含金量
魔法虎咪！稳啦！
妈呀真的好像
无效消音哈哈哈哈哈哈哈
什么加密通话
大圣配音是斯科特
方言都逼出来了
吉吉国王大战铁掌大师
介猴不卖，拍照5块
最有操作的一集
本色出演嗷
电报猴
在现场，打了一个小时
汤姆顶号了
虎先锋三拳干碎英雄梦[捂脸]
电报黑吗喽
666
其实已经可以变身了
还有瘦教
是猴哥本人呢
只里吗大爷狼
真正的马楼
啊～
牛魔的耳鸣了
666，开风灵月影了
黑手党：悟空
暴雪！
哈哈哈哈
广智救我！
？？？
救我广智！
虎妈有福了
我服了哈哈哈哈哈哈哈笑死了
哈哈哈哈哈哈
最有代入感的一集
七十二变汤姆猫 好家伙
怎么感觉看过呢
疑似配音演员重新配音中
别高兴，后面还有老虎要打
陌生
黑社会：悟空
这么有操作？
谁家Tom
留着蓝用隐身很容易躲BOSS冲锋
注意保护音道
刀背着是不是有点碍事啊，拔出来啊
好像汤姆的叫声被打的时候
让他尝尝 舞龙抱柱
好标题
黑社会：神鹰
舒服了
md虎先锋贼喜欢拔刀斩，一次砍大半管血，昨天打了一小时
汤姆猫顶号了？
反应贝壳和抓取的，牢底
吃不下了，别喂了
来自后期剪辑的自信（doge)
？？？
帅！
哈哈哈哈嗝
这个音效包在哪里下载
谁家小孩
哈哈哈哈哈哈哈拔了牙伤口笑裂开了
争先葫芦魅力时刻
变广智无脑重击秒了
哈哈哈哈哈哈
打到虎先锋了怎么才两段棍势
哈哈哈哈哈
广智救我猴命
在现场
这TM要是让你去配音起码多卖15亿
你还玩上了
天生吗喽圣体
广智二阶段是吧
珠 颈 斑 鸠
哥，可是忽必烈啊
《逆 天 大 圣》
这设定人类不怕妖精确实就奇怪了
难道他真的是天命人？
小罗太给我听爽了
帅！
genshin！
怎么还有现场配音？
上来就没绷住
最符合角色的一集
罗太疑似被猴哥顶号
确实厉害啊
黑神话：广智
第一次听到孙悟空叫
我还好8，9次
虎先锋：神金
本人来了（确信
像仁王还差不多
不 入 虎 穴 ， 焉 得 它 弟
Byd变成桃博了是吧
哪来的米老猴
莫名想起汤姆
伞伞伞
这个配音好上头
罗太有点操作啊
最后的陕北说书是什么鬼啊
给自己上buff呢搁这
冲刺！
蚌埠住了
《黑吗喽原声大碟》
碰到孙悟空本人了
别说萝太这奖杯宝玩的比昨天大多数直播的直播玩得好
黑猴话：罗太
熟练的让人心疼。
？？？？？？？？？？
不会有人以为 音效是假的吧？
怪物：1打2怎么赢啊！
太逆天了
上来就  爱  死你
我们是冠军！
原来这就是马楼的叫声
广智师兄救一下啊
虽然很草但是是最符合人设的XD
真的不是大圣自己的声音吗？
电报猴
不是柔棒打击？
绷不住了
你这个闪避音效我怎么没有啊？
这定身术还能空?
节奏大师
还得是广智
等你29级打黄风就老实了
？
那个技能叫黑神话广智
虎先锋三拳打碎我的大圣梦
小猫牢弟，立正了！
不行缓一会，笑死了哈哈哈哈哈哈哈哈
修脚
修脚
想起了当初玩火影的萝太
跳伞1：44
孩儿们看好了，因为这一刀，会很帅
这声音MOD什么时候出的
怎么还逼出来日本话了
虎哥：曹操这玩意怎么光打我奖杯啊
黑奖杯罗太
孩子们这不是黑神话这是《黑罗太：吗咯》
没看最终预告说是，靡道人、石粼粼、双马尾老鼠、自爆老鼠是一概不知道的，只知道广智说是
帅啊！
多出，爱看
躲闪成功音效（确信）
话说回来这游戏不能只有有广智能化身打架吧剩下全是技能吧
无效消音
广智呢广智回家过年去了？
三连快慢刀+三连正常刀
哈哈哈哈哈
广智扛着音响登场了
这是真大圣啊！
其实还有一口药呢
事故多发地
SNB
哈哈哈哈哈哈
结算BGM
《黑马喽》
山壁音效
哈哈哈，要悟空废嗓子
关板边了
广智呢，救一下啊
人话最少的一集
萝太有点东西啊
广智救我！
广智
我们是冠军
在现场
蓄意轰拳!
吾心所向，天意难挡！
猴哥，顶号了
省流 黑奖杯：罗太
吃了24个猴头
官方挂
哈哈哈哈哈笑死我了，最搞的是，这完全跟大圣一个声音
黑神话，广智
《吃好了妈咪》
请代练了?
嗨害嗨
最会配音的一集
一个滑铲直接喂饱
666
这是我认识的萝太？？？
这是真猴
不是哥们，你真会呀
两岸猿声啼不住
哈哈哈哈哈哈哈哈哈哈哈
这怎么和死水一样屏幕外起手
你这葫芦怎么一口满了？
唉↑，唉↓↑
猴头菇最初养殖地
其实有些时候可以打识破的，不一定要一直闪
只打奖杯
最燃的一集
最吃好了一集
？陌生
笑抽了，进来前没想到会这么契合
本色出演了
罗太毕竟只狼通关过，黑猴这种还是有技术底子的
最像猴的一集
虎哥：丸辣
休闲后如
疑似被猴哥上身
怎么有两只猴子
我们黑马喽有自己的广哥，广智救我！
笑死了
以雷霆击碎黑暗！！
不要说，有点技术的
猴子上身吧这是
黑神话，广智
在现场
萝太二阶段了
猴哥本人顶号了
路人，这是游戏原声吗
黑罗太：神金
我嘞个逆天大圣
你过关！
？
woc，tmd绷不住了太像了
豪庭
黑藏话悟空
这是请大圣上身了？
音效模组链接发一下
还有俩技能为啥不用
byd只会轻攻击
蓝纹奶酪反上来了
帅
米老鼠+马里奥
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
《本色出演》
靠你这样叫代入感也太强了吧
哈哈哈哈哈哈哈哈哈
哈哈哈哈
搞笑来的，吗喽顶号了
陌生
woc，好像
大火收汁
疑似猴子本人上号
黑神话：悟湖
赢叫
曹操助你十万大军
虎先锋又开饭了
刚从无伤过来
第一次看，这是声控游戏吗
好操作！
暴雪！老虎必须来两下！
这时候变狼稳过，两个重击
注意：本视频推荐在吃饭时观看
本色出演
还真不蓟县，还有药
哈哈哈哈哈哈哈哈哈哈哈哈不行太搞笑了
变身一开始就用，打到最后CD基本上就差不多了
最陌生的一集
有没有人觉得这里喊henshin时的慢动作很帅？
谁家迈特凯
哈哈哈哈哈
这三声我绷不住了
黑三国曹操
黑话神：悟空
《吃柠檬冰》
时停普勒！
哇，这三闪帅啊
射！
有幸看过直播
黑手会：悟空
舒服了
拖ki油拖马雷
黑话悟空
哈哈哈哈哈
哈哈哈哈哈哈哈
这个boss跟妙音那个主角比起来很好了
有小代！
哥们，出个罗太语音包吧，我们什么都会做的
时停系列！
亖了24次
你变身术留着过年啊？
这么厉害？有操作啊
省流:真猴子玩猴子
谁家小罗太
帅
最好笑的一集
猿鸣三声
神将来的
黑神话广智
帅
帅
才二段棍势打他的时候我都三段了
广志！！！！！
小虎：23个猴头吃撑了
陌生
帅啊
为什么我玩的时候没有音效？
哈哈哈哈哈哈哈哈哈哈
花果山口音
这叫的我真绷不住了
你猜猜他为什么这么熟练？
漫长的四分钟
小圣（未成年版）
哈哈哈哈哈哈
托Q托马累
广志，成为王的理由
电报猴上线！
大圣顶号了
他要不说话 只看看操作确实帅
byd，我还以为是大圣的声音，听了一会儿不对劲
老八
哈哈哈哈哈哈
不像演的
真有点东西的。
黑社会：悟空
后面去玩PVZ了
我们是冠军！！！
偷Q头麻来！
byd萝太真以为自己天命人
帅！罗太！帅！
猿鸣三声泪沾裳
在现场！！！
变广智不是杀了
这没过啊
黑奖杯：萝太
我们是冠军
我来看这个的？
原声大碟哈哈哈哈哈哈哈哈哈
音响！
谁家马里奥doge
豪庭
这刀是真帅！
猿 声 大 碟
孙悟空人柱力
黄眉大王比这还难 坐牢日记
打火影又p用，跟类魂一点边不沾
《腚》
无效消音
最羡慕的一集
黑社会 曹操
好机会！
好机会！
逐渐失控开始挨打
不是一直这样喊不累吗，哈哈
声音最像大圣的一集
这真的吵
没记错的话是20多颗猴头
直播在现场
猿鸣三声泪沾裳
花果山电通员
还以为是搞笑主播，这操作比我好多了
小曲一响，dollar登场!
孙猴子本人（确信）
《黑神话广智》
wok罗太有实力的啊
被虎子打到音道了
最像的一集
我超，冰！（bushi
坏了，这个是真大圣
他甚至不用变身
打的比向死好
黑社会悟空
还真是
有操作的呀
有分身来打的两遍过
本色出演
在现场
虎头一瞪，生死难料
敌人：爱我你无需自卑～
哈哈哈哈疯了
腚
帅
《黑神金，曹操》
黑神话广志
在现场，猴王出事20多次才打过
最有代入感的一集
大圣别抢罗太电脑玩（bushi
这几声没绷住
最猴子的一集
最在现场的一集
。。。。
黑神话∶广智
.
黑屏呢，黑屏呢，救一下啊
残血开大看彩蛋
这是电报猴本猴吗
猿鸣三声泪沾裳
《猴子人柱力》
《此时我要点名一位忍者》
问一下哈：这是游戏音效吗，不是的话，建议出个萝太语音包
早期北京猿人大战铁掌大师
《萝太顶号了》
艹，厉害啊，这几下闪
MD笑死我了哈哈哈哈哈哈哈
广智救我！
广哥救我！
最陌生的一集
帅！
这么厉害，不是萝太本人在玩吧，萝太只在旁边配音（doge）
这次是第24次
一次显示器还灭了
我玩的时候咋没这音效
挺厉害的不像罗太本人
反应 老弟！
打了二十多次才过的
蓝不够
一共打了24次
帅
红葫芦魅力时刻
黑吗喽.罗太
声控游戏
吗喽附体
罗太是被花果山招安了吗
黑子说话！
各位看看我买的是不是盗版的为什么我没有这个音效
woc布谷鸟
猴神话：小罗太
罗太玩火影出身的，反应肯定快啊
猴头拼盘
亖了23次的成果
汤姆猫罗太
我们是冠军！！！！！
我嘞个背板大神奖杯罗太啊
帅
[ohhh]
2和4不用？
疑似初版配音泄露
疑似悟空顶号
过爱看
steam试玩了一下，因为平常不打这一类游戏所以打了五个小时卡到那个会说话的妖精boss了
不行笑死我了哈哈哈哈哈哈哈哈哈
直播时立了
啊？
啊♂——哦like come 使劲呃↑♂～
在现场罗太二十三个猴头给虎先锋喂饱了
最像游戏主角的一集
？？？？？
猴子附体
居然打到虎先锋了？
玩火影逆天言语那个？
笑死我了
左下角
你打码打了个奖杯啊
三天之内，我要罗太的黑神话语音包
是23颗，这次就是第24次
最在现场的一集
我们是 奖杯！
对虎先锋快扔香蕉皮啊
看好了，这就是玩了只狼效果
byd还挺帅
坏了 ，他好像真会玩
原声大碟
萝太注意保护音道
24次
野猪冲刺
哈哈哈哈
噔    噔   咚
小罗太顶号
官方我想要罗太这个音效
广智救我！
无效打码
24
虎先锋：哥们是我打过的猢狲里面最会叫的
不死斩
在现场亖了23次
我们是冠军！
这下听懂了
虎先锋：对面一个真悟空我怎么打，奖杯来的
团长一命通
最悟空的一集
祖安大圣
疑似猴哥配音演员亲自上场
奖杯来的
和电报猴一模一样，笑死我了
黑萝太:神经
你这消音了个寂寞
ccb！
猿啼三声泪沾裳
《24个猴头》
24
最早的一次
陌生
帅
豪庭
帅！罗太！帅！
啊~♂
广志开打了
马萨卡
黑化 神悟空
24次
在现场，打了24/20才过
他为什么只打那
黑神话广智
他要不说话还真挺帅
萝太（悟空显现）
罗太大战魔法猫咪
广智老弟护驾啊
丝袜笑死我了
罗太是真勇一直越级，打石将军也没打武器也乱升
一刀直接半血
黑萝太：神话
虎先锋三拳干碎我的大圣梦
腚！
丛林土鳖被吃死啦
飞舞罗太20条命都没打过
打虎鞭
占领空瓶
让你真的当吗喽了
毕竟萝太是有动作游戏底子的
最有操作的一集
我们是奖杯！
虎先锋吃了24颗猴头吃饱了，打不动了，所以罗太赢了
难道说？
←虎哥吃了24次猴头，现在吃撑了没力气打了
不行，笑成达奋了
像是大圣说的话
还在蒸
假面骑士罗太！henshin！
黄风岭小虎立正了
971个人出来
九小时前
[ohhhh]
[ohhhh]
[ohhh]
《无效打码》
这个并不难，亢金龙才是真难
披坚执锐，所向披靡
黑子说话！
确实帅
萝太在这里死了20多次
已经开始笑了
好机会！
暴雪！
豪坎
疑似大圣上身
马萨卡？
猴王出事
马萨卡
马萨卡
马萨卡
into了
马萨卡
马萨卡
马萨卡
马萨卡
马萨卡？
24次
飒！
罗太在这打了20多次
罗太牌手机铃
两岸猿声啼不住
哇，一日四更
黑奖杯：曹操
老虎:好厚的血！
这小子……说不定真的可以成为齐天大圣……（感叹脸）
在现场
广智呢？救一下啊！
罗太打打了23次才打过
没开我吃
绝对开了
23/20来的
以前的感觉回来了！
不是你真会啊
腹语
电报猴
被穿死了
24次 致敬劳大
错↓23
“战争践踏”
在现场24
真马喽啊？
本体登场
贪杯的猴
《烦》
魔法猫咪
是不是每个人用定的时候都会喊一声“定”
甚至蛇棍
怎么不用其他技能？
舒服了
隔壁的黑神话吉吉呢？
《24颗猴头》
帅！！！
我去，我还以为是游戏配音，还纳闷了，我咋没有
《黑 神 话 奖 杯》
最在现场的一集，罗太帅死了
[前方高能]
帅，！！！！！，太帅了！！！！！
虎先锋：奖杯来的，哪来的吗喽
