冷知识：折叠屏一般看正面有没有折叠痕迹，大角度看不到折痕的，那就是天宫制品
我想要这个单屏幕手机
59
0
直接100W无线充电要个毛的接口
厚度不可能再薄了吧，只能减重方向努力
必须满分
这个8个顶角的设计，略高于手机平面，是不是起到保护屏幕作用！
三折，想象下把平板折起来
被子不是S形是G形
？？？？？
炸裂
加多少钱可以订鸵鸟皮配24K金？
Wu♂
100
抢都抢不到哥们
测一下双折厚度
发热咋样
接电话怎么办，合起来？
100
啊？还能这么算吗？
拿几个折叠屏对比一下
100
十感然鱼
右手手套强迫症迫害
现在车充有必要点烟器么
感觉已经差不多了，目前是相对舒适手感了，再保下去缺失比较反常了
101
竟然有耳机
100
说折痕的跟说黑神话悟空穿模的是同一批人吧
说折痕的跟说黑神话悟空穿模的是同一批人吧
有点过于全面了
100
三台16
nb
一个字，牛逼
太丝滑了
看看得了，反正买不起
除非能搞出无痕的材料
190
电视进化史
这不就是个平板
高情商：装饰性非常强
哈哈
好大呀
100
好看
心系系系天下
多少银子？
续航 尿崩
1000
天顶星科技了属于是
一点都不环保
还挺好看的
店长：给我做个易拉宝吧
无线充电可以解决这个问题
100
1
11999折叠+3999平板+6999旗舰入门=你赚大了
我靠有点东西，这一对比才能看出来多牛
10
车充也好贵的
店长，我露脸但是还没说话啊
100
买的人自己不用，用的人自己不买[doge]
污哦
然后旁边多了一块
重新定义3k
通关文碟
通关文碟
10
不小心一股屁坐上去咋搞？
经常出差办公的有福了
0
明明这样就可以自拍了。。屏幕还要打孔，多此一举啊
1
1
3
最低配都两万
好薄
有钱没地方花了，不会过日子不环保。
太棒了
华为他又精进了
笑死
华为他又精进了
太丝滑了
100
100
太高分辨率电池顶不住
1
111
99
什么问题？
不咋地容易发热容易发热
switch一个小后背支架都能撑起来，这个这么轻肯定没问题
太漂亮了
100
不错哦，很薄
这玩意有什么用？
100000
1000
从前红墙绿瓦闭塞信息，如今打开了全世界
屏风
我真的没什么可挑的了，唯一的缺点就是买不起了
尽情玩吧，反正拍完就退回给品牌了
贴不了水凝膜了
锻炼神器
折叠屏目标就是没有折痕啊
您这是何必呢？
玩游戏是不是就平板？
以前笑小米杂货铺。呵呵呵。
天才
这就是一个平板
100
大马士革
那不然呢？不然为什么叫三折叠呢？
真的很薄很薄
想笑
土
浓重的老年机味道
装必首选
99
100
100啦
啊 店长来看
直接买个平板得了
平板吧
100
店长三进三出
100
yylx
3K还真是这么算的，电脑屏幕都是1080p15寸比27寸细腻多了
店长回来了，手套又上了
3杯50度的水就是150度了
重新定义了3K
奥搜
幽默折痕
摇摇领先  谣谣领先
上朝
抽象
-100
1
mate系列也上个红色的吧，我很喜欢红色
70
店长来了。。。
low
100
买手机上课呢个手电筒
95吧，
这不就是平板吗
收钱美学
哦
这个红我是真喜欢，所以非折叠款为什么没有这个颜色
100
没展示键盘
我手机常年最低分辨率，90hz，没试出跟120有什么区别，而且还省电
100
砖红色
山楂红
1
黑子说话
牛的
混合痔？？？
100
00000
略微有点过长
8848既视感
1
可以设置为后摄拍照的，之前在小辛那里都看到了
华为matex系列和matexs系列的结合体
1
我买一台iPhone，一部Mac，这机器纯粹给老板用的
麻了，太要命的声音
卧槽这都可以
我是玩具龙
100
8848
100
90
不喜欢折痕
高情商·
可以打水漂不
花一万组一台电脑，花三千买一台手机，花七千买一个平板
这不就多余了？？
屏幕这么辣及？？？
说奏折的真6
说实话，我觉得确实是很好看，很漂亮
不需要后置了
要是不小心折反了会咋样
不够环保
宗教产品
喔哦
买个祖宗？
折断了咋办doge
000000000000000000000000000000
100000000000000000000000000000000
都不买
做不出来?你认真的么？人家觉得没销量懒得做而已
卧槽 真的爱了
1000
不在意折痕的就有在意的，别用自己感受带入
折痕所有厂商解决不掉，还不能说了？？？？
我靠 这么丝滑吗 我手指头都能滑倒
这就是使啊
买个红米998然后吃一年周四KFC
这就是一个平板做成折叠了，变成手机了
-100
100
华为的智能家居，什么都好，就是太贵了。。。全是高端产品。
旁边站了一排电源在学习。。。
这个差点意思
店长，钠盐把手机敲了！！！
双折状态下摔了会怎样
平板加手机，只能说明你是牛马，不能装X
无线充
奏折手机
直呼WC，确实值两万
333333
确实只适合办公商务
1
考虑钱的话 我会买三台，不考虑钱  肯定买它
折叠手机永远解决不了的问题折痕太严重
主播抽奖送亿台呗
真的是HG才会买的东西啊哈哈哈。。。这三折不知道意义何在
1
11111111111111
真是块好板砖
猕猴别急别破防
哈哈哈
？？
没亮屏你们扯什么折痕呢 有点常识
磁吸充电？
那电池容量呢，续航呢
100
100
以后没有充电口了，全无线充电
100
1
怎么的，电池不要厚度？
我已经在期待几年后的进化了
发布前
0
1
我的很大你忍一下
但问题... 这有啥用...
直接磁吸接口就解决了。
91那岩
100
华为智选呢？
还是太可惜了 三屏展开之后是拉伸了的2屏ui
但是看看还是觉得厉害
三折兴趣确实不是很大
关弹保智
MATE30同款..
1
折叠屏不是很平，有划痕，还是不太舒服
说厚度的找打脸？
100
剪辑
100
前面的，90HZ，不是4K，完全是因为续航
套壳失去灵魂
小米马上跟进
100
前面真能阴阳，人家说的是“平整程度”
100
111111
双折叠状况与荣耀的那个差不多吧
又是这个手电筒
100
待机时间不知道怎么样
屏幕80分
100
这可不是mini，这是10.2寸的大屏幕
笑死这折痕真明显。
笑死这折痕真明显。
好厚的折痕啊，天沟一般的华为折痕。
被自己帅气的容颜惊艳到笑出声
好厚的折痕啊，天沟一般的华为折痕。
我就是来看看
取消线充可能性大
无痕折叠屏真是想突破物理极限呢？衣服布做的都有折痕
就是pad可以折叠成手机用呗，看眼价格，不是我买得起的，撤退了
100
怎么就不去对比呢？？？？
就这么几下，怎么可能让你折坏了，那就别上市了
100
1
100
哪家不比你米家的便宜好用？
诗人握持
这不环保
上面那个，ov荣哪家折叠屏系统适配不比你米家好？
双折叠都不行了？
前面的，哪怕是3折卖也要6000块哦
苹果略微大成者了
100
10分46秒了，还没开机呢
96
折痕看着还是难受
100
键盘余大嘴也展示了，是折叠，可以放西装口袋里
这个折痕
科技树点歪了吧
还有谁想做？
1
-100
100
都买这个手机了，你说有没有车
100
60
保健品一样的包装
1
66W不算快也不慢，比20W超级快充强不少
8848
80
8848
8848
8848
8848
6
8848继承者
8848
8848复活
8848
8848黑金色的味道
还赠送一个耳机，还赠送一个车载充电器，三块屏，这么算一下价格还行啊
100
為爭氣的華爲呐喊、叫好，竪起大拇哥！
华为赠送的这500元的权益，有用过的吗
2024年了，还有人说折痕，你们是第一次看见折叠屏吗
3
100分
我就一个问题，你是卖一台手机的钱，还是三台手机的钱
遥遥领先
这么薄啊
这设计
老板套装和你讲环保？
卡槽也可以去掉啊，无卡手机也不是啥新鲜东西
？？？？
22222
100
你搁这卡BUG呢
拍照拉了
50
感觉工艺不错
月饼外盒材质
太不环保了
可惜了，主摄不能变成前摄
说的跟没有折痕你们就会买一样
太奢侈了吧！
我不，我非要放沙地上
1
66w是rmb吗
不好看
接口限制了厚度doge
索半斤，在下输了
牛！！后置自拍！！
100
奏折配色
因为给爵士用
100
100
250
摸完就有了
下跪模式
遥遥领先
说三星的，它双折都和这个三折一样厚了
61
我要是有钱肯定买~
无敌了
这个手机的价格，可以买顶级手机一部+顶级平板一部，可能还有剩余
100
有没有和明显不明显是同一个概念？
20
罚款50万的标签醒目，我记得苹果提前开箱，好像是罚款30万
刷新率90，可以，跟酷比魔方同档
90
x2可以这么干
再次叠甲
折叠之后的厚度是多少不说，带上壳是多厚你也不说，希望别家产品你也是这个标准
啊？侧边指纹？？？？？
确实哈，这么好的条件不把前置摄像头去了，更待何时？
1
这叫相差不大
1
少结构光解锁，是遗憾
就这折痕  还以为回到了刚出折叠屏的时候
什么芯片，麒麟的吗
2W爵士还没车
《相差不大》
数据说话吧，到底是多厚
再次沸腾
100
你能想象拿着这个坐二等座吗？
250
不用叠甲了，折痕就是折痕，明显就是明显
成功超越iPadmini6
这个平板模式的图标好乱啊
装饰性？
这还没折呢，折痕就这么明显的吗
100
100
厕所瓷砖配色
这台手机好就好在你既然都接受折叠了，不如拿个平板折一折
1
不买
3k就是这么算的，和屏幕大小无关，只数像素点
那还是相差巨大的，差不大我还不买呢。咋还给你越说越离谱了呢？
满屏只是在1：1的基础上裁剪而已
100
100
这掉地下这屏幕不直接秒碎啊
？
就1080？
90
三合一
199
100
袁猴们又在叫了？
这个状态好像用不了
一款手机用了二十多分钟评测外观……比爱马仕配货的电源还能讲故事……
这下不用带保护套了。
店长:导演我台词呢？
时间过了将近50%还没开机……
这一天不用再保护。靠了
6
买得起1的人，实际上肯定是同时买好几台新手机，不玩二选一这种穷人的选择
00000
大哥，你这么谨慎可不像皇上批奏折，更像太监给皇上打屏风！
可以用来防身了
我知道，比自研芯片还困难！但华为就是这么弄出来了！牛批！
两万多花的真值！就冲这外观工艺，再加两万都没问题！
嘿！真平！连折痕都看不见！反正我是没看见！
牛逼个屁！5000的电池，比平板少了将近一半它能不轻么！
100
保护壳遮羞布
你再对比一下华为自家的matePC，丫更轻
哇，大屏爽哇
确实，比我手里的平板也轻了不少！
真的猛
什么露出？
苹果（dige）
真好啊，就差给手机镶钻了
八卦镜辟邪
别提手机壳了，华为都把手机设计成这么薄了，你套个壳生生把人家设计师一万多的心血糟践了。
这有点牛逼
丝滑
100
换lighting啊！反正硬件也就那样了，不在乎接口退化一下。毕竟，原地踏步以姿势不同为美。
屏幕向下
100
100
120你买吗？
100
1080？
店长：抓紧
0
刚刚立不住了
三角具有稳定性
耐克手机
300折你也打不开YouTube ， Facebook 跟 Google
观影为什么不打开
还没进化成功
有啥不环保？全都收过你的钱了。没收钱的才是不环保，钱到位了全都算环保。
100
8848
only huawei can do
哈哈哈哈哈哈哈，神金
军被.
被子
一台手机，一台平板，一台二合一笔记本，一台vr
60
平整。。。
卧槽 这么轻
没有120？？
95
以后就是卷轴手机了，新增功能，手电筒
店长光速回店
这手机摔坏了都很难修
什么soc
低调。。
有什么用
拿ipad过来比比，它不是也被吹薄吗？
折痕都处理不掉，还有脸出了吹
这折痕，我买平板不香吗，这电子茅台
100
50
20
还真比苹果六年的模具高端，红字你这辈子都有了
砖头
困难p，自吹自擂罢了
没平板抗造
1
251
50
不环保
店长会失业吗？
60
100
拉几
讽刺
非凡大坑
早上7点半，2000+正在观看
这个换屏有点科技量了
奇怪的状态
拿个平板不香吗
折痕很明显
感觉 就是在炫技
1
前面工地的我也这么想的，飞几粒沙子进去一折就完蛋了
1
100
买红米用三年
店长再不回来就不用回来了
《装饰性》
直接改无线，不用接口了
是充电接口限制了厚度
一个手机还带手套傲慢买回去供着
华为太强了
真的薄
100
哈哈哈哈哈
《零下5度请勿弯折》《哈尔滨》
华为的折痕在拍摄和测看时会比较明显，但在正面直接观测时不会看到折痕
91企业文化
65
等我有钱了我也要买
666
100
为什么不展开讲讲里面的芯片和硬件性能？
土
说音质的别出来丢人了
明年估计至少5款三折叠屏手机问世
《》怪觉得自己很幽默吗？
100
吊打苹果
厉害
保护个寂寞
的确好看
3240*1920算哪门子1080，快4k了好不好
好看
华为一台1w，三台3w
反折你根本掰不动，用过折叠屏都知道
哈哈 装饰性很强
看不懂
老板专用机！
正面点一下，才能切换到背面拍照估计
排面又拘谨
加个转接头就行了
未点亮时感觉好廉价
100
天才～
这动画好丝滑～
快称一下
比双折就多了三分之一屏幕罢了，其他配置基本没变多了50克叫轻？
买这手机的都默认有车
就觉得好薄啊
用2W的手机还要用车充？车里都没有无线充电吗？
如果华为直接做双折肯定比三折双折形态会再厚一点
这就已经有折痕了，不敢想用半年之后这玩意能变成什么样。
一个是重心在下面，但是不够轻薄也做不到，还是挺牛的
??3k
折痕好明显
因为你琼，你的认知就是小钱买一堆
屏幕直接刮花
这里没太懂，三块1080加一起，就是3k吗？
这个折痕和界面设计，强迫症根本受不了
你有点看不起老板了，不是全都要么
展开以后真是感觉薄的惊人…
都三折了，前置摄像头还是不拿掉吗
这屏幕玩原神爽飞了
日，折痕明显
电子茅台？
铰链设计不会让你折反的
我买小米三件套1万不到。。。
对于创新产品我还是会给高分的，现在苹果太拉了
这玩意的备用能源基本就是车了
薄是真够薄的
拿倒了
古风配色？
100
UI遥遥领先
内存卡
100
100
不买不行吗
打19999分
情商在线
磁吸没法传数据
100
多少？？？
抄袭IOS菜单设计
确实是奢侈品
100
100
1
10
三星粉别出来丢人了，三星的三折叠就一个概念机，根本落地不了这也好意思说别人偷是吗
100
100
20
我强迫症，这折痕看着就难受
新机折痕好严重
笑死在世界
三星的那款三折叠只是概念机，根本没正式生产
说三星的三星那个是概念机，到现在也没量产啊
牛
外折和内折双技术的加持啊
100
3台手机可以3人开黑，你这自己玩是吧
94
折痕明显，看的不舒服
我米下个月就突破
没有一点点惊艳感
比三星薄很多，有点想放弃我的fold了
好家伙，跑线下现场开了
4
折痕这么明显的吗？
非常适合追剧党
不是我说，这设计像极了十几年前的商务山寨机。。。。尤其是配色和摄像头。。
牛逼，自我定义3K
99
温州一口价30W+
1000000000000000000000000000000000000000000
100
土
100
炒股利器绝了哈哈哈哈哈哈
120
10000
100
卧槽，这个大屏看的好爽，这个太适合刷剧了，稍微有点心动了。。
从配件方面看，够档次
90
高级
1
牛
100
夺少？
真有点牛逼
0
90？
这么快就睡一起了？
1
0
买六台小米
逼格儿也大
《几乎》
但凡有一粒沙子
这什么玩意
100
其实这前置摄像头可要不做
001
1
这折痕..
电池容量也就一台安卓旗舰大小
买10台小米
Oppo 是有这个适配的可以用外屏后置摄像头拍照
略微？？？？
这摄像头模块......越做越大了....
101
哈哈哈哈哈哈哈哈哈哈哈哈
100
不薄点折起来得多厚。。
100
磁吸充电
懂了，店长是如来
批奏折用的
这样能看3d视频了
1
0
？？？？？这只要2万块？？？？？？
101
我的平板都不止一斤
100
跪久了？苹果都做不出来折叠屏，谁抄谁啊
差生文具多
80
妙啊
我去，顶级科技，那个科技公司能有这种天才想法和细心啊
100
果粉别酸，这折痕苹果做得到吗，问界这么火的车做得出吗？
不是第一款三折叠，第一款五年前就有了，但是量产第一款。
100
这是完全突出啊
手套，讲究
1080*3x1920
1
这么快
1
卧槽好闪
都24年了，隐藏门把手都出几年了，还有人说事故后不好开，我想问都隐藏了凭啥好打开
100
唔～～～～
100
1
还的是华为，别人买手机，华为买祖宗
三星交换专利那个，你太逗了
可以买个iPad pro+iPhone16pro Max了
100
3
1
1
99
强迫症很想，上手掰下哈哈
卧槽
好大啊！！！！！！！
100
折叠屏别跟单屏比充电和刷新率
卧槽
没钱，等过几年小米出来再买
没事 等小米低价入一个 这个太贵了
99
100
帅
喷子只会喷新技术为花里胡哨
100
100
111
才90
100
怕不是有3部手机那么大
哇
有些人是真不懂什么叫明显的折痕，先去参观其他品牌比如三星的双折叠吧
100
99
立在哪？
《实用》
店长看着心慌，别啊，老铁
1000
100
这背部质感绝了
3
00
太好看了
真老板级
1
不上120hz是考虑续航
100
60
100
什么时候能去除褶皱
宗教三折叠第一部手机
但凡用过折叠屏的就知道了，这种浅折痕在亮屏状态下根本看不见
折叠屏是柔性屏，没玻璃平整很正常
1
年入百万的必须整一个玩玩！
100
不愧是苹果爱好者做的手机，这界面很符合老孟的操作习惯
100
作为手机来说偏厚，作为平板来说便携性拉满了
拿苹果平板来就一样了
000
100
朱膘色
天才
突然明白三折的优越性了
100
说剪辑了的呢？
99
五千五续航怕是要蹦了
没法加手机壳了吧
等明年就5折左右了，电子产品是贬值最快的了，摄像机除外
10000
80
100
我手机响了
这是一块屏幕啊，不这么算怎么算
真的喜欢，但是没钱
这是苹果系统吗？？
太细了
嘶。。。。
边框还超窄的离谱了
我靠，这大屏幕看着是爽啊
买了！支持国家！相信华为！
是真好看
突出是因为机身太薄了吧，正常手机厚度就不突出了
阿里郎折叠
带上保护壳妥妥一暴发户阿
我米马上字研
怎么又开始虚空索敌了？本来就是看个乐子。
100
不错哟
比一元硬币薄
0
0
方向折反了会不会就悲剧了？
2.2w对标三星折叠屏了属于是
这不打100分？第一个量产三折叠啊
0
真好玩
100
100
米粉别激动，这手机跟你们没啥关系
平整
还加保护壳
卡bug
1
1
两年以后我就入手了，现在还是继续用的我的保时捷mate40
顶配台式机
这厚度逆天
不错不错两年以后海鲜市场见各位大佬
这奇葩的玩意真有400万人预约？真有960亿的销售额？
很平了
100
3.6mm
2
3
188
100
95
3
我存起来，啥都不买，嘿嘿
苹果能造出这，没五万下不来
00
0
0
1
辨识度拉满，就苹果，华为和三星，其他有什么自己的设计
手提包的感觉
0
100
看到折叠屏就想到王自如的那个浮夸演技 hhhhh
100
100
巧克力可以吃了
御用骨灰盒
不实用
9
10
挖草
我俩是不是有点暧昧了
1000分！
1
这个包装50W起步，上不封顶
苹果缩话
100
丝滑！！真佩服那些工程师
3
全展开时接电话一定很有氛围吧
1
折叠型平板
100
都不要
都不买
读圣旨专用
不环保（）
100
1
还是1080
功在千秋
遥遥领先
遥遥领先
遥遥领先
这个手机都对不起你ID
100
我草
半斤
99
魔怔了
0分
11
99
60
哇哇哇
跑分呢？能赢苹果12吗？
4k能弯嘛？ 这也是首次商用肯定有进步的空间啊
99
这个侧面后期感觉会有大问题
100
100
1
1111111111111111
0
不环保差评
艺术品！！！
huawei magsafe
100
1
这颜色的口红色号好看
店长一只脚出门了
买买买
100
100
100
丝滑
？？？这辅助了啥？又不是用的后置主摄像头 就尬吹吖
片头的ZUK跟乐视都倒闭好多年了
19分
39
60
99分
99
99
这系统怎么这么像ios？
买未来的四折
砂瑞金
1
店长就俩字：拜拜
仅支持无线充电
还是很厚
3
华为:我们科学非常多
[装饰性】
Only Huawei can do
卧槽太牛逼了
100
问下，打游戏登分号的时候，能分成两个号状态登录不！
上朝～
1
Only Huawei can do
应该搞成十折叠，跟弹簧一样
摔一下要1万换个屏了吧
100
59
6
3
100
1
配色确实好看
牛逼
华子牛逼
100
丝滑啊
270度
无敌
以后手机直接变手镯
指望国产把手机价格打下来，结果国产一口价2万笑死了
100
100
天才！
99分怕骄傲
100
100
这不配个手写笔么
+1万，谁有？
我选16PM
买三台小米
100
100
100
既是内痔又是外痔
故宫砖墙颜色很高贵
1
污
想知道这样多少克
1000000000000000000000000000000
他还毫无波澜，你倒是买一个不波澜啊
？？？？？3K
全员眼镜
好醜
虽然但是平板能揣裤兜里吗
3
1
店长和up亲切友好交流后终于有画面了
6
1000
我想要抽拉式大屏
非凡大师立正了
还以为是awesome，不知道如果王自如还在，会有什么反应
果味十足
欲言又止
太不环保了
如果折错就是事故了
手机设置成这样的意义何在？看谁折的多？
店长：工具人就是我
100
电脑
？
666666666666666
1
前置摄像头弄死强迫症
干脆搞个超薄平板
等下开补了就搞笑了
100分！
1
一次性用品
磁场数学
20
还是感觉摄像头太厚了
0
高情商:官方不知道
1
有钱我也搞一部
这C口太极限了
Lightning的口和typec的是一样大的。。。
100
100
哈哈哈
徐徐展开，启禀皇上，臣有事启奏
给老板玩的
200
100
屏幕不太行啊
vision pro100寸屏幕
感觉随时都会断
三星：？
这支架淘宝有得卖
真的薄
99
差点断了
而且二折叠是没有挖孔
3
送freeclip还差不多
一开始我打98.4分，因为做的有一点六，现在我打97.4，因为它不止有一点六
100
50
100
100
真好看，大气
100
100
0
用2折叠看3折叠的视频
略微……
折痕可以理解，为啥还有坑
反正折着折着屏幕就出竖线了
好薄
工艺无敌
开完还要退回去的节奏
80
不会折反了？
50
才90？
这就是奢侈品
奖励残奥会单手冠军一台
超过200都嫌重了
倒不说是折叠平板了
38分
200
我等全息影像的戒指
你咋不说他多少钱呢，有这些不是正常的么
红配金真漂亮
哈哈哈哈
1
0分
100分
你们查都不查一下，商品页面上写的3k屏
简直了。。
